Post Title,Link
處處被看著？必備防窺配件推介,https://chinese.engadget.com//protect-privacy-phone-laptop-20-080313177.html
Apple 開始在印度生產 iPhone 13,https://chinese.engadget.com//apple-iphone-13-india-manufacturing-023049511.html
Moment 推出售價 US$99 的 MagSafe 版 Mobile Filmmaker Cage 兔籠,https://chinese.engadget.com//moments-mobile-filmmaker-cage-will-level-up-your-smartphone-filmmaking-100002528.html
綠色 iPhone 13 mini 和松嶺綠色 iPhone 13 Pro 真機實拍,https://chinese.engadget.com//iphone-13-green-photos-170606195.html
就是今晚！全新松嶺綠色 iPhone 13 Pro 開始接受預訂,https://chinese.engadget.com//apple-green-iphone-casetify-100032407.html
Apple 2022 首波新品總整理：Mac Studio、5G 版 iPhone SE、M1 版 iPad Air,https://chinese.engadget.com//apple-march-2022-event-what-to-expect-070044247.html
松嶺綠 iPhone 13、13 Pro 登場！3 月 18 日開賣,https://chinese.engadget.com//apple-announce-green-iphone-13-iphone-13-pro-182043779.html
蘋果可能已在 iPhone 13 上取消了內建的降噪功能,https://chinese.engadget.com//apple-has-reportedly-killed-noise-cancellation-on-the-i-phone-120037054.html
新年換新機，入手紅色 iPhone 13 應節又行善,https://chinese.engadget.com//apple-iphone-productred-new-year-060028918.html
iPhone，15 歲生日快樂！,https://chinese.engadget.com//iphone-15-%E9%80%B1%E5%B9%B4-anniversary-163827093.html
風格實用兼備！精選推介手機掛繩、手機帶,https://chinese.engadget.com//phone-strap-and-cases-090013408.html
據指 Apple 向供應商「溫提」iPhone 需求放緩,https://chinese.engadget.com//apple-warned-suppliers-slowing-demand-iphones-133654179.html
蘋果與 (RED) 攜手合作 15 年，總計已籌集近  2.7 億美元,https://chinese.engadget.com//apple-product-red-iphone-13-13-mini-apple-watch-7-094616246.html
緊急 iOS 15.1.1 更新釋出，修正 iPhone 13、12 通話斷線問題,https://chinese.engadget.com//ios-update-iphone-12-13-fixes-dropped-call-bug-075303297.html
Apple 將提供 DIY 維修零件套件，讓你自行修好 iPhone 13、12 和 Mac 電腦,https://chinese.engadget.com//apple-announces-self-service-repair-kit-151224215.html
Casetify 雙 11 限定折扣，買得多減得多最高 75 折,https://chinese.engadget.com//20211110-casetify-1111-120053841.html
蘋果將解決 iPhone 13 非原廠螢幕導致 Face ID 無法使用的問題,https://chinese.engadget.com//apple-iphone-13-face-id-screen-replacement-fix-070029284.html
最佳禮物系列：五款可客製化手機殼展示貼心和個性,https://chinese.engadget.com//20211021-pinkoi-custom-123032635.html
Nomad 精製皮革配件推介： AirPods 3 保護殼,https://chinese.engadget.com//20211020-nomad-goods-080020580.html
macOS Monterey 版 iMovie 可以編輯 iPhone 13 電影模式拍出的影片,https://chinese.engadget.com//imovie-mac-iphone-13-cinematic-mode-020047859.html
iPhone 13 mini 評測：我原來沒有想像般喜愛迷你手機,https://chinese.engadget.com//apple-iphone-13-mini-review-053026157.html
每週網購優惠：iPhone 13 分期入手、第二期消費券、SSD 半價、遊戲折扣,https://chinese.engadget.com//weekly-best-deal-20211004-023604513.html
iOS 15 的第一個小更新解決了 iPhone 13 無法利用 Apple Watch 解鎖的問題,https://chinese.engadget.com//apple-watch-iphone-13-unlock-bug-fix-100006026.html
SanDisk、WD Black 一天限定特賣！最高可享達半價優惠,https://chinese.engadget.com//20210929-sandisk-flash-disk-20-103041620.html
網店自帶分期付款，彈性購買 iPhone 13,https://chinese.engadget.com//20210928-jselect-atome-080051220.html
iPhone 13 非原廠維修螢幕，會導致 Face ID 未能使用,https://chinese.engadget.com//apple-iphone-13-face-id-third-party-replacement-040003470.html
iPhone 13 配件推介、優惠合集,https://chinese.engadget.com//iphone-13-accessories-collection-140056081.html
成為全場焦點！Case-Mate iPhone 13 專用手機殼,https://chinese.engadget.com//20210927-casemate-110017564.html
［下午 5 點直播］Engadget Update EP116：iPhone 13 系列你問我答、用後感、bug 回報,https://chinese.engadget.com//engadget-update-ep-116-080030605.html
iPhone 13 不能被 Apple Watch 解鎖的 bug 將會被修復,https://chinese.engadget.com//apple-watch-iphone-13-unlock-bug-fix-053043509.html
每週網購優惠：iPhone 13 配件、真・無線耳機、Chromebook,https://chinese.engadget.com//weekly-best-deal-20210927-031114156.html
蘋果修正一個影響 iPhone 13 的 Apple Music 同步臭蟲,https://chinese.engadget.com//apple-music-bug-iphone-13-new-ipads-130012100.html
iPhone 13 Pro / iPhone 13 系列實機開箱 + 舊機、配件比較,https://chinese.engadget.com//iphone-13-iphone-13-series-unboxing-video-000039921.html
iPhone 13 / Pro / Max / mini Tim 哥開箱 ft. 妮妮 Niniko,https://chinese.engadget.com//iphone-13-pro-max-mini-tim-niniko-yahoo-080009050.html
做好入手 iPhone 13 的準備：Nomad 天然皮革手機殼,https://chinese.engadget.com//20210921-nomad-123056402.html
超前準備，iPhone 13 專用 4 款螢幕保護貼推介,https://chinese.engadget.com//20210920-iphone-13-screen-protector-120034968.html
iPhone 13、13 Pro 預訂日，一文看清價錢、規格差異,https://chinese.engadget.com//apple-iphone-13-iphone-13-pro-preorder-080019290.html
iPhone 13 系列是 Apple 首批支援雙 eSIM 的機種,https://chinese.engadget.com//apple-iphone-13-pro-dual-esim-support-063037726.html
iPhone 13 Pro 系列超級比一比：都是看螢幕和相機,https://chinese.engadget.com//apple-iphone-13-pro-max-vs-samsung-galaxy-s21-ultra-oneplus-9-pro-190134692-050045539.html
iPhone 13 的電影模式讓你能像專業人士一樣玩轉焦點切換,https://chinese.engadget.com//iphone-13-cinematic-mode-rack-focus-193040139.html
iOS 15 將在 9 月 20 日上線,https://chinese.engadget.com//ios-15-will-be-available-to-download-on-september-20th-190200812.html
iPhone 13、13 Pro 系列、iPad mini、Apple Watch S7 總整理,https://chinese.engadget.com//apple-iphone-13-series-rumours-summary-053043472.html
換上天峰藍色的 iPhone 13 Pro 系列，搭載了最強大的相機和 120Hz 螢幕,https://chinese.engadget.com//iphone-13-pro-and-pro-max-183010571.html
iPhone 13 與 iPhone 13 mini 搭載 A15 Bionic 處理器登場,https://chinese.engadget.com//apple-iphone-13-mini-annoucement-182556859.html
蘋果升級基本款「New iPad」至 A13 Bionic 處理器,https://chinese.engadget.com//apple-ipad-a-13-bionic-172950066.html
iPhone 13 Pro 和 13 Pro Max 可能會提供 1TB 版本,https://chinese.engadget.com//iphone-13-storage-airpods-3-leak-070021190.html
iPhone 13 要來了！Apple 宣佈將於 9 月 15 日凌晨舉辦秋季新品發表會,https://chinese.engadget.com//apple-iphone-13-watch-series-7-fall-event-160925075.html
FCC 上的 MagSafe 資料暗示 Apple 將推出四款新 iPhone,https://chinese.engadget.com//apple-references-new-iphone-models-magsafe-fcc-filing-140752036.html
新 iPhone 傳說中的衛星電話功能或許只能在特定區域使用,https://chinese.engadget.com//iphone-13-satellite-limited-coverage-093045979.html
下一代 iPhone 或許能撥打衛星電話,https://chinese.engadget.com//apple-iphone-13-leo-satellite-communication-050030804.html
下款 iPhone 或支援在錄影時啟用人像模式和 ProRes 格式,https://chinese.engadget.com//iphone-2021-gurman-portrait-mode-pro-res-always-on-display-bloomberg-030037266.html
下一代 iPhone 似乎會有長亮螢幕功能，改款 MacBook Pro 更會在年內亮相,https://chinese.engadget.com//iphone-12s-always-on-display-leak-033036407.html
郭明錤：2021 年 iPhone 13 的瀏海會縮小，也會有更大的電池,https://chinese.engadget.com//iphone-13-ming-chi-quo-040007809.html
下款 iPhone 可能會支援 AoD 顯示,https://chinese.engadget.com//apple-iphone-13-2021-always-on-display-070055306.html
