Post Title,Link,Content,Date
['【iOS 15.4 新功能】iPhone 13 Pro 戴口罩使用 Face ID 實試'],https://www.dcfever.com/news/readnews.php?id=32666,文：TonyApple 在今日凌晨釋出 iOS 15.4 版本，加入了戴口罩使用 Face ID 功能，用家只需要用iPhone 12或以上支援 Face ID 的 iPhone，都能使用這個功能。今次就跟大家用iPhone 13 Pro，試試這個新功能有多實用。Tenba Axis 系列，堅固材質專為攝影師和多媒體內容創作者設計！▲戴口罩使用 Face ID 功能，是 iPhone 12 或以上支援 Face ID 的 iPhone 都能使用用家更新 iOS 15.4 後，系統會詢問用家，是否加入戴口罩使用 Face ID 功能。打算會使用的用家，只需除下口罩，再掃描一次人臉，就會支援戴口罩使用 Face ID 功能。▲用家更新 iOS 15.4 後，只需除下口罩，再掃描一次人臉，就會支援戴口罩使用 Face ID 功能用家如在戶外，想在家中才加入戴口罩使用 Face ID 功能，可進入系統設定內的「Face ID 與密碼」，重設 Face ID 後，就能將戴口罩使用 Face ID 功能加入。▲進入系統設定內的「Face ID 與密碼」，重設 Face ID當重設 Face ID 時，系統會前後掃描兩次人臉：第一次是掃描用家的面部輪廓，第二次是掃描用家雙眼四周的特徵，所以就算用家今日戴黑色罩，第二日戴其他顏色或花款的口罩，筆者試過都可以正常識別，而且識別速度與一般 Face ID 相若，今早外出時戴著口罩及帽子，都一樣成功以 Face ID 解鎖。▲先進行一次人臉掃瞄▲成功後掃第二次▲第二次是掃描用家雙眼四周的特徵▲試玩影片戴口罩使用 Face ID 功能，還可以加入戴眼鏡後的容貌，當戴著眼鏡 (不支援太陽眼鏡) 再進行 Face ID 掃描就能加入，令同時戴著口罩及眼鏡的用家都可以正常識別。▲戴口罩使用 Face ID 功能，還可以加入戴眼鏡後的容貌,2022/03/15
['北京冬奧特別版 iPhone 13 Pro 竟是俄羅斯推出'],https://www.dcfever.com/news/readnews.php?id=32413,"文：Tony北京冬季奧運會 (冬奧) 正進行得如火如荼，不少商家亦希望趁著這體育盛事賺一筆。專門將大熱 gadget 改裝成為尊貴產品的俄羅斯公司 Caviar，則推出 Olympic HeroiPhone 13 Pro系列，向各運動員致敬。Tenba Axis 系列，堅固材質專為攝影師和多媒體內容創作者設計！Olympic HeroiPhone 13 Pro系列以紅色複合材料配鍍 24K 金，或紅色複合材料配 18K 金製成。機背加入北京奧運會標誌、奧運五環及在冬奧舉辦多項體育賽事的北京小海坨山，令這款特別版手機甚有特色。Olympic HeroiPhone 13 Pro系列定價分別為 US$6450 及 US$26,000 起，折合約為 HK$50,272 及 HK$202,647 起，兩者分別限量 109 部及 8 部，相信是不少收藏家的之選。資料來源：caviar",2022/02/07
['盡用 iPhone 13 Pro 機能：2021 手機遊戲推介'],https://www.dcfever.com/news/readnews.php?id=32010,"文：TonyiPhone 13 Pro系列機能上主要加入 A15 SoC 配合 6 核 GPU 及 120Hz ProMotion 更新頻率自動適應技術 Super Retina XDR 屏幕，要盡用這部手機的機能，最好都是用家玩盡各大手機遊戲，配合 AirPods
  將遊戲的極致音效輸出。以下 7 款遊戲就是 2021 年的重點推介。WiFi 6 雙頻 Mesh WiFi 無線網絡系統套裝　適合家庭及小型商用環境！1.《Final Fantasy VII: The First Soldier》Final Fantasy 在家用機中絕對是膾炙人口的作品，遊戲系列新作《Final Fantasy VII: The First Soldier》一改以往玩法，變了像「食雞」般的大逃殺遊戲，但保留了 Final Fantasy 遊戲的以槍、劍、魔法所構成的世界，更可召喚出召喚獸，比一般「食雞」類遊戲變化更大。2.《PUBG: New State》「食雞」類遊戲始祖 《PUBG》終於有新作《PUBG: New State》，帶來了全新的地圖、更多元化的場景與建築，給玩家全新的挑戰。另外環境聲絕對比前作更細緻、更清晰。聲音效果非常影響玩家的投入感，在《PUBG: New State》，可用 AirPods 更清晰地辨別敵人的腳步走向、距離，以及槍聲、炮彈聲的方向，絕對是此遊戲的生存及致勝關鍵。3.《Call of Duty: Mobile》大熱第一身射擊遊戲《Call of Duty: Mobile》，在iPhone 13 Pro上更呈現無可比擬的流麗畫面，由於戰場面積相對較小，每個場景的視覺元素亦設計得特別精密和細緻。iPhone 13 Pro系列的表現特別出⾊，來⾃其 Super Retina XDR 屏幕，所配備的 ProMotion 更新頻率自動適應技術，可⾃動調整當中的不同更新率，在需要強勁的圖像處理時，螢幕會自如地加速更新頻率，最高可達
  120Hz，配合⽤户的動作與畫面反應，為遊戲帶來更勝⼀籌的流暢體驗。4.《世界計畫 繽紛舞台！ feat. 初⾳未來》音樂遊戲《世界計畫 繽紛舞台！ feat. 初⾳未來》就是試 AirPods 最佳的遊戲，奏出每粒⾳符特質，讓玩家完全投入節拍中，在 Master 級難度如狂風暴雨般的⾳符彈奏中尤其重要。5.《Beatstar》另一款音樂遊戲《Beatstar》都值得向大家推介，遊戲主打當代流行歌手。於 app 內登入 Apple Music，更可根據資料庫來解鎖一首免費歌曲，並在 Apple Music 中建立玩家專屬的《Beatstar》播放列表。6.《二⼆之國：交錯世界》喜愛玩 JRPG 遊戲的玩家，就不能錯過《二之國：交錯世界》，可設定不同職業技能的主角，在動畫殿堂吉卜力工作室創造的奇幻 RPG 國度中展開冒險。利用 AirPods 播放久⽯讓大師的配樂，會令遊戲體驗更上一層樓。7.《Sky 光．遇》《Sky 光．遇》有別於一般 RPG 遊戲，遊戲世界沒有怪物追殺，沒有劇情追趕，零負壓下輕探索解謎。在 AirPods 高質的聲音輸出下，聲效盡情發揮，閉上眼也感受得到左有浪拍岸右有風過山。而且遊戲更支援 PlayStation 與 XBOX 控制器，操作表現更出色。",2021/12/04
['iPhone iOS 15.1 更新：新增 ProRes 影片及 FaceTime 同播同享'],https://www.dcfever.com/news/readnews.php?id=31719,"文：TonyApple 剛剛釋出 iOS 15.1 更新，主要迎來三大功能更新，包括 FaceTime 「同播同享」、ProRes 影片及 Wallet 應用可加入 COVID-19 針咭功能。而 Wallet 加入針咭暫時只限於美國特定省份，香港暫時未能支援。旗艦級三頻路由器 新一代 Orbi Wi-Fi 6 三頻 Mesh WiFi 網絡系統！更新後到 iOS 15.1 後，用家在 iPhone 內 FaceTime 的設定內，會加入 「同播同享」，點選後 FaceTime 好友，然後到支援的應用例如 Apple TV+ 或 Apple Music 內，再點選「同播同享」，對方就會實時看到用家於手機的操作，然後大家就可以同時睇片或者聽歌。▲用家在 iPhone 內 FaceTime 的設定內，會加入 「同播同享」至於 ProRes 格式影片則為iPhone 13 Pro系列可享用，更新後可於設定內的「相機」，然後選「格式」，就可點選 ProRes 影片使用，ProRes 影片最高支援 1080/60fps 及 4K/30fps
  解像度錄影，錄影時間會因應儲存空間而定，沒有限制每段影片的長度。▲更新後可於設定內的「相機」，然後選「格式」，就可點選 ProRes 影片使用▲影片最高支援 1080/60fps 及 4K/30fps 解像度錄影ProRes 影片提供更高色彩保真度與更少壓縮的影片，亦方便專業玩家錄影後於 Final Cut Pro X 、Adob​​e Premiere 和 DaVinci Resolve 軟件後製，提供比一般影片格式更高的後製寬容度。",2021/10/26
['iPhone Leather MagSafe Wallet 試玩：點只支援「尋找」咁簡單'],https://www.dcfever.com/news/readnews.php?id=31588,"文：TonyApple 為iPhone 13系列推出不少全新配件，當中同樣支援iPhone 12的 MagSafe Wallet
  亦推出了全新版本，本文以 iPhone Leather MagSafe Wallet 為代表，為大家搶先試玩。WiFi 6 雙頻 Mesh WiFi 無線網絡系統套裝　適合家庭及小型商用環境！iPhone Leather MagSafe Wallet 採用特殊鞣製的歐洲皮革製成，容量大致可同時放入三張與信用咭類近厚度的咭片，或是兩至三張對摺了三次的紙幣。試將八達通咭放入，並以手機掃瞄八達通咭，檢查咭內餘額並不成功，可見 iPhone Leather MagSafe Wallet 亦有防止 RFID 讀取的功能。▲容量大致可同時放入三張與信用咭類近厚度的咭片▲或是兩至三張對摺了三次的紙幣▲試放入八達通咭▲掃瞄八達通咭，檢查咭內餘額並不成功，可見 iPhone Leather MagSafe Wallet 亦有防止 RFID 讀取的功能iPhone Leather MagSafe Wallet 只需利用包內磁鐵，連接iPhone 12或iPhone 13系列手機即可使用，官方已表明這款 MagSafe Wallet 並不支援 iPhone 12 透明保護殼，實試亦發現磁力未如連接皮套般穩健，而且亦不能成功連接手機。如使用透明保護殼的用家，還是要另購其他機殼使用。▲官方已表明並不支援 iPhone 12 透明保護殼當 iPhone Leather MagSafe Wallet 成功連接 iPhone 後，手機就會立即出現連接畫面，按下就可以將 iPhone Leather MagSafe Wallet 加入在 「尋找」App 之內。由於 iPhone Leather MagSafe Wallet 並不像 AirTag 設有內置電，如不慎遺失，可從手機找出 MagSafe
  Wallet 最後定位的位置，方便用家回頭找尋。▲當 iPhone Leather MagSafe Wallet 連接 iPhone 後，手機就會立即彈出連接畫面▲如不慎遺失 MagSafe Wallet 2021 ，可從手機找出MagSafe Wallet最後的定位，方便用家回頭找尋在「尋找」內，亦可設定「取下時通知」及「顯示手機號碼」功能，前者會在用家取下 iPhone Leather MagSafe Wallet 一分鍾後，從手機通知用家銀包已經遺失，以及遺失的地點，讓用家可在遺失物品的一分鍾後，已能知道並在「黃金時間」內找尋。▲可設定「取下通知」 功能▲取下 iPhone Leather MagSafe Wallet 一分鍾後，從手機通知用家銀包已經遺失，以及遺失的地點「顯示手機號碼」則可在設定後 (顯示是 Apple ID 所設定的號碼)，當有人拾取了你的 iPhone Leather MagSafe Wallet，並以 MagSafe 方式連接 iPhone，系統會即時說明這不是拾取人的銀包，並會顯示用家的手機號碼。拾取人可透過這號碼，致電或以訊息通知原物主。▲「顯示手機號碼」 (顯示是 Apple ID 所設定的號碼)▲當有人拾取了你的 iPhone Leather MagSafe Wallet，並以 MagSafe 方式連接 iPhone，系統會即時說明這不是拾取人的銀包，並會顯示用家的手機號碼▲拾取人可透過這號碼，致電或以訊息通知物主iPhone Leather Wallet with MagSafe 定價：HK$449",2021/10/06
['iPhone 13 炒價直擊：今年都是開紅盤'],https://www.dcfever.com/news/readnews.php?id=31508,"文：Tony每年 iPhone 的新機推出，除新功能外，大家都想八卦一下有沒有炒價，想知新功能，可以看看本網今早的iPhone 13 Pro 詳測，而有關炒價方面即時話你知。Walk in 或只能到百老滙食炒想買iPhone 13或iPhone 13 Pro系列的朋友，如果無訂機或許只能去百老滙以炒價買機，當中iPhone 13 Pro系列更炒高接近 HK$2,000，是否值得以炒價入手，就見仁見智了。日本製手錶品牌 TACS，雙鏡頭相機設計！錶匠親手裝嵌！！▲iPhone 13 mini 百老滙炒價 HK$6,199 起▲iPhone 13 百老滙 炒價 HK$7,299 起▲iPhone 13 Pro 1TB 及 iPhone 13 Pro Max 1TB 百老滙炒賣價達 HK$15,599 及 HK$16,499說回先達收機的情況，iPhone 13 mini與iPhone 13一如所料，因應版本或顏色，可賺 HK$101
  或者平手離場，當賺下信用咭積分或回贈。而iPhone 13 Pro與iPhone 13 Pro Max都有「水位」，最高的iPhone 13 Pro Max 1TB版本可以賺接近 HK$1,400，當中天峰蓋新色可以再賣高 HK$200-HK$300，都可以叫近年賺得較多的 iPhone 機型。▲iPhone 13 Pro 與 iPhone 13 Pro Max 都有水位iPhone 13 Pro 與 iPhone 13 Pro 先達收機價iPhone 13 ProiPhone 13 Pro Max128GBHK$9000 (+501)HK$1,0000 (+601)256GBHK$10,000 (+701)HK$1,1200 (+1001)512GBHK$11,500 (+$501)HK$1,3000 (+1201)1TB暫時不收HK$1,5000 (+1401)",2021/09/24
['iPhone 13 系列首位用家：鍾意微距拍攝方便影食物'],https://www.dcfever.com/news/readnews.php?id=31507,"文：TonyiPhone 13系列今日正式推出，SmarTone 一如以往都會提早開門營業，讓用家可以跟世界同步，玩到最火熱的新機。今年首位客人陳先生，就出了iPhone 13 Pro Max天峰藍色 256GB 版本。Tenba Axis 系列，堅固材質專為攝影師和多媒體內容創作者設計！問及陳先生喜愛iPhone 13 Pro Max的原因，最主要是屏幕夠大，看得更清晰，天峰藍新色亦比以往的藍色吸引。另一個他鍾意iPhone
  13 Pro Max的原因，是因為他從事飲食業，新增的微距拍攝功能，讓他拍攝餐廳的食物可以更出色。對他而言，手機有 256GB 儲存空間，加上 iCloud 服務就已經足夠。陳先生還打算入手iPhone mini粉紅色 512GB 版本給母親，他說由於母親沒有 iCloud 服務，因此認為 512GB 儲存空間才會夠用。",2021/09/24
['iPhone 13 Pro 詳測：攝影人必定喜愛'],https://www.dcfever.com/news/readnews.php?id=31504,"文：TonyiPhone 13 Pro除了屏幕尺寸以外，三鏡相機、ProMotion 120Hz 更新率屏幕、5 核 GPU A15 SoC 都跟iPhone 13 Pro Max完全相同，對比去年iPhone 12 Pro系列，iPhone 13
  Pro的確有很大提升，今次會率先為大家詳細試試iPhone 13 Pro的各個新功能，看看這款賣 HK$8,499 起的手機，是否值得大家入手。日本製手錶品牌 TACS，雙鏡頭相機設計！錶匠親手裝嵌！！三鏡主相機，拍攝色彩接近相同iPhone 13 Pro用上全新的 1200 萬像素三鏡頭主相機，包括：感光元件像素點大小為 1.9um 的 f/1.5 光圈 26mm 廣角鏡，支援 Sensor Shift 感應器移動式光學影像防震功能；f/1.8 光圈 13mm 廣角鏡頭；f/2.8 光圈
  77mm OIS 鏡頭，配合 LiDAR 感測器協助低光對焦與人像拍攝。配合 A15 Bionic SoC 內的 ISP（影像訊號處理器），三鏡拍攝的色彩跟以往一樣接近相同， 無論使用任何一支鏡頭，都可拍出自然的色彩表現。▲f/1.8 光圈 13mm 廣角鏡頭▲f/1.5 光圈 26mm 廣角鏡▲f/2.8 光圈 77mm OIS 鏡頭廣角鏡低光表現有進步廣角鏡是大部份手機最高質，而用家又最常用的鏡頭，今次iPhone 13 Pro的廣角鏡色彩表現及細緻度，都有高水準表現。與iPhone 12
  Pro比較，iPhone 13 Pro在複雜光源及夜景模式之下，圖片的清晰度與降噪表現都有不少提升。值得一讚的是，夜間模式對白平衡的修正，令拍攝效果更討好。▲廣角鏡色彩還原度極高▲拍攝牆壁亦能表達出應有的質感▲ISO 640 亦有細緻表現▲iPhone 12 Pro 拍攝▲iPhone 13 Pro 放大看相片更清晰細緻▲iPhone 12 Pro 在極暗環境，以夜景模式作 3 秒長曝拍攝▲iPhone 13 Pro 以相同模式拍攝，相片白平衡修正，細緻度與雜訊處理表現都更勝一籌下一頁為超廣角鏡與遠攝鏡測試",2021/09/24
['iPhone 13 系列開箱 (連影片)：看看跟上代有什麼不同'],https://www.dcfever.com/news/readnews.php?id=31503,文：TonyiPhone 13系列今日正式推出，為大家詳細測試之前，先送上開箱文，讓大家看看包裝設計與機內配件與上代相比有什麼不同。盒面沒有包上膠膜iPhone 13系列包裝上與上代最大分別，就是盒面沒有包上膠膜，無疑為環境出多一分力。盒背上下有兩條封條，將它撕開就可以打開機盒。日本製手錶品牌 TACS，雙鏡頭相機設計！錶匠親手裝嵌！！▲盒背有兩條封條▲將封條撕開就可以打開機盒盒內都是沒有充電器打開iPhone 13系列的包裝盒，機背會呈現在用家眼前，而機面亦有一張白色貼保護。包裝盒內跟上代一樣，都是沒有充電器，只設有 USB-C 插頭的 Lightning 線、更換 SIM 咭工具、Apple 標誌貼紙及使用安全說明。▲打開 iPhone 13 系列的包裝盒，機背會呈現在用家眼前▲機面亦有一張白色貼保護▲USB-C 插頭的 Lightning 線▲還有更換 SIM 咭工具、Apple 標誌貼紙及使用安全說明iPhone 13系列的包裝跟上代同樣簡潔，個人認為 Apple 可以將機面的白色貼，改為對用家有實用價值的機面保護貼，那既可環保不會做成浪費，對用家而言，又可為一眾用家折省另購保護貼的費用。,2021/09/24
['iPhone 13 系列兩個因素很大機會炒燶'],https://www.dcfever.com/news/readnews.php?id=31480,"文：TonyiPhone 13 系列的炒價，除了果農關心之外，也是大家茶餘飯後的話題。想知iPhone 13系列有沒有炒賣空間，其實留意收機商人轉手集中地────中國的新聞，會有更準確的分析。iPhone 13系列在中國，亦跟香港一樣，在 9 月 17 日接受預訂，當中原來有兩大因素，或成為iPhone 13系列炒燶的原因，大家會不會因此「Cut 單保平安」呢？旗艦級三頻路由器 新一代 Orbi Wi-Fi 6 三頻 Mesh WiFi 網絡系統！拼多多用券購買即減 500 人民幣iPhone 13全系列在中國網店拼多多推出優惠，全系列iPhone 13都可搶優惠券，用家持優惠券買機，機價即減 500
  人民幣，變相iPhone 13已經「破發」(即開賣價低於原本定價)，令中國與香港之間的售價差距減少，因而影響本地的回收價。京東送 Apple Care+另一中國網店京東優惠更多，在 9 月 17 日至 26 日活動期間，在 Apple 產品京東自營旗艦店預訂iPhone 13系列手機，都會獲得 Apple Care+ 服務，變相有二年原廠保用。由於iPhone 13的 Apple Care+ 服務在中國，定價由 1398 至 1798 人民幣。雖然這個優惠都是以搶購方式進行，但已是一個警號，在中國買iPhone 13系列，其實不會比香港貴很多。都有利好因素雖然以上消息都是傾向說明iPhone 13很大機會炒燶，不過都有一個利好消息，就是iPhone 13 Pro與iPhone 13 Pro Max的 512GB 與 1TB 版本，在中國非常搶手，現在出貨期要等待至 11 月，或令這兩機的高容量版本，在開賣初期可以獲利而回。資料來源：網易、ITHome",2021/09/20
