Post Title,Link,Content,Date
[心得] iPhone 13 Pro MAX 非人為損壞送修心得,https://www.ptt.cc/bbs/iOS/M.1654323271.A.32A.html,"Content：6/3時早上剛起床，滑約5分鐘手機，發覺手機異常發熱（體感超過50度）於是緊急關機，結果關機後依舊在持續發熱，決定去Studio A 官方授權維修中心送修 到目的地時手機是處於關機狀態，但依舊在持續發熱店員告知非人為才有保固，否則就要等報價才維修，並填寫聯絡資訊等。 6/4（今天）剛睡醒就收到已修好的電話到現場服務人員說除了鏡頭和螢幕其他部分全部都換新的看了下維修單並當場檢查一下外觀就結束了順帶一提好像被判定非人為所以免費但保固部分沒有變回一年，我去年首發買的所以剩下約4個月 平時手機的使用習慣，IOS有最新版會馬上更新到最新版（非Beta），事發當天是15.5版睡覺期間不會充電，且不會邊充邊玩，事發當天起床摸手機也是冰的，確定是滑約五分鐘才開始異常發熱  心得：怕爆好險沒有爆炸，另外這次的重點是關機後還在發熱，才想說發文分享心得第一次發文就獻給蘋果了  ; Comment：應該是主機板漏電了 是不會爆炸啦。我也13 pro max 更新到15.5滑一滑也會發燙。某牌就要吃冷筍了。本來就不會變成一年保固啊，就算是換整新機，保固。期限也是開通後一年。資料還在 歐。整新機有三個月保固不是。我記得原有保固超過三個月就照舊 不到三個月就補到。三個月。照你那樣說,過保前一直去換,不就一直延保。為啥保固時間要更新？不就開通時間開始算一年。有換任何零件就保固90天，舊有保固比較長就照舊。有本事能一直換成功，我也是佩服。現在蘋果很嚴格的 沒問題基本不會換零件。所以蘋果有說是什麼問題嗎？。蘋果沒說什麼問題，只說幫你處理到能開機。最後連主機板都換掉了。前幾天遇到一樣問題，但是是自動關機，後來按+-pow。er鍵才開，不知道你當時有沒有嘗試看看，或許就不。用拆機了。。保固變回一年是什麼概念@@",2022/06/04
[問題] iPhone 13 pro max MagSafe透明殼詢問,https://www.ptt.cc/bbs/iOS/M.1654262116.A.048.html,Content：手機是使用iPhone 13 pro max手機殼用的是原廠皮革保護殼想購入一個可以使用MagSafe功能的透明手機殼本來猶豫想買官網的 只是下面沒有包覆所以想請問大家有沒有推薦可以使用MagSafe功能的透明殼謝謝; Comment：Switcheasy 但是黃很快。滿不容易黃 推試試看。我自己是買磁圈來貼而已。我是買綠聯 13 mini的 吸原廠magsafe充電器很緊。https//i.imgur.com/GgzpLtU.jpg。原廠的很不耐摔，每摔必裂，前後壞了兩個，殻有裂。痕但手機倒是沒事。。Otterbox 或 casetify。本來想推薦spigen的 但是國內賣太貴 不建議買。推moshi的透明殼。Phonerebel。推綠聯 磁力比原廠強。原廠皮革或矽膠的不能MagSafe嗎？。原廠的真的很不錯，下面少一塊還可以摸摸裸體機身。，目前用了一年都沒黃。Spigen 用了八個月，沒變黃。我也用Spigen兩個月，覺得還不錯用。。最服貼的透明殼是哪種。原廠的用到現在都沒黃。。感謝告位大大 不過Spigen國外買真的好便宜啊...。原廠防護力稍微弱一點，可是真的不易黃滿不錯的。Overdigi aurora v2 MagSafe。原廠很垃圾。問我就對了，我超愛買magsafe殼。目前手感最好的是Moshi Arx這款 收邊也讚。另外還買了圖拉斯的 就一般般。請問有人買過air jacket hybrid那款嗎？。另外，之前買過speck超厚又很重 不推。倍加能的我覺得還可以 就是有點重。之前貪小便宜半價購入過，不推薦還是皮革的好看。蝦皮隨便四角氣囊都沒差。原廠不錯但會滑。Spigen 保護力和服貼度真的不錯，我都趁官網有活。動檔期才買 比較划算，像最近618有活動滿兩千折6。18，超省,2022/06/03
[問題] iPhone 13 pro max網路斷斷續續,https://www.ptt.cc/bbs/iOS/M.1652417801.A.1B8.html,Content：機型名稱：iPhone 13 pro max系統版本：15.4.1問題描述：自從升上15.4.1之後我的i13pm網路就會斷斷續續，斷網路時就像開飛航模式一樣完全沒訊號，幾秒後又馬上恢復正常，一天會連續好幾次使用手機時被我發現，偶爾又沒有這問題，這是因為版本還是電信公司呢？本人使用台哥大5G吃到飽是VIP，懇請板上各位大大解惑，有人有跟我一樣的問題嗎？; Comment：要不要先打去台哥大詢問訊號？還有連wifi也會嗎？。wifi不會。滿常是晶片或系統問題，重新開關機或是重置網路看看。我也是，請電信重置網路還是一樣。https//i.imgur.com/Faep5C9.jpg。最近才發現 12promax 15.4版有這情況。哎 我的13pro也是這樣,2022/05/13
[問題] iPhone 13 Pro Max連Wi-Fi問題,https://www.ptt.cc/bbs/iOS/M.1649254743.A.2E0.html,Content：iPhone 13 Pro Max連Wi-Fi 後網路速度很慢iOS：15.4.1用iPad Air 3同時測試，iPhone的下載速度大概只有iPad的1/3重置網路設定、關機、關家裡的分享器都做過了還是一樣請問有人也有遇到相同問題嗎？謝謝～～; Comment：你家分享器哪一台？。中華電信那台，沒另外接。我也發現有這個問題 跟你一樣。說起來前天下載app也很久…。我也13 pro max連wifi。換個雙頻的wifi分享器，現在不到1000就有了。。t大跟e大後來問題解決了嗎？。j大，應該不是分享器的問題，不知是手機本身的Wi-F。i 問題，還是iOS韌體問題。沒解決哦  家裡的wifi機華碩4000元的  網路中華電信。100M。分別裝一下wi-fi sweetspots 看一下連接速度有沒有。異常？,2022/04/06
[問題]  iPhone 13 Pro MAX電池健康度,https://www.ptt.cc/bbs/iOS/M.1647226760.A.6E3.html,Content：機型名稱：    iPhone 13 Pro MAX 256GB系統版本：    15.3問題描述：不知道是不是錯覺，這幾天剛買的，感覺電池不太健康大部份時間在用YouTube、巴哈姆特、PTT而已沒玩遊戲，沒多久就掉1%大約使用2.5個小時+待機14.5小時耗電19%算正常嗎？「設定」裡的「電池健康度」一定準嗎？目前是100%https://i.imgur.com/SgyEv2H.jpghttps://i.imgur.com/wBEsr4O.jpg; Comment：建議賣掉。同樓上。很省電了吧~如果是12PM可能只剩一半了!。你的感覺最準 請換手機。我的13 pro max第一天開賣買的  現在只剩95% 應該。沒人比我慘。循環次數比較重要。有夠耗電 該換手機了。謝謝各位的回覆，大概懂了。才用那麼少時間  還沒有維持在100%  建議換掉。趕快退貨換一支吧。我的也是首批Pro Max 還有100%。全新的手機。其實電池健康度都是超過100% ，大概103。～105%。 但系統只能顯示100%。。壞了樓下收。建議退貨，竟然會掉電。爛透了。我首批13 pro max 還是100%。同意一樓 建議賣掉。建議不要用iphone。這樣我已經要充一次，笑死。剛買。我15.2更新到15.3.1續航少了10%以上給你參考。15.3真D爛 希望15.4快點出來。明天凌晨01：30 15.4會出來 可以更新看看。回P大，首批13 Pro Max剩下91%。首批13 Pro Max，版本15.3.1，電池健康度100％。更新版本   健康度就少10%以上   也太衰了吧。健康度文看一次噓一次。怎麼這麼氣。這種電池很不健康。建議鎖在保險箱裡不要用。你可以跟上一篇用mini的一樣 再買一支新的。剛用前幾天電會噴很快，之後就正常了。瞭解，謝謝。9/24 入手，現在健康度 99%。開賣當天入手 現在健康度99% 都懷疑有沒有問題了QQ。你是在炫耀嗎！雖然我的也差不多，嘻嘻。因為之前看很多影片在推這支的續航力，但實際用起來。沒想像中厲害，加上很久沒用新手機，所以不確定這樣。的耗電速度是不是有問題。你要不要拿舊手機出來同樣方法用一下比較一下。續航力是用比較的，你可以實驗看看再來跟我們分享。再買一隻一樣的比較看看？！,2022/03/14
[問題] iPhone 13 pro max手機殼哪個較不滑？,https://www.ptt.cc/bbs/iOS/M.1645844866.A.408.html,Content：機型名稱：iPhone 13 Pro Max（建議但不強制使用正確名稱）系統版本：15.3.1(設定→一般→關於本機→版本)問題描述：小的之前使用iPhone 8 plus最近幸運抽到iPhone 13 Pro Max，直接升級有爬文買了保護殼Solide 維納斯 FX但是使用起來覺得單手握起來滑滑的不知道是否大小差異，所以不習慣？！目前還有三名選手，想請教前輩們哪個比較不滑？選手一：極空戰甲六代選手二：  JTL Hybrid Cushion DX選手三：  Moshi iGlaze XT這三款好像都有後面墊高，讓手機不會翹翹板功能因為預算和習慣問題，只打算再買一個本人手不大，不常流手汗，但也不裸機希望能推薦這三款，哪個單手握起來側邊平面比較不滑的？謝謝前輩們如果覺得還有其他也是不會翹翹板 和 側邊不滑的也可以接受謝謝各位大大; Comment：Catalyst。2，側邊有微凹槽設計，握起來更服貼。原廠矽膠手感好。又不滑。2 側邊有凹槽比較不滑。矽膠別推了 放口罩放跟拿都很黏。Moshi吧 用一兩年後還能跟他換一次新的。矽膠材質超黏很卡超級不推。原廠矽膠阻力感很大單手操作完全不會滑，但不喜歡的。人確實就會覺得黏、卡，我自己是一直都覺得非常好用。。直營店都有展示你可以去試一下，還可以順便挑顏色。原廠皮革也不錯。https//i.imgur.com/gO4BStr.jpg。唯一推薦UAG頂級特仕。盤子才買Catalyst。Caudabe Sheath。原廠矽膠手感最好。原廠矽膠。推Hoda柔石，四角也有墊高可以平放。JTL。原廠矽膠粗用很適合 完全不黏 原廠皮革反而是聚會。交際場合比較適合。speck。原廠矽膠殼不錯 我買了兩個。原廠矽膠手感好、皮會黏。airjacket霧面。原廠矽膠。唯一推薦原廠矽膠。我超級多手汗又愛換殼。自從換了hoda 柔石後再也沒換過了。完全不滑。原廠矽膠。恭喜。我用原廠矽膠、我老婆用極空戰甲我覺得都不錯。Caudabe推。imos 不錯。caudabe 手感好。推原廠矽膠。原廠矽膠 耐用。原廠矽膠再+1。推caudabe。hoda。維納斯超滑～原廠矽膠很止滑。隔壁版有人在賣UAG 或許可以看看。Catalyst 裝完爆寬。推imos。平放平整度 止滑 原廠矽膠真的很推。我買switcheasy 覺得不錯。Catalyst怎麼了我用覺得很好，靜音鈕也不入塵。2感覺放口袋也超卡。Caudabe Sheath 推薦。原廠矽膠不會橇橇版。catalyst 裝imos藍寶石可以裝此家的殼嗎？。一直都覺得uag 太難看了。推overdigi鑽石邊框殼 採用可植入人體矽膠所以不會。滑手很好握。認真回原廠矽膠 跟上面3款完全不是一個等級的東西。…. 上面三款老實說都有點一次殼（用過一次下次就。會換牌子了） 原廠矽膠是用過就回不去了 但也有些。缺點就是深色很黏毛。不懂catalyst 盤在哪？市面上有相同旋鈕不入塵的殼。嗎？ 說別人盤比較高尚就對了？。原廠手感真的很好。Catalyst 一生推。奶油手拿JTL沒滑過。原廠矽膠+1。原廠矽膠常拆的話容易裂。原廠矽膠一直在改版 13跟12的質感就完全不同了。跟12矽膠比 13矽膠比較滑順比較不黏。推 UNIU Dapper ！ 輕薄不滑手 ～ 用了快一個月沒。什麼拆，也沒入塵。。https//i.imgur.com/3Hs3Y70.jpg。這一代原廠矽膠殼感覺有改良。之前拿12ProMax的很快。就變油變黏手，這次換13Pro後拿幾個月了還是很乾爽。都要買殼了直上うあg沒有之一吧。UAG。當然是原廠皮革啊，皮質都黏踢踢的，絕不滑手。。唯一推薦UAG,2022/02/26
[心得] iPhone 13 Pro Max黑占盾手機殼到貨分享,https://www.ptt.cc/bbs/iOS/M.1642755267.A.428.html,Content：趁著年節荷包滿滿的時候把舊的XR 換掉本人不知道雙手哪裡有問題，非常會摔手機常常拿起手機不是抖一下就是沒抓穩，就摔了= =所以保護貼跟手機殼是一定要裝的，我無法體會拿裸機的爽感保護膜是直接沿用XR的牌子MOZTECH 防窺晶霧貼霧面沒有指紋，也摔了超多次才有裂痕（誤https://i.imgur.com/3IHnWhZ.jpg訂手機的同時就把膜訂好了，到貨可以馬上貼而且是懶人貼，很適合手殘的我手機殼去年黑五沒有跟到casetify特價再看到金額就不是很想入（傲嬌）就選同事推薦的黑占盾，也是軍規防摔巴拉巴拉那些有鏡頭貼跟立架可以一起選，也可以客制最後是選了懶懶怪厭世文字背殼+鏡頭貼https://i.imgur.com/gWx0ZU9.jpg其實當初我一直在想要客製化姓名還是懶懶怪後來想讓大家都知道我名子好像怪怪的，就懶懶怪拿高一點看大概是長這樣，跟一般背板差不多https://i.imgur.com/iroGjyl.jpg看懶懶怪這樣躺好療癒，我也想一直這樣躺XDDDDhttps://i.imgur.com/jwVojvR.jpg選擇跟殼同色系的鏡頭貼才不會有違和感近看大概長這樣https://i.imgur.com/pW44LRP.jpg真的是金屬的，不是那種偽金屬，不然我會想退貨https://i.imgur.com/6CXujHB.jpg都裝好的樣子中間的字竟然擋到蘋果Logo有點啊砸才花了錢又換也不甘心，只能轉念想符合我選的字不完美才是人生（煙～）鏡頭那邊的立架，先不管好不好立如果沒有看官網或說明書一度以為我拿到瑕疵品看產品外殼就覺得應該是打開即可立https://i.imgur.com/w29fCUv.jpg結果我一打開整各與殼分離！！WTF？？？！！！後來看了說明書才知道是拿起來再插反著插回去https://i.imgur.com/EKdKQb8.jpg（好～我就是沒見過世面）https://i.imgur.com/YS2eCRQ.jpg雖然我覺得這樣很雞肋，但可以立就好應該是有什麼設計原理之類的吧立起來是滿穩的，不會晃動除了保護鏡頭外也算是善加利用https://i.imgur.com/b97ZvNS.jpg我有額外買按鍵，跟鏡框立架的顏色才不會過度粉嫩，少女心帶一點個性在https://i.imgur.com/UO8kj9s.jpg其實打算把箱子丟一丟的時候看到，才想到我有加購按鍵XDhttps://i.imgur.com/49ATQQ4.jpg兩種我認為都不錯看，有不同感覺不過裝上後基本不太會去注意到顏色所以我不會再加購不同顏色的反倒是鏡頭貼，我認為可玩的顏色就很多了而且是裝上就可以很容易被看到的（高調）有點小不完美之外整體來說還不錯，鏡頭貼增加了質感握持感還不錯，不卡手，一旦裝好真的有夠難拆開鐵了心不讓你換殼～哈哈哈哈我會想要單獨買背板來換，不會再買透明的; Comment：粉紅色是降低質感ㄅ。醜的沒話說XD。有點醜…尤其加上那個中文字。另外那個鏡頭支架使用 看起來旋轉好像會直接摩擦到。手機背面？。鏡頭框變支架好方便，我也有買這個，好用～。這個粉好好看。粉色直接毀了石墨黑的質感…。這造型我不行。粉色推。請問背板會沾指紋嗎。醜到懷疑是我審美觀有問題還是…。不小心推到。醜。第一次看到這種鏡頭框支架 這個會立得穩嗎??。這粉色好看啊 但懶懶怪好厭世XDD。無惡意 但從保護貼 殼 鏡頭貼 滿滿的可吐槽的地方。真的是妳開心就好了 不批評了。防窺多餘 鏡頭貼更是多餘 殼絕對不值那個價且難看。花一筆錢把手機搞成這樣 I 服了U。看到各位的反應我就放心了。背板改霧面的也不錯。個人開心最重要啦XD。蠻特別的...但...質感...。21樓壞壞哈哈。醜 到 爆。還  蠻  醜  的  醜  爆  了。真的普通。我是用紫色的殼配藍色機身，按鍵是粉紅色XD。黑占盾滿牢的，之前摔在地上完全沒事。好不好看到底關大家什麼事 哈哈哈。討論區不就是給人討論的？樓上比較適合私人fb或是。ig。醜到最高境界 審美觀非常獨到。不忍噓 真的有點醜,2022/01/21
[問題] IPhone 13 pro max手機殼推薦,https://www.ptt.cc/bbs/iOS/M.1642067983.A.51D.html,Content：因為工作關係常需要搭大眾運輸通勤車上人擠人從口袋拿手機很常被撞到掉地上用過朋友推薦的犀牌跟C牌手機殼覺得還好（設計OK但ㄎㄠ到就掉漆）也用過399夜市牌跟99淘淘貨沒碰到一個覺得滿意的想請問還有什麼推薦的品牌嗎需求：1.防滑2.耐摔3.設計簡約就行 可有一點小花紋4.可客製化（盡量）5.耐髒6.價格不拘; Comment：幹麻放口袋 再好的殼一直摔也會壞。手機殼唯一支持spigen。手滑就手滑不要扯人多。原廠矽膠防滑效果好到讓我一直口袋外翻。UAG。推uag頂級特仕。在捷運上很常被撞到手機掉下去應該是去醫院掛號，。這不是正常人會發生的。C開頭那麼多。Devilcase不錯 我買ㄇㄚˊ幾的圖案。C 牌是 CHANEL 嗎？。Caudabe。casemate 價格偏高 但我買了覺得頗值得。Caudabe sheath手感超好，8用到13。我銀白機身搭配Uniu neat雪白色 好看！。spigen真的不錯。spigen淘寶買便宜。Spigen不錯不過我的已經變黃了。Spigen+1。uag civilian。devilcase質感好可客製化 推。原廠有用過嗎 如果想多一點設計感 索力得也可看看。看他們官網是推99.9抗菌背板。https//i.imgur.com/ZmDbPEL.jpg。Spigen。Ringke 搭配掛繩。掛繩掛起來就好了。Devilcase跟垃圾一樣 用沒幾天就自己斷了。犀牛盾 好市多 經濟實惠。spigen便宜有質感好用。TOYSELECT、Dream case、Solide。UAG。你有用過本土製的品牌嗎？現在很多台灣的手機殼都。很好用 甚至比日製耐摔 價格也合理。推Itskins耐摔還有抗菌 發明者是極限運動愛好 可以。參考看看。有保護殼是耐髒的嗎？。犀牛盾可以到蝦皮買 便宜滿多的。手機店透明殼就很好用了啊。裸機搭Apple care？。Hao衝擊盾。唯一支持solide 用了4年多的邊角 摔了n次還是穩。https//i.imgur.com/VroOUwj.jpg。Dbrand grip,2022/01/13
[問題] IPhone 13 Pro Max 超廣角,https://www.ptt.cc/bbs/iOS/M.1641608310.A.F7A.html,Content：最近有時會切換到0.5x 錄影 重撥影片偶會看到一條光影 不確定是否正常如下是故意對地板60公分左右 1x 和0.5x的對比想請問下這情況是依照當下的周遭條件有差異 還是本身鏡頭問題？1xhttps://streamable.com/ewz9dv0.5xhttps://streamable.com/8do3bn; Comment：回放推。該不會有保護殼或鏡頭貼,2022/01/08
[問題] iPhone 13 Pro Max照片存很久,https://www.ptt.cc/bbs/iOS/M.1640249434.A.598.html,"Content：機型名稱：iPhone 13 Pro Max（請使用正確名稱勿簡稱）系統版本：iOS 15.1.1(設定→一般→關於本機→版本)問題描述：拍照完照片會模糊大約10-20秒才清楚，有時候拍完跳去其他app，照片也都不會即時出現出去玩的時候要檢查有沒有拍成功就要等他跑完，真的很煩記得以前剛買不會這樣，忘記什麼時候開始這樣的。容量只用了60/256GB，應該不是記憶體問題以前用iPhone 11 Pro都不會這麼扯，全世界最快的iPhone 13 Pro Max處理能力這麼這樣？重開過也沒用，求解; Comment：更新看看？我跟你同一隻沒有這個問題。12pro15.1開始也會這樣 拍完都要等很久才出現 以為。是容量快滿。現在15.3一樣這樣。計算攝影。我的頂多跑3-5秒就好了 用原廠相機會有deep fusion。要跑。13pro，同上3秒左右，會不會是有開到省電模式？。夜拍嗎。不是省電 也不是夜拍 還是不知道原因。iCloud 嗎。我的拍完處理只需1秒。重置就好了。重置是重置哪一個呢？最少app幾百個都要重新整理分。類資料夾嗎？。IPhone 7 Plus 更新後也發生一樣的狀況。12pm ,ios15.2，沒這問題，跑比較久的都是夜拍。。從有deep fusion開始就會遇到，最後相片還不見…。7 plus剛剛更新到iOS15.2後好一些了。雖然還要等一。下，但比15.1.1快多了。。12 pro 512g +1。我以為更新會好，結果15.2也一樣qq",2021/12/23
