Post Title,Link,Content,Date
['#微開箱 ROG Phone 6'],https://www.mobile01.com/topicdetail.php?f=588&t=6636976,['終於有時間來拍個開箱配件：原廠充電頭+充電線+附贈的手機殼正面背面超炫 那個敗家之眼太猛了整個電競感爆表(我很激動！！)側面底部有保留耳機孔遊戲實測拿到馬上先灌我的傳說對決開X模式玩了一小時吧整體來說不太會燙手 就溫溫的而已不愧是ROG 我直接拿MVP音感的部分 我沒有接耳機直接聽本體喇叭也很爽這次微開箱手機外觀下次再跟大家分享風扇XDD'],2022-08-03
['ROG Phone 6 更新(8/2)'],https://www.mobile01.com/topicdetail.php?f=588&t=6636507,['收到更新了版本號：32.2810.2206.97檔案大小：62.01MB內容：1.優化系統性能目前感覺沒啥問題'],2022-08-02
['Rog phone 6 散熱風扇的製冷晶片疑問？'],https://www.mobile01.com/topicdetail.php?f=588&t=6634335,['我手邊有ROG Phone6的散熱背夾還有黑鯊2 pro散熱背夾，兩款都有製冷晶片，黑鯊背夾的散熱區域冰冷到會凝結成水，像在冰箱一樣的冷，但ROG PHONE6 的散熱背夾開急凍模式過一段時間拔下來，用手去體感那個冰涼程度，只有涼涼的不到冰箱凝結成水的程度，這是正常的嗎？應該可以說只有風冷的程度，怎感覺差那麼多，大家的看法是如何呢？手上的散熱背夾也是一樣嗎？'],2022-07-30
['ROG Phone 6 目前有什麼手機遊戲不能駕馭嗎?'],https://www.mobile01.com/topicdetail.php?f=588&t=6633823,"['以ROG 6代的散熱設計跟強大風扇來說玩任何遊戲都可以幀數非常穩定吧ROG Phone 6 Pro 電競手機評測：高通S8+ Gen 1加持、165Hz更新率螢幕滑順最多人測試的就是原神了 還有APEXASUS ROG Phone 6實測""測試前將畫面&幀率調至系統容許的最高，整個遊戲過程中，位於兩邊的超音波 AirTrigger 肩鍵繼續提供到相當靈敏的操作感受，也沒有明顯的掉幀情況約 20 分鐘的遊戲過後，機身溫度只有輕微升高，但僅為變暖的水平而已，內置的溫度監測維持在36°C～37°C 左右，對比起上半年其他 S8 Gen1 機種，ROG Phone 6 釋放的熱量明顯有改善。""手遊的網路實測評價都很不錯看來風扇的散熱作用 在遊戲體驗上是非常成功的關鍵ROG Phone 6沒有什麼遊戲不能駕馭的吧？']",2022-07-29
['白色ROG phone 6微開箱'],https://www.mobile01.com/topicdetail.php?f=588&t=6627978,['昨天下午通知我去拿的我去貼保護貼時店員說要拍照 說這是他們第一次貼到rog phone 6原廠黑色保護殼這是另外買的惡魔防護殼超音波鍵有空出來可以觸碰'],2022-07-19
['ASUS ROG Phone 6 Pro / 黑鯊5 Pro比較｜決戰電競之巔！'],https://www.mobile01.com/topicdetail.php?f=586&t=6625746,"['繼月初華碩發表了 ROG Phone 6 系列，也是首款將在台灣販售的 S8+ Gen1 手機後，無非也要跟上月登場、同屬電競旗艦的黑鯊 5 Pro 來做個比較了。雖說雙機在核心處理器、螢幕與充電有所差異，但在提供的遊戲功能、散熱手段上大致相同（但成效還是有差啦）的狀態下，相信大家也很期待雙機在遊戲、效能甚至是拍攝上的表現。本篇也將以 ROG Phone 6 Pro 與黑鯊 5 Pro 兩機，在外型、螢幕、附屬配件，再到遊戲效能、散熱與充電上做個較為全面的比較，尤其是在雙機同規格版本下，有著將近 9,000 元的價差，也希望本篇能給有在觀望的朋友們一個參考。（附註下圖黑鯊風扇是拍攝用，真的使用是要插線的）本次因應對比的關係，對於雙機比較細項的規格部分不會多加攥寫，有興趣的朋友可以參考以下的單篇測試：ASUS ROG Phone 6 Pro體驗｜首搭無線製冷片智慧風扇的主動式散熱王者！', '黑鯊5 Pro體驗｜趨於成熟、散熱特化的電競旗艦之選', '▌外型與配件', '首先自然要從電競手機最抓眼的外型開始介紹起，ROG Phone 6 Pro 有別與上一代的賽博龐克外型設計，本次則是以太空為思考點，其實也有些類似 ROG Phone 5 Ultimate 的設計感受，重點自然也是本次升級為全彩的 ROG Vision 第二螢幕（上方還有一個 Dare To Play小燈），可在六大使用情境搭配超過 60 以上圖示，並可自由選擇文字、或是加入圖片做客製化，機背也與螢幕一樣，是使用康寧大猩猩玻璃 Victus 材質。黑鯊 5 Pro 則是以所謂「量子光能」設計，以 AG 磨砂工藝並搭配康寧第五代大猩猩玻璃，營造出霧面同時會有縱向的大面積炫光效果，整體設計上也用了相當多幾何線條，與稿紙般的格紋設計，帶出比較機械的科技感受；然而在燈效部分，黑鯊 5 Pro 就僅有一個小區域會發光，整體是比較走低調路線的。保護殼部分，ROG Phone 6 Pro 所附的為硬殼，並在 ROG Vision 上做了大面積挖空，以及左上角的敗家之眼 Logo。黑鯊 5 Pro 則是軟質材質，並在燈效處做個小小挖空，視覺設計上則是以橫向設計為主，與裸機縱向的美術設計不大相同。配件部分，ROG Phone 6 Pro 本次最大的殺器，就屬自家首個內建製冷片的 Aeroactive Cooler 6 動力風扇，號稱可降低 25 度的機背溫度，同時也將實體按鍵從前代的兩個增加到四個之餘，最大的亮點就屬不需要接線，可透過手機側面的連接埠直接供電，但電量的消耗也是個隱憂。另外，有別於黑鯊 5 Pro 需要裸機才能搭配風扇做最完整的散熱方式，ROG Phone 6 Pro 這邊也為了風扇特別做了一個中央挖空的專屬保護殼，這點小心思也能看出廠商的用心之處。風扇+保護殼風扇保護殼至於上次開箱時還沒介紹到的黑鯊冰封散熱背夾 2 Pro，也一樣是採製冷片做為散熱手段，不過需要額外接上 USB-C 線做供電，往好處想就是支援各家手機，壞處就是如果沒有行動電源或是插座，就沒辦法使用了。ROG Phone 6 Pro 機身尺寸為 173 x 77 x 10.3mm，官方重 239g。以電子秤測量，裸機得出 238g，一般保護殼為 258g，風扇保護殼則是 253g，風扇本體則是 117g，整體來說其實不算輕巧。保護殼重風扇保護殼重手機淨重黑鯊 5 Pro 機身尺寸為 163.86 x 76.53 x 9.5mm，官方重 220g。同樣以電子秤測量，裸機為 225g，保護殼狀態則是 243g；散熱背夾 2 Pro 淨重則是 92g。單機重量含保護殼重量ROG Phone 6 Pro 配置三星 6.78” E4 AMOLED 面板，採不開孔的設計。並有 FHD+ 395ppi 解析度、5 至 800nits 亮度、峰值亮度 1,200nits、對比度 1,000,000:1 等基本特色外，還有最大亮點的 165Hz 更新率螢幕、720Hz 觸控採樣率與HDR10+、Delta-E<1、111% DCI-P3 色域等。另外，ROG Phone 6 Pro 也是採雙前出音的立體聲喇叭配置，相較黑鯊 5 Pro 等多數手機是採中框的側出音來說，會有相對更棒的聲音體驗。黑鯊 5 Pro 配置的是 6.67 吋中置開孔 OLED 螢幕，但不是採 E4 材質，而是華星光電的 10bit 色彩面板，並支援 144Hz 更新率、720Hz 觸控採樣率、HDR 10+、DCI-P3、MEMC、5,000,000:1 對比度等規格。（亮度官方沒有公布）首先以圖片來比較一下，可以明顯看到 ROG Phone 6 Pro 個頭較黑鯊 5 Pro 大與長，在雙機都是 100% 亮度的狀況下，可以發現在整，尤其是 Rina 皮膚的表現，ROG Phone 6 Pro 的亮度是來得比較高的，色溫看起來倒是差異不大。HDR 影片部分，這邊也以 Youtube 平台的影片做範例，畫質也是都開到最大的 2160p，可以看到在 HDR 的內容底下，ROG Phone 6 Pro 色溫會來的暖一些，但差異還是在亮度上，第一組黑鯊 5 Pro 的差異可以說相當大。Youtube HDR範例Youtube HDR範例這邊也稍微講一下電競手機幾乎會有個操控機能，首先 ROG Phone 6 Pro 這邊除了橫向上方的兩個超聲波按鍵，再搭配 Aeroactive Cooler 6 動力風扇時後方還有四個實體按鍵可用，操控手段相當多元。另外，在超聲波按鍵這邊還有共九種手勢，以及十種體感控制方式，以電競手機來說，幾乎是目前頂配的表現了。另外，超聲波按鍵也能指定在一般使用時當作快捷鍵或開啟特定 APP 等使用情境。黑鯊 5 Pro 這邊則是在橫置上方做了兩個升降的實體壓感第二代磁動力升降肩鍵ˊ，相較 ROG Phone 6 Pro 的超聲波按鍵來說，實際的手感可以說好非常多.....在一般使用情境下，黑鯊 5 Pro 的肩鍵可透過升降與按下兩個動作，來觸發手機的操控機能或是開啟 APP 等，搭配上實體的操控感，真的相當好用。升降肩鍵升降肩鍵至於遊戲部分，升降肩鍵共可做出單壓、雙壓、連點、多重點擊與觸發巨集五個行為，同時在遊戲中還多了左右壓感螢幕，可藉由點左右兩邊的螢幕範圍，精準去觸發想要的按鍵，對於手小的人來說相當實用。▌效能與散熱', '最為重要的效能部分，ROG Phone 6 Pro 配置高通 S8+ Gen 1 處理器，本次測試的版本為最高階的 18GB LPDDR5 Ram + 512GB UFS 3.1 組合。黑鯊 5 Pro 則是高通 S8 Gen 1 處理器，本次測試的版本為 12GB LPDDR5 + 256GB UFS 3.1。其餘規格這邊就不多做描述，可至單篇的測試觀看。首先是安兔兔 V9.3.9 的跑分，雙機這邊都是以配置風扇的方式做跑分。ROG Phone 6 Pro 得出 1,111,821 分，溫度上升也僅有 2.2 度。至於黑鯊 5 Pro 跑出的成果為 1,040,283 分，相較先前裸機的成績 1,028,807 高一些外，原本裸機溫度上升高達 13.2 度，掛上風扇後也降低為 9.2 度。ROG Phone 6 Pro安兔兔黑鯊5Pro安兔兔3DMark 壓力測試這邊，ROG Phone 6 Pro 分數區間在 10,348 至 10,271 分間，穩定性 99.3%，最高溫 39 度；黑鯊 5 Pro 加裝風扇後的表現好很多，來到分數區間 10,043 至 9,304，穩定性 92.6%，最高溫來到 44 度。 原本為 9,996 至 7,833 分間，穩定性 78.4%，最高溫 58 度。ROG Phone 6 Pro 3DMark壓力測試黑鯊5Pro 3DMark壓力測試散熱表現部分，本次也將對無風扇裸機，以及加掛風扇，搭配不同的效能模式做個對照。而針對風扇的整體規格上，雙機都是採製冷片搭配風扇排熱的方式進行。同時雙機內也有不同的散熱機制。ROG Phone 6 Pro 採用的是三明治的散熱方案，搭配中置的 PCB 主機板，新的散熱膏材質氮化硼，以及增大的均溫板與石墨片來做被動式散熱；主動式散熱則是交給製冷片的 Aeroactive Cooler 6 動力風扇。黑鯊 5 Pro 這邊則是以逆重力雙 VC 液冷系統，一樣是採三明治方式，但 PCB 沒有採中置設計，而是以4,323 + 997 平方毫米;，總和 5,320 平方毫米的大面積 VC 均溫版，以及讓冷卻液提升 30% 流動速率，增強 50% 整體導熱性能的逆重力軌道設計之餘，還有以銅合金代替散熱膏的方式做被動式散熱。首先一樣是長時間掛機為主的《天堂W》，這邊先說結論。雙機在裸機的溫度表現上，黑鯊 5 Pro 比起 ROG Phone 6 Pro 高了 3 度，而背夾可測試的最高都是 38 度多，但因應 PCB 機板的位置不同，連帶影響整體的散熱表現；像 ROG Phone 6 Pro 兩側了不起 30 度初頭，但黑鯊 5 Pro 因為 PCB 靠進主鏡頭區域，所以左手握持就會明顯感受到溫度，以溫差來看有 7-8 度之多的不同。ROG Phone 6 Pro 在測試上皆是以最高 165Hz 做跑分，搭配 X-Mode 裸機、X-Mode+ 的酷寒與旁路充電接線的急凍散熱模式做跑分。除了酷寒模式來到 59.64fps，其餘兩個模式皆 60fps 滿幀的表現。ROG165Hz裸機天堂W一小時幀率ROG165Hz酷寒天堂W一小時幀率ROG165Hz急凍接線天堂W一小時幀率對應的溫度部分，ROG Phone 6 Pro 裸機最高溫為中央的 41 度、無接線的酷寒模式則是 34.2 度，兩側握持區 30.2 度，接線的急凍模式則是較高的 37.9 度，兩側則是約 31 度。ROG165Hz裸機天堂一小時溫度ROG165Hz酷寒天堂W一小時溫度ROG165Hz急凍接線天堂W一小時溫度接下來是黑鯊 5 Pro 的表現，以裸機搭配燒雞模式 / 背夾搭配燒雞模式，並都開到 144Hz 做《天堂 W》測試。首先裸機下平均幀率為 59.49fps，搭配背夾則是穩妥的 60fps 滿幀率。黑鯊裸機144h天堂W幀率一小時黑鯊背夾144h天堂W幀率一小時溫度部分，在裸機這邊最高機背溫度來到 44.2 度，最高點可以看到是 PCB 所在的地方。換為背夾運作一小時後，最高溫則是下降到 39.5 度，位置一樣是在 PCB 的地方，至於中央的風扇最低溫為 27.2 度，可見 PCB 置中的重要性.....由於黑鯊 5 Pro 沒有，因此散熱背夾就不是直接對 PCB 做降溫。黑鯊裸機144h天堂W一小時溫度黑鯊背夾144h天堂W一小時溫度再來是重頭戲，也就是《原神》最高畫質搭配 60fps 幀率的測試。一樣先說結論，在裸機的狀態下，ROG Phone 6 Pro 的溫度比黑鯊 5 Pro 低 5 度，感覺好像還好？但黑鯊 5 Pro 可是來到超過 50 度的.....至於裝上散熱背夾後，雙機溫度皆有相當明顯的下降，但 ROG Phone 6 Pro 在降溫的表現上則是贏了黑鯊 5 Pro 9 度，足見 S8+ Gen 1 針對控溫的差異。ROG Phone 6 Pro 一樣以裸機 X-Mode、酷寒與旁路充電急凍模式搭 X-Mode+ 做測試。幀率的表現上，裸機為 55.83 fps，酷寒模式來到將近滿幀的 59.12fps，急凍模式則是 57.91fps，表現已經是目前的頂峰了。ROG165Hz裸機原神半小時幀率ROG165Hz酷寒原神半小時幀率ROG165Hz急凍接線原神半小時幀率溫度部分，裸機時最高為為 46.3 度、酷寒模式最高溫在風扇旁接近 PCB 的 37.8 度，最後急凍模式位置一樣，但溫度降到更低的 33 度之餘，除了裸機兩側溫度飆到 40 度，有風扇加持的溫度基本上都是完全不燙手的區間。ROG165Hz裸機原神半小時溫度ROG165Hz酷寒原神半小時溫度ROG165Hz急凍接線原神半小時溫度最後是黑鯊 5 Pro 以燒雞模式下的進行的《原神》半小時測試，首先裸機狀態下得出 54.76fps，加上散熱背夾後，則是提升至 57.24fps，雖說差了 ROG Phone 6 Pro 一點，但這樣的表現也是一時之選了，重點則是在散熱上。黑鯊裸機144h原神半小時幀率黑鯊背夾144h原神半小時幀率溫度部分，裸機下溫度直接飆到 51.1 度.....當時手已經有點不適的感覺了，建議一定要裝保護殼；至於加裝散熱背夾後，可以看到 PCB 的位置降到 42.2 度，兩側握持的地方則是 38 度左右。黑鯊裸機144h原神半小時幀率黑鯊背夾144h原神半小時幀率電量部分，ROG Phone 6 採用的是雙電芯設計，電量來到 6,000mAh，並有 65W 快充，是以量制勝的類型。反之黑鯊 5 Pro 一樣是雙電芯，不過是 4,650mAh 加上最大 120W 的快充，是拼速度的。ROG Phone 6 Pro充電器黑鯊5 Pro充電器這邊測試的條件都是手機的 50% 亮度，連接 Wi-Fi 並關閉藍牙、定位做 PCMark 3.0 測試。ROG Phone 6 Pro 165Hz 續航來到 10 時 57 分，黑鯊 5 Pro 144Hz 則是 8 時 28 分，明顯可以看到 6,000mAh 的電量優勢。ROG Phone 6 Pro 165Hz續航黑鯊5Pro 144Hz續航充電速度部分，ROG Phone 6 Pro 從 5% 充至 100% 花了將近 40 分鐘，黑鯊 5 Pro 從 1% 開始充，滿電僅花約 ROG Phone 6 Pro 一半的 21 分而已，足見兩機針對電力上的思路是完全相反的。ROG Phone 6 Pro充電速度黑鯊5Pro充電速度', '▌相機與實拍', '電競手機比較會犧牲的相機表現部分，首先 ROG Phone 6 系列配置 50MP Sony IMX766 f/1.9 廣角 + 13MP f/2.2 超廣角 + 一顆微距鏡頭。前鏡頭則是 12MP Sony IMX663 f/2.45 規格，感覺起來是還不錯？但先前單純測試的樣貌來看，超廣角畫質倒是意外的蠻軟.....ROG Phone 6 Pro主鏡頭前鏡頭黑鯊 5 Pro 的相機規格，則是 1 億畫素三星 HM2 1/1.52"" 感光元件 f/1.75 廣角 + 13MP 120 度 f/2.4 超廣角 + 5MP 3-7cm 對焦距離的微距鏡頭，前鏡頭配置 16MP f/2.45 規格。整體規格思路跟 ROG Phone 6 Pro 差異不大，就看 IMX766 跟 HM2 的比較了。主鏡頭前鏡頭細緻的拍攝功能上，雙機提供的相對主打拍照的旗艦機來說不算多，但該有的幾乎都具備了。ROG拍攝介面ROG拍攝模式黑鯊5Pro拍攝介面黑鯊5Pro拍攝模式夜景模式部分最大的差異在於，黑鯊 5 Pro 的超廣角居然沒有夜景模式，這會是一個相當大的硬傷啊.....ROG夜景模式黑鯊5Pro夜景模式人像與美顏部分，雙機對景深的模擬差異不大，但黑鯊 5 Pro 無法透過相簿改變景深強度與對焦點外，美顏模式在人像主鏡頭也不具備外，自定義美顏也僅有一般模式的前鏡頭才能省用。。ROG人像景深ROG美顏黑鯊5Pro主鏡頭美顏（不支援人像）黑鯊5Pro前鏡頭美顏（不支援人像）錄影部分，ROG Phone 5 Pro 最高可錄製 8K 24fps，並有 HDR 影片與最高 4K 120fps 的慢動作支援性，黑鯊 5 Pro 則是最高 4K 60fps，並有最高 FHD 960fps 的慢動作錄製。ROG錄影黑鯊5Pro錄影', '日拍第一組可以到整體的表現上，ROG Phone 6 Pro 色溫較冷，好處是讓人像的膚色比較白皙些，黑鯊 5 Pro 這組膚色就有點偏暖。亮度上則是廣角、超廣角有著不同差異，廣角 ROG Phone 6 Pro 整體亮一些，黑鯊 5 Pro 的感覺是 HDR 作動比較明顯，超廣角 ROG Phone 6 Pro 亮部修正的幅度較多，而黑鯊5 Pro 則是以陰影修正為主，可以看到雲朵過曝的狀況。放大檢視畫質，廣角與超廣角從髮絲、後方建築招牌與磚牆細節，是 ROG Phone 6 Pro 較為清晰，尤其是髮絲部分黑鯊 5 Pro 都糊掉了，看看其他組別會不會有不一樣的結果。ROG超廣角黑鯊廣角ROG超廣角黑鯊超廣角第二組則是以綠色搭配木質調的建築為主，可以看到色溫表現上，從樹葉與木門來看的話ROG Phone 6 Pro 反而比較黃一點，但膚色倒是一樣維持白皙的樣態，亮度部分一樣可以看到黑鯊 5 Pro HDR 修正是相對明顯的。畫質表現上，廣角雙機的表現差異不大，不過超廣角這邊反而是黑鯊 5 Pro 表現較好，ROG Phone 6 Pro 明顯比較鬆散，從髮絲、下方的洗石地板都能看出。ROG廣角黑鯊廣角ROG超廣角黑鯊超廣角接下來換成遮光比較多的地方，雙機在色溫上的差異就比較一致，ROG Phone 6 Pro 比較暖掉一些；不過黑鯊 5 Pro 一樣在 HDR 的作動較為明顯，廣角這邊修正的比較暗、超廣角則是較亮。廣角端的畫質表現上，雙機的差異也不算太多，超廣角則是一樣黑鯊 5 Pro 較為銳利，不知為何 ROG Phone 6 Pro 超廣角拍起來就是比較軟.....ROG廣角黑鯊廣角ROG超廣角黑鯊超廣角將場景換為光照充足的單純場景，一樣可以看到黑鯊 5 Pro 在 HDR 的積極度，是比 ROG Phone 6 Pro 來的明顯，後者也是一樣有色溫較暖的狀態。畫質表現廣角的差異一樣不是很大，但在背光處可以發現 ROG Phone 6 Pro 雜訊抑制是來的更好的。超廣角在這組細節雙機差不多，只是 ROG Phone 6 Pro 反而雜訊壓不下來。ROG廣角黑鯊廣角ROG超廣角黑鯊超廣角人像模式部分，ROG Phone 6 Pro 的預設焦段會比黑鯊 5 Pro 來的望遠，而且是不能調整的，這邊拍一張差距，在景深都最大的狀態下，模糊的程度相對來說也有差別。這組雙機景深的摳邊成功率差不多，但一樣可以發現黑鯊 5 Pro 相當主動的 HDR 亮度修正能力。ROG人像黑鯊人像接下來換成比較偏暗的場景看看人像表現，首先差異最大的地方在於，ROG Phone 6 Pro 亮部 HDR 原本就不太修正，在這邊看起來彷彿有打亮的效果，其實看起來風格是不錯啦。反之黑鯊 5 Pro 就是直接把亮度修正掉了。至於景深的摳邊上雙機在邊緣多少有一些瑕疵，但從一張沒有開到景深最大的樣張來看，其實把景深強度稍稍降低，就能得出一張不俗的人像照片。ROG人像黑鯊人像ROG人像黑鯊人像自拍這邊可以看到 ROG Phone 6 Pro 的美顏算法還是有比較大的進步空間，甚至整體照片的氛圍相較黑鯊 5 Pro 相對平淡些。雖說比較的不是 OPPO / Realme 或 vivo 這種目前前端班的，但小米旗下的機型近期美顏的成長也是有目共睹的。ROG自拍黑鯊自拍ROG人像黑鯊人像換成夜景下雙機的差距好像就有減少，但美顏表現上一樣是黑鯊 5 Pro 效果較明顯之餘，可以看到 ROG Phone 6 Pro 的對比也是相對低一點的，但就是人像整體沒有像黑鯊 5 Pro 一樣那麼有「突顯」感覺，比較平淡。ROG自拍黑鯊自拍ROG人像黑鯊人像夜景模式部分，雙機一樣可以看出相當不同的調整方式。ROG Phone 6 Pro 廣角夜景模式在亮部修正的同時，陰影也有加亮，對比也較低，黑鯊 5 Pro 則是類似的方式，但加亮幅度沒那麼多之餘，整體對比也高蠻多的。畫質表現上，雙機廣角模式其實差異不大，僅在主體衣服細節上是 ROG Phone 6 Pro 佔優，最大的還是對比不同。至於超廣角這邊，可以看到 ROG Phone 6 Pro 一般模式的畫質真的超軟.....就連黑鯊 5 Pro 一般超廣角都跟夜景模式差不多了，但雜訊的模組與立體感還是有夜景模式會比較好。ROG廣角夜景黑鯊廣角夜景ROG超廣角夜景黑鯊超廣角ROG廣角黑鯊廣角ROG超廣角第二組則是亮度更低的地方，這邊就能看出其實 ROG Phone 6 Pro 夜景模式亮度其實拉得有點太高，加上比較低的對比會給人比較軟的感覺。黑鯊 5 Pro 這組夜景模式給的人感覺就相當不錯，但是我的話對比會再調低一些。超廣角部分則是一樣，ROG Phone 6 Pro 要開夜景模式後，才能稍微贏過黑鯊 5 Pro 的超廣角一般模式，同樣在過高的亮度上也是個可以進步的地方。ROG廣角夜景黑鯊廣角夜景ROG超廣角夜景黑鯊超廣角ROG廣角黑鯊廣角ROG超廣角第三組則是亮度更低的地方，這邊可以看到雙機呈現的色溫完全不一樣，黑鯊 5 Pro 幾乎只有藍跟衣服的紅兩種，ROG Phone 6 Pro 會比較符合現場的色溫感，同時顏色的層次也比較多之餘，也沒有先前那種硬要拉，然後又太亮的感覺。放大檢視畫質，其實雙機一般模式在這種情境已經頂不住了，髮絲幾乎放大都是糊成一塊，開啟夜景模式後雖有改善，但還是無法跟一般旗艦機相比；但真的要比個高下的話，ROG Phone 6 Pro 的細節會比較多。ROG廣角夜景黑鯊廣角夜景ROG超廣角夜景黑鯊超廣角ROG廣角黑鯊廣角ROG超廣角最後一組則是純正的都市夜景，這組在色溫、亮度上的表現幾乎是相同的，在畫質上雖說 ROG Phone 6 Pro 一樣多少有鬆散與雜訊的狀況，但整體還是比起黑鯊 5 Pro 優異，尤其是超廣角雖說一般模式畫質真的超軟，但夜景模式的加持相對黑鯊 5 Pro 還是好一點。ROG廣角夜景黑鯊廣角夜景ROG超廣角夜景黑鯊超廣角ROG廣角黑鯊廣角ROG超廣角', '▌小結', '大致上這兩款目前在台灣可說是電競機一時之選的款式做了廣泛的比較後，相信大家心中應該已經有個底了。電競手機畢竟不僅講求效能、散熱的控制之餘，能否讓玩遊戲變得更便利，以及更適合「電競」這個主題的外觀，都是需要被考慮了。而 ROG Phone 6 Pro 與黑鯊 5 Pro 來說，雖說因引進時間讓兩者嚴格來說有些規格差的產品同時撞期，以黑鯊 5 Pro 來說，就是有價格的最大優勢，就不會讓人覺得直接輸了。首先談談不是電競手機主打的方向，也就是相機表現。雙機表現在日拍上基本沒什麼問題，只是 ROG Phone 6 Pro 超廣角雖有 13MP，但畫質真的很軟之餘，美顏效果也相對有進步空間一些；至於黑鯊 5 Pro 這邊，廣角畫質可能會差 ROG Phone 6 Pro 一些，但最讓我覺得不變的，應該就是超廣角沒有夜景模式，以及人像模式無法後期調整景深了。至於單機的優缺點上，對 ROG Phone 6 Pro 來說，外型這點見人見智，但本次以較為簡潔的白加上太空艙概念，以及再度進化的 ROG Vision 第二螢幕，還有一拖拉庫配件與實體操控可選，就外觀還有延伸的操作上相信是沒什麼可以再挑骨頭的，當然除非美學上不喜歡啦.....而做為現時效能、規格頂級的狀態下，ROG Phone 6 Pro 的遊戲效能表現幾乎是目前頂級，再加上新的製冷片動力風扇，就連原神也都是滿幀且涼爽的溫度表現。至於快充相較目前動輒破百瓦，官方這邊給出的答案是 6,000mAh 大電量，這點就是思維問題，除非是以唯一可挑骨頭的地方，也就是在沒有外接電源的狀態下，電量的消耗會大增了。黑鯊 5 Pro 這邊外型上一樣做得相當科幻，但如果是喜歡顯擺高調的朋友，面積比較小的燈效區域可能是個問題之餘，整體配件上相較 ROG Phone 6 Pro 雖說少一些，但就實用性來說倒也不是非要不可，真的要說就是在散熱背夾使用時，沒有個相應專用的保護殼，會是比較可惜的地方。至於效能部分，只能說引入台灣的時間比較晚一點，讓黑鯊 5 Pro 的 S8 Gen 1 直接跟下一代硬碰硬，但整體的效能表現上一樣是可圈可點，雖說電量少一些，但 20 幾分鐘就能充飽的 100W 快充也不是在跟你開玩笑的。在裸機時的效能表現也絕對是現時的前段班，只是溫度控制跟 ROG Phone 6 Pro 一比就有比較大的差距，但有了散熱背夾後一樣在效能、溫控的表現都有大幅提升之餘，還能拿來裝在別的手機上。但以控溫來說，這次 ROG Phone 6 Pro 的新處理器，還有風扇表現真的太恐怖，相較之下可能黑鯊 5 Pro 可能稍微遜色一些，但要想想人家可是贏你一代處理器之餘.....想想雙機有九千的差價，應該就不覺得黑鯊 5 Pro 差到哪了吧？Model：比比']",2022-07-15
['ROG Phone 6 是頂配電競手機吧?'],https://www.mobile01.com/topicdetail.php?f=588&t=6625327,['這幾天看了好多開箱評測我大輝哥直接重點整理了CPU用高通8+Gen1整體性能都有5-10%提升性能跑分散熱有六層散熱設計(官方圖)另外還有超炫的空氣動力風扇6覺得超潮直接被燒到而且它還有智能偵測模式!風扇之後還會出ROG Phone 5的版本阿輝直接上原神測試不裝風扇也能接近60fps很厲害上風扇直接穩跑60fps實際溫度數據整整相差10度上下 直接讓輝哥冷到吃手手以目前數據來說可以說是表現相當好的電競手機尤其是那個空氣動力風扇6 有人預購了嗎?之後風扇會出5的版本 有5的大大們會想買嗎?'],2022-07-14
['ROG phone 6到貨'],https://www.mobile01.com/topicdetail.php?f=588&t=6623788,['7/9才在momo預購 16/512黑色版本，結果今天就到貨了！這速度也太令人驚訝了吧'],2022-07-12
['送老公ROG Phone 6應該會很開心吧？'],https://www.mobile01.com/topicdetail.php?f=588&t=6621233,['是這樣的我老公超愛玩各種手遊原神、Apex、傳說他都會玩很常聽他抱怨手機熱當或很卡https://today.line.me/tw/v2/article/3NLZVyr小女不太懂手機的規格但我知道散熱功能是他很在意的ROG Phone 6 的散熱 有空氣動力風扇裡面有製冷晶片 聽起來很厲害電量有6000mAh感覺起來是滿適合他的想問各位大大如果送這支給愛打電動的男生他會很開心嗎~?'],2022-07-07
['ROG Phone 6 散熱規格大大升級 目前電競最強?'],https://www.mobile01.com/topicdetail.php?f=588&t=6620653,['現在越來越多大品牌都會發行NFT不過ROG的NFT 看起來很有設計感還可以放在手機後面的螢幕變成動畫播放真的非常炫炮https://nft.owlting.com/poly/ROGPhonenft?locale=zh-TWROG Phone 6 配件風扇這次推出空氣動力風扇 6還加上超炫燈光 看起來超帥的啦感覺這次他們對散熱有下很大功夫在板子之間加入原本都是應用在航太業的材料來強化整個散熱的系統 感覺有用心找新材料來解決散熱問題加上8+ Gen 1的CPU效能、跑分、散熱都會是目前市面上電競手機最強吧?'],2022-07-06
