Post Title,Link
[心得] zenfone8 三進三出之與龍訣別,https://www.ptt.cc/bbs/MobileComm/M.1659026481.A.CA4.html
[問題] S22/S21/Zenfone8(磚) 誰的災情比較嚴重?,https://www.ptt.cc/bbs/MobileComm/M.1656199590.A.29D.html
[購機] 16k對決ZenFone8Flips，s21fe，pixel6,https://www.ptt.cc/bbs/MobileComm/M.1655376163.A.F4B.html
[購機] pixel6或zenfone8，更s21fe vs a52s,https://www.ptt.cc/bbs/MobileComm/M.1654537540.A.48E.html
[問題][已解] 華碩zenfone8更新後，通話錄音消失？,https://www.ptt.cc/bbs/MobileComm/M.1652257476.A.B0F.html
"[購機] 萬元,重<170g, Zenfone8/還有其他的手機?",https://www.ptt.cc/bbs/MobileComm/M.1651940132.A.93D.html
[問題] zenfone8 現在是入手的時機了嗎,https://www.ptt.cc/bbs/MobileComm/M.1651170931.A.BEC.html
[問題] asus的zenfone8 flip,https://www.ptt.cc/bbs/MobileComm/M.1646871872.A.ECB.html
[心得] Zenfone8 二進二出,https://www.ptt.cc/bbs/MobileComm/M.1646496186.A.0E7.html
[問題] zenfone8的分享對象能改嗎?,https://www.ptt.cc/bbs/MobileComm/M.1644812403.A.122.html
[討論] ZENFONE8 災情是不是證明小手機很難做好?,https://www.ptt.cc/bbs/MobileComm/M.1644301443.A.A35.html
[購機] Zenfone8 vs Xperia10 vs U20,https://www.ptt.cc/bbs/MobileComm/M.1644036507.A.3B9.html
[問題] ZenFone8電量問題,https://www.ptt.cc/bbs/MobileComm/M.1642430571.A.240.html
[心得] Zenfone8 任務（2/7）,https://www.ptt.cc/bbs/MobileComm/M.1641802286.A.85E.html
Re: [討論] zenfone8更新後效能大減？,https://www.ptt.cc/bbs/MobileComm/M.1639200689.A.EF4.html
[討論] zenfone8更新後效能大減？,https://www.ptt.cc/bbs/MobileComm/M.1639109054.A.4C5.html
[討論]  不要更新zenfone8,https://www.ptt.cc/bbs/MobileComm/M.1637851471.A.ED6.html
[問題] zenfone8省電設定有用嗎？,https://www.ptt.cc/bbs/MobileComm/M.1635926232.A.9B0.html
[問題] zenfone8續航力是不是很烙賽,https://www.ptt.cc/bbs/MobileComm/M.1635530011.A.EFD.html
[購機] 2W小旗艦S21 Zenfone8選擇,https://www.ptt.cc/bbs/MobileComm/M.1634044532.A.BAE.html
[問題] Zenfone8的Line通知常常都沒聲音,https://www.ptt.cc/bbs/MobileComm/M.1633874348.A.A5A.html
Re: [問題] Zenfone8 藍芽提示音量異常,https://www.ptt.cc/bbs/MobileComm/M.1632726793.A.953.html
[問題] zenfone8拍照出現的白十字是甚麼功用,https://www.ptt.cc/bbs/MobileComm/M.1628334966.A.8A0.html
[購機] zenfone7 和zenfone8 選擇,https://www.ptt.cc/bbs/MobileComm/M.1626930716.A.613.html
[問題] Zenfone8 藍芽提示音量異常,https://www.ptt.cc/bbs/MobileComm/M.1626715214.A.92D.html
Re: [心得] 5Z換zenfone8心得,https://www.ptt.cc/bbs/MobileComm/M.1625905785.A.FE2.html
[問題] ZENFONE8 要出任務嗎?,https://www.ptt.cc/bbs/MobileComm/M.1625708027.A.43D.html
[心得] ZF5Z換Zenfone8的心得~~香,https://www.ptt.cc/bbs/MobileComm/M.1625638660.A.43E.html
[心得] 5Z換zenfone8心得,https://www.ptt.cc/bbs/MobileComm/M.1624617123.A.0D0.html
Re: [討論] Zenfone8 保護殼討論 (惡魔防摔lite),https://www.ptt.cc/bbs/MobileComm/M.1624605136.A.81D.html
Re: [心得] zenfone8 消光黑心得,https://www.ptt.cc/bbs/MobileComm/M.1624356042.A.740.html
[心得] zenfone8 消光黑心得,https://www.ptt.cc/bbs/MobileComm/M.1624351674.A.E71.html
[心得] Pixel5 & Zenfone8使用心得,https://www.ptt.cc/bbs/MobileComm/M.1624069243.A.691.html
[問題] zenfone8 指紋解鎖螢幕閃爍,https://www.ptt.cc/bbs/MobileComm/M.1623936330.A.6E1.html
[討論] Zenfone8 保護殼討論 (犀牛盾),https://www.ptt.cc/bbs/MobileComm/M.1623675400.A.AF1.html
[購機] zenfone8/S21/5ii 預算不限錄影最強的,https://www.ptt.cc/bbs/MobileComm/M.1622353018.A.D8E.html
[心得] zenfone8心得,https://www.ptt.cc/bbs/MobileComm/M.1621733877.A.59D.html
[問題]Zenfone8 新機有災情嗎？ (藍紫屏但可用),https://www.ptt.cc/bbs/MobileComm/M.1621699649.A.190.html
[購機] 15k決戰 zenfone8 vs s20fe,https://www.ptt.cc/bbs/MobileComm/M.1621139192.A.13C.html
[購機] pixel5換zenfone8有升級感嗎？,https://www.ptt.cc/bbs/MobileComm/M.1621002378.A.8F5.html
Re: [情報] ZenFone8系列價格,https://www.ptt.cc/bbs/MobileComm/M.1620897731.A.56B.html
Re: [情報] ASUS Zenfone8/Flip 規格懶人包,https://www.ptt.cc/bbs/MobileComm/M.1620872952.A.077.html
[閒聊] 阿哲簡單開箱Zenfone8,https://www.ptt.cc/bbs/MobileComm/M.1620841036.A.0F6.html
[情報] ASUS Zenfone8/Flip 規格懶人包,https://www.ptt.cc/bbs/MobileComm/M.1620840850.A.2A6.html
[情報] ZenFone8系列價格,https://www.ptt.cc/bbs/MobileComm/M.1620840764.A.49A.html
