Post Title,Link,Content,Date
['Pixel 4a 5G問題'],https://www.mobile01.com/topicdetail.php?f=565&t=6609484,['前天發現我跟我老公手機模式（都是4a 5G）原本是震動，但是只要一撥打電話後，手機模式就會變成鈴聲.......不知道有沒有人有一樣的問題？'],2022-06-16
['Pixel 4a 5G 無法語音喚醒Google助理'],https://www.mobile01.com/topicdetail.php?f=565&t=6569502,['手機重設為出廠值後重新安裝後發覺無法以語音OK Google叫出Google助理OK Google和Voice Match設定也打開了語音模型也重做了語言也確定是 中文(台灣)為什麼還是不用以OK Google交出Google助理有人有這個問題嗎?是Google APP的問題嗎?有更新到最新了還是一樣不行有解決方法嗎?'],2022-04-05
['請問一下，關於要將pixel 4a 5G上的資料傳到電腦?'],https://www.mobile01.com/topicdetail.php?f=565&t=6492220,"['我的pixel 4a 5G已升級至android12', '以前使用 USB 傳輸線將手機連接到電腦時，', '會出現 [正在透過 USB 為這個裝置充電] 通知', '接著按 [檔案傳輸]就會在電腦出現檔案夾', '', '但今天重複同樣步驟，卻沒出現 [正在透過 USB 為這個裝置充電] 通知', '直接在電池內出現充電中', '不知道要如何解決', '感謝各位大大的幫忙!']",2021-11-16
['PIXEL 4A 5G問題'],https://www.mobile01.com/topicdetail.php?f=565&t=6490011,['請問4A 5G現在還推薦入手嗎?續航力的部分大概是多少呢?'],2021-11-12
['Pixel 5 與 Pixel 4a 5G 已經停產'],https://www.mobile01.com/topicdetail.php?f=565&t=6437213,"['在 Pixel 5a發表後，Pixel 5與Pixel 4a 5G已宣布停產，直到通路上的貨賣完為止。', '', 'XDA: https://tinyurl.com/4a3jm7wj', '', '如果還想買的手腳要快一點 !']",2021-08-21
['pixel 4a 5G系統更新問題'],https://www.mobile01.com/topicdetail.php?f=565&t=6422593,"['1.請問一下~假設我都一直這樣死不更新會怎樣?', '(撐161天了)', '', '2.更新前後的差異到底是甚麼?', '', '3.(最重要)有更新的你們會後悔嗎?']",2021-07-30
['Pixel 4a 5G 喇叭震動'],https://www.mobile01.com/topicdetail.php?f=565&t=6370618,"['這支只要開大聲一點，', '背蓋那邊就有明顯的震動，', '請教有這支手機的版友碰過一樣的情況嗎?', '還是我的是特例?']",2021-05-22
['pixel 4a 5g目前還有BUG或小問題嗎?'],https://www.mobile01.com/topicdetail.php?f=565&t=6319815,"['爬文好一陣子在幾支手機抉擇中', '原生安卓基本上適應就好，很多東西用習慣就好', '就怕小問題找不到解決方法', '', '目前爬文看到pixel 4a 5g', '1.螢幕偏暖/黃', '2.LINE擴音/來電...對方聽不到我方聲音', '3.拍照完需要等一下才可以看照片(需讀取時間)，無法機關槍連拍(會卡)', '4.指紋有人反應很辨識率低，但多數仍給正面評價', '5.影片傳送到IOS，IOS系統無法順利觀看', '6.喇叭破音(聽說更新可改善)', '7.錄影好像會卡卡的不是很順暢', '8.一開始有聽說充電會卡%數，現在好像沒看過有人抱怨可能透過更新解決了??', '9.其他??', '', '只有2、5、6小在意其他還好，2應該算零星個案，6聽說更新有改善', '3.確定拍照片要讀取時間，連拍也會卡卡... 讀取時間只有一下子還算可以接受', '5.的部分不少人反映但GOOGLE還沒解決?', '7.錄影爬PTT說會卡卡的不是很順，但PIXEL部主打錄影所以還OK', '8.卡充電%數現在還有這樣的狀況嗎?', '', '此版拿pixel 5居多4a 5g似乎沒什麼討論度', '因為預算不到5加上無線充電、六代玻璃、防水防塵我覺得還好', '以前手機也沒這些功能，4a 5g少了這些功能直接折現可以接受']",2021-03-08
"['請問一下，Pixel 4a 5G 更新完,有支援台灣之星5G嗎?']",https://www.mobile01.com/topicdetail.php?f=565&t=6316660,"['有大大說Pixel 5 更新完,支援台灣之星5G了', '那4a 5G呢?有大大測試過了嗎?']",2021-03-03
['關於Pixel 4a 5G簡單開箱與主觀意見'],https://www.mobile01.com/topicdetail.php?f=565&t=6301645,"['原本在用Asus Zenfone4當作工作用手機，因電池,話筒,收訊天線劣化決定換機。', '原本考慮A71(4G)、U20、Pixel系列機及LG的Velvet、G8X等中高階手機，近來剛好看到白色Pixel 4a(5G)上市，衝動下就買了。', '附上開箱圖', '', '', '', '', '', '', '', '以下優缺點皆為主觀感受', '優點：', '1.相機很好，不多著墨了', '2.介面用起來很乾淨', '3.螢幕寬度相較其他2020年的Pixel新機夠寬，看影片不會受限長寬比', '4. 5G手機普遍偏重，這支才168g，拿起來不會太重', '5.Google親兒子有安卓更新保證', '6.具備指紋辨識', '7.有3.5mm耳機孔，Pixel 5沒有', '', '缺點：', '1.這螢幕跟其他採用OLED的手機一樣，顏色偏黃', '2.相機鏡頭好凸出啊', '3.音量按鈕和開關按鈕位置跟原本使用的手機很不一樣，有點不適應', '4.揚聲器如果滿分10分，它的表現只有6分，整體音質還行，但不知道是設計問題還是硬體不好也可能是等化器校正不好；', '首先，放音樂時整支手機背部會震動且音量大時會有不明顯的回音造成音色悶悶的，第二點，放歌曲時人聲不突出，連用耳機也是有一樣的狀況，感覺應該是等化器校正不好，如果有人玩音game，這支真的可以直接排除了', '5.螢幕玻璃只有康寧第三代，同價位大多有第五代了，背部塑膠材質摸起來很掉價', '6.不能插SD卡', '7.無防水功能', '', '總結：適合常拍照（錄影不是很強）的使用者或是依賴行動支付的使用者，不適合講求音樂體驗的使用者及手機顏值控。', '', '', '追加：經過舊機新機搭配同一個藍芽喇叭 同一個藍芽耳機 同一個有線耳機對比，之後兩隻的手機喇叭對比，跟舊手機比起來，Pixel 4a 5G在除了本身喇叭播放時音樂效果不佳外，在其餘三個都比舊機好上非常多，故可能是喇叭本身品質不佳或自身喇叭位置設計不佳造成的結果，常用手機喇叭聽音樂的人可以購機時考慮排除它了，但搭配耳機或外接喇叭時則音樂播放效果表現良好。']",2021-02-10
['Pixel 4a 5g 室內拍到電視 電視內白色部分變藍'],https://www.mobile01.com/topicdetail.php?f=565&t=6299614,"['室內燈光偏暖, 拍室內景帶到電視, 但電視內白色部分都變藍', '調整對焦點到室內白牆, 或是電視內白背景, 都沒用', '只能拍RAW檔再手動調整可以得到暖色室內加電視內白背景.', '請問是Google相機APP的色彩教正本來就是這樣, 還是有其他方式可以得到正確色彩?', '還是可以關閉Google相機的自動調整讓他拍時不要改到顏色或色溫嗎?', '感謝']",2021-02-07
['Pixel 4a 5g相機鏡頭有灰點'],https://www.mobile01.com/topicdetail.php?f=565&t=6298843,['各位大大，去年11月入手這支手機，用起來很順手，但是最近拍文件的時候發現螢幕有灰點，一開始以為是灰塵，結果清理擦拭完灰點依然存在，請問有人有遇過這個問題嗎？'],2021-02-05
['Pixel 4a 5g觸控問題'],https://www.mobile01.com/topicdetail.php?f=565&t=6275070,"['https://support.google.com/pixelphone/thread/87628791?hl=en', '', '', 'Pixel 4a 5g更新12月版本之後 回覆鍵就一直容易觸控失敗', '上網一查還真的有人反應此問題，但是我們這邊好像很少人反應', '', 'https://support.google.com/pixelphone/thread/87628791?hl=en', '', '不知道板上的同好 有相同問題嗎']",2021-01-04
['Pixel 4A 5G 無法開啟熱點'],https://www.mobile01.com/topicdetail.php?f=565&t=6262206,"['1. Pixel 4A 5G 手機買來後無法開起熱點，一按開啟馬上自動關閉，所有設定方式都嘗試過了。', '2. 手機是從PC Home預購的。', '3. Sim卡是接中華電信4G Sim卡， 用了其他中華電信4G Sim卡也無法開啟。到了中華電信門市客服也是遇到一樣的問題，中華電信也確認不會擋熱點功能。', '4. 到台灣大哥大門市測試換4G Sim卡就可以使用熱點，再換回中華電信4G Sim卡後熱點開了一天沒有問題，但隔天又回到相同問題。', '5. 個人認為是中華電信Sim卡問題但無法確定，不曉得其他中華電信的用戶有沒有遇到相同的問題? 感謝。']",2020-12-16
['pixel 4a 5g 跟 pixel 5 的拍照效果會一樣嗎？'],https://www.mobile01.com/topicdetail.php?f=565&t=6253683,"['相機規格雖然硬體一樣,調校也一樣嗎？拍出來的照片是一樣嗎？']",2020-12-06
['Pixel 4a 5G掉價好快'],https://www.mobile01.com/topicdetail.php?f=565&t=6253334,['在官網買了一隻15990，沒想到現在外面手機行已經有14000的價格了，掉價真的滿快'],2020-12-05
['Pixel 4a 5G開箱+拍照蓋樓～'],https://www.mobile01.com/topicdetail.php?f=565&t=6249049,['之前一直在掙扎到底要買4a 5G還是 5後來考慮因為螢幕尺寸 4a 5G 比較大點(我喜歡大螢幕XD所以最後還是決定買4a 5G這幾天終於收到了，PO上來給大家看看\xa0鏘鏘~收到的內容物如下除手機之外，還有下單時送的NEST跟WIFI插座但主軸是我們熱騰騰的pixel 4a 5G 手機，就不多介紹贈品囉XD打開之後長這樣配件算是蠻整齊的有Type-c接線跟豆腐頭、Type-A >> C 的轉換器，\xa0\xa0是說每次買手機都會想起以前Sony Ericsson時代充電線、耳機、音源轉接線、座充、電池一堆很有開禮物的感覺XDD跟現在手機都走簡約風，算是各有好處接下來就是開機啦!螢幕表現算還不錯，先開白底檢查\xa0沒有下面這種黃屏問題，先給過(圖是網路找的哈哈\xa0目視的色彩呈現算蠻飽和，不會太豔找張顏色多的繽紛圖給大家看看，這個也過關\xa0另外是要測遊戲那當然是開最會發熱的傳說來試試先抽空開了練習場測試運行畫面大概這樣螢幕本身頗大，觸控感也蠻滑順的(請原諒我的大手讓螢幕看起來變小，還有一直壓到選項XDDD)後來有再打一場快20分鐘的隨機效能跟畫面都是全開測起來完全不會頓，也沒有發熱狀況算是沒辜負我的期望!阿有想一起打傳說的大大也可以加我哈哈\xa0再來就是PIXEL必測的照相拍了幾張夜景，都是無修直出\xa0順便附上朋友慘慘的8+照做比對\xa0夜拍部分真的要推個PIXEL拍出來清晰度跟明亮度超夠開箱就到這啦，如果有大大也是用4a 5G也歡迎一起蓋個樓讓小弟品香品香啦~'],2020-11-30
['請問Pixel 4a 5G 和 Pixel 5 差別在哪裡？'],https://www.mobile01.com/topicdetail.php?f=565&t=6248105,['Pixel 4a 5G比Pixel 5便宜了好幾千塊，想說如果不會差很遠的話就買Pixel 4a 5G好了。請大家告訴我Pixel 4a 5G 和 Pixel 5 差別在哪些地方？'],2020-11-29
['Pixel 4A 5G到手'],https://www.mobile01.com/topicdetail.php?f=565&t=6240239,"['禮拜天預購，今天就到貨了耶原本我是用Pixel 3,那我就可以接手老婆大人的Pixel 3 XL了']",2020-11-19
['請問pixel 4a 5G的 GPS定位準、穩定嗎?'],https://www.mobile01.com/topicdetail.php?f=565&t=6230812,['請問pixel 4a 5G的 GPS定位準、穩定嗎?'],2020-11-07
['pixel 5 跟 pixel 4a 5G 拍照效果有一樣嗎?'],https://www.mobile01.com/topicdetail.php?f=565&t=6229326,"['請問 , pixel 5 跟 pixel 4a 5G 拍照效果有一樣嗎?']",2020-11-05
['Google Pixel 5發表後即可預購 搭載多項同級手機不同功能 標榜超值體驗'],https://www.mobile01.com/topicdetail.php?f=565&t=6203878,"['Google在今天（10/1）凌晨的線上發表影片裡，官方終於正式發表Pixel 4a 5G及Pixel 5兩款5G手機，也是Pixel手機正式進入5G的作品。前者是入門款，定價也親民。後者則算以5G更好發揮Google服務的中階款，兩款建議售價都在2萬以內，在市場上來看是蠻討喜的定價。\xa0台灣Goolge商店也已經將兩款產品上線。Pixel 5建議售價1萬8990元，8GB+128GB，有純粹黑及灰綠兩種顏色，已經可以開始預購了。除了Google商店，也可以在台哥大門市、myfone購物、momo購物以及PChome線上購物預購，10/15正式上市，購買就送三個月Google One 100GB會員方案。Pixel 4a建議售價則是1萬5990元，與Pixel 4a一樣只提供黑色，台灣預計11/19上市，不過目前還沒開始銷售。\xa0\xa0Pixel 5的規格很多就如同流出所指。出廠直接預載Android 11。採用Snapdragon 765G處理器，這也是目前非常多2萬價位的5G手機採用的核心。台灣有上市的就包括HTC U20 5G、Nokia 8.3 5G、vivi X50 Pro、vivo X50 5G、OPPO Reno 4 Pro、Reno 4，以及台灣沒上市的小米10 Lite、紅米Note10、紅米K30 5G...等，這個規格帶、價位帶相當擁擠，競爭也很激烈啊...\xa0Pixel 5搭配了8GB RAM跟128GB儲存空間，上述那些手機也都是搭載8GB RAM，順帶一提，Pixel 5的建議售價跟HTC U20 5G一樣。\xa0Pixel 5很小巧但有4000mAh電池 且支援防水跟無線充電', 'Pixel 5的螢幕是6吋前相機挖孔OLED全螢幕，覆蓋康寧第六代大猩猩玻璃，機身尺寸和同級手機相較，非常小巧，外殼採用100%再生鋁合金製作，重量也相當輕，只有151g，尋找Compact手機的應該會非常滿意這樣的大小。Pixel 5的OLED螢幕也支援顯示HDR影片，以及最高90Hz的螢幕刷新率，刷新率會根據程式最佳化調整，好兼顧電力。\xa0在Pixel 5的6吋螢幕下，也有4000mAh的電池，支援USB-PD 2.0 18W快充，包裝盒裡就會內附18W充電器。Pixel 5也支援無線充電，以及反向無線充電，可以幫小無線耳機充電，後兩者是同級手機少有的功能，Pixel 5有搭載算蠻特別的。Android 11內的自動調節電量功能，會記憶用戶使用習慣，分配較少電力給不常用的程式，可以幫助日常省電，此外Pixel 5也有提供一個超級省電模式，標榜充電一次可讓電池續航力最高達48小時。\xa0還有一個在同級裡較特別的規格是，支援IPX8防水等級。\xa0\xa0新增肖像打光 前鏡頭也可以拍夜視了', 'Pixel 5的相機硬體規格，看起來則沒有同級手機那麼多采多姿，背面搭載雙鏡頭，主相機是1220萬畫素，另一顆則是1600萬畫素超廣角，超廣角終於在PIxel手機上出現了。\xa0主相機畫素看來不高（其他很多都4800萬畫素之類的），但是感光元件的單位畫素有1.4微米，看到數字，初步應該可以對低光拍攝品質放心一些了，再者主相機也支援OIS+EIS，以及f1.7光圈、Dual-Pixel自動對焦，搭配起來基礎並不太差。也支援拍4K/ 60fps影片。超廣角鏡頭的單位畫素則是1.0微米，搭配f2.2光圈，視野是107度，範圍看起來沒有普遍的120度要大。Pixel 5的前鏡頭則是800萬畫素，搭配f2.0光圈，單位畫素也有1.12微米大。\xa0不過成像運算品質，一向是Pixel手機的強項，這回Pixel 5新增了「肖像打光」(Portrait Light)功能，可以在人像模式的照片上，自己拉光源方向，幫臉補光，很多時候我們自拍或拍人時，臉上不小心會有陰影，或是看起來不夠立體，就可以用這功能修飾一下。這也可以事後在Google相簿裡編輯。\xa0此外前鏡頭也支援夜視模式了，相信低光自拍時亮度跟清晰度會更好。\xa0另一個新增的的功能是為錄影設計的「電影運鏡」（Cinematic Video），可以穩定拍出穩定的平移，但目前不太清楚運作原理，推測可能也跟超廣角鏡頭有關，有瞭解到進一步消息的話再為大家補充。\xa0還有Pixel手機搭載的HDR+，這次也新增包圍曝光拍攝。以往的HDR+拍攝時會捕捉更多低曝光的frame，這回則是也捕捉更多高曝光幀，如此應該會讓畫面的暗部更清楚，或是整個畫面的明暗更接近看到眼睛的樣子。\xa0拿掉長焦鏡頭，難免讓人想到拍變焦怎麼辦?Pixel 5仍有高解析變焦功能，拍攝時藉由微小移動補捉更多鄰近畫素，插點偵測畫素運算出清晰度還不錯的變焦照，Google先進的成像運算技術，效果和4800萬畫素的相機相較如何，能不能媲美高畫素合成？之後有機會再來試試囉。\xa0＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝另外兩支手機既然都升級到5G，那麼就更強調Google服務的連線速度了，如更快下載YouTube影片、可以Duo進行高畫質視訊以及分享螢幕，更多強調的是，可以更順暢的連線遊玩Google STADIA雲端遊戲，不過目前這服務台灣沒有上線。\xa0隱私及安全功能方面，Pixel 5一樣內置Titan M晶片，可以獨立儲存保護個人隱私資料，此外Pixel手機也有的，保證三年軟體及安全更新，也可以幫助保護日常資安。\xa0Pixel 4a 5G很多功能，如搭載的處理器、相機組成、OLED挖孔全螢幕（4a 5G是6.2吋）、新增的拍攝功能等，都是一樣的。這裡把Pixel 5、Pixel 4a 5G和其他台灣上市，也是Snapdragon 765G處理器的手機，做個規格簡表整理，可以大致比較一下同級中階5G有哪些不同，當然每家內含的拍攝、音效等功能又不盡相同，功能面可能就得各自參考官網或站上評測了，表裡放不下...QQ，點擊可看大圖。\xa0以往新號碼的Pixel手機一向是旗艦款，但這次Pixel 5定位跟價位走中階親民路線，可能讓重視規格的人小失望一下，但想想，在5G高資費時代下，手機價位親民一點，或許才能讓更多人願意加入5G，然後才說得上去使用那些服務，跟體驗高速連網。更何況Pixel手機的穩定度，跟Google強調的一些AI智慧功能體驗都不差，且有如電力、尺寸重量輕巧、無線充電、防水...等實質功能，因此個人是覺得也不用對Pixel 5不是高階旗艦的感到失望。（這市場還真不缺貴貴的高階）\xa0你的想法呢？歡迎分享看看囉。']",2020-10-01
['官方預告Pixel 4a 5G售價??'],https://www.mobile01.com/topicdetail.php?f=565&t=6188544,"['15990元(起)', '比4a多了超廣角和加大電池屬實的話.... 我會考慮買單']",2020-09-12
