Post Title,Link,Content,Date
[討論] Pixel4a 螢幕右上方的感測器？,https://www.ptt.cc/bbs/MobileComm/M.1654090453.A.0AD.html,Content：請問Pixel4a 螢幕右上方的感測器是什麼？https://i.imgur.com/z0dtU6E.png因為我買的滿版保護貼沒有開孔…還剛好被黑邊遮住…不曉得會不會有影響; Comment：光感應器。沒開孔應該還好，但要保貼沒黑邊遮擋住。。通話後螢幕不會自己變暗就是沒擋到,2022/06/01
[問題] pixel4a過保該送官方還是民間,https://www.ptt.cc/bbs/MobileComm/M.1648687807.A.0FE.html,"Content：最近因為掉電要維修4a，想請問使用pixel的各位過保都是走官方還是民間？; Comment：我的3a過保還是送原廠，不建議去外面修電池。省錢民間，安全官方..我3xl是送官方。我2/9送修，10報價，11修完下午送,12下午回來...給你參。考。http//i.imgur.com/0DdNXmw.jpg。附上來回的時間給你參考(但不保證你的時間跟後續喔)。送火葬場，然後換機。我的pixel4a最近也是掉電很快，原因是應用程式""Google""。更新後有bug 導致的。把Google停用或退版本後掉電速度就。恢復正常，供你參考。。pixel 4a 停用Google就好 +1。昨天google app更新後，我的正常了。看板上那幾篇Google異常耗電。不知道這幾天多少Pixel機主會送修換電池。開個電池頁面看一下真就這麼難嗎。但平衡打擊一下 google成天搞負面宣傳真是不知道死字怎麼寫。你是沒差啦但還有人要吃這碗飯",2022/03/31
[問題] Pixel4A 部分APP無法安裝（已解決）,https://www.ptt.cc/bbs/MobileComm/M.1647782222.A.19E.html,Content：最近發現很多APP都因為地區限制而無法於Google play安裝，確認了地區設定是台灣想請問大家有遇到相同問題嗎？並該如何解決，謝謝大家下面是遇到問題的截圖與安卓版本https://i.imgur.com/WGfAxfl.jpghttps://i.imgur.com/1JrBoM7.jpghttps://i.imgur.com/I9JCgZK.jpg; Comment：You know why。佩佩豬？。他改的只是其中一個地址 另外一個地方他是歪國人。Android 12 ? 那應該等等吧 這問題太多了。最快的解就是再申請一個台灣的帳號拿來下載APP用啊~,2022/03/20
[問題] 12K內買pixel4a會很蠢嗎,https://www.ptt.cc/bbs/MobileComm/M.1638627194.A.A76.html,"Content：去年官網pixel4a就11900了(4g版本今年快結束了還是11900完全0跳水但不想買pixel6 又不想買大陸機的還有其他更好的選擇嗎; Comment：蠢不蠢問自己。可以就等跳水阿 你自己就知道答案了XD。買了爽就好啊。官網不會跳水吧 不如去隔壁版收。Amazon 上 買 5a就好了。12k不買a52s？。而且5a 4g版根本停產了吧。更正，4a 4g版。要聽實話還是謊話？。真正蠢的是一直換手機。蠢啊 直接買S20FE。哪裡蠢 這價格買相機+更新都值得。為什麼蠢？。亞馬遜 5a。官網也沒貨可以買啊。官網不是早就沒有庫存了？。你打算用多久? A52s的778G比Pixel 5的765G好不少。4a 4G有送google相簿 讚。你會問這問題就代表你心裡有疙瘩...結案。我最近才代購美版4a 快13k 我是覺得值得。我是買藍色所以較貴 黑色台灣買不用1w。訂張機票去日本買5a順便玩一下才是正解。4代只有臉部辨識喔....依板上標準是蠢。看錯,不是4。5a可以用pchome的日本代購買。總共也是13k左右。國外買就無保 真要隔壁看看 不然a52s 或20fe。我是建議S20fe啦。12K買終身雲端空間我覺得還行啦 隔壁收更便宜。不如說說你看上哪點要買4a？。不買6那就買5囉。什麼需求都不講就只能通靈。4a有他的附加價值。12K的東西就在怕蠢？？ 很辛苦的人生。強大相機 無限相簿 親爸更新 少有的小手機 這些都。是4a的價值。12k老實說以我需求覺得4a根本沒對手。12k 買a52s 8/256g。想問p5哪裡還買得到。錢是你的,買甚麼都是你的自由,哪來的蠢不蠢???。花12k買不喜歡的手機才叫蠢。你可以加價買iPhone。12mini 64G  只要一萬多喔~。不會啊前提是你要買得到。與4a同定位的手機有S10e與S20，市面上已買不到新機。所以4a的價值在於市場上已沒有同定位的手機可以買。4a還有免費相簿儲存吧 所有還是有人願意接手。身為4a 和 A52s 的使用者 我強推A52s. pixel 小問。題一大堆 三星完全屌打。大小無價 還有高畫質Google Photos免費",2021/12/04
[問題]pixel4a 5G更新之後無法熱點連網,https://www.ptt.cc/bbs/MobileComm/M.1625980269.A.358.html,"Content：如題, 昨天pixel 4a 5G系統更新之後, 開熱點沒辦法讓電腦連上網電腦連別台的熱點就正常上網, 已排除電腦本身問題查電腦連pixel wifi是可以的, 但是無法和dns伺服器通訊查手機無線基地台AP頻帶設定不是5G, 是2.4G有哪位大大遇到類似狀況的嗎? 如何解決? 謝謝; Comment：去臉書pixel 社團問應該比較多人回。https//i.imgur.com/3X1pwKP.jpg。有試過圖片這個功能了嗎？",2021/07/11
[購機] pixel4a 5g or s20fe,https://www.ptt.cc/bbs/MobileComm/M.1625407643.A.B90.html,Content：1.預算範圍/考慮機種：pixel4a5gsamsung s20fe2.使用需求(螢幕尺寸/拍照/效能/續航力/防水/記憶卡...等)：@螢幕尺寸：比較偏好pixel的6.2吋，s20fe的6.5吋對我來說有點太大了，有時候放牛仔褲會很卡。@拍照：不常拍照，市面上手機都能滿足我的需求。@效能：pixel的765G比起S20fe的865，865香太多了。手遊主要打傳說，偶爾玩天堂2M的遊戲，但單純打發時間非課金重度玩家。@其他：需要續航力佳的，不單純看電池大小，有時候系統流暢度也是影響耗電。3.品牌喜好：不要中國機4.補充說明：目前考慮的問題pixel4a5g1.目前只剩官網能訂購，沒有實體機可以試，以及網購遇到機王退換貨麻煩的問題2.硬體低於s20fe，價格卻高大概20003.喜歡他的3.5耳機孔跟背後指紋，還有想體驗原生安卓系統，三星的太多程式不實用，唯獨多工視窗跟暗屏掛遊戲 比較實用s20fe1.能去通信行買有現貨，但是螢幕觸控災情…… 就……2.撇除災情 這個硬體 15000左右的價格 Cp值爆表3.手機尺寸大，有點不方便如果有門市貨的狀況下，我會選pixel，但是目前大缺貨只能官網購，價格又硬但是s20fe的災情，有點怕怕的，如果真的中獎，去原購的連鎖通信行 是直接換 還是又回原廠出任務？以上想問版友意見，跟實際使用狀況至於等pixel6的話，那個外型我真的無法……，就不考慮了，同價位的暖暖包zf8也不考慮──────────────────────────────────────; Comment：4a_5g實體機試去台哥門市看看有無，台北就去三創試。4a外面也一堆都沒貨了，應該也只剩官网有，。樓下推刀疤。zf8 市面上拍照最強的手機。https//i.imgur.com/4UTiDTd.jpg。沒拍照需求不用挑pixel。4a5g吧。s20fe。4a5g 使用中，真的跑很慢，其他都還不錯。765覺得好只是台灣沒有選擇。778出來後就把780比下去了。S20 FE可以蝦皮77免運節買，85折加上信用卡可以壓。到12K左右，個人2021年出廠的沒遇到鬼觸。。我考慮P4A和P5很久，最後買了P4XL...。除了電池小點，其他都滿意破表。我大多在家、辦公室。隨時能充電，電量小點也沒關係。。現在S20 FE已經是市面上最香了。20fe我用了快半年好用只是容易發燙,2021/07/04
[問題]  pixel4a 5g l 觸控不靈敏,https://www.ptt.cc/bbs/MobileComm/M.1618306038.A.B54.html,"Content：如題請問有人遇到pixel4a 5g line 訊息“送出鍵”不靈敏嗎？ 不知道是不是我從小米換pixel純自己按不習慣,目前買第四天，不知道要不要換，還是說都一樣？？？  有人有相同經驗嗎？第一次發文，如有違版規會刪除; Comment：去手勢操作裡面條低靈敏度看看，感覺是跟返回鍵卡。到。是手機中又方，line打完字有時候送出點一下沒反應。，前手機是小米 line打完字，箭頭送出感覺就不會卡。住，pixel感覺要按很精準。有時候會沒按到+1。沒有遇到。有更新嗎 我之前pixel 5有一段時間也會這樣。會不會保護貼影響呢？。設定裡面不是可以增加觸控靈敏嗎？。4a5G,正常使用。沒貼保護貼，也加強觸控了，拇指大面積點到容易失。敗，但是輕點又可以。UI真的跟 三星 小米比，差很多",2021/04/13
[討論] pixel4a 多點觸控失效,https://www.ptt.cc/bbs/MobileComm/M.1616027521.A.5B4.html,Content：pixel 4a昨天玩橫向遊戲到一半突然失去多點觸控的功能同時只能按一個地方按另一處就沒反應測試工具也顯示只剩下一點觸控https://i.imgur.com/kY4s48i.png螢幕前陣子有摔倒小裂有想過是不是螢幕硬體故障的關係但因為剛摔倒後幾天 多點觸控一樣正常而且在一月初 國外的新機似乎有一樣的災情https://reurl.cc/GdGak3https://reurl.cc/qmKpdD有點擔心換了螢幕一樣修不好想問一下使用pixel系列的板友有無類似的觸控異常系統的版本是在3/5更新的android 11; Comment：現代人活的蠻辛苦的 修個東西都要查東查西的。就直接修 來這問是有版友可以幫你修484。沒遇到這問題。沒修就自己好了欸。就很詭異的異常 想說問一下,2021/03/18
[購機] pixel4a5 or 5,https://www.ptt.cc/bbs/MobileComm/M.1615877106.A.348.html,Content：範本格式──────────────────────────────────────1.預算範圍/考慮機種：例：10K-20K/iPhone12 Pro Max、Note20U、XPERIA 5II不超過20K  pixel4a5 pixel52.使用需求(螢幕尺寸/拍照/效能/續航力/防水/記憶卡...等)：6.2吋上下算極限不考慮更大(使用手感)偶爾拍照 日常生活用 只有打輕量遊戲(明日方舟)3.品牌喜好(不要XX品牌，要OO品牌)：以前到現在用過sony、iphone、也能接受三星、google想嘗試看看其他暫不考慮4.補充說明(補充上述未提及之其他需求)：──────────────────────────────────────目前手上Iphone 6s使用了5年多~差不多該更換新手機了有爬過文跟實際去摸過幾支實體機~最後再考慮pixel 4a5跟5因為之前是習慣用耳機聽音樂~但5沒有耳機孔 我沒用過無線耳機所以想請問5用無線耳機(pod?) 那個音質還可以嗎 門市試過4a5跟5放yt音樂外放音質我體感都差不多~還是音質跟耳機沒關聯? 4a5跟5考慮的就是耳機手感2支都不錯~系統也沒太大問題~但2者價格還是有差距 想來請益版上意見謝謝; Comment：4a5g。習慣有線還是4a5g吧。我習慣有線推4a5G，用的愉快。如果沒有防水跟無線充電需求就用4a5g就夠。CPU一樣阿 也有廣角。4a5應該就夠了，感覺20年的三隻pixel都很接近。現在開始習慣藍牙耳機也不是壞事。傳聞中5a 6月可能發佈 能再用一陣就等 真出了 不買。舊機型也會降價。掙扎Pixel 5 / Iphone 12 QQ。用有線就4a5g 考慮買藍芽接收器或tws再選5。tws音質有差，但如果你插線都用平價耳機應該差不多。捏著等P6。現在要買我覺得4a5G比較值得，電商已經殺到14k出頭。之前推5是因為預購跟在地嚮導優惠，跟4a5G差價很小。現在5電商全缺貨，剩官網死豬價可以買，差了快五千。當然4a5G。現在這時候別買吧？等看看5a出來再做決定。我覺得4a5g比較有感的是喇叭。好厲害，Pixel 5可以賣到缺貨，哈哈哈！。那我先捏著~平時也只用一般耳機坐車用~感謝大家。5a是傳下個月會有消息，但要能買到大概也年底的事。5都已經用7字頭處理器了 5a會用更好的嗎？直接4a5g。了啦。5a的確消息說會用775。但要等很久也是真的。名店買4A5G不到14 覺得划算。還有刷新率hz 5有  之前考慮5過 但綠色要買時還缺貨。現在買就4a5g 可以等就等看看5a。看有沒有想等6月 傳聞的5a可能會出。6月出 等上市也要七月了。無限高畫質相簿上傳只到5這代，5a就沒有了喔。捏著等6+1。音質當然不好 怎麼比,2021/03/16
[心得] Iphone 跳 Pixel4a5g心得,https://www.ptt.cc/bbs/MobileComm/M.1613922011.A.B9A.html,"Content：打給厚，原本使用的iphone 8 plus有點秀逗，加上一直很憧憬Pixel的拍照的功能，這次終於從iOS回到android的懷抱！至於會選4A 5G的點...因為只有他出白色XDhttps://i.imgur.com/eZ5GSon.jpg其實系統上的差異倒不是讓我躊躇跳家的點，因為以前也是android用戶（m7,m8,xperia s,z,xz)使用上沒有銜接的困難。是怕老婆送的apple watch 5變廢物....但Iphone 8 plus的人像模式，畫質真的劣化太多了（比起主鏡放在2017很好沒錯，但到了2020就有點落伍，加上對焦緩慢，拍小孩成功率變太低，便促成了這次升級的理由。apple watch就當高級Jaga錶吧。pixel的人像相機真的很不錯，頭髮邊緣大部分都算的很精確，這也是之前舊iphone令我最不滿意的一點。因本人曬嬰魔人，照片小孩居多，不喜可以上一頁XD人像模式：https://i.imgur.com/cktAxp4.jpghttps://i.imgur.com/I62Lql8.jpghttps://i.imgur.com/hH2bhCE.jpg穿幫處：長椅中間的間隔沒算到景深https://i.imgur.com/StSrAFH.jpg逆光人像：https://i.imgur.com/TMKwmwv.jpg顏色上也沒有Iphone來的黃，不太需要調整膚色。夜拍頗驚艷，以這價位來說十分超值，有光害的中和市區停車場：https://i.imgur.com/gPi0QKO.jpg基隆的天空（肉眼根本看不到這麼多星星...https://i.imgur.com/TLKnje6.jpghttps://i.imgur.com/OK8ATBN.jpg社區午夜的中庭https://i.imgur.com/xjvoKf5.jpg幾乎無光源的房間（剩地上小夜燈https://i.imgur.com/gCz9eyd.jpg極暗的車內https://i.imgur.com/mNMLlNz.jpg心得：以14990的入手價來說，相機表現超乎預期許多。塑膠機身這點見仁見智，我是蠻愛這種溫潤的觸感。至於處理器非旗艦這點，我也只有在拍完照會轉圈圈這點感覺得到，其他日常使用無感，還覺得特別省電。錄影體驗的部分就差iphone蠻多了，畫質當然是完勝舊機種，但操作體驗，連2017的8plus我覺得都贏不大了......4K60不能使用超廣角以外，4k30則會出現錄影時偶發性的卡頓，回撥影片一樣會發生，就是錄的時候那段就沒錄到，普遍發生在開始錄的前幾秒。這我覺得是比較嚴重的問題，不知道後續更新是否會改善。拍照的部分很推薦，對焦快夜拍佳。但對於看重錄影的人來說，這隻手機我想目前不是最佳選擇。另外ios上的FOCOS超好用的，可以調景深也可以調散景樣式，android沒有真的很可惜; Comment：用心推，小孩可愛推。別小看4a5g攝影,既然你有那麼漂亮的小孩當素材,我強。烈建議用pixel攝影一下,重點是要拍漂亮的素材。功能。用電影運鏡+4k畫質+足夠光源下免開閃光之類的,攝影。方式先從超近距離小孩最美的眼睛攝影慢慢把鏡頭帶到。整張臉,只要拍個一分鐘就是個很棒的影片,至於要那種。大畫面都很美很細節的,最貴的手機都沒中階相機+鏡頭。強。pixel的錄影一直都不突出吧。也不是小看啦，畢竟錄影畫質的確很不錯，我指的是。使用上的體驗，以及那時不時的卡頓有點惱人罷了。fun fact pixel目前的感光元件跟2017的一樣。google相簿可以編輯你拍的肖像景深和焦距喔。iPhone照相要到11才算ok，Pixel照相一直都不錯！。iPhone錄影一直是強項，Pixel錄影只能說還可以！。最近很多人從ios跳槽過來安卓，其實安卓沒有爛，反。而還比ios好用，只是很多中低階手機誤壞使用體驗而。已。。好可愛的弟弟啊! 可以知道大概多大了嗎?。身邊有人拿zf5跳到ip12, 一直說水果超棒...。阿..從客觀的市占數據來看，最近跳去蘋果的比較多吧。大家都有自己喜歡，自己覺得棒的手機吧 管別人做啥。我也是入手白色 握手！我剛google才知道 白色4a5g。無鎖版 只有在美國、加拿大、台灣跟日本販售喔 身。為台灣人太lucky了！！！。弟弟1歲三個月XD。算即時HDR 很花算力，現在888才摸到a13可以實現HD。R錄影。雙ISO就另話。可愛。我的3a在剛開始錄影的一秒多也是會卡一下，我以為。是emmc的問題，沒想到4a 5G也有這個問題？！。目前來看，iphone的即時hdr還是強大，但其他錄影表。現已經有其他品牌追上來了。目前只有人像模式拍的照片可以調整景深。https//i.imgur.com/31ysjNd.jpg。2歲以下要反向汽座耶～。請要反向汽座....。除了拍照，其他對不起14990阿。安卓要旗艦機，不然中低階用一年覺得爛是正常。推。汽座後來有更改了~。拍照就值14990了啊。推。推拍照，請問這支烈日下使用螢幕亮度夠嗎？還有用。擴音器講電話或line通話也很大聲嗎？。烈日下有點暗，擴音頗大聲。螢幕亮度開自動也是嗎？。對，在烈陽下亮度真的不太夠（對比為另一隻三星的A7。0。找了一下4a5g最大亮度是638nits。a70是607nits應該不會差太多啊@@。但我在太陽下，4a5g,就是會暗上一截@@,剛去查了也是。差不多的亮度，難道我中機王？？？。4a5G亮度在大太陽下真的勉強…  另外買了一個多月。後出白色真的有夠嘔…。@rockmanzx88 應該不是 聽說這代pixel用的面板是便。宜貨 所以亮度彩度都不好 我同時有oled的realme xt。彩度亮度就好很多。用心推。推心得分享。大太陽下 P5的亮度是很夠 P4a5g就不知道。白色真好看。@DRAGON0324 網路上有個歐美鄉民一直罵google後來。才出白色 而且還先給verizon獨賣 超氣的他XDDD。https//m.youtube.com/watch?v=48J8P-ssI7c 附上。那個鄉民的影片。超多髒話XDDDD。戶外亮度偏暗有開啟自動調整亮度了嗎。因為激發亮度手動無法開啟。有開啟了，但對比下來還是比較暗些，之後有拿到a70。再來對比一下orz。QQ我用一段時間才發現螢幕玻璃跟邊框縫隙有點大 卡。灰塵很惱人。我也是，只能無視orz。用有顏色的保護殼遮住啊",2021/02/21
