Post Title,Link,Content,Date
['有關PIXEL 5轉接有線耳機問題'],https://www.mobile01.com/topicdetail.php?f=565&t=6645729,['如題，小弟的轉接頭是原廠的TYPE C轉接3.5mm轉接頭原本都好好的，但在最近只要打開spotify或kkbox就會一直跳出google助理，就算去設定那關閉google助理還是會一直跳出是否需要協助導致音樂中斷。想請問各位大大有碰過這樣的問題嗎，是如何解決的呢? 感謝'],2022-08-17
['［疑問］ Pixel 5 原有的 Files (App)，如何找出使用？'],https://www.mobile01.com/topicdetail.php?f=565&t=6606095,['手邊Pixel 5 沒有 root，原本內附的 Files (App)，因後續系統升級，又多一個 Files by Google(App)。目前在全部App呈列圖標卻只看到 Files by Google(App)，原有的 Files (App)藏在哪裡？謝謝回應。'],2022-06-10
['個人正常使用最短命的Google手機，Pixel 5'],https://www.mobile01.com/topicdetail.php?f=565&t=6605124,['個人第一支智慧手機是Nokia Lumia 800，然後系統就被微軟放生了但是它到現在還是可以開機使用，之後換的第二支就開始用Google的手機了，LG製的Nexus 5因某次上班隨手塞口袋不小心噴飛沒發現，雖然遺失地點有點偏僻後來是撿回來了，但明顯被車輾過螢幕碎了一角，居然還是可以開機使用，但撐了幾天後還是往生了，雖然它比Pixel 5還短命，但卻是因外力破壞造成，再來就買了Nexus 6，這支台灣沒上市，多虧了當初Mobile 01的討論，讓它能從法國亞馬遜橫越歐亞大陸來到我家，目前也還是可以使用，當然電池衰退的挺嚴重就是了，接續的下一支手機，直接跳到Pixel 2 XL，也是台灣沒上市，剛上市就從美國官網買了後透過轉運到台灣來的，歷經更換一次電池，在買了Pixel 5後退下來被我當作工作聯絡的公務機用，最新的就是剛往生的Pixel 5了，2020/12/17台哥大門市購入，使用期間一切愉快，購入原因還不是因為Pixel 2 XL有什麼問題，主因是住處室內收不到訊號，而Pixel 2 XL有支援但不能用台灣電信業者提供的Wi-Fi Calling服務，今年約3、4月左右開始電量消耗明顯變快但還在可以接受範圍，5月底開始經常充電到80%以後增加的非常慢，想說找時間去換個電池，沒想到6/2晚上點開常用的APP，看到出現轉圈圈的讀取狀態，再開另一個APP也是一樣狀況，試著重新開機不知道能不能改善，然而進入系統出現桌面後不到2秒，畫面熄掉就變磚了...6/3到台哥大門市送修，6/7收到電話告知主板壞了更換要10K以上，再加上電池的話...跟現在買支Pixel 5新機價差不多，我只好放棄它了Nexus 5被輾壞，Pixel 5變磚...我是不是以後該避開有 5 的手機最後，網路購買了Pixel 6...現在價錢只比再買支 5 貴一點，要當個堅定的谷粉，我也想等 7 ，但現實沒辦法不使用手機撐到年底，雖然Pixel 2 XL還能用，但換過的電池也衰退了，待機通話還好，拿出來滑個網頁1小時就掉到80%以下了...'],2022-06-08
['Pixel 5 近期異常耗電 有人有這樣的狀況嗎?'],https://www.mobile01.com/topicdetail.php?f=565&t=6582908,['Pixel 5 近期異常耗電 有人有這樣的狀況嗎?查了一下 耗電 的程式最多的居然是 Google背景執行這個有解嗎? 謝謝'],2022-04-29
['Pixel 5 銀行APP登入設定消失'],https://www.mobile01.com/topicdetail.php?f=565&t=6573550,"['我的Pixel 5 Android 版本12,Android 安全性更新2022/4/5,版本號碼SP2A.220405.003這1.2個月使用銀行APP登入,每次都會遇到原本設定的帳號資料與指紋辨識都不見了,需要全部重新設定.最為嚴重的是中國信託銀行及台新richart...中信app是需要重新手機要認證...,但國泰世華卻完全沒事.請問有人遇過相似的問題嗎? 該如何排除呢?謝謝每次要轉帳都要重新設定弄一次才能匯款真的是省錢的好方式呢....(?)']",2022-04-13
['Pixel 5 突然異常耗電'],https://www.mobile01.com/topicdetail.php?f=565&t=6552328,['P5 用了也快一年半了，都沒有過任何問題，但昨晚突然電量狂掉，今早出門後才發現手機沒電。想請各位幫我看一下，Google跟Pixel 啟動器在過去24小時“各”用了17小時多，請問這是正常的嗎？更新到安卓12也很久了，最近也沒做啥更新以及安裝新app，所以實在想不出來到底是啥問題。該不會電池。。。。'],2022-03-06
['Pixel 5 終身無限相片上傳，Pixel 6則無，請問這樣要買哪一款啊？'],https://www.mobile01.com/topicdetail.php?f=565&t=6532933,['Google\xa0已經在先前有說明過，從 2021\xa0年 6\xa0月 1\xa0日起，除了 Pixel 5\xa0以及更早的機型外，Google\xa0相簿不再提供無限相片上傳的服務，無論是原始畫質或是壓縮畫質都一樣。意思是說Pixel 5 終身可無限相片上傳，Pixel 6則無，請問這樣要買哪一款啊？'],2022-01-30
['pixel 5通知跳出來螢幕就變黑'],https://www.mobile01.com/topicdetail.php?f=565&t=6521084,['這周開始只要訊息跳出來螢幕就會變暗，如圖請問各位大神知道怎麼解決嗎，我重開機後有一段時間會變好，但大概幾個小時後又會開始訊息跳出來螢幕變黑'],2022-01-07
"['[分享] Pixel 3a 或 Pixel 5 , 在 Android 12 系統版本, 有項功能(AOD)預設啟用, 但較耗電一些,']",https://www.mobile01.com/topicdetail.php?f=565&t=6514425,"['因家人手中 Pixel 3a 升級成 Android 12 系統版本, 持用2天後反應有這類狀態與先前版本(Android 11)體驗感受不同 !!To disable the Always-on Display on your Pixel smartphone, open the Settings app and select ‘Display’. On the next screen, tap on the ‘Lock screen’ option under ‘Lock display’. You can now disable the Always-on Display on your phone by turning off the toggle adjacent to ‘Always show time and info’. ""Always show time and info"" 項目, 選項下行有提示: ""Increased battery usage"" !!']",2021-12-25
['(Grant Likes Tech) Google Pixel 6 Pro 與 Pixel 5 與 Pixel 4 XL 相機對比 | 12 月相機更新！'],https://www.mobile01.com/topicdetail.php?f=565&t=6511916,['Google Pixel 6 Pro 前鏡頭表現似乎沒 Pixel 5 與 Pixel 4 XL 理想 ~'],2021-12-20
['Pixel 5 前鏡頭錄影抹'],https://www.mobile01.com/topicdetail.php?f=565&t=6495699,"['有人會覺得前鏡頭錄影時畫面很抹嗎?', '雖然是1080p但是比長按快門鍵錄影720P效果還差.']",2021-11-22
['Pixel 5 (也許是)更新Android 12後出現的問題'],https://www.mobile01.com/topicdetail.php?f=565&t=6489082,"['如題，每次更新都在第一時間進行，繼android 12後11月安全性更新也已發布當天更新，目前不確定是否因更新導致，畢竟自更新至今已經一周，但這兩天發生兩次音量相關問題至於是否兩者間相關，不完全肯定，但理性懷疑有關聯性，以下是目前發生的問題', '1.平常有掛著某還算挺放置型的遊戲讓他自己進行，昨天放置到一半的時候，他突然發出遊戲內的聲音(平常音量都調震動，也不太可能是自己調了忘記調回來，因為是掛了一陣子才""突然""發出聲音)', '2.工作關係平常許多業務往來通話，之前沒發生過一個問題，也剛好在手機出現""靈異""開啟音量事件後發生，line通話接聽時，並無開啟擴音功能，但聲音卻持續從底部喇叭發出，且不管如何設定都無法切換回手持通話', '', '以上內容不知道有沒有人遇過相關類似狀況，有的話不知道能否協助解惑，謝謝!!']",2021-11-10
['Pixel 5升級12後完全用不順手 跪求高手'],https://www.mobile01.com/topicdetail.php?f=565&t=6482947,"['如題 雖然在網路上爬文許久 但幾乎都是P3 P4的降級文章', '', '也有死馬當活馬醫照著操作過 無奈就是失敗', '', 'Pixel好像很好降韌體 但真的非專業 想請高手指點一二', '', '12那個老人介面用起來真的越用越火大...']",2021-10-31
['pixel 5 更新12！'],https://www.mobile01.com/topicdetail.php?f=565&t=6475728,['這麼快！！pixel 5 更新12？？'],2021-10-20
['pixel 5 接LINE或電話 黑屏'],https://www.mobile01.com/topicdetail.php?f=565&t=6469693,"['未靠近耳多，接通或在響就時常黑屏,只有將手機朝下又正常，一番起來又黑屏', '已撕開保護貼還是一樣,距離感測區也清潔乾淨測試過還是一樣', '請問大家會這樣子嗎？進入工程模式都英文，不知道選哪個進入距離感測校準,或感光校準', '麻煩各位教學一下,已爬文Pixel的工程模式文章真的好少......', '已經這樣用了一年多了 ,每次期待更新會好,結果都一樣']",2021-10-09
