Post Title,Link,Date
Google 已經停產 Pixel 5 與 Pixel 4a 5G 了,https://chinese.engadget.com//google-pixel-5-discontinued-100010450.html,2021-08-22
Google 的 Pixel 5a 相較 4a 5G 可能變化不大,https://chinese.engadget.com//google-pixel-5-a-leak-010055317.html,2021-02-24
Google Pixel 5、4a 5G 超廣角相機的天文攝影模式被取消了,https://chinese.engadget.com//google-removes-pixel-5-4a-5g-astrophotography-mode-023729023.html,2020-12-30
Google 使用有 64 個相機的特殊設備來訓練肖像打光的 AI,https://chinese.engadget.com//google-portrait-lighting-ai-technology-103030189.html,2020-12-13
Google Pixel 5 與 Pixel 4a 5G 對比評測：肩負新使命的新一代機種,https://chinese.engadget.com//pixel-5-pixel-4a-5g-review-083001764.html,2020-11-10
Hold for Me 通話等待助理功能自然會先登陸 Pixel 5 和 4a 5G,https://chinese.engadget.com//hold-for-me-duplex-pixel-5-4a-110037314.html,2020-10-01
Android 版 Google Photos 迎來全新編輯器,https://chinese.engadget.com//google-photos-for-android-has-a-powerful-new-editor-090004155.html,2020-10-01
定位意外相近的 Google Pixel 5 和 Pixel 4a 5G 聯袂登場,https://chinese.engadget.com//google-pixel-5-5g-pixel-4a-5g-191334299.html,2020-10-01
Google Pixel 5 與 Pixel 4a 5G 台灣售價意外由 Momo 漏出,https://chinese.engadget.com//google-pixel-5-pixel-4a-5g-momo-leak-tw-044333576.html,2020-09-30
Google Pixel 5、Pixel 4a 5G 實機諜照亮相,https://chinese.engadget.com//google-pixel-4a-5-image-leaks-030045783.html,2020-08-24
