Post Title,Link
[問題] Pixel5 wifi訊號幾乎收不到,https://www.ptt.cc/bbs/MobileComm/M.1657434651.A.DE9.html
[問題] pixel5 距離感測器異常,https://www.ptt.cc/bbs/MobileComm/M.1656217461.A.877.html
[問題] pixel5 六月更新後螢幕凍結,https://www.ptt.cc/bbs/MobileComm/M.1655393478.A.128.html
[問題] Pixel5 後鏡頭玻璃裂掉維修（高雄）,https://www.ptt.cc/bbs/MobileComm/M.1654417368.A.78F.html
[購機] pixel5換上xperia 10 Ⅳ會大降級嗎,https://www.ptt.cc/bbs/MobileComm/M.1654357878.A.AB4.html
[討論] Pixel5 是不是很難拆,https://www.ptt.cc/bbs/MobileComm/M.1653576927.A.B9A.html
Re: [問題] PIXEL5手機放燙換電池問題,https://www.ptt.cc/bbs/MobileComm/M.1651592499.A.1D6.html
[問題] PIXEL5手機放燙換電池問題,https://www.ptt.cc/bbs/MobileComm/M.1651589683.A.1A6.html
[討論] PIXEL5才是pixel系列最穩的吧？,https://www.ptt.cc/bbs/MobileComm/M.1650348025.A.815.html
[問題] Google助理叫不醒（Pixel5),https://www.ptt.cc/bbs/MobileComm/M.1648125625.A.E92.html
[問題] Pixel5指紋感應到進入桌面的時間,https://www.ptt.cc/bbs/MobileComm/M.1647338199.A.9D1.html
Re: [問題] Pixel5 三月安全性更新後GPay整個罷工,https://www.ptt.cc/bbs/MobileComm/M.1647222273.A.EB6.html
[問題] Pixel5 三月安全性更新後GPay整個罷工,https://www.ptt.cc/bbs/MobileComm/M.1646894484.A.0B1.html
[討論] 分享pixel5的夜拍,https://www.ptt.cc/bbs/MobileComm/M.1645584857.A.06B.html
[問題] pixel5 不能用IG AR特效？,https://www.ptt.cc/bbs/MobileComm/M.1641198038.A.D36.html
[購機] pixel5a還是6,https://www.ptt.cc/bbs/MobileComm/M.1639718488.A.002.html
[問題] Pixel5拍照片在谷歌相簿看有雜訊,https://www.ptt.cc/bbs/MobileComm/M.1638445686.A.B58.html
[問題] Pixel5更新完Android12後,https://www.ptt.cc/bbs/MobileComm/M.1637924854.A.534.html
[心得] Pixel5升級Pixel6拍照小心得,https://www.ptt.cc/bbs/MobileComm/M.1636304293.A.1F3.html
[問題] Pixel5更新Android12後桌面,https://www.ptt.cc/bbs/MobileComm/M.1635788526.A.725.html
Re: [問題] 該把pixel5換6嗎?,https://www.ptt.cc/bbs/MobileComm/M.1635267117.A.0D3.html
[問題] 該把pixel5換6嗎?,https://www.ptt.cc/bbs/MobileComm/M.1635260862.A.C47.html
[購機] Pixel5換機 Pixel 6 pro / iPhone 13 Pro,https://www.ptt.cc/bbs/MobileComm/M.1634669696.A.978.html
[心得] 個人實拍Pixel5 vs iphone 13 pro拍照,https://www.ptt.cc/bbs/MobileComm/M.1633913078.A.5FB.html
[心得] google Pixel5夜間拍攝分享5,https://www.ptt.cc/bbs/MobileComm/M.1631404119.A.D2A.html
[問題] Pixel5不能台灣之星 5G,https://www.ptt.cc/bbs/MobileComm/M.1631101599.A.F3B.html
[心得] google Pixel5夜間拍攝分享4,https://www.ptt.cc/bbs/MobileComm/M.1630826693.A.DF4.html
[購機] 15K左右手機選擇 Pixel5a S20FE,https://www.ptt.cc/bbs/MobileComm/M.1630809779.A.20D.html
[心得] 英仙座流星雨 by pixel5,https://www.ptt.cc/bbs/MobileComm/M.1628887430.A.E2D.html
[問題] pixel5無法存取手機檔案,https://www.ptt.cc/bbs/MobileComm/M.1628659675.A.31F.html
[討論] pixel5也太保值了吧,https://www.ptt.cc/bbs/MobileComm/M.1628428386.A.2CC.html
[問題] Pixel5 手機截圖有辦法換成PNG檔嗎？,https://www.ptt.cc/bbs/MobileComm/M.1627716742.A.669.html
[問題] pixel5桌面滑動時掉FPS,https://www.ptt.cc/bbs/MobileComm/M.1627605061.A.FE0.html
[購機] Pixel5跳去s21u會有明顯升級感嗎,https://www.ptt.cc/bbs/MobileComm/M.1627020704.A.D0B.html
[心得] google Pixel5夜間拍攝分享3,https://www.ptt.cc/bbs/MobileComm/M.1626437266.A.57D.html
[心得] htc10換Pixel5一個多月心得,https://www.ptt.cc/bbs/MobileComm/M.1624209555.A.C37.html
[心得] Pixel5 & Zenfone8使用心得,https://www.ptt.cc/bbs/MobileComm/M.1624069243.A.691.html
[情報] Pixel5 超簡單Android12 beta2心得,https://www.ptt.cc/bbs/MobileComm/M.1623266408.A.6FE.html
[購機] pixel5 or s21u,https://www.ptt.cc/bbs/MobileComm/M.1623264825.A.D86.html
[討論] pixel5 為什麼非官網都缺貨?,https://www.ptt.cc/bbs/MobileComm/M.1623263492.A.BFC.html
[購機] pixel5與iPhone11,https://www.ptt.cc/bbs/MobileComm/M.1622781528.A.DB0.html
[問題]  pixel5的分割畫面,https://www.ptt.cc/bbs/MobileComm/M.1621522636.A.28D.html
[問題] pixel5的安全性更新,https://www.ptt.cc/bbs/MobileComm/M.1621467313.A.E81.html
[問題] zenfone5無法資料轉移pixel5,https://www.ptt.cc/bbs/MobileComm/M.1621386656.A.814.html
[問題] Pixel5不能開PDF,https://www.ptt.cc/bbs/MobileComm/M.1621242762.A.54A.html
[購機] pixel5換zenfone8有升級感嗎？,https://www.ptt.cc/bbs/MobileComm/M.1621002378.A.8F5.html
[心得] google Pixel5夜拍分享之小技巧與比較2,https://www.ptt.cc/bbs/MobileComm/M.1620573600.A.E2E.html
[心得] google Pixel5夜間拍攝分享2,https://www.ptt.cc/bbs/MobileComm/M.1619878688.A.C61.html
[心得] google Pixel5之海陸空銀河I got it.,https://www.ptt.cc/bbs/MobileComm/M.1619862173.A.9BD.html
Re: [心得] google Pixel5夜拍分享之小技巧與比,https://www.ptt.cc/bbs/MobileComm/M.1619537459.A.909.html
[心得] google Pixel5夜拍分享之小技巧與比較,https://www.ptt.cc/bbs/MobileComm/M.1619457166.A.7C4.html
[心得] google Pixel5夜拍分享,https://www.ptt.cc/bbs/MobileComm/M.1618854114.A.B3A.html
[心得] Spigen Liquid Air Armor Pixel5保護殼,https://www.ptt.cc/bbs/MobileComm/M.1615993348.A.326.html
[討論] 台灣之星支援pixel5 5G了？,https://www.ptt.cc/bbs/MobileComm/M.1615958157.A.634.html
[購機] iphone11轉12 or pixel5,https://www.ptt.cc/bbs/MobileComm/M.1615019876.A.57D.html
[心得] Pixel5的慘痛使用體驗,https://www.ptt.cc/bbs/MobileComm/M.1614869084.A.212.html
[購機] pixel5  4a5g. s20fe. zenfone7選擇,https://www.ptt.cc/bbs/MobileComm/M.1614614600.A.674.html
[問題] 為啥我的Pixel5背後有寫made in China？,https://www.ptt.cc/bbs/MobileComm/M.1614515567.A.30C.html
[心得] Pixel5 拍銀河,https://www.ptt.cc/bbs/MobileComm/M.1613911939.A.35E.html
[問題] pixel5 天文模式怎麼會是綠的？,https://www.ptt.cc/bbs/MobileComm/M.1613905795.A.64C.html
[問題] pixel5玩line遊戲閃退???,https://www.ptt.cc/bbs/MobileComm/M.1613628373.A.8FD.html
[討論]  Pixel5手機殼,https://www.ptt.cc/bbs/MobileComm/M.1613298624.A.BDC.html
Re: [問題] pixel5 +TWM vowifi(解決),https://www.ptt.cc/bbs/MobileComm/M.1612501660.A.51C.html
[問題] pixel5 +TWM vowifi,https://www.ptt.cc/bbs/MobileComm/M.1612460456.A.111.html
[問題] Pixel5 Netflix 無法播放hd,https://www.ptt.cc/bbs/MobileComm/M.1612278304.A.269.html
[購機] Pixel5/iPhone12,https://www.ptt.cc/bbs/MobileComm/M.1612169172.A.9F3.html
[問題] pixel5 使用app QRcode 相機無法對焦,https://www.ptt.cc/bbs/MobileComm/M.1611714487.A.AFC.html
