Post Title,Link,Content,Date
['HTC Desire 20 pro 問題'],https://www.mobile01.com/topicdetail.php?f=566&t=6232616,"['小弟我在今年三月時買了一支Desire 19s給長輩用，感覺還不錯，功能簡單不複雜，很適合給長輩使用，', '', '最近雙11活動再買了一支Desire 20 pro來用，整體上還可以，少了Hi-Fi喇叭和呼吸燈真的很可惜，', '\xa0', '但有一個問題想要請問一下：就是在19s有”手機放在包包裡來電會放大鈴聲、來電時手機拿起時會自動降低鈴聲“這兩個功能，', '', '為什麼20 pro沒有這個功能了？求解答，感謝喔～']",2020-11-10
['HTC Desire 20 pro 真的比real me 6優？'],https://www.mobile01.com/topicdetail.php?f=566&t=6231715,"['看手機王比較，cpu處理器 、記憶體、照相畫素都是realme6較好，但另一個網站確說HTC比較優？', '', '請問版上大大們，您們認為這2台手機誰的cp值比較高？']",2020-11-09
['HTC Desire 20 pro和HTC Desire 20+ 要選那一隻呢?'],https://www.mobile01.com/topicdetail.php?f=566&t=6228224,"['請問一下大家意見，這二隻大家會選那一隻呢', 'HTC Desire 20 pro和HTC Desire 20+ 要選那一隻呢?', '手機王比較如下', 'https://www.sogi.com.tw/compares/cellphone/15426,15571', '', '假如我用台灣大哥大699去續約的話', '反而HTC Desire 20 pro空機價6850元的要在貼490元', 'HTC Desire 20+空機價8490元空機價更高結果不用貼錢', '好怪好怪。']",2020-11-04
['htc desire 20 pro的最新版本問題'],https://www.mobile01.com/topicdetail.php?f=566&t=6219331,['想問一下目前htc desire 20 pro 可以搭配的GCAM版本是哪個? 謝謝!'],2020-10-23
['HTC Desire 20 pro 兩組 wifi mac'],https://www.mobile01.com/topicdetail.php?f=566&t=6188833,"['請問一下大家是否有看過手機上的WiFi MAC？', '今天檢視剛入手的 HTC Desire 20 pro時發現兩個MAC不相同？', '由於MAC為該手機重要私密資訊，因僅顯示部分其他隱碼處理。', '一個位於 WiFi --> WiFi偏好設定 --> 進階 --> MAC位址(56:**:**:**:**:**)', '一個位於 關於手機 --> WiFi MAC位址(74:**:**:**:**:**)', '同時檢視自己手邊其他手機，這兩組MAC都為相同？', '但今天入手的 HTC Desire 20 pro 卻是不同？', '', '由於HTC客服已下班，且也跟直營門市連絡過。', '門市人員無法回答此問題因此上來諮詢一下，已入手同款手機之大大是否也有相同狀況呢？', '', '自解答案：', '一個位於 WiFi --> WiFi偏好設定 --> 進階 --> MAC位址(56:**:**:**:**:**) -->可能於Android 10版本以上隨機產生', '一個位於 關於手機 --> WiFi MAC位址(74:**:**:**:**:**) -->固定正式的MAC']",2020-09-12
['同事要換手機vivo Y50考慮和 HTC Desire 20 Pro'],https://www.mobile01.com/topicdetail.php?f=754&t=6185844,['如果只注重遊戲不知道那隻好請推薦'],2020-09-09
['HTC desire 20 pro最近使用的心得'],https://www.mobile01.com/topicdetail.php?f=566&t=6185413,"['工作用的那張SIM卡約期到了，本來只是單純想直接續約就好，結果還是被說服多帶一支手機回家= =..算了，其實desire 20 pro也沒多少錢', '', '說一下近期使用的心得跟測試\xa0 \xa0\xa0', '', '機身', '電池U12 Life才3000多，Desire 20 pro到5000對我上班也是有好處', '但是電池整整多了2000重量也是有變重', 'Desire 20 pro 螢幕跟尺寸相對U12 life整個大了不少', '兩支背面都有紋路，不過Desire 20 pro的紋路是做成平整的又有一點漸層感', '', 'PCMARK續航時間分享', '', '', '\xa0', '放置一天測試跑PCMARK的電池使用測試續航', '結果跑了17小時47分鐘 才把100%的電量耗到20%，接著用放置2天耗到剩下5%', '這支5000大電池的續航真的可以用很久', '', '相機', '', '', '', '', '', '指紋辨識我個人是蠻習慣他是放後面的，就是手拿手機之後，手指一放上去就解鎖了', '', '', '', '似乎是只能新增五組\xa0如果有人指紋常常解不開的可以多重複設幾組~或是也可以有多一組設定給小朋友、情人、老婆用(?']",2020-09-08
['更新htc desire 20 pro'],https://www.mobile01.com/topicdetail.php?f=566&t=6167964,"['剛要開車載老婆跟寶寶出去，正要放輕音樂給孩子聽手機跳出有更新，忘了細看上面寫什麼內容我就按下去，應該就是一般的安全更新吧,有圖的大大再幫補了']",2020-08-18
['htc Desire 20 pro準備到歐洲賣了'],https://www.mobile01.com/topicdetail.php?f=566&t=6166518,"['https://twitter.com/htc/status/1293532940232732672', '', '官方的twitter說Desire 20 pro要去歐洲賣了', '西班牙、義大利...英國..', '', '', '', '印度好像也有好幾個留言在問', '比起賣野火系列，d20 pro應該更好?']",2020-08-16
['HTC Desire 20 pro出新色上市!'],https://www.mobile01.com/topicdetail.php?f=566&t=6163690,"['痾U20還沒上市', '好突然冒出一支新的desire 綠色', '', '這綠的好看嗎?也沒到很綠', '', '', '黑色個人比較愛', '', '', '\xa0 HTC Desire 20 pro晶耀綠新色上市']",2020-08-12
