Post Title,Link,Content,Date
['HTC U12 LIFE 錄影這樣正常嗎?'],https://www.mobile01.com/topicdetail.php?f=566&t=6038789,"['大家好,', '手邊有一台HTC U12 LIFE 剛買不到一個月(2月19日於yahoo.),已經送修一次,', '1.螢幕觸控不良 --> HTC人員有說幫我換了一個螢幕', '2.錄影時,鏡頭會抖動 --> 這個HTC人員說有幫我重新上相機程式,大概是這類的意思,我也聽不太懂.', '', '但是 今天收到回來的手機', '', '現在的錄影效果是這樣的,除了繼續抖動之外,還多了拐拐的聲音,請問這樣是正常嗎? 我不太懂...', 'https://www.youtube.com/watch?v=GxIRxpmZDZ8', '', '', '', '這一個是送修前的錄影效果', 'https://www.youtube.com/watch?v=QQA2iaJ3zZU', '', '請問有U12 LIFE的朋友們,你們的手機會這樣嗎?', '或是其他廠牌的手機也會這樣嗎?', '謝謝']",2020-03-05
['孝親機HTC U12 life與LG Q7+兩支抉擇'],https://www.mobile01.com/topicdetail.php?f=566&t=6019571,"['爸爸是用紅米Note4X', '最近開關機鈕變難按了', '所以想幫他換手機', '爸爸平常只玩打麻將的手遊', '沒有其他需求', '所以想幫他挑DC調光的螢幕', '上NotebookCheck搜尋', 'HTC U12 life是最符合條件的', '其次是LG Q7+', '兩支的PWM值都是0', '差在HTC U12 life螢幕比較大', '但是上網看評價', 'HTC被黑的很慘', '開始讓我考慮LG Q7+', 'LG找不太到什麼評價', '所以不知道選哪一支比較好']",2020-02-09
['請問HTC U12 Life & HTC Desire 19s & ASUS ZenFone M2 三款比較'],https://www.mobile01.com/topicdetail.php?f=393&t=6002245,"['請問HTC U12 Life & HTC Desire 19s & ASUS ZenFone M2 三款比較', '因為最近要換機', '沒有特別功能需求', '就打電話.拍照.LINE.FB.看影片.偶而玩玩手遊', '因為品牌及價位考量目前只考慮這三款', '請問有使用過的心得?', '哪一支比較穩定.問題比較少?', '感謝!']",2020-01-13
['HTC Desire 19+ (4GB/64GB) 及 HTC U12 Life (64GB)'],https://www.mobile01.com/topicdetail.php?f=566&t=5958988,"['HTC Desire 19+ (4GB/64GB) 及 HTC U12 Life (64GB)哪一支比較好用', '平常只玩玩 line fb youtube 看看股票', '哪一支比較適合我！謝謝']",2019-11-24
['以我要求挑下來竟然只剩HTC U12 Life跟V15 Pro可選？'],https://www.mobile01.com/topicdetail.php?f=393&t=5934383,"['我的要求：', '2019年出的新款', '螢幕至少6吋', '解析度至少FHD', '重量不要超過190g', '電池有3600mAh以上', '記憶體4G以上', '有NFC', '支援CA載波聚合', '有雙卡雙待', '價格要低於1萬', '', '這樣找一輪下來竟然只有HTC U12 Life跟Vivo V15 Pro可以選']",2019-10-26
['關於HTC U12 Life'],https://www.mobile01.com/topicdetail.php?f=566&t=5904484,['小弟有一支主要機(中階)最近因為有點需求，想要另一支副機，效能不想太差，所以想來另一把中階原本是考慮華為Nova 4e或是 Nova 3(其實這個會有點爆預算)後來看到有人VIVO手機相機會自動升起，就不太有膽子碰對岸的機器...不過，中階副機的需求還是在，所以就看上了價位6XXX的HTC U12 Life有沒有用過的M友能分享下心得？好讓小弟參考PTT上看到它的罩門是相機，不過我本來買這支中階就是比較重視效能而不是相機這支還有哪什麼地方是重大缺失呢'],2019-09-19
['asus zenfone 5 ze620kl 跟htc U12 life (4G/64G) ，哪隻好?'],https://www.mobile01.com/topicdetail.php?f=393&t=5878533,['我的預算希望能控制在5000-7000，希望是台廠的。以前用過htc，只能更新一次，不曉得是否現在還是一樣?如果要比較這兩隻，asus zenfone 5 ze620kl 跟htc U12 life (4G/64G) ，哪隻好?'],2019-08-23
['HTC U12 Life如何投放畫面致電視?'],https://www.mobile01.com/topicdetail.php?f=566&t=5844745,['如題，一直顯示搜尋裝置，這功能該怎麼用呢?研究不出來...求解~謝謝!!'],2019-07-13
['買給爸爸 ASUS ZF5 和 HTC U12 Life 哪隻合適?'],https://www.mobile01.com/topicdetail.php?f=61&t=5822606,['我之前也問過買 ZF4 和 HTC UU 那隻給爸爸好(當初是價格差不多)文章連結在這 : https://www.mobile01.com/topicdetail.php?f=61&t=5345338我爸以前是 ASUS 使用者，用過ZF和ZF2，因為老人家使用習慣問題，如上面文章有提到，我當初很猶豫，不過我後來還是冒險買了 HTC UU，想說旗艦機給爸爸用應該比較穩我爸在使用期間很多抱怨，一下抱怨蓄電力不夠，一下抱怨介面和輸入法不一樣(後來也適應了)。至於拍照，我發現我爸很少拍照，他在這方面沒什麼感想，整體而言他雖然抱怨很多，但是多半是不適應的抱怨。不過用了一年半 HTC UU 就掛了，我爸在掛了之後，就說 HTC 怎麼這麼不耐用，這我也很無奈。不過問題來了，現在我又要幫我爸買手機了。我原本是想說買 ASUS ZF5 給我爸，價格目前空機價格約 7500 元，但是我突然發現 HTC U12 life ，空機價格只需要 5500 元，我今天上網爬文比較一下優劣發現1. ZF5 拍照比 U12 life 好上不少，或許我爸不愛拍照，但是我是拍照控，我其實很猶豫這一點。2. ZF5 只有 2CA 沒有 3CA，我爸是用亞太電信，我不知道這樣是否有差。3. ZF5 續航力沒有 U12 life 好，我爸之前常抱怨 HTC UU 續航力差。4. ZF5 的使用介面對我爸來我可能使用上比 U12 Life 友善。5. 對老人家來說 ASUS 維修現在比 HTC 方便不少，至少我爸爸可以自己去皇家俱樂部修。以上是我猶豫的點，其實如果兩隻價格一樣，我會秒選ZF5，畢竟我爸可能對 HTC 有陰影，不過說也奇怪，我爸每隻手機都用約一年半就壞了，ZF、ZF2 都修過很多次，連 HTC UU也是一年半掛(送修無法修)，但是我爸卻對華碩持正面態度，HTC 他一直有抱怨，我也不懂為什麼???請問大家要是我，會選擇這兩隻哪一隻阿? 還是有其他選者?'],2019-06-17
['HTC U12 life'],https://www.mobile01.com/topicdetail.php?f=566&t=5694374,['請問一下各位 覺得這隻如何？'],2019-01-20
['HTC U12 life 相機部分可以更新為 google camera ?'],https://www.mobile01.com/topicdetail.php?f=566&t=5687534,"['對於HTC U12 life 拍照部份不是很滿意 ,請問可像 asus zenfone max pro 更新其相機部分為 google camera 嗎?有高手可以指教一下嗎 ?感謝 !']",2019-01-12
['HTC U12 LIFE 系統更新！！'],https://www.mobile01.com/topicdetail.php?f=566&t=5680675,['今日 （1/4） HTC 推播了 U12 LIFE 的更新最近HTC 更新頻頻12月~1月間更新的有HTC EXODUSU12+U11+U11820s728還有今天的U12 LIFE如果有U12 LIFE的朋友們可以更新一下呦'],2019-01-04
