Post Title,Link,Content,Date
['求助！Lumia 950 紅色畫面有兩個箭頭'],https://www.mobile01.com/topicdetail.php?f=631&t=6441595,['我的手機今天刷韌體失敗，然後就進到這個畫面了....請問有大神知道如何解決嗎....'],2021-08-27
['Lumia 950 XL該換什麼安卓的手機'],https://www.mobile01.com/topicdetail.php?f=631&t=5839936,['各位好因為我是個香港的Lumia 950 XL用家不過因為WhatsApp支援WP到這年底就不能用了...所以我開始要看看 之後要換哪台手機主要想要個拍照跟Lumia的差不多..因為是好喜歡現在拍出來的感覺!也不想用中國品牌的(因為各種各類的原因)也不想是iPhone...更加想請問些原本在用Lumia的(尤其是950 XL的)而已經換了Android的..究竟在用什麼手機 也覺得如何 除了系䋐上的 有什麼分別~先感謝各位大大!!!'],2019-07-08
['請問Lumia 950的快充'],https://www.mobile01.com/topicdetail.php?f=631&t=5348983,['最近把Lumia 650退役，剛好看到露天有在賣聯強版的Lumia 950所以就把她帶回家了...登登但台版的充電頭是5V/1.5A，這應該不是快充頭，所以在掏寶上找了一個淘寶快充頭想請問一下有經驗的大大都是去哪購買快充頭的，我貼的這個可以用嗎?謝謝另外想請問現在最後更新的版本是多少?謝謝'],2017-12-22
['長輩超滿意Lumia 950'],https://www.mobile01.com/topicdetail.php?f=288&t=5308630,['前陣子長輩手機壞了，所幸把心愛的Lumia 950給了暫用看看，結果長輩大讚不絕口…微軟要不要考慮復出專打銀髮族呀…'],2017-11-06
['長輩超滿意Lumia 950'],https://www.mobile01.com/topicdetail.php?f=288&t=5308627,['前陣子長輩手機壞了，所幸把心愛的Lumia 950給了暫用看看，結果長輩大讚不絕口…微軟要不要考慮復出專打銀髮族呀…'],2017-11-06
['請問Lumia 950能支援哪些影像格式?'],https://www.mobile01.com/topicdetail.php?f=631&t=5282864,"['最近下載了一些影片與動畫放到新手機內(之前的Lumia 720已經進行養老)MP4雖然能看但MKV卻顯示""不支援的格式""ACG-Playerˋ Moli-Playerˋ CC-Player全部安裝且測試過不是無法播放與切換語言界面ˋ 就是顯示""格式不支援""或是""無法播放的格式""就是""只有付$版才有這功能""線上爬文之後發覺這3個APP根本只是外殼....有請問這台手機到底支援哪些格式......MKV甚麼時候已經不能支援了?(個人方面的問題經過多方確認後已經排除....因此這到底是手機的問題還是APP的問題?....還是微軟那邊的問題???)']",2017-10-05
['升級 LUMIA 950 的疑問'],https://www.mobile01.com/topicdetail.php?f=631&t=5262615,"['想請教有沒有人從 LUMIA 1020 轉 LUMIA 950 呢? 這樣使用起來有升級的感覺嗎? 我使用 LUMIA 1020約2年, 有些不滿意的地方不曉得換LUMIA 950算不算有升級到呢? 我完全不完遊戲, 除了拍生活照外, 僅用LINE及上網,APP看新聞, 及地圖.(1) 電力: 用LUMIA 1020 照相, 偶爾開關拍照, 用2~3小時, 差不多會吃掉50~60%電力. 平常待機沒甚麼用,開省電模式,也大約2~3天需充一次電.(2) 地圖: 用內建地圖是很方便及快, 但GOOGLE MAP有店家評論, 出去玩時查詢更好用, 但是用網頁開起來慢到想砸手機.(3) APP: 不管是看內建新聞APP, 或是鄉民晚報, 及特別是YOUTUBE影片, 常會莫名關閉跳出.(4) 網頁瀏覽: 除了上面提到用網頁看GOOGLE地圖, 慢到要撞牆之外, 其他網頁也不是太快. 網頁顯示的圖片常會亂跳, 或比例不正常. APP看新聞也一樣會發生.電力有可能是電池老化, 但其他如(2)~(4)會因為換LUMIA 950而有改善嗎? 只是希望換了手機後照相品質能對等, 好像也只有LUMIA 950, 想知道換 LUMIA 950是否真的會有升級感. 謝謝!']",2017-09-12
['Lumia 950 的耗電量問題'],https://www.mobile01.com/topicdetail.php?f=631&t=5251197,['兩個星期前我買了Lumia 950我發現能持續使用的時間不太長我只有單純的使用LINE但是卻頂多只能支撐連續使用1.5個小時的LINE聊天對話(沒有玩遊戲)現在都全程開著省電模式但即使是開著省電模式待機時間最長也不過7個小時左右(因為我睡前拔掉了充電器 早上醒來就完全沒電了 連鬧鐘都沒了)請問這個樣子的使用方式 是正常情形還是哪邊出了問題?'],2017-08-30
['LUMIA 950充電轉接頭/傳輸線'],https://www.mobile01.com/topicdetail.php?f=631&t=5188745,['近日想幫自己LUMIA 950買一個Type-C轉接頭/傳輸線一日遊950拍照/錄影電力不夠用想買華為轉接頭(傳輸/充電)接920傳輸線這樣問網拍第1間說不行第2間也說950太冷門叫我買回去測試而且價格每間都不一樣?Type-C傳輸線有推薦?可傳輸/充電/便宜'],2017-06-24
['Lumia 950 現在值得買嗎？'],https://www.mobile01.com/topicdetail.php?f=631&t=5137580,['最早第一支智慧型手機是 lumia 920有一次不小心摔劣螢幕後，買了一支 525 還 520 ，只有支援3G，用也有2年多了吧。最近想換一支有4G 但是還是想買微軟的1.Surface Phone 今年到底有沒有要上市？要等他嗎？ 還是乾脆衝一支 lumia 950 算了？查了一下現在空機6千左右就有lumia 920 XL 不考慮，比較貴+好像災情比較多我只需要（通訊軟體 + 拍照 + ），基本上不打遊戲2.想問一下有用 950的大大，LINE 還是需要點進去等洗訊息嗎?每次中午點進去line，等那個洗訊息，都要等30秒以上超煩，覺得超慢的我是525 還 520 那款....因為要等完才能用'],2017-05-02
