Post Title,Link
[新聞] 洩漏出來的微軟 Surface Duo 2 有著巨大,https://www.ptt.cc/bbs/MobileComm/M.1627356164.A.E0D.html
[討論] Surface Duo 相機使用GCAM vs Stock,https://www.ptt.cc/bbs/MobileComm/M.1623071514.A.795.html
[新聞] 微軟把 Surface Duo 的第二螢幕變成 Xbox,https://www.ptt.cc/bbs/MobileComm/M.1621935079.A.923.html
[閒聊] TESTV值不值得買Surface Duo,https://www.ptt.cc/bbs/MobileComm/M.1604629736.A.F41.html
[新聞] 傳微軟Surface Duo 摺疊手機曝設計瑕疵！,https://www.ptt.cc/bbs/MobileComm/M.1601897352.A.B30.html
Re: [閒聊] TESTV 微軟Surface Duo雙螢幕手機開箱,https://www.ptt.cc/bbs/MobileComm/M.1600142002.A.D0A.html
[閒聊] TESTV 微軟Surface Duo雙螢幕手機開箱,https://www.ptt.cc/bbs/MobileComm/M.1600140549.A.A0E.html
[新聞] iFixit 拆開 Surface Duo 後發現了「令人,https://www.ptt.cc/bbs/MobileComm/M.1599977567.A.46E.html
[問機] Surface duo或是iPhone 12 pro max,https://www.ptt.cc/bbs/MobileComm/M.1598639864.A.2D4.html
[新聞] 微軟的Surface Duo手機9月10日上市，定價,https://www.ptt.cc/bbs/MobileComm/M.1597230591.A.C00.html
[新聞] Surface Duo 上市日期近了？微軟 App 透,https://www.ptt.cc/bbs/MobileComm/M.1595062885.A.C85.html
[新聞] 相機表現有待加強？Surface Duo 首張實,https://www.ptt.cc/bbs/MobileComm/M.1586743752.A.D7F.html
[情報] 網友在加拿大看到Surface Duo實機,https://www.ptt.cc/bbs/MobileComm/M.1581311936.A.702.html
[新聞] Surface Duo 操作介面曝光！搶先一睹微軟,https://www.ptt.cc/bbs/MobileComm/M.1579762818.A.FEC.html
[新聞] 對決微軟 Surface Duo ? 傳三星也要推雙,https://www.ptt.cc/bbs/MobileComm/M.1573523099.A.525.html
[新聞] 微軟以雙螢幕手機Surface Duo結合應用與,https://www.ptt.cc/bbs/MobileComm/M.1570443424.A.252.html
Re: [情報] 微軟發表 Surface Duo,https://www.ptt.cc/bbs/MobileComm/M.1570037130.A.438.html
[情報] 微軟發表 Surface Duo,https://www.ptt.cc/bbs/MobileComm/M.1570030493.A.EDD.html
