Title,Content,Comment,Date
[問題] Oneplus 8T T-mobile電信鎖解鎖,  前幾天有詢問過這問題，但沒什麼人回覆所以再請教一下各位解決方法，目前是把開發者內的Oem給解鎖了。  就是過年前從美國再買了一次一隻一加8和一隻8t回來，想說之前買的8很順利就可以正常，買一隻好一點的8T 給爸爸使用，8還是很順利完成解sim卡鎖，但是8t就不是那麼容易了，不知道是不是原本系統就是安卓11的問題，所以T-Mobile sim卡鎖一直沒有辦法解開，尋遍網路上的方法還是找不到方法，不知道是有什麼方法可以unlock？  麻煩請知道的板大們提供方法和建議 謝謝。,怎麼不直接問客服看看。之前8是一開機，不要連線任何網路，直接unlock電信鎖。@uke823 有問過客服，需要用過T-Mobile 才可以。@myrzr 跟8一樣的方法沒辦法。那很麻煩，t-mobile需要號碼在系統上40天才能解，你只能找。網路破解。@myrzr 沒錯所以才希望可以指點迷津一下。eBay。以前的經驗 給你參考一下 網路有些網站賣50鎂的 解鎖碼。對岸某寶 可以找到 遠程刷機 要刷韌體那些。有一點點安全疑慮 大約花了50rmb 全程1小時左右,2022/02/28
[閒聊] OnePlus 8T Concept (變色玻璃版),"   OnePlus 8T Concept   https://youtu.be/HsjcVboFn9c   居然是一加先弄出變色玻璃展示機..   肥威   一加8T Concept演示，可以實現通知變色還有手勢變色，後置攝像頭有mmWave（不是   5G mmWave）感應技術，通過這個模塊可以通過空中手勢實現電話的接聽和掛斷等操作   數碼閒聊站   https://m.weibo.cn/detail/4584694274851499   一加的電致變色樣機，正面玩不出花都開始鼓搗背面了，這個大花紋屬實有個性   https://wx4.sinaimg.cn/large/006BlblIgy1glvtxwo8qsj31dw0qonce.jpg https://wx4.sinaimg.cn/large/006BlblIgy1glvtx9mqscj31fg0tsk59.jpg https://wx1.sinaimg.cn/large/006BlblIgy1glvtxdyk6cg311c0l01ld.gif   數碼閒聊站   看了一組Reno5 Pro+樣張，感覺 IMX766 還挺強的，雖然硬參數縮了一點，   IMX689 是 48mp+1/1.43""+1.12μm/2.24μm。   年後新旗艦主副攝都用它了，一加也會用。   旋律檸檬檬:想知道縮水了多少   數碼閒聊站:硬件略微縮水，調得好拍照升級了",一加Concept 8T這個概念機的原理是電致變色。https//m.weibo.cn/detail/4584719893668695。背面改紅色就變華為了。淘寶20塊的殼？。好醜的花紋，還不如打火機上的加熱變成透明...。越賣越貴。這個花紋有夠醜...。那個花紋 華為設計是嗑了什麼？。仔細看會有一種噁心感...我說認真的=.=。這花紋真的醜到有剩 不能弄個變色品牌icon就好嗎。剛剛才發現 我居然把花紋打成華為了（掩面）。呵，前灘死一堆*** lg pixel4。巨醜。醜到不會說,2020/12/22
[閒聊] Oneplus 8T防水測試,https://www.youtube.com/watch?v=k6gmcIpZ8qUhttps://www.youtube.com/watch?v=DlokcQrzEYA測試的機型都是國際解鎖版(意思是不鎖電信商)，官方沒有宣稱任何防水功能，但實測IP68應該是沒問題的T-Mobile版本有另外加上IP68的認證，就重新命名為Oneplus 8T+但相信其實硬體部分應該是相同的，只是T家自行認證以增加受眾,OnePlus 8 Version T-Mobile版本也有自己送測IP68。8T一直搶不到啊。要去哪裡搶。西台灣的某東。京東搶不到啦，幫家人買，每次有貨進結帳就沒了。下次開搶還得等11/11。11/3半夜搶到一支，那時只有一張50卷還是刷下去了。希望能在1111之前拿到，寫一篇開箱來版上推坑。1號搶了1隻沒券所以沒下單 中午領券後 下午又搶到1。隻 不難搶 但是要一直刷。不可能那麼快，我的六天了還沒到。感覺要到下週三左右才會到。要過IP68不是要用水槍噴嗎...泡水就算沒問題?。我的已經在海關那。pcmam你說的是IP65或IP66。支援IP68不一定支援IP65或IP66,2020/11/07
[新聞] 《電馭叛客 2077》版 OnePlus 8T 來襲！,"《電馭叛客 2077》版 OnePlus 8T 來襲！可惜是中國限定，售價 3,999 人民幣。Sanji Feng15 分鐘前雖然《電馭叛客 2077》（Cyberpunk 2077）的遊戲不久前剛剛確認會再度跳票，但相關的聯名產品可沒有因此而打亂發表的計畫。早先在公佈下半年新機 8T時就已經預告過《電馭叛客 2077》特別版的 OnePlus，今日正式在重慶端出了這款限定產品。它的硬體跟標準版無異，不過只提供 12GB RAM 加 256GB 儲存這一個型號。價格為人民幣 3,999 元，今日下午三點便會開啟預約，至少目前計畫是僅在中國大陸發售。和標準版相比，特別版在背蓋設計上有了相當大的變化。它整體被分為了三段，上方原本的「麻將牌」相機直接變成了幾乎撐滿左右的大塊凸起，上面有遊戲的主題字樣。雖然造型誇張，但不得不說的確相當有辨識度。而後蓋的底部則是以鍛造碳紋理來「再現夜之城複雜無序的生活狀態」，中段背蓋則是在 AG 玻璃上做出了一種類似雪花的視覺效果，官方稱能「代表高科技與低生活之間的未知可能性」。可能是出於背蓋上的這些改動，《電馭叛客 2077》版的 8T 重量上升到了 193g，相比標準版重了 5g。除了外觀以外，特別版預載的氫 OS 系統自然經過了深度客製，它的桌布、圖示、音效、動畫效果等都融入了《電馭叛客 2077》的主題元素。同時在相機 app 中，OnePlus 也增加了「夜之城」和「加州北部」這兩款濾鏡，方便用戶自己拍出賽博龐克味滿滿的照片。最後，在特別版的包裝中也會附贈夜光保護殼、說明書海報和一枚限定徽章（總共六款）。總體而言，可以說是一款相當有誠意的主題限定手機了。https://chinese.engadget.com/oneplus-8t-cyberpunk-2077-edition-070813540.html3999人民幣 約新台幣17110元心得：針對這個遊戲的特製版本手機，當然最重要除了背蓋有非常大特色的變化以外手機裡面軟體的部分也有非常深度的客製，喜歡這款遊戲的玩家可以關注一下",這個造型我無法= =。完全不懂這在幹嘛，遊戲沒出出一堆週邊。到時又變最後2  一堆周邊但沒人要  呵呵。這相機模組真的是醜到有剩XD。那個是6筒？。有夠醜。這外型很geek。中國的美感就是毫無美感。不錯@@。現在很少有特色外觀的手機了，都一塵不變。會延到2077嗎。買手機送遊戲 可能會考慮。醜嗄。帥。嚇死 我以為又要手遊化了（冷汗）。印象深刻的ip合作手機已經是好久以前的sharp了。https//i.imgur.com/Edg3ndM.jpg。想要，哪裡可以預購啊？京東沒看到。京東官方商城有吧，只是台灣沒貨。只開放中國預約？。那這樣刷氧OS不就沒特別主題了。都還沒上市高搞聯名。這設計元素讚耶 有cyber的感覺。可惜充電頭組沒有配合設計。不像oppo跟EVA合作的無線充電板潮到出水。手機比遊戲早上市，不簡單。幹超帥。醜到哭 可憐。延遲上市啦 掯。我說遊戲。這背面我不行= =。突破審美觀的下限。不Say，手機又不能玩2077，這合作要幹嘛。這遊戲中國能上市？。https//youtu.be/0AbSOoT_GdE。太早買pixel5了，不然想換。有點帥。感覺還可以，但我還是買一般版的好了,2020/11/02
[情報] Oneplus 8T 續航測試(GSMArena),https://www.gsmarena.com/oneplus_8t-review-2183p3.php                            3G通話      網頁瀏覽     影片播放Oneplus 8T                  30:52       13:18        16:03S865 / 4500mAh / 6.55吋@120Hz FHD / Endurance 104h,8pro續航跟8t差不多吧。Sony控制得很好。正在考慮8t  但5g建設速度又覺得現在好像還不用換..。8T我覺得很不錯，但手機能撐當然繼續撐。8T好便宜喔。他國四物。一加為什麼不來台灣賣。band28的那裡買。以前有來過啊結果根本沒人買。Sony也控制得不錯。沒全頻。8T相機爛到笑，買之前要三思ㄛ。分享一下使用時間http//i.imgur.com/wkJG2CD.jpg。就是剛好相機需求超低阿  根本沒啥在拍東西。一加的照相真的爛，還敢說never settle哈哈，settl。e啦，哪次不settle的,2020/10/21
Re: [新聞] OnePlus 8T 將於 10 月 14 日登場,  中國版也發布了 還多了一個特別版 賽博朋克版  「小白測評」水桶一加8T體驗 哭了…終於給上65W閃充了   https://weibo.com/tv/show/1034:4560274624282627   8G+128G售3399元(約台幣14520)  國際版賣599歐元(約20198台幣)  12G+256G售3699元(約台幣15801)  國際版賣749美元(約21542台幣)  https://wx2.sinaimg.cn/large/69ffdc0dly1gjq17zp764j21400u0gpf.jpg,真香。真香，非曲面屏! 但相機模組還是8跟8 pro的居中好看。所以這次中國版的頻段到台灣會殘廢嗎？。非曲面螢幕就是爽。不知道支援台灣4g的情況如何，希望可以吃很多CA><。https//i.imgur.com/wFgtj8k.jpg。好像沒有B28。讚  買回來你傳笑話給朋友  擋跟著笑 ☺。以下訂。集團太大，定位不一。太便宜了吧！去年7t上市有這麼香嗎？。剛上市時貴滿多的樣子。7T 2999/3199 不過今年跟對手比整體更便宜。今年算便宜了。PPT真醜...。價格真香。今年7月底買7t Pro覺得8t好像很超值... 8t最貴的版。本還比7t Pro便宜。好像有便宜。8t比8還便宜，那8怎麼賣@@？。不care相機的話 很香。可惜沒有wireless charging，不然就換這支了。。這支就敗在相機，2020年還在586，四顆鏡頭有兩顆湊。數，下去。這次廣告有宣傳自動亮度 xd,2020/10/15
Re: [情報] Oneplus 8t vs Pixel5,"  同樣是 英國大頻道 的看法  OnePlus 8T vs Google Pixel 5 - The Brutal Truth.  https://youtu.be/1HvrmDxSFnk  (有字幕)  谷歌像是平價中提升CP 一加8T像是往旗艦感走(有人超愛螢幕全平面沒曲) 65W快充  8T雙喇叭更大聲 一小時重度使用 8T 剩餘76%、P5剩72%電  有趣的點 谷歌用imx363好幾代 ， 一加的 IMX586 也用好幾台 XD  影片6:55 比對範例  8T美國定價 749美元  只賣12GB/256GB，其他區域 8/128GB 549歐元  至於其他頻道 例如 Android Authority 認為 8T 連外觀都更像 1+Nord升級  (之後慢慢等其他拍攝比對 一定會推出)  OnePlus 8T vs Pixel 5 vs Galaxy S20 FE | Gaming, Speaker & Camera TEST!  https://youtu.be/pkjy_5e7MMo  (有字幕)  0:00 Intro  0:40 Hardware   規格比對  2:33 Gaming   遊戲流暢度展示 LOL 8T可以120FPS，S20 FE被限制60FPS  4:41 Temperature  遊戲1小時候 8T溫度較冷  5:26 Speaker Test 雙喇叭展示 P5較小聲  8:01 Camera Test  4K/60FPS錄影 ->拍照、人像模式 ->夜間(FE表現不差)  12:55 Decisions  作者選S20 FE ",我現在yt首頁全部是op8t p5影片 解禁全部出來了。MKBHD對8t感覺普通 台灣沒8t 少一個選擇。8T歐洲好像比pixel定價便宜？。可惜台灣沒8T。台灣不進8T嗎。MKBHD總算拿到了xD。https//youtu.be/stsJe7pJaKU。台灣連8都沒有。8T表現是不是比較好？。一加不是很久沒在台灣賣了嗎。雙11看看8pro會不會跳水，不過不知道會不會有8t pro。?。7pro用的很滿意，下一支應該會繼續用1+。7pro很滿意。8T 國行版5G頻段少更多 比8/8pro還少 B28依舊不見蹤。影。同一個感光元件一直調教其實還比較好。15樓從哪知道的？。缺N28跟B28 中華無感,2020/10/15
[情報] Oneplus 8t vs Pixel5,https://youtu.be/1HvrmDxSFnk影片簡單的評論有些樣張參考目前看了幾部感覺過一陣子到手會擔憂的1.P5超廣角跟三星的完全不能比2.P5聽筒貌似螢幕發聲技術有點擔憂之前體驗過幾台螢幕發聲的不怎麼有興趣,8T多少錢。8t在英國比較便宜 歐洲cp最高選擇。人在日本看過展示機，螢幕發聲真的很鳥。螢幕發聲我也覺得不行。123度跟107度 還是有落差的吧。pixel5不要期待stereo，螢幕那邊喇叭真的寧願不要。有。也不要期待8T，感恩。中國機相機銳度都拉超高 營造相機很好的錯覺。8t祖傳夜間色偏。8T...張老闆哪裡來的自信出這種東西？。性能檔肯定8t好 只不過台灣價格p5硬是便宜一大截。123度真的比較震撼的感覺,2020/10/15
[新聞] 官方首度公開 OnePlus 8T 外觀,"官方首度公開 OnePlus 8T 外觀和諜照一樣，背蓋有「釉面質感」而且「不易沾指紋」，同時裝置還搭載了有光學防震的 48MP 後置主攝。Sanji Feng10 小時前距離新機 8T 正式發表還有幾天，不過 OnePlus 今晚已經提前公佈了新機的外觀。早些時候 CEO 劉作虎放出了一段由「青域」配色 OnePlus 8T「主演」的預熱短片，從中可以看到這款新品的外觀的確如諜照顯示的一樣。正面是此前已經確認的 120Hz 平面螢幕，背面看起來仍是用的 AG 玻璃，四攝組合則是以「麻將牌」的樣式出現在左上角。按照劉作虎的說法，青色 8T 的背蓋還融入了所謂的「漫反射紋理」，可以呈現出「釉面質感」而且「不易沾指紋」。除此之外在影片中我們也可以看到，這款手機的後置主攝相機會採用一顆 48MP 的感光器，而且還支援光學防手震。加上支援 65W 有線快充的 4,500mAh 電池，光看硬體 8T 應該會是一款合格的準旗艦了吧。https://chinese.engadget.com/oneplus-8t-design-teaser-151334184.html心得：OnePlus 8T將在10/14登場，剩下五天的時間這個顏色倒是真的不錯看，其他硬體部分也都洩漏的差不多了就剩下價格",對應oppo哪一隻？。realme x7 pro。希望頻段不要再閹割了。如果有無線充電就好了.........。鏡頭我不行...pass。主攝有光學防手震是賣點...。比方塊好看點。六筒。話說我8pro買貴了QQ，在京東買了中國版之後盤石上。架跟中國版近無差價的國際版....只能安慰自己差一。個b28插不了多少了。而且京東慢的要命，盤石好像有保證3還4天到。感覺又開始倒退了。8T 的頻段還沒公布 希望不要缺。外觀越來越沒特色。Settled。這就今年爛大街的外觀 毫無特色。1+大概從7開始就變得很不起眼了...。送我都不要。又有人在幻想有人要送他手機了。真我那隻是用天璣1000+。1+不是以內容取勝的嗎 外觀一直都普通吧。我本來想送G大的，不要就算了。主鏡變好+給你兩個無用鏡頭 跟 3個普通畫質的鏡頭。都幾？。https//bit.ly/36O8sMS   一圖看懂 1+8T。一加相機沒在好的啊 XD。換什麼鏡頭跟感光都一樣，調校一直都不行。怎麽會有相機變好的錯覺。8出來原本想打高端市場 結果到現在銷量還是慘。從很爛到爛也是變好啊xd。對一加的相機感到失望。配GCam還不錯啦，官方就當成是bloatware XD,2020/10/09
[新聞] OnePlus 8T 確定支援 65W 有線充電,"OnePlus 8T 確定支援 65W 有線充電而且充電器是兼容 45W USB-PD 協議的。Sanji Feng2 小時前果不其然，在真正發表以前 OnePlus 官方還是照例提前公佈了不少新機 8T 的賣點細節。早些時候他們確認這款下半年新品將會支援 65W 功率的 WarpCharge 65 有線快充，它將使用雙 USB-C 充電線，而且值得一提的是，充電器本身還能兼容 45W 的 USB-PD 標準（注意是充電器兼容，不是手機兼容）。除此之外，OnePlus 8T 也確定會搭載 4,500mAh 電池，官方此前也表示裝置將配備 120Hz 的平面螢幕（基於柔性面板，外覆 2.5D 玻璃），並支援 8,192 級自動亮度調節。在接下來的一段時間裡，OnePlus 估計還會繼續自曝，不知道還會不會有什麼驚喜呢？https://chinese.engadget.com/oneplus-8t-warp-charge-65-080036235.html心得；可以相容45W PD的是充電器而非手機，不知道手機PD能充到多快就是了而這個65W有線充電則是補足了今年第一台旗艦只有30W的遺憾，也是一件好事",8t感覺有香了 剩訂價。手機實測才是重點，我自己測s20+也才約15到16W左右。一加歐洲市場是不給華碩活路？。樓上你那是高電量吧。還是有那個白癡打孔就pass。1+8系列沒啥亮點。65W就拿OPPO的啦 效率值沒啥問題。40分鐘內充滿，基本妥妥的。現在是比較想知道PD 45W的峰值跟充電時間。噢噢噢，看到是充電頭...耍人 XDD。雙Type C 線不錯，不用分哪一頭插手機。。靠杯 充電器相容www 結果手機不吃 這太搞了吧。先為未來鋪路XDD。現在大家都想要的是旁路供電。有路旁供電嗎 分 QQ。oppo三兄弟 技術共享。8192級自動亮度 是去年被罵到怕了是不是XD。865 爆 ping 斷流的問題解了嗎。7t唯一讓我詬病就是這垃圾自動螢幕亮度。話說8 pro的綠屏問題解決了沒？。爆ping僅剩Sony一家尚未解決,2020/09/25
