Post Title,Link,Date,Content
OnePlus 9 系列升級加入 Hasselblad XPan 電影風格拍攝,https://chinese.engadget.com//oneplus-9-pro-hasselblad-xpan-film-camera-setting-update-010047147.html,2021-09-18,"['在新的拍攝模式之外，OnePlus 的系統更新也針對相機的表現有改進，包括記憶體優化和把相機啟動速度提速一半。同時預覽時的卡頓和自動模式過度銳利問題都有修正，而且在低光時的 HDR 和拍攝移動主體時的成功率都有改善，最後就是減少了雜訊和優化部份場景下 HDR 的演算法。', '在相機 app 之外的更新，還有包括無線充電效果、最新的安全性更新和其他問題修正等。詳細的內容可以參考 OnePlus 官方社群的文章。']"
iPhone 13 Pro 系列超級比一比：都是看螢幕和相機,https://chinese.engadget.com//apple-iphone-13-pro-max-vs-samsung-galaxy-s21-ultra-oneplus-9-pro-190134692-050045539.html,2021-09-15,"['iPhone 13 Pro', 'iPhone 13 Pro Max', 'Galaxy S21 Ultra', 'OnePlus 9 Pro', '價格', 'US$999 / $1,099 / $1,299 / $1,499', 'US$1,099 / $1,199 / $1,399 / $1,599', 'US$1,200 / $1,250 / $1,380', 'US$1,069', '尺寸', '146.7 x 71.5 x 7.65 mm', '160.8 x 78.1 x 7.65 mm', '165.1 x 75.6 x 8.9 mm', '163.2 x 73.6 x 8.7 mm', '重量', '204g', '240g', '229g', '197g', '螢幕尺寸', '6.1 吋', '6.7 吋', '6.8 吋', '6.7 吋', '螢幕解析度', '2,532 x 1,170', '(460 ppi)', '2,778 x 1,284', '(458 ppi)', '3,200 x 1,440', '(515 ppi)', '3,216 x 1,440', '(525 ppi)', '螢幕類型', 'Super Retina XDR', 'Super Retina XDR', 'Infinity-O Dynamic AMOLED', 'Fluid AMOLED with LTPO', '電池', '最長 22 小時（播放非串流影片）', '最長 28 小時（播放非串流影片）', '5,000 mAh', '4,500 mAh', '儲存', '128 / 256 / 512 GB / 1 TB', '128 / 256 / 512 GB / 1 TB', '128 / 256 / 512 GB', '256 GB', '後置相機', '三相機：超廣角：12MP f/1.8主：12MP f/1.5長焦：12MP f/2.8', '三相機：超廣角：12MP f/1.8 主：12MP f/1.5 長焦：12MP f/2.8', '四相機：超廣角：12MP f/2.2主：108MP f/1.8長焦 1：10MP f/2.4長焦 2：10MP f/4.9', '四相機：主：48MP f/1.8超廣角：50MP f/2.2長焦：8MP f/2.4黑白：2MP', '前置相機', '12MP f/2.2', '12MP f/2.2', '40MP f/2.2', '16MP f/2.4', '錄影', '4K at 60 fps', '4K at 60 fps', '4K at 60 fps', '8K at 30 fps', 'SoC', 'A15 Bionic', 'A15 Bionic', 'Snapdragon 888', 'Snapdragon 888', 'CPU', '不知名六核心', '不知名六核心', '2.8 GHz 八核心', '2.84 GHz 八核心', 'GPU', '不知名四核心', '不知名四核心', 'Adreno 660', 'Adreno 660', 'RAM', '未知', '未知', '12 / 16 GB', '12 GB', 'WiFi', '802.11ax', '802.11ax', '6 GHz 802.11ax', '6 GHz 802.11ax', '藍牙', 'v5.0', 'v5.2', 'v5.2', 'v5.2', '作業系統', 'iOS 15', 'iOS 15', 'Android 11', 'Android 11', '其他功能', 'IP68 認證；Lightning、MagSafe、20W 有線充電、15W 無線充電', 'IP68 認證；Lightning、MagSafe、20W 有線充電、15W 無線充電', 'IP68 認證、USB-C、25W 有線充電、15W 無線充電', 'USB-C、65W 有線快充、50W 無線充電']"
OnePlus 9 Pro 主站評測：來看看 Hasselblad 相機的威力,https://chinese.engadget.com//oneplus-9-pro-review-hasselblad-cameras-price-performance-151025969.html,2021-03-23,"['值得一提的是，這次 OnePlus 9 Pro 也拿到了 IP68 防塵防水認證，看來隨著這兩年的漲價，廠方在成本調配這件事上的態度也變得跟過去不一樣了。除此之外，機身共提供黑、銀、綠這三種配色，重量是 197g，厚度為 8.7mm。OnePlus 也順應業內趨勢，降低了螢幕左右的弧度。外覆的大猩猩玻璃在兩側仍會呈輕微的曲面，但內側面板並不會延伸到太邊緣，因此誤觸的情況大大減少，讓操控體驗有了不小的提升。', '說到螢幕，OnePlus 9 Pro 配備了一片 6.7 吋的 3,216 x 1,440 AMOLED 面板。其峰值亮度可以達到 1,300 尼特，在戶外使用毫無壓力。同時色彩動人，能很好地滿足影音娛樂要求，主站同事認為是其今年見過顯示表現最好的螢幕之一。除此之外，它的更新率也達到了最高 120Hz，而且在 LTPO 技術的加持下，能夠實現 1Hz 到 120Hz 的自適應調整。雖然在 Samsung 的一些旗艦機上我們也見過類似的方案，但一般來說其下限都會被設在 10Hz，並不會下探到 1Hz 那麼低。據說這一變化是 OnePlus（應該也有 Oppo 的份）和 Samsung 顯示一起推動的，它理論上應該能給 OnePlus 9 Pro 帶來一些額外的續航力優勢。', 'OnePlus 對速度的癡迷，不意外也「遺傳」到了 OnePlus 9 Pro 上。除了剛剛提到的顯示夠快以外，裝置也搭載了今年上半年旗艦機標配的 Snapdragon 888 處理器、LPDDR5 RAM 和 UFS 3.1 儲存。這套組合的效能表現應該是不需要過多介紹了，主站編輯用下來總體而言都很順滑。當然，這裡面也有輕量化系統的功勞。', '而在續航力方面，OnePlus 9 Pro 內建有 4,500mAh 的電池，實際使用時長基本上和今年的主流旗艦持平。主站編輯在開啟最高解析度的情況下，大多數情況下也都能撐過一天。若是重度使用的情況，也可調低解析度或更新率緩解電池的壓力。但需要指出的是，在疫情期間同事依賴 Wi-Fi 上網的時間遠多於 5G，如果你會長時間使用行動網路的話，得到的結論可能會有差異。至於充電的部分，OnePlus 9 Pro 支援 65W 有線和 50W 無線充電。雖然沒到頂級，但也是速度不慢的配置了。', '兩家公司日後會「共同推動 OnePlus 旗艦手機的相機系統發展」，而 OnePlus 9 Pro 就是其第一項合作果實。這款手機會採用 Hasselblad 和 OnePlus 耗費數月籌備的「Hasselblad 自然色彩優化」方案，它的作用在於幫助裝置拍出更為準確、自然的色彩。實際使用中，也的確可以體會到這套方案的價值。採用 48MP Sony IMX789 感光器、f/1.8 鏡頭有光學防震加持的主攝端可以拍出觀感十分真實的照片（日常輸出 12MP），在另一顆 2MP 黑白相機的輔助下，主攝的畫面細節也保持得頗為不錯。而到了暗光環境下，新版的夜景模式也能拍出比過去更好的效果。', '要說這套四攝系統最明顯的不足，估計就要算是 8MP 的遠攝了。它能拍 3.3x 光學變焦，有光學防震，但照片的解析度確實偏低。而且在實拍過程中，這顆相機在明亮場景中會有明顯的過曝傾向。綜合來講其表現只是堪用，實際上，遠攝變弱似乎已成為今年不少廠商都會選擇的策略了。反其道行之的可能只有 Samsung 的 Galaxy S21 Ultra，以及估計很快就要到來的華為 P50 旗艦了。', '上面說的這些都是相機自動模式下的體驗，聯手 Hasselblad 給 OnePlus 帶來的另一項變化，就是以前者相機軟體為基礎開發出來的「Hasselblad 專業模式」了。在這裡面有經驗的用戶除了可以調節常規的 ISO、快門速度、對焦等選項以外，還可以調用直方圖、切換色彩特性或是啟用峰值對焦等工具。不意外的是，在 OnePlus 9 Pro 上用戶也可以添加 OnePlus、Hasselblad 合作的特別浮水印，以及開啟 Hasselblad 特別的快門聲音。', '而在自拍的部分，這款手機的 16MP 前置相機效果並不算很理想，有時拍出的照片會不夠清晰。至於錄影的部分，裝置顆錄製最高 8K 30fps 的影片，細節、色彩和寬容度都還算不錯。另外在相機 app 中也有移軸攝影這樣的趣味功能，主站同事有試一下，但並未留下太深的印象。', '雖然聽起來有點像是廢話... 但毫無疑問 OnePlus 9 Pro 是品牌迄今為止的最佳手機。它擁有不俗的實力，各方面都表現均衡，對不少人來說都是值得考慮的一款真旗艦。只不過有的人在考慮的時候，難免會想到在差不多的價位上其實已經能買到 Galaxy S21 Ultra 這樣的產品。對於目前的 OnePlus 來說，要想贏得這部分消費者的心，可能依然不是一件簡單的事吧。']"
掛上 Hasselblad 之名的 OnePlus 9 系列正式登場,https://chinese.engadget.com//oneplus-9-and-9-pro-official-143922652.html,2021-03-23,"['早早就自行預熱的 OnePlus 9 和 9 Pro 正式登場，就如他們文宣中的重點，就是獲得 Hasselblad 加持的相機。在合作之中，這個傳奇相機品牌是為 OnePlus 主要提供色彩校正檔，讓使用者透過 OnePlus 9 系列手機拍攝的照片，都會有更自然、更準確的色彩表現。', '硬體上，OnePlus 9 Pro 會搭載與 Sony 共同開發、目前獨家的 IMX789 48MP CMOS 的廣角相機、用上自由曲面鏡頭的 IMX766 50MP 超廣角相機、8MP 3.3x 光學遠攝、黑白相機，正面螢幕上則藏有 16MP 自拍相機。自由曲面鏡頭的特點就是解決超廣角相片一般會出現，成畫兩側邊緣的失真變形。', '使用體驗上也獲 Hasselblad 的幫忙，在 OnePlus 9 系列手機的 Pro 拍攝模式之中，在一般會有的 ISO、EV 等參數外，現在更可以拍攝 12-bit RAW 相片，而且會有 Hasselblad 同款的後製工具，加上 Hasselblad 相機的經典快門聲，實在是粉絲的必收之作。', '繼承 OnePlus 的流暢顯示體驗，9 Pro 會搭載新的 6.7 吋 QHD 120Hz LPTO AMOLED 面板的微曲面螢幕，會懂得隨著顯示內容而變動刷新率，最低可到 1Hz 以省電。這與 Galaxy S21 Ultra 相似，不過 Samsung 家的就只能到最低 10Hz 呢。另一邊廂，OnePlus 也在螢幕上加入 HyperTouch 功能，為包括《Call of Duty Mobile》等指定遊戲帶來更低的輸入延遲，是針對電競玩家而來的。', '核心規格部分，不意外的 9 Pro 就是搭載高通 Snapdragon 888 處理器、4,500mAh 電池支援 Warp Charge 65T 快充，半小時就能充滿；無線充電也就只在 45 分鐘完成。9 Pro 會有 8GB / 12GB LPDDR5 RAM，以及 128GB / 256GB 儲存空間選項，備有銀、綠、黑三色。至於 OnePlus 9 就是在相同的核心規格之下，砍了快速充電能力和無線充電，惟歐美地區會補回 15W 無線充電功能，改用 FHD 的 6.55 吋 120Hz 平面螢幕。50MP 超廣角相機和黑白相機會留下，少了長焦相機，而且廣角主相機也會變回前代的 48MP 相機了。顏色選項方面，會有銀、黑、藍三色。', 'OnePlus 9 系列會在 4 月 2 日正式上架，9 Pro 定價 969 美元起、9 定價 729 美元起。']"
中國大陸版 OnePlus 9 系列確認將用回 Oppo 的 ColorOS 系統,https://chinese.engadget.com//oneplus-9-series-to-use-oppo-coloros-11-041506117.html,2021-03-22,['拋開有褒有貶的 UI 不論，有一點可以確定的是，氫 OS 的功能完善性長久以來都是受不少用戶詬病的。而這估計也是促成 OnePlus 回歸 ColorOS 的主要原因，畢竟 Oppo 的系統在更迭到較近的兩個版本後，無論是審美還是實用性都獲得了相當多的好評。那這兩家原本就共享不少硬體組件、技術的真 · 友商，再分享一下軟體資源也就是順理成章的事了。']
OnePlus 9 系列的超廣角相機將採用 IMX766 感光器加自由曲面鏡頭組合,https://chinese.engadget.com//oneplus-9-series-imx766-ultra-wide-free-form-044822350.html,2021-03-10,['這樣一來，加上會在新機上首發的 IMX789 感光器，OnePlus 9 系列也將趕上後置「雙主攝」的新風潮。至於背面的另外兩顆相機會是何種搭配，就有待官方進一步揭曉了。']
Hasselblad 加持的 OnePlus 9 系列將於 3 月 23 日到來,https://chinese.engadget.com//oneplus-9-5-g-series-march-23-launch-hasselblad-camera-partnership-060852192.html,2021-03-08,"['「OnePlus 一直都是以最佳的用戶體驗為先。從 2021 年開始，我們會藉助影像傳奇 Hasselblad 的專業經驗，集中精力為使用者大幅改善手機上的相機體驗。」OnePlus CEO 劉作虎這麼說道，「以 OnePlus 的頂級硬體、運算攝影技術和 Hasselblad 在傳統攝影上的深厚審美積澱為基礎，OnePlus 9 系列能讓大家看到我們頂級、旗艦相機的飛躍進步。」', '作為兩家公司的第一項合作成果，OnePlus 9 系列將會於 3 月 23 日晚十點正式發表。在這款產品上，我們會見到 Hasselblad 和 OnePlus 耗費數月籌備的「Hasselblad 自然色彩優化」方案。它能幫助裝置拍出更為準確、自然的色彩，未來也會成為 OnePlus 手機的色彩調試標配。除此之外，相機 app 中還會引入新的「Hasselblad 專業模式」。它將以 Hasselblad 的影像處理軟體為基礎重新設計介面，方便用戶控制 ISO、曝光時間、對焦、白平衡等選項。同時還將支援 12-bit RAW，以提供更好的色彩和動態範圍表現。此外在錄影的部分，新機能拍攝 4K 120fps 和 8K 30fps，並改進了 HDR 錄製的效果。']"
據指 OnePlus 將推出低定價 9R 手機和手錶,https://chinese.engadget.com//neplus-9-r-9-pro-watch-march-launch-103030974.html,2021-02-28,['據 OnePlus 的往績，他們都會早早主動且高調地預告產品，所以如果真的誠如消息所指的 3 月發佈，那差不多也會看到官方有些動作的了。']
洩漏的 OnePlus 9 諜照指向旗艦處理器及強化的相機,https://chinese.engadget.com//oneplus-9-photo-leak-060023199.html,2020-12-13,['內部規格上，則是一如預期的採用了 Qualcomm 最新的旗艦 Snapdragon 888 處理器，但這支洩漏的手機搭配的是相對普通的 8GB RAM 和 128GB 儲存空間。真正推出的時候，有更高規格的機種的機會想必是不小的。']
OnePlus 9 Pro 渲染圖預示著類似 8 Pro 的曲面螢幕,https://chinese.engadget.com//oneplus-9-pro-leak-060046023.html,2020-11-22,['OnePlus 傳聞將在明年三月推出 9 Pro，大致符合著 OnePlus 慣常的新機發表時程，不過比 8 Pro 的四月要早一點點。從現在到那時還有四個月左右的時間，無論是設計還是上市時程，都還有變動的空間，但至少看起來 OnePlus 是沒有準備要大幅更動 8 Pro 的成功配方呢。']
