Post Title,Link
[問題] Oneplus 8T T-mobile電信鎖解鎖,https://www.ptt.cc/bbs/MobileComm/M.1646055887.A.0A9.html
[閒聊] OnePlus 8T Concept (變色玻璃版),https://www.ptt.cc/bbs/MobileComm/M.1608570227.A.0E2.html
[閒聊] Oneplus 8T防水測試,https://www.ptt.cc/bbs/MobileComm/M.1604721838.A.695.html
[新聞] 《電馭叛客 2077》版 OnePlus 8T 來襲！,https://www.ptt.cc/bbs/MobileComm/M.1604301958.A.516.html
[情報] Oneplus 8T 續航測試(GSMArena),https://www.ptt.cc/bbs/MobileComm/M.1603239700.A.A5C.html
Re: [新聞] OnePlus 8T 將於 10 月 14 日登場,https://www.ptt.cc/bbs/MobileComm/M.1602748569.A.7E7.html
Re: [情報] Oneplus 8t vs Pixel5,https://www.ptt.cc/bbs/MobileComm/M.1602699904.A.298.html
[情報] Oneplus 8t vs Pixel5,https://www.ptt.cc/bbs/MobileComm/M.1602694003.A.BC2.html
[新聞] 官方首度公開 OnePlus 8T 外觀,https://www.ptt.cc/bbs/MobileComm/M.1602207809.A.F39.html
[新聞] OnePlus 8T 確定支援 65W 有線充電,https://www.ptt.cc/bbs/MobileComm/M.1601027406.A.244.html
Re: [新聞] OnePlus 8T 將於 10 月 14 日登場,https://www.ptt.cc/bbs/MobileComm/M.1600784300.A.9DF.html
[新聞] OnePlus 8T 將於 10 月 14 日登場,https://www.ptt.cc/bbs/MobileComm/M.1600733553.A.A46.html
