Post Title,Link
[討論] ZPH 海溝升級 Find X5 Pro vs iPhone 13,https://www.ptt.cc/bbs/MobileComm/M.1657817847.A.0E4.html
[心得] Find X5 Pro 原神初體驗,https://www.ptt.cc/bbs/MobileComm/M.1656414299.A.ACA.html
[心得] Find X5 Pro & 巴斯光年禮盒 開箱,https://www.ptt.cc/bbs/MobileComm/M.1655049950.A.4C2.html
[心得] OPPO Find X5 Pro 科技狗主觀心得,https://www.ptt.cc/bbs/MobileComm/M.1654860941.A.E81.html
[情報] OPPO Find X5 Pro開始預購,https://www.ptt.cc/bbs/MobileComm/M.1650611053.A.A8F.html
[Live] OPPO Find X5 Pro 新機發表會,https://www.ptt.cc/bbs/MobileComm/M.1650602135.A.B35.html
[討論] OPPO Find X5 Pro天璣版展示光追動態壁紙,https://www.ptt.cc/bbs/MobileComm/M.1648108346.A.9C4.html
[購機] 米12pro/find x5 pro/s22u,https://www.ptt.cc/bbs/MobileComm/M.1647667128.A.7CE.html
Re: [討論] OPPO Find X5、Find X5 Pro GB5跑分出現,https://www.ptt.cc/bbs/MobileComm/M.1646129222.A.62B.html
[討論] Find X5 Pro/P50 Pro/S22 Ultra夜拍測試,https://www.ptt.cc/bbs/MobileComm/M.1646127938.A.3AA.html
Re: [情報] Oppo Find X5 pro 價格 天璣比較便宜,https://www.ptt.cc/bbs/MobileComm/M.1645799159.A.E74.html
[情報] Oppo Find X5 pro 價格 天璣比較便宜,https://www.ptt.cc/bbs/MobileComm/M.1645707547.A.2E3.html
[討論] OPPO Find X5、Find X5 Pro GB5跑分出現,https://www.ptt.cc/bbs/MobileComm/M.1645691380.A.461.html
[情報] oppo find x5 pro 售價外流,https://www.ptt.cc/bbs/MobileComm/M.1645665383.A.96B.html
Re: [情報] OPPO Find X5 Pro實機:不意外的上了哈蘇,https://www.ptt.cc/bbs/MobileComm/M.1645097536.A.B98.html
Re: [情報] OPPO Find X5 Pro渲染圖:鏡頭特醜特奇葩,https://www.ptt.cc/bbs/MobileComm/M.1643878699.A.F0E.html
[情報] OPPO Find X5 Pro實機:不意外的上了哈蘇,https://www.ptt.cc/bbs/MobileComm/M.1643036196.A.622.html
Re: [情報] OPPO Find X5 Pro渲染圖:鏡頭特醜特奇葩,https://www.ptt.cc/bbs/MobileComm/M.1642397968.A.CA0.html
[情報] OPPO Find X5 Pro渲染圖:鏡頭特醜特奇葩,https://www.ptt.cc/bbs/MobileComm/M.1640789903.A.EE9.html
