Title,Content,Comment,Date
[購機] 7K以下5G手機 Y72/Redmi Note10/realme 7,1.預算範圍/考慮機種：7K以下5G手機（價格是用手機王依規格需求搜尋）Vivo Y72 / Redmi Note 10 / Realme 72.使用需求列出在網海中撈完資料後自己抓的評估標準：RAM 6G以上，ROM 128G以上，有記憶卡擴充佳，沒有也沒關係電池容量5000mAh以上（或可建議多少W快充配多大電池）不要有容易過熱的問題拍照前鏡頭好一點（畫素跟感光還是看不太懂QQ）LCD螢幕佳，OLED也可接受音質不會差到太離譜都可以接受3.品牌喜好：手上是Redmi Note 4X，MIUI的介面跟提供的小功能覺得挺好也不排斥更簡潔的，但不要都不更新4.補充說明：亞太舊約結束，購入台星5G 299方案，想說一併換5G手機（Note 4X真的快跑不動）居家主要使用網頁跟影片需求，同時開啟很多APP，手遊頂多玩卡牌或輕養成，需求不高選擇大電池除了配合5G耗電以外，有可能會做為外送的備用機，所以價格帶放得比較低，以後當消耗品比較不會心疼就預算而言購入Note 10沒有問題，也符合大電池的主要需求多500元上Realme 7，有天璣800U、8G RAM、120Hz螢幕更新率好像效能直接高一階，但怕電池耗損快，且系統是Android 10（如果是新手不懂請鞭小力點QQ）多1000元上Vivo Y72，有8G RAM，看起來也省電不少https://www.mobilemagazinehk.com/2021/08/batterylist.html前後相機鏡頭畫素也都有提升，但不知道值不值這個價錢所以陷入選擇困難，聽聽版友建議我可以接受二手機，也可以推薦同價位但符合需求的二手機先謝謝大家 m(_ _)m,note 10 pro阿 現在不到7K就有了。note10 pro沒5G 抱歉。或者小米11 Lite 5G 考慮看看 現在特價7999。效能應該比你列的那些都高。S780G 效能不錯 應該有上代旗艦的等級了略低S865。11lite看網路有人說有點熱，realme7現在不太好買。發熱的是小米11吧 S780G應該蠻涼的。外送用Y72比較好吧，續航跟realme7有得比還比較好買。Realme7應該快沒貨了吧。realme7應該快沒了 雙十節剛幫老媽入手 終於換掉HTC。moto g30。6G。sorry 沒看到5G。realme q3s 京東先領券再買大概6k左右 但如果不能接。受裡面有內建中國APP的話就算了。OPPO A74 5G。就網路上的評測看來，a74 5g的螢幕比realme7 5g好。s480的效能其實也沒有輸給天璣800U太多。只是a74 5g的讀卡機不支援exFat 這算是一個大缺點。所以最後我選realme7 5g。論續航Y72，只是SoC小輸realme 7(只是現在不好買了。音量跟拍照，Y72> 7,2021/11/11
[購機] realme 7/X50 選擇,"**購機文的標題須為金額+簡單需求說明，問機前請先爬文**問機文刊登後，須於發文起2日內，於內文推文/編輯/回覆板友建議。有違 [問機] 格式與規範發文，處以刪文並水桶7日以上。(以檢舉制為主)========若已詳細閱讀，請將上述引言刪掉，ctrl+y可刪一整行=========範本格式 (請依序謄寫，禁止更動格式)──────────────────────────────────────1.預算範圍/考慮機種：例：10K-20K/iPhone12 Pro Max、Note20U、XPERIA 5II  6k2.使用需求(螢幕尺寸/拍照/效能/續航力/防水/記憶卡...等)：  上ptt,line,偶爾玩狼人殺  開會 視訊3.品牌喜好(不要XX品牌，要OO品牌)：4.補充說明(補充上述未提及之其他需求)：──────────────────────────────────────  現在是用Note 8 Pro用的其實蠻順的  不過因為不小心弄壞了  目前看起來realme 7 折扣後約6千元                   X50 折扣後約5千元  本想X50 但看起來沒貨  所以想問realme 7和x50比較起來  哪個cp值較多",realme7 or realme X7pro。哪個比較輕就選哪個。快去蝦皮用88折買就對了 券快沒了。7啊 還用選嗎。x50不就是note8pro那上一年的機種 r7才是新一代的。cpu。7續航也比X50好。我選7，單純因為x50前鏡開洞的周邊有陰影。7整體使用會爽很多。買了。加些上X7Pro我是覺得這支真的挺不錯。三星Oled窄邊框高刷高觸控非常有感（比X50有感一截。UI跟使用上也算挺流暢，高刷支援算完整。pchome下架x7 pro了欸。poco m5  pro。我也是這兩隻選，我選7因為有耳機孔。我自己買7。Vivo X50e也可以考慮看看，或是realme 7。Realme7 如果可以接受其他X50e CP值也不錯,2021/09/09
[購機] realme 7/poco x3p(6g),1.預算範圍/考慮機種：6k~8k/poco x3p(6g) / realme 72.使用需求(螢幕尺寸/拍照/效能/續航力/防水/記憶卡...等)：拍照/上網/看影片/line通話/視訊開會/螢幕舒適希望是lcd3.品牌喜好(不要XX品牌，要OO品牌)：皆可4.補充說明(補充上述未提及之其他需求)：1.華碩zf3用五年了，目前電量掉很快且使用上蠻卡的，想換新機了。2.本身眼睛對螢幕蠻敏感的，看過oled的手機眼睛會有點不舒服，故偏好lcd。當年到現場比較了一些手機，覺得zf3看起來最舒適才選zf3。3.趴了許多文，過濾出二支手機在猶豫中，其中poco x3p的優點是效能佳高cp，缺點是有網友測出螢幕有pwm，不知看久了會不會不適 ; 另一支realme7螢幕似乎沒pwm但有聲音比較小的問題，怕通話品質較不佳以上問題希望板友建議,"LCD中低亮度時的高頻PWM一般都無感，擔心的話去試用。x3p一票。x3p不會閃。realme7 比較輕 續航很好 我覺得滿意 而且若之後跳5。可以去看評測數據 x3p的pwm 在1000以上 正常應該察。覺不到。x3p+1,我也是眼睛敏感 但x3p不會不適。realme 7 待機王又輕 pwm=0。x3p 放口袋太重 待機差。續航或輕便realme 7，速度X3P。x3p。有拍照需求就別選x3p了。realme7可以滿足你的需求。poco x3 pro 開120hz chrome滑網頁會頓 60hz卻很順。考慮這兩支 realme 7 120hz會頓嗎。realme 7，但要拍照Vivo X50e會比較好，有拿護眼認。證可能螢幕還行，可以看看實機。聲音我覺得還好，沒有特別覺得小",2021/06/16
[購機]  Poco X3 Pro VS Realme 7 長輩用,"1.預算範圍/考慮機種：10k 以下，如標題這兩支2.使用需求：a. 有簡易版UI 或是老人模式（放大的意思，長輩老花）b. 大電量c. 快充d. 大螢幕d. Line, youtube,3.品牌喜好：無特定，從zenfone max pro m2跳槽4.補充說明：我選的這兩支都不知道有無簡易模式， 我會從payeasy 買，應該都會買到台灣版的吧？有推薦其他的也是歡迎，sharp sense 4 + and LG VV 也是有看， 但好像電量輸了一截，4+ 預設的充電器好像沒支援快充？給長輩 你們怎選擇？","所以你家人的需求是甚麼?。poco x3 我找了一下 沒看到簡易模式。紅米Note 10 pro。這個需求買紅米9T 6G/128G，6000mAh超長續航絕對滿。意！MIUI有簡易模式，方便設定。18W快充；不過在高。續航的情況下，有無快充已經不是那麼重要了。。長輩用我也覺得9T很不錯。poco簡易模式可以額外裝。現在手機都可以設置到很接近簡易模式了吧。為什麼長輩都只能用中共機啊。realme 7 gamarena 129hr。poco x30pro只有112hr。手抖掉到地上比較不心疼。個人覺得，長輩機可考慮買得到三防手機殼：防水、。防塵、防O。不是長輩只能用中共機，而是中共機某些機種的規格。符合長輩需求。在這個各品牌都追求旗艦、而且東砍。西砍的時代，只有中國品牌的機子能有更多的選擇。。1樓leo 哥有看到使用需求那邊吧@@？。買不到簡易模式的話應該可以自己設定好再鎖定桌面。真D我7屌打 realme ui2.0比miui,,操作起來簡易多了。poco x3 pro 開120hz滑網頁會頓 60hz卻很順。推Sharp日系好看。中共機cp值高啊xd。紅米。sony， pixel現實也沒什麼人買吧。realme 7",2021/06/13
[購機] 請問realme 7 跟PocoF3哪款適合老人家用,1.預算範圍/考慮機種： 10K,"老人家首選米系。a7太重，應該沒有手機會覺得輕了。沒寫預算，等780g那台。a7 168g算輕了... 兩台帶你家人去專櫃摸看看手感如。何再來決定 效能都夠長輩使用。現在一堆手機都19x克了吧。不選X3 pro嗎，lcd對眼睛比較好。這樣還重...。看來只有小米11 Lite的重量可以。F3 mobile01那邊有人說屏閃的很嚴重,你可能要考量。看看老人家眼睛能否適應。至於 X3 pro 雖是LCD,但亮度似乎不足,今天第一次帶。去戶外用,太陽不大情況下,戶外螢幕就不太清楚.。你知道他要用五年怎麼不加點預算 = =。x3 pro重超過兩百克可以跳過，F3螢幕閃爍也不好。a52。可能沒機會用五年，隨便買一買。老人家這年紀常常拍照，怎麼會選F3，螢幕爛續航差。4G能用到2030 別緊張。5g近年不會盛行，放心。等小米11Lite 長輩不適合用太重的手機。長160mm 寬75.73mm 厚6.81mm 159g重 有夠漂亮的數據。現在cp值最高的無疑是 lg velvet，訂價2w已經骨折。到7k了，缺點是沒有ois，但拍照其實不差，可以考慮。螢幕大、喇叭強，去隔壁徵一隻還省幾千。別被店員慫恿   任何手機去隔壁徵都便宜多了。還有家人的門號記得去辦攜碼 甚至過戶到你名下。不然你可能守護半天 結果他一進去老人屠宰場 整個QQ。別硬要用五年 買便宜點的 三年就換反而經濟。如果170G都覺得重，那再等一週、米11 Lite看看吧。要拍照OIS，還有Vivo X50可以挑，只是比a7重一點。不過要比168g輕的手機真的很難挑就是...。米11 lite, 猜 $11900起, 中國開價都比K40 高了。。中國機都很適合老人家用 我身邊的老人家都用中國機。找pixel 4a(5g)也行啊，輕薄照相強是它的特色。Realme x50買一買，夠用了。x50手感很重喔。我給我們家老人用三星M11 M12。之前親戚要換機有推realme 7給她，可是後來又沒換了。續航看起來不錯，可惜GSM沒有測。老人家要仔細了解一下需求，到時候買了又哇哇叫。如果就單純描述 等一下小米11也是個選擇",2021/05/09
[問題] 請問realme 7 錄音通話 有推薦？,realme7 本身有通話錄音 ，但google都會提醒對方我正在錄音 這點讓我很頭疼。（不想讓對方知道）純粹有時在忙碌會錄起來以免自己忘記。上網爬文過但都沒有有效的app解決方案，都只是錄到自己聲音對方聲音錄不到，請各位大大們能解答， 是否有可以使用的app代替可以正常使用的通話錄音，在麻煩了。跪求懇求大大幫忙解決！,"好像只能換手機了。不是吧 這麼慘 最近剛買的...。有確定對方能聽到你開啟錄音嗎。是的它內建的雙方都會聽到google小姐說錄音。X3+1。。以前用oppo的沒有這樣的問題啊 是realme 7的問題嗎。？。我的XT也沒這神奇的功能阿，還是你沒設定全部自動錄。音？。跟小米一樣，realme有些機種用的是Google通話APP。第三方APP多試幾個看看，有些應該可以用，只是對方。聲音會蠻小聲的，因為不是內錄。紅米有自動錄音且沒有提示音，會直接錄。電話是用google的就沒自動錄音，等ui 2.0出來看看。這個無解。現在 OPPO Realme 新機都是用Google 的通話 app。需要一點技巧，樓主試試看這方法。https//youtu.be/3AwJj4hs4mY。OPPO Realme 舊機型還是用原廠的，沒這問題。感謝大家回覆，買realme7 通話錄音是google小姐 真。的頭疼，暫時還找不到答案可以解決，很感謝你們。最近在台灣上市的新機。不會通知雙方的通話錄音。大概只剩 Asus 和小米。realme 6(i) C3 等舊機型還是原廠的。不能自動錄音真的惱火。另一個解法是找realme原廠的通話app。看各大論壇有沒有人願意分享。https//youtu.be/1s9kyqYC_i4。果然有大神挖出 apk 了。樓主可以試試。https//youtu.be/gD6gBxJv6aA。非常非常感謝妳 晚上我才能在操作使用 感謝妳 ！。找房子時好用,房東講時間地址時都很快,會想錄下來。但那莫名法規真的煩",2021/03/22
[購機] vivo x50e /小米10 lite 5G/realme 7 5G,"──────────────────────────────────────1.預算範圍/考慮機種：例：10K-20K/iPhone12 Pro Max、Note20U、XPERIA 5II8K-10K 目前選出 vivo x50e /小米10 lite 5G/realme 7 5G2.使用需求(螢幕尺寸/拍照/效能/續航力/防水/記憶卡...等)：主鏡頭拍照不要太爛,前鏡頭一定要夠美肌(女生要買的)/續航好一點3.品牌喜好(不要XX品牌，要OO品牌)：不限品牌4.補充說明(補充上述未提及之其他需求)：之前有在通訊行短暫試過realme 7覺得還不錯(自拍),不知有人有用過其他兩隻前鏡頭或是有其他手機可以推薦嗎──────────────────────────────────────",前鏡頭要好 美肌要強 推oppo reno 4z。1.X50e 2.realme7。無他 氧氣相機 這兩個app拍起來都不錯。50E我在隔壁板上上周收到兩支一支7200 一支7300給。你參考。借串請問一下，vivo x50 pro能裝gcam嗎？。我不認為x50pro需要裝gcam。我看x50pro發色鮮豔不是我喜歡的類型，但那個微雲台。防震好像很猛，所以問看看能不能裝發色比較接近現。實的gcam,2021/03/17
[閒聊] GSMArena 評測 Realme 7 5G,   藉由真我7 5G發布，歐洲首次亮相天璣800U   機身 162.2*75.1*9.1 重195克   6.5吋 IPS 1080P 120Hz 20:9 螢幕   128/6或8GB 3選2卡槽   5000電池 30W閃充 15W PD Type-C USB2.0傳輸   側邊指紋 陀螺儀 指南針 NFC   送軟套殼以及預先貼膜 ,遊戲鎖60hz/60fps是遊戲本身針對特定機型開放高刷啊。不太能算手機缺點，因為那些遊戲就開特定機種而已。這一篇文章值 430Ptt幣,2020/12/02
[閒聊] TechTablets Realme 7 5G 開箱評測,  Realme 7 5G Unboxing & FULL Review It Runs So COOL!  https://youtu.be/0r7S87V3fbc  (有字幕)  如預告 歐洲那邊發售 真我7 5G(Realme Q2 國際版)  IPS螢幕最大亮度測試約443nits  60或120Hz(可切換) 支援HDR10  也提到 真我UI的特性 一些APP需要自己鎖定較不會被關閉  娛樂兔 32.9萬，GB5跑分 單核593/多核1775 (realme RMX2111)  支持Camera 2API 但是發哥需要人改造(或是誰去套N8P各版本)  遇到WIFI速度跑不起來(看回報後續)  800萬超廣角錄影沒EIS ...  影片17:23 文字結論 ,售價約 279英鎊(英國)。覺得發科又是陷入中階打不贏局面。站哥已爆料 s7350 5nm A78但是CPU低頻輸發哥 三星。中階打不贏誰？？,2020/11/19
[新聞] realme 7 5G 預計 11/19 正式發表,realme 7 5G 預計 11/19 正式發表昨天我們才跟大家分享，網路上有一款 realme 7 5G 手機資訊流出的消息，而英國 realme 也很快地在今日宣佈，將於 11 月 19 日格林威治時間上午 10 點（台灣時間下午 6 點）舉辦線上發表會，直接挑明發表的就是 realme 7 5G。昨天提過，realme 7 5G 目前看起來應該是 realme V5 的國際版，搭載 6.5吋 FHD+ 解析度開孔螢幕，支援 90Hz 更新率；另外手機也會搭載聯發科天璣720 處理器、具備 6GB 或 8GB RAM 以及 128GB 儲存容量。相機方面它可望採用 4800 萬畫素標準 + 800 萬畫素超廣角 + 200 萬畫素微距 + 200 萬畫素黑白人像鏡頭，以及 1600 萬畫素前置相機，並有 5000 mAh 電池容量。引用來源：GSM Arenahttps://www.gsmarena.com/realme_7_5g_launch_date-news-46246.phphttps://www.eprice.com.tw/mobile/talk/6113/5586772/1/心得：realme這幾年的開拓相當成功，特別是在中低階市場上產品CP值相當高這邊也有猜測了一下realme 7應該會有的規格，價格足夠便宜就能拿出競爭力,難怪X50系列一直促銷。x7pro要來了嗎。X50昨天一支不到7千 realme 7以realme 6開價做參考。realme 7開價約7290到7690左右 還是X50比較划算。貼我錢都不要。應該會比oppo A73 5G便宜吧。感覺很廢。九月出4G版的7pro 7 7i都沒見到影子，台灣會上嗎？。反觀小米。耳機孔呢？。京東買Q2比較划算。規格比Q2還差。Q2真的是中階的優質選擇。但如同我之前的心得文所表示。廣告真的略多。少了那個pro差很多，寧原等x7 pro。這品牌在京東買，傻了嗎?根本刷不了機。幹嘛刷機？有框架阿 除了時間軸之外都沒啥問題吧。估計台灣不會上。我Q2砍一堆app 廣告沒看到多少 或跟裝AdGuard有關?。Q2好用 充電快 螢幕漂亮 時間軸我爸用不到不管他XD。Q2全砍一堆app了 廣告沒注意到耶 剛跟XT換而已。時間軸沒問題吧,2020/11/12
