Post Title,Link
[購機] 7K以下5G手機 Y72/Redmi Note10/realme 7,https://www.ptt.cc/bbs/MobileComm/M.1636615239.A.6AC.html
[購機] realme 7/X50 選擇,https://www.ptt.cc/bbs/MobileComm/M.1631189715.A.733.html
[購機] realme 7/poco x3p(6g),https://www.ptt.cc/bbs/MobileComm/M.1623797373.A.377.html
[購機]  Poco X3 Pro VS Realme 7 長輩用,https://www.ptt.cc/bbs/MobileComm/M.1623559260.A.5FE.html
[購機] 請問realme 7 跟PocoF3哪款適合老人家用,https://www.ptt.cc/bbs/MobileComm/M.1620551508.A.A0F.html
[問題] 請問realme 7 錄音通話 有推薦？,https://www.ptt.cc/bbs/MobileComm/M.1616346106.A.06B.html
[購機] vivo x50e /小米10 lite 5G/realme 7 5G,https://www.ptt.cc/bbs/MobileComm/M.1615991139.A.BBD.html
[閒聊] GSMArena 評測 Realme 7 5G,https://www.ptt.cc/bbs/MobileComm/M.1606851973.A.788.html
[閒聊] TechTablets Realme 7 5G 開箱評測,https://www.ptt.cc/bbs/MobileComm/M.1605799739.A.AC3.html
[新聞] realme 7 5G 預計 11/19 正式發表,https://www.ptt.cc/bbs/MobileComm/M.1605160400.A.9E5.html
[問題] realme 7x pro,https://www.ptt.cc/bbs/MobileComm/M.1605128343.A.296.html
[閒聊] Realme 7i跟三星A51比較,https://www.ptt.cc/bbs/MobileComm/M.1600448939.A.E52.html
[新聞] 6.5吋realme 7i發表 NFC版realme 7同步亮,https://www.ptt.cc/bbs/MobileComm/M.1600434651.A.715.html
[閒聊] 印度 Realme 7 開箱+評測,https://www.ptt.cc/bbs/MobileComm/M.1599153748.A.58D.html
[新聞] realme 7系列9/3印度發表 65W快充與64MP,https://www.ptt.cc/bbs/MobileComm/M.1598677851.A.E62.html
