Post Title,Link,Content,Date
[購機] 想請教s22+與iphone13pro和生態圈,https://www.ptt.cc/bbs/MobileComm/M.1655974675.A.BE0.html,"Content：1.預算範圍/考慮機種：iPhone13pro/14pro + iPad air5samsung s22+ tab s8+2.使用需求： 平板主要是筆記看劇為主，不會使用平板玩遊戲，希望同個生態圈，也希望能使用4-5年3.品牌喜好： 無4.補充說明：目前是使用服役4年的s8+,12月手機合約到期，會使用跳槽方式更換手機（可以提前付違約無妨），平板若是ipad會以學專購買。原本是想說繼續三星就好，但看到8gen1覺得有點無法接受，也無法拖到明年再換。但若是先買ipadair，中間會有2.3個月是手機平板不同系統，不知道會不會有很大困擾，還是說直接13pro去使用呢？或是堅持三星系統，但總覺得他家新出的都撐不了多久對了，筆電是windows──────────────────────────────────────; Comment：iPad 單用其實沒啥問題 筆記的話iPad配件很多。就只是沒辦法Airdrop、共用iCloud 跟相簿。金屬筆頭類紙膜淘寶一卡車。生態圈4加分 但沒有加分本來就很高分ㄌ。嗯 第一組 然後去隔壁版徵  划算。記得要去各地名店攜碼退佣金最簡單。做筆記比如說用GoodNotes ，手機iPhone 可以無縫。隨時查看iPad 筆記。兩邊的相簿有開iCloud 會自動同步 跨平台用Google。Photo其實也做得到 步驟多一點點而已。iCloud 第三方APP要調用同步都可以用，三星生態能同步的。就只有幾個，前陣子還把媒體瀏覽器同步擺爛丟給微軟雲去。同步，感覺沒有認真想做生態。自己用s21 fe跟ipad air 3 其實雙系統不會有什麼太大的。問題 沒辦法airdrop用TG line來傳就好。google drive也都可以用 只是檔案總管跟安卓不太一樣。適應一下就好。現場摸再決定，順便滑旁邊的中國機做流暢度參照。反正你預算沒上線 買了不喜歡再轉手就好 不要想太多。要買s22系列直上s22u。不然一定會後悔。推樓上，我s22+，u真的更好。看筆記軟體用哪個吧我是S22+跟iPad Pro 筆記用Notion。雙平台都有的筆記軟體就比較沒影響。只可惜蘋果系統跟windows傳檔麻煩。比較有困擾的就是錄影之類的大檔案吧。如果你有大量檔案傳輸傳到iPad需求那沒有airdrop只。有Google Drive的話，我目前是只能一個檔案一個檔。案抓，沒有辦法整個資料夾下載…。google keep萬解萬用萬平台。真要大量檔案用sendy搞定。買s22u 不會後悔。我是s22u+ipad追劇，沒什麼衝突，檔案就用email或是line。傳來傳去很方便。我是note10+ S7+ 筆記軟體是notes 主要途是線上教學用，。方便點在於可以手機下載文件，平板上課教學可以立即同步，。少了很多軟體切換的問題。缺點平板沒有line,雲端硬碟提取有些不順。22系列真的只推u。買8Gen1的小手機真的要想清楚，雖然手感可能不錯，但。整體體驗好不好就不一定。https//i.imgur.com/rSArRio.jpg。看錯，看標題是S22+，那續航好一些。上蘋果。不直上S22u是會有怎麼個後悔法? 我也是打算之後換S22+。S22u大台又直角有得我心但曲面實在是不敢碰 (家人的曲面。手機摔了慘不忍睹)。S22+不能跟iPhone比較吧。要嘛也是拿S22 Ultra 來比。三星品質，要考慮一下過保壞掉的timer 機率，但iPho。ne 13系列則是有pwm 傷眼的問題，你可能要去試用展示。機，看用久一點眼睛會不會酸痛。我S21U配iPad Pro 11，沒啥不方便欸，工作娛樂兼顧，兩大系。統都能玩，文件資料雲端都靠Google全餐，而且LINE不衝突，。安卓平板的LINE登入妳安卓手機LINE就被登出(LINE LITE沒了)。，iOS版LINE視為電腦版所以不衝突，你要這時間換iPhone不如。等9月發表會的14。我是Mac、iPad Pro、S22U的組合，蘋果的電腦平板是整合的還。不錯，手機我倒是沒什麼動機換蘋果的，S22U外接螢幕鍵盤滑鼠。開DeX幾乎可以當電腦用。推樓上，DeX好用，找個外接螢幕或電視就能當簡易電腦用很。方便。平版等apple的BTS專案 手機的話看能否忍受8gen1吧 無論。換三星/蘋果都是有感升級。我也覺得22+不如直上U 相比有很明顯的閹割感。我是雙系統用s22u+ipad覺得很好耶，我玩的遊戲有的安。卓優化好，有的ios優化好，刷首抽付款安卓方便便宜，。追小說看劇中國平台iis付款方便……檔案之間現在很多。雲端同步也沒啥問題。買s22+。我S8+換S22+，不是預算問題是不需要筆而且有點方正不。愛。請問8gen1為什麼無法接受?",2022/06/23
[問題] NOTE10+換 S22+ 升級有感？,https://www.ptt.cc/bbs/MobileComm/M.1655108930.A.CC1.html,"Content：最近剛好N10+摔到螢幕，再加上最近的4G好像越來越卡，想說來換台5G手機。不知道有沒有人也是NOTE10+換S22+請問是有感升級還是有感降級呢？還是乾脆直上S22U?; Comment：格式。謝謝提醒。上u吧 我還找不到n10+的後繼機種。一定有啊。購機發文有格式。格式改一下 不然要進桶了。換22u升級有感。S22系列就是要直上22U啦。前兩者不上不下的,預算有到就不用考慮了。電池用兩年換S22沒有+ 續航會縮水很多嗎？。新機應該也快出了吧，不等等?。還能用就等新機 888跟8GEN1都廢到笑 感覺這麼熱也不會多耐用。建議買u。855換8Gen1不知道會不會覺得暖，急就上S22U，不急等。明年Ultra。相機一樣卡。處理器爛。不要U，曲面螢幕。講真下半年也沒有幾隻好換吧。1.優點-S22Ultra-A.平面攝影跟，B.4K動態錄影，C.夜。間拍攝，整體拍攝品質差很多，D.而且可用Expert Raw。差更多，E.錄影防手震更是比Note10plus好很多。。2.缺點-S22-Ultra-解析度選2.5k/120hz手機發熱非常。有感，但選2k/60hz解析跟溫度note10plus差不多。。note10+換s22u拍照真的好滿多的。另外覺得兩支曲面有差，s。22u裝殼之後很不曲，手感幾乎是平的！。為何大家不愛曲，我沒有曲不買耶...。相機部分就看更新有無改善囉，今天可以下載。S22Ultra相機今日6月更新已改善，以前1秒拉風箱，。剛剛試試幾乎全黑留一盞燈房間的對焦速度，也改善好。很多，不會拉風箱。。3.另外S22Ultra跟Note10plus，除了2.5K/120hz，很多。人都沒提到螢幕亮度，S22U真的亮很多很多，過去Note。10plus晚上都開7成以上亮度，S22U只要開3成亮度就。夠了。若有看HDR全開1,750nit亮度的影片會更有分別。。。我也喜歡曲面，所以比較喜歡note10+側邊滑起來的感覺，但。殼就真的要挑邊緣比較高的才安心，現在是拿來當備用娛樂機。才敢用輕薄的便宜透明保護套。。4..若不急用可以再等到明年，等三星用下一代台積電C。PU。真的可惜今年S22Ultra這支手機。。SOC(O), CPU(X)。購機格式。自家代工怎麼覺得可惜，歐版還有按摩店加持，應感到驕傲。我是n10＋ 換22u 有感  程式執行 等等都跑比較順 耗電。我覺得差不多 22好一點點。台gg 沒好到哪去已經單純不是哪家代工問題了 arm沒改。善依舊一樣。扯ARM是選擇性忽略三星製程問題更大吧...。N10+的855都三年前的SOC了...。電池還只有4300mAh。不是說台積電功耗少三成嗎。note10 換成s22+只有電量有感提示。只要換s22系列都是升級有感啦。我其實也愛曲面，側邊螢幕快捷很好用～繼續等能代替N10+的機。種ing。N10+換S22小支除了耗電(電池小)，但拍照充電速度螢幕。都有提升。拿用了兩三年的機子電池還比較小嗆台積電製程不夠好。嗎XD。等等黨等起來。功耗少三成但是續航不會多三成喔。錢包就很有感。n10+換22U 還算有感。我NOTE10+兩天前換S22U沒有太大差異 我認真的QQ。https//i.imgur.com/VRHILux.jpg",2022/06/13
[問題] S22+ 提醒會卡住,https://www.ptt.cc/bbs/MobileComm/M.1654782564.A.B7C.html,"Content：家人自從3月更換S22+後在操作任何APP時只要在螢幕中間出現提醒字樣例如：https://i.imgur.com/G4Vnzn0.jpg那個提醒就會卡在那邊提醒後面的的東西都不能點旁邊的可以必須把APP從背景關掉重開才能恢復想問問其他S22 使用者也會有這個問題嗎？有任何解決方式嗎？還是是機王啊......（  ＿  ；）; Comment：要看是什麼APP造成會跳出 再點一次以離開 移除應該就正常。s22+ 沒遇到這問題欸 跟App應該比較有關係。這APP問題吧。你有裝什麼特別的app嗎。沒遇過 我是預購的S22+。s22連拍照都會卡卡了。這不是系統裡的通知 你裝了一些其他怪app的原因。一樣s22+沒這問題。家人說從一剛開始使用就會，而且是很多APP都會發生，。那我只好請他先恢復原廠設定看看了@@。囧   家人說已經重置過了，沒裝APP時還是會發生。送修三星吧 ==。說不定是12的鍋ㄎㄎ。一樣s22+ 沒遇過。固定的App造成的嗎？。我之前的S10+有遇過，將「數位健康」這功能關閉就好了。22＋沒碰過欸。應該是有app相衝，我沒遇過。更到最新版app也更新試看看。S22U沒問題。s22+沒有。S22+沒遇過。S22＋  line 通話常常斷線,手機收訊差,超耗電每次出門兩三。個小時就剩50-60％。看電池管理也沒什麼app 在耗電",2022/06/09
[問題] S22+ 雙卡問題,https://www.ptt.cc/bbs/MobileComm/M.1653112911.A.96A.html,,2022/05/21
[問題] s22+ wifi 通話 背景偷電,https://www.ptt.cc/bbs/MobileComm/M.1653020802.A.461.html,Content：我的s22+已經使用兩個多月這兩個月中更新不少次，但還是需要維持一天兩充的習慣我是手機輕度使用者，以前拿華為6.1吋的可以兩天一充後來我發現我的手機都是wifi通話在背景偷電但可以確認的是我已經把wifi通話的開關關閉了，還是會背景偷電剛好昨天莫名覺得非常省電，後來去電源管理內發現昨天一整天wifi 通話的背景使用時間非常短但今天又開始背景狂偷電了…想問問各位的s22+有這個問題嗎？還是說有什麼app容易會喚醒wifi通話的？或是有沒有什麼方法能夠去強制不讓他在背景啟動？（應用程式設定裡面看過了，沒有wifi通話選項）我已經想把手機賣一賣…但我習慣裸機使用，感覺不好賣掉。再次先感謝大家了https://i.imgur.com/yBcNHGa.jpghttps://i.imgur.com/Uz3iLNp.jpg; Comment：one UI本來就會吃電了，有8gen1倒不是意外。我有wifi偷電這個問題 倒是always on display 偷得蠻。兇的。我S22U倒是沒Wifi通話問題。你使用app的關係吧 從來沒在背景看過這個耗到電。另外我通話改Google的。三星的通話裡面也有wifi通話開關。我的s22+wifi通話常駐沒有你說的問題，你是否有使用防。毒還是vpn的程式，又或者通話錄音的功能呢？。然後wifi通話是有在應用程式裡面的，請開啟顯示系統應。用程式。https//i.imgur.com/7v73DYm.jpg。建議可以將網路設定重設在觀察看看，順帶一問您是哪家。電信？。https//i.imgur.com/8dFfwy0.jpg,2022/05/20
[心得] S22+想換回S10+,https://www.ptt.cc/bbs/MobileComm/M.1653016661.A.1AE.html,"Content：S10+用好久了最近一連串換機IQOO9 > K50 >S22+拿到S22+，覺得質感果然比S10+好手感略厚重，比不上S10+輕巧屏幕1080P不比S10+2K差甚至覺得更清晰?充電無感，超快速充電2.0也要一個小時續航有點差，比不上我剛換電池S10+手機本身容易發熱卡頓沒有明顯升級感想問問大家，這情形是正常嗎？感覺我有點想換回我S10+坐等S23 OR IP14; Comment：正常。指紋總該是進步的吧？。我也是s10+換到s22+,耗電量跟用了3年的s10+差不多，。手感10+比較好，其他方面依我個人使用上感覺沒有差。很大。。補充一下指紋有比較好解鎖。S10+我後面都沒貼保護貼了，指紋變很好用。我想說我是。這代真的有夠烙賽...。不是換機步驟出了問題，原來大家都這樣。。所以我繼續用S10+ 希望等到真速充的三星。不過K50續航大概是S10+兩倍，很頂。。s10換到s22，手感真的有比較重，但充電快很有感。8G1就是退步兩年啊，能耗比比865還不如。充電前半小時差很多耶 我的體驗是螢幕降級沒錯  但其他。體驗是變好的。最有感的應該是指紋辨識進步不少吧。我原本用s10跳到s22無感 後來換pixel6覺得變順…到底。s10換s22u 重量多很多 其他都比較好。s10+的處理器也不會省電哪去 這說法誇張了 熱是會 但卡。頓倒是還好。請問日常拍照呢？是否有感？。s10換s22感想一樣 不過這兩次更新相機有比較順一點了…。但使用整體還是沒比pixel6順。拍照品質是好不少 但疊圖速度沒啥進步拍動的還是會糊。正常 s10真的是巔峰。我也是拿s10 繼續等三星真的做出一個成熟產品。增強處理有沒有開，開了順一點耗電不明顯。增強處理？ S10就有的東西怎麼會覺得S22就有差。感謝幫忙滅火。note10+。我完全無法適應非120hz的螢幕了。S10+ 什麼功能全都給了，沒有被閹割。有血氧 , MST, 3.5mm 等消失的功能。S22+ 進入左邊BIXBY會卡一下，按應用程式有時候會頓一。下，感覺跟我S10+差不多，沒有新換手機的感覺，手機還。經常熱熱的，真的是。。但屏幕四邊等寬，鏡頭很小，顯示效果倒是很舒服。。從note10+換s22u除拍照變好外，其他體驗都退化，重到拷貝。我S22U換回S10+了,S22U給我爸用,不懂明明效能全開,玩弓。箭傳說還能卡頓,比Z Flip還卡,重點是真的整個背面都是。燙的。S10摔到換S22+  目前感覺續航、發熱和指紋有好一點，但。是手感變差還有耳機孔和SD卡擴充這些都沒了。最有升級感。的是120Hz刷新率的螢幕。拜託讓我跟你換。三星就是硬體可，但是系統頓，加上處理器烙賽就沒辦法了。...我s9+放棄了，決定等i 14。等天璣版三星。我S8+換S22+，可能差比較多代，用得很爽。s22u就是比s10+重 若不是s10有問題還會繼續用。獵戶座9820晶片也很慘。S22U兩個月又換回Note10 手感差太多了。S10系列真的是三星誠意之作之一。要換家比較會有升級感。S22出掉換回去S10+1 ……換個電池頭好壯壯繼續再戰。目前正在用s10 看樣子要等下一代旗艦了..。s10+可惜是用獵戶座，但還是算一代神機，換電池繼續撐。s10 高通版 還是很順中。這兩年的進步幅度的確不大。S10經典無誤。9820、990後就不再自研貓鼬。請問換完電池後無防水塵影響大嗎？。屏。準備把s22+當備用機，改買vivo x80做日常用。。s22真的沒甚麼特別的升級感。S22太厚了。只能等8加居萬。我覺得充電快很有感耶。屏幕。換s20+ 真旗艦。怎麼可能。目前我用起來是續航，發熱都略勝s10+一些。但因為s10＋是。獵戶座遊戲上明顯被s22u屌打啊……難道大家的s22u都不太一。樣嗎XD 會爆熱又卡有可能是之前晶片還沒有被遊戲軟體辨認。到吧?。像偶大也是最近才把8gen1核心更新進去，不然之前3D跟場景。全都超級模糊馬賽克，更新完後全開的人物模組跟畫質畫質細。緻度完勝s10+（不是螢幕關係，圖片拉出來同樣解析下就是有。差。S8+也老了才換S22+的 qq。我之前是s10+換v60，前陣子換s22u後，明顯卡很多，覺。得s22u的slag很嚴重。s10 s7都是王道之作。可惜s10被oneui 相機大LAG搞爛。超耗電 想轉手 如果用  普通充電頭永遠充不滿",2022/05/20
[購機] S22 / S22+ /S10e,https://www.ptt.cc/bbs/MobileComm/M.1652892700.A.9A3.html,Content：因為把現在的S10e鏡頭給摔壞了，所以急需一台手機。目前選手是S22 / S22+ /S10e。我有大概做過功課，但是還是想詢問如果就需求以及目前的價格，選什麼樣的手機比較划算。 心裡是比較傾向買S22或是S22+，畢竟比較新。但是也不排斥再買一次S10e，因為目前用得還算滿意。如果有其他手機可以推薦(差不多價格)，也非常歡迎，感謝!需求- 不打電動- 常常用手機聽Youtube音樂- 需要拍活動量大的小孩- 平常就是傳訊息以及和家人視訊目前價格:S22 256G: 650鎂S22+ 256G 750鎂S10e 128G 350鎂; Comment：22+ 美國有A52s的話也可以。Galaxy a73美國有賣的話也行 但A系列拍照比不上S。s22+。手機還是買好一點的…耐用。格式。s22+。三星拍小孩很容易拍到糊的欸 好奇你怎麼拍的還肯繼續用。三星 pixel成功率高很多。22+。為什麼不要pixel。S10e現在還買得到喔？還這麼貴。s22+不會後悔。沒預算問題當然22+。pixel什麼都好，就是不適合當手機（X。原生系統整個反人類。S10e停產了吧 且那屎續航力我受不了 雖然手感十分讚。舊機怎不考慮S20+。S10e 很夠用了。ios的設計更反人類都有這麼多死忠的了，pixel原生設。計根本小case。s10 e別開玩笑了。s22+不好拿，手感比不上S22。手感就是S22但是續航發熱很難說。s10e超讚阿 我都想再找一隻備用呢。但是二手s10e才5000台幣不到。22+握感比10e大很多，你可接受？。S10e問題很多要注意一下 雖然是稀有的小手機。肯定s22+ s22的續航真的不行。在意電量建議直上s22+。s22+。S22+。S22+續航力會比S22好多少嗎？一樣8Gen1呢…。s10e綠line視訊一下就很燙。22＋一票，22的續航不行。Xperia5 iii，握感很棒。用過s10e覺得使用起來速度太慢容易卡頓，而且機身容易燙.。.,2022/05/19
[購機] iphone使用者換S21 FE/S22+的選擇,https://www.ptt.cc/bbs/MobileComm/M.1652542182.A.F89.html,"Content：1.預算範圍/考慮機種:S21 FE/S22+2.使用需求：基本上就滑PTT/IG/FB，長時間會看Youtube與動畫瘋手遊：神魔之塔/公主連結/明日方舟拍照基本上就在家裡拍我家的鸚鵡而已XD不太會特別去外面拍照，算非常輕度的需求3.品牌喜好(不要XX品牌，要OO品牌)：無4.補充說明(補充上述未提及之其他需求)：本人從i7用了好幾年直到xs max出就換xs max直到現在，想從ios換安卓的一大原因是神魔可以雙開XD 蘋果要切換帳號非常麻煩，至於其他功能也就一般手機使用者的需求而已。這兩隻我比較偏好S22+ 因為螢幕比較大，不知道S22+現在的評價如何？另外有多年ios使用者跳槽到安卓的嗎？會不會覺得很難習慣？手機排版抱歉。; Comment：我覺得很難習慣。就續航很普，也許s23+會更好。不要想不開。只為遊戲而換掌上型電腦不划算！。s21U。不要換= = 原本有雙系統習慣就算惹 近兩年卓卓CPU....。你可以另外買一隻A52就可以了，原本的不用換。沒拍照中國機也可雙開，還有870、田雞9k避開888、8g1。依你的使用環境不用在意soc，說真的8G1沒那麼不堪，只。是能耗比輸蘋果，所以你可以放心換s22+，而且三星功能。超豐富用了會覺得蘋果很綁手綁腳。重點現在又便宜。認真不建議。安卓跳IOS比較容易水土不服，IOS跳安卓反而不會。安卓可以調成你喜歡的樣子。一般使用的話效能影響不大，不過功能多很多。可能要看。會不會覺得功能太多學習成本高（？）。再買一台iphone。xs留著雙開 買13結案。蘋果換過來會直接大開眼界吧 蘋果那封閉系統除了能耗。低UI好看 真的一無是處。因為朋友換三星就讚嘆功能多很多XD 所以我應該也會。跟著換了 謝謝各位的建議。這兩年的安卓旗艦都被高通雷慘了，真心建議不要換過來。三星最後的S865手機S20FE已經不賣了，你要避開雷區只。剩下中階A52S遊戲性能還倒退。如果為了玩遊戲，強烈建議不要換，噴火龍燙手噴電。。你的遊戲並不多吃效能 不太需要懼怕火龍。尤其明日方舟play store pc端可玩。只是目前還是beta。不過你遊戲a52s完全能應付 乾脆雙持？。價格不錯 用不滿意成本不會太高。Ipad mini。Must be kidding me。https//i.imgur.com/buHGtGJ.png。https//i.imgur.com/l6Lm7G0.png。https//i.imgur.com/XJ9Iejs.png。s22+還可以。你玩的這些遊戲不需要很強的效能，買台便宜安卓就行。其實也可以買一隻A52S當備用機吧。省下來的價差可以多課好幾單，這樣才爽吧。未必需要因為一款遊戲跳生態系。幾千塊的安卓機玩這些手遊就很好用了。省下個一兩萬塊課金額度，以玩遊戲來說，爽度比較夠。講是這樣講 但用慣蘋果當年度旗艦的人 主力機換成安。卓中低階 轉黑機率很高 要馬就是買隻中低階當備用。要馬就是直上旗艦。我個人是比較建議主力蘋果+備用安卓中低階。就算完全不玩遊戲，iPhone要轉安卓絕對是要買當代旗艦。，推中低階的是不是不知道iPhone跟中低階安卓單純日常。使用的差別感受？。A52S很夠用吧。https//i.imgur.com/yGgGpGg.jpg。我就是一台13promax搭兩台安卓機使用。主力用13promax，課金跟小帳用安卓，用得很順。日常使用全部用iphone，安卓機只拿來課金跟養小帳。用起來很舒服方便的～。中間那台oppo用中華電信續約價五千多而已～XDD。我是被粉色燒到12mini換22+有感螢幕提升 溫度也有感。提升 效能差不多 但第三方軟體自由度很高 如果為了。特殊遊戲需求可換。你7代跟s22差了六年，隨便換都屌打..。看錯，xs四年才對。難習慣+1 跳三星一年又換回來。安卓不要亂換中低階，保證以後你變安卓黑，除非你明確。知道自己要什麼，旗艦三星還可以體驗悠遊卡、視訊鏡頭。的特化（捕捉人頭、背景虛化、去背），還有一堆，我換。了三星四年，到現在有時候還會發現新功能，至於卡頓一。般人不會連開100個App測試秒數所以也感覺不太到，但相。機有時候是會卡個一秒。先換a52s玩玩吧 ui功能能適應明年再換三星旗艦。不要中低階，因為這個區段的2年多就快死了。現在很多人推中階是因為旗艦CPU功耗表現連續兩代翻。車，而中階晶片778的效能大概有到A11左右的水平（。單核是還沒有），甚至不少中國中階機用到870。至少這些中階晶片應付原Po玩的遊戲已經綽綽有餘了。推薦a52s。我從 realme x3 由 855+跳成 se 2, 明日方舟順的跟什麼一。樣。安卓機的 cpu被高通害的不輕啊。絕對別換，一定後悔。可以啊，我iPhone X換Pixel 5也不錯。https//youtu.be/VJRCzcB13Ek。基本上只要有你喜歡的點就可以跳槽。換8gen1可以體驗到為什麼需要帶行動電源跟冰塊出門。我自己用S22+一整天都沒問題，不知道帶尿袋是什麼感覺。，雖然8g1能耗比不是很好看啦，但也沒那麼誇張，一整天。絕對沒問題...。其實我不常出門 所以不怕續航的問題XD 另外請問s22。現在還有登錄禮的活動嗎？。我愛瘋用了六年了換安卓，暫時沒想換回去。若為了玩遊。戲而換，絕對不要換中階還有什麼輕旗艦直接選S22+就。對。13PM S22U雙旗艦路過，S22U續航是被13PM虐，但功能性是S2。2U虐13PM，順暢度13PM的動畫表現很順暢但S22U也不差了。所以主力還是用S22U。iPhone換三星後才知道iOS有多垃圾。哇樓上XDDD",2022/05/14
[問題] S22+通話錄音軟體,https://www.ptt.cc/bbs/MobileComm/M.1652271243.A.25B.html,Content：請問S22+用ACR Phone這個軟體可以自動通話錄音嗎?我目前用S10+是可以正常使用的，怕換S22+會不能用; Comment：開協助工具能錄到，但小聲到幾乎不能用。ACR 可以，S22 ultra 錄得蠻清楚的。好神奇。acr自己都說不行，然後一堆人說還可以用，好清楚。。。對，那個警告一直都在，可是真的可以錄，自己測試就。知道了，不是用擴音錄的方法。。是要在三星的應用商店下載的ARC嗎？。打錯是ACR。我試過三星和G商店的都沒有比在Android 9上大聲。我是S1。0。三星真的在S22又佛心開門了？。對我是在三星商城下載的。我原本也是用三星商店的ACR，是可以用，但有時用一段。時間後就不能錄了，要重開機後就正常，但最近ACR跳出。字幕請用戶下載play商店的ACR phone，用到現在還滿意。，沒什麼bug，所以想請問S22系列用這款錄音軟體是否。正常,2022/05/11
[購機] S21/S21 FE/S22/S22+,https://www.ptt.cc/bbs/MobileComm/M.1651930248.A.1A1.html,"Content：1.預算範圍/考慮機種：S21/S21FE/S22/S22+/S21+，約25K2.使用需求：續航，輕度手遊3.品牌喜好：三星4.補充說明：三星Spay以及悠遊卡用習慣了，有想過跳IOS，但是學習成本太高以及細項的功能缺失太多，所以還是以三星為優先有先了解到近年安卓SOC烙賽，本人現在手上是S10（ SOC為獵戶座9820），應該再烙賽也沒我手上這顆烙賽吧（？拍照很少，幾乎都是一時興起隨手拍想請問版友們這幾支會比較推薦哪一隻了！; Comment：沒有考慮S21+嗎。續航刪掉s21.s22就對了。再撐一年啊，S21FE不玩遊戲可以試試。Note20u好像跌到25k，也可以考慮看看。S22+可以在4G上網的環境下連續滑超過6小時，我覺得算OK了。我從S10+換上來，但我還是覺得S10+手感屌打S22+。剛從S10+換到S22+,同樓上手感真的10比較好，但功能上。用起來個人感覺沒差很多，可能跟我是輕度使用有關。要續航就換個電池再撐一年看看吧，都知道烙賽就別買。了。要就一次上22U 不然再存一年吧。Note 20或ultra?。同S10 上個月換了原廠電池打算繼續撐。S21FE不錯，現在價格低於16K，昨天才入手。玩遊戲的話目前玩PMGO跟PMM都很順。續航的話感覺就比較普通一些。S22+吧，S21系列感覺問題比較多。推s20 fe 使用一個半月覺得很滿意。最近也再看 雖然s10換了電池還行 不過主要是最近約到期。續5g s10沒有。S8不知道如何是好。s10換s22路過 續航比用3年的s10還糟 在家用wifi，s10可。以用6小時多，s22不到6小時 出門更慘。S21 FE感覺很不錯，就是心得文相對偏少，不確定穩不穩。。推s21fe，前波優惠買到1萬5以內。等高通新的soc,出來。你預算那麼高 可以不要買這些三星做的垃圾soc。不要浪費錢 等8gen+ 或8gen2。s21，WiFi下用chrome瀏覽網頁，內建電池用量為10分1%，。單純App耗電，沒螢幕耗電。輕度使用下，看漫畫、PTT、網。頁，若不考慮待機，連續使用隨便都10小時以上，待機一小。時0.5-6%吧。10小時是保守，我覺得應該12小時以上。我室內亮度都習慣調很低，可能10%吧，沒啥反光就好。n9再戰一年等s23,撐住我跟你一樣。S22續航不行，選s22+吧，s21現在綠屏災情不推",2022/05/07
