Title,Content,Comment,Date
[購機] 30k內手機選擇S22/i13,我是十年安卓粉，從索粉當到碩粉再變成Google粉，也有一點討厭滿街都是蘋果所以一直用之前跟男友兩個都用華碩，結果狂出任務，一下換電池一下換主機板，憤而轉投Google沒想到ZenFone 5退下來只玩遊戲看影片倒是很正常，氣死現在Pixel 5用一年而已，常常電量雪崩式下滑，最近還常常無預警關機我跟男友的兩隻都這樣真的心好累剛好他不小心摔爛螢幕，想著乾脆換了（因為螢幕壞掉，無法等S23或是i14，還請大家給個意見一、預算範圍/考慮機種：30k內S22/iPhone 13二、使用需求：1.續航好，充電快，可接受一天兩充2.租屋處沒有網路，又常常在外面工作，常常手機當熱點用，希望不要太燙3.我有養兔子，希望相機開啟速度快、對焦快，方便我拍照4.中度遊戲需求：薑餅人、聯盟戰棋，這個應該都沒問題才對5.希望穩定、不要常常出任務...爬文看到S22好像常有問題（但我想也可能是使用者數量多？還有之前摺疊機問題原廠判人為讓我有點在意安卓陣營不要中國牌是不是也就只剩三星？三、品牌喜好：三星跟蘋果二擇一四、補充說明：嗚 好不想換系統如果有其他好選擇請推薦我QQ,看看好市多有沒有i13，有90天可以退，無縫接i14。。怎麼感覺是空集合 iPhone熱點非Apple 裝置不太友善。三星的相機啟動真的說不上快，甚至有點卡。如果真的要二選一的話就iPhone吧，不過新iPhone要出了。感覺手機壞在尷尬的時間點。你第五個很好笑，iPhone全台佔比已經超過5成。。可用預算剩的另外買sim卡分享器、副安卓機，較不會因為。邊用邊分享造成主力機過熱，加速電子元件老化。等iPhone改用type c我可能就考慮跳過去了。要續航不要燙S22出局，常用熱點iPhone出局。iphone 問題去ios版比較多人討論。看家人拿sony拍貓咪影片清晰度很優秀，但是拍照我覺得我。的s22ultra贏XD。等i14，END.。這種用法沒多少手機能撐住一年以上，買保固長的比較實際。要續航就i13吧，s22續航好像不太行。或者另外買手機保險也不錯。所以你要故障少的就是選iPhone啊…。因為用iPhone的數量就已經佔一半了啊。把手機當固網用，我覺得都用不久。要續航i13，要充電快s22，要熱點s22，開相機快i13。沒有完美的手機，你要自己取捨你哪幾個條件最重要。sony手機主打對焦動態拍攝。iphone故障率低。S22照片解析勝。討厭蘋果就S22。1.續航：i13 > S22，888的鍋這沒辦法。2.熱點：S22 > i13，iPhone的熱點出了名的爛，你沒有蘋果。全家桶建議別用iPhone當熱點。3.相機：成像品質S22 > i13，但操作順暢開啟快是i13 > S22。4.遊戲：兩支都沒問題，只是S22會更熱一點(888的問題)。5.穩定：i13 > S22。結論：你還是選i13吧，不過下個月i14要發表了我建議等看看。S22是8G1啦wwwww。感謝樓上更正，888/8Gen1都一樣問題。安卓還有老索啊。有人下面那一篇文無法載入嗎？。小手機愛用者，我目前是用S20，最近高通都用三星製程導。致我不想換手機，原本想跳iphone 13p但不太喜歡被系統。綁東綁西，加上熱點功能不人性遲遲沒換。現在可以賭看。看zenfone 9。如果可以接收ios可以一樓的作法雖然是有。點不太好。如果可以接受ios可參考一樓作法，但好像有點不太好。s22開相機慢拍的也很卡容易糊最好不要 ，可以考慮sony的。拍照比較快。Zenfone 9 / 小米12 / iPhone 13 Pro 三選一。zenfone 5z用三年半了，從來不覺得不耐用@@。s22續航太爛。不想換系統的話，還是建議8g1都不要碰，zf9待觀察，等明。年s23之類最穩。不想換系統就不要換啊。安卓要不熱就找中階。像A52s這種。還有iPhone熱點問題多，要常分享不建議。哦已經換了，那當我沒說，用得開心就好,2022/08/01
[情報] Galaxy S22 寶拉紫渲染圖曝光,https://bit.ly/3RC7k3J其實我還真的不知道Bora Purple要怎麼翻得很正式的中文...只好直翻https://i.imgur.com/fr3HNlS.jpghttps://i.imgur.com/rdDpp75.jpghttps://i.imgur.com/eUWBkRf.jpghttps://i.imgur.com/V00Oyr0.jpghttps://i.imgur.com/f0Yr8XI.jpg除了背面不知道為啥看起來很塑膠感之外 其餘沒啥好說的 就那樣子https://i.imgur.com/Jw1ocsO.jpg比S21的紫再淺一點 同時也沒有跳色處理https://i.imgur.com/Sojnqz1.png先前三星已經預告過要發表新色宣傳圖寫S22 Series 沒意外的話三款手機都會有新色S22+的顏色應該會跟S22一樣 S22 Ultra大概也會是偏暗一點的顏色,靠腰啊 看起來超像s21fe。樓下寶拉圖支援。我貼寶拉圖會不會被檢舉啊，還是樓下貼好了。樓下支援。樓下支援。出個天璣版就買爆。Bora就是韓文的紫色。快樂寶拉。寶拉：我這不是來了嗎 http//i.imgur.com/7APXrAs.jpg。https//i.imgur.com/yWMexrS.jpg這不是來了?。我喜歡這個寶拉 https//www.youtube.com/c/wannabebora。德保拉：。沒人敢貼泰國的寶拉。為什麼泰國寶拉會被檢舉啊？說不定張貼者就愛那味～。話說這支是8G1+或D9000就香了。成寶拉。小心惡魔旅館。明年8Gen2是台積製成吧？終於能買。樓下157/惡魔旅館支援快樂寶拉。惡魔旅館會來逛這邊？。笑死 德寶拉。寶拉是黃的才對。https//i.imgur.com/WVLLwiM.jpg。Bora?蠻正的啊。真的有以為是s21fe。我喜歡成寶拉。快樂寶拉。就iphone紫啊XD。寶拉...怕。感覺不錯。寶拉文。不知道會不會有藍色！。S21的紫色漂亮太多太多。芋頭?。快樂寶拉,2022/07/15
[購機] 找輕手機 170g內 (米11L 5E / S22 and?),"=======此為完整發文範例===發文前請刪除=========1.預算範圍/考慮機種：45k以上 jPhone 99 / Note 773萬元內2.使用需求：續航優 拍照強 要有耳機孔 不要防水 不要記憶卡Google MapLineFB3.品牌喜好：不要台灣以外的牌子都可以, 只要能使用chrome都可4.補充說明：希望長時間使用電池不膨脹 能用六年輕, 只需要輕, 長輩手挽有傷 不能拿太重重量低於170g即可不要蘋果系列搜尋了很久, 不知道還有其他可以用的手機重量低於170g的嗎?謝謝","s21。vivo x50p。讓長輩不要拿皮套殼 這玩意最重。小旗艦手機(S21/S22等)續航通常都不太好，帶長輩去摸。Sony Xperia 10iv看看，輕、續航也很好。續航太差的話，大部分時間也要掛著行動電源，掛著只。會感覺更重。https//i.imgur.com/mu49aar.jpg。Mi 12x? 176g。等p6a? 178g左右。Moro edge 30。最便宜應該是11 lite ne 八千有找。11 lite ne 應該是裡面最輕的。11 lite ne趁蝦皮有折價時買，可能6500左右。moto edge 30 ,155克。s22,小米的系統，個人感覺line都會延遲！。10 iv 輕到跟無套一樣。尤其小手用更是讚讚讚。夏普有一支140克的。sharp aquos zero6？。Sharp Aquos Zero Zero2 都 14X 而已但很舊了，Zero 6。比較近期。Sony Xperia 10iv一票 家裡長輩也是手。不能拿太重，買Sony Xperia 10iv很輕",2022/07/15
[問題] S22無故喚醒螢幕,目前手機是從S8備份來的不得不說資料轉移的很完整但之前的S8在汰換之前就會無故喚醒螢幕現在S22拿了三個月左右也開始無故喚醒螢幕讓我開始擔心是不是被木馬看了一下電池紀錄http://i.imgur.com/CXv0fLb.jpg依然找不出疑點手機也不曾異常過熱求解QQ,到底有多無辜。無辜有點無辜。太無辜了。Good lock裡面有個nice catch可以看 他會列出叫起的app。喚醒後有睜大眼睛委屈的看著你嗎？。裝睡的人叫不醒。真是太無辜了。打錯一次能理解 打錯三次是怎樣。當螢幕被喚醒時，沒有一個APP是無辜的。設定裡就有通知紀錄可看，我的話是天氣和系統使用者介面，。前者是靜音，後者跳通知後又立刻消失，不知道是什麼。。無辜QQ。舊的問題也一起轉移過來了，我自己都是寧願慢慢灌。你把Google這個app的通知全部關閉試試看。螢幕會亮應該就是跳通知，只是快到根本看不見，喚醒當下去。看通知紀錄，剛跳的通知會顯示在最上面。。看有沒有通知來就會亮螢幕的app。open point就是通知來亮螢幕。裡面有Peel Smart Remote嗎 以前被它搞過。bixby莫名自己跳出 我就停用了。是不是會突然亮，又三五秒就暗了。把第三方app都一個個移除看看，先要釐清是系統還是第三。方app問題。農曆7月快到了..,2022/07/13
Re: [問題] S22續航力怎麼樣？,※ 引述《ss61512tw (台中彭于晏)》之銘言：: 想問現在最新的S22有比較好嗎: （手小，只選這隻）你要小手機的話https://i.imgur.com/AcRRcPn.jpg電力都很有限吧如果對續航力有需求的話我建議選中階機 或 低階機 會更好[時脈]跟[續航力]  就像一個相反詞一樣電腦有超頻的就不陌生    超頻就是拉高電壓來拉高時脈你只要控制電壓  就能控制時脈   (用電量也跟著上升)這也是電腦CPU從以前的300W供電器   一直變成現在有900W供電器的原因但是手機通常不會像電腦那樣一直插著電使用加上手機有電池持續反覆用電池老化的問題換電池的問題舉例來說https://i.imgur.com/4NEoFJP.jpg↑高時脈↓低時脈https://i.imgur.com/fG2w72y.jpghttps://i.imgur.com/bCVP3Fl.jpgsonyX1高階機續航比自己自家的中階機sonyX10還要弱SONY X1iii 續航力最高可達82小時SONY X10iii 續航力最高可達137小時差距很大這就是處理器帶來的犧牲可以明顯的感受到時脈對於續航力的影響效能過剩對有些人來說    中階機的速度就夠快了像之前有人拿中階手機   就覺得速度夠跑日常生活的話    那就足夠了不常玩遊戲買高時脈的手機   然後來折磨自己的電池壽命   折磨自己帶行動電源我是覺得沒必要最重要的還是看一下自己需求選擇依照需求其實我覺得買手機最好就是看一下自己需求如果你的需求是續航力你需要電力持久的手機    那低時脈的手機就很適合你如果你的需求是速度你需要速度快的手機     那高時脈的手機就很適合你※ 引述《ss61512tw (台中彭于晏)》之銘言：: 我是三星忠實使用者: 但也真的被續航力搞到很想跳蘋果: 第一支S8 目前用S20: 我如果外出螢幕持續開著使用: 大概7到8個小時就沒電了: 真的很煩躁掉很快: 常常要一直充電: 想問現在最新的S22有比較好嗎: （手小，只選這隻）: 雖然考慮蘋果但真的懶得再熟悉新系統: 如果續航力沒問題三星是用的很開心的,講那麼複雜 我以為在上國文課了0.0。那相機呢 中階不會比較犧牲嗎。效能過剩可是外圍低配。這樣我買高效能手機然後用省電模式還可以享受高配外圍。其實 S22 的大小更接近 iPhone 13 pro，但人家兼具小尺。寸和可接受的續航，不需要過度妥協，三星續航爛不能都怪。罪給小尺寸或晶片時脈。。其實簡單就是等明年用台積電工藝的8Gen2就好，肯定比。現有的續航好得多。推推。xperia1系列續航差一大原因是4K螢幕。13 pro也比S22重很多吧 那個重量沒什麼手感可言 13比較接。近。但 13 續航也是樂勝 S22。。就所謂規格，真的是旗艦等級才會比較好比較全面 中間機有。A沒B有B沒C。小孩子才做選擇，同時要續航和效能就iphone13 pro ma。x。https//i.imgur.com/eSBf055.jpg。安卓效能續航只能擇一，蘋果兩個同時擁有。Endurance是待機續航怎麼還有人不知道。原文是螢幕持續開著的需求，那參考網頁、影片的時間比。較準。拿不同量級來比 一開始就錯了。第二段 也被13PM反證。其實還有小米12X可以選。只是沒人記得這東西。你是不是在巴哈一直講時脈什麼的沒人鳥你才來PTT講。等一下XPERIA 5 IV吧，不會太差。13只有60hz才贏有120hz的S21跟S22一點點....。回文那段也講錯，有典型值原因是每次生產的電池容量都會不。一樣，叫你倒五杯水你也不會五杯水容量都一樣，最大是3700。，最小是3590，並不是第三方都會降低，也有可能他這台水裝。比較滿，連台積電4奈米製造的u漏電率都能差2700-4100，這。個電量典型值真的還好，拿到4100的跟最頂的差1400續航直接。烙賽，電池還可以換，拿到爛體質只能換貨。http//i.imgur.com/y7YVkHI.jpg。樓上說的具體到底影響多少?有數據嗎?。那網頁看後面網頁和影片加總的啊 ，怎麼還有人看前面，。加起來贏快5小時也叫小贏XD。S22和I13續航差這麼多也可以在那差不多...這是。嗑了什麼。iphone 13跟S22，一個60hz，一個120hz....。螢幕亮度也有差，iphone 13最高800，S22接近1000。可以了解數據怎麼測的再來引用好嗎。每次都能片段的訊息來亂臭。拿最高亮度來說嘴GSM的續航測試...。因為在這裡移花接木、指鹿為馬或是斗轉星移大法都沒有罰。則，所以隨便解讀，或是穿插似是而非的論述，都只能任憑。他。。能夠誤導一個就是一個。。可以等zenfone9，8g1+ 和4300mAh。一個螢幕60hz，一個120hz還能一起比阿。這篇讚，解釋給手機小白聽的話，用頻率與續航反比表達。，雖然不正確，卻很容易就能理解！。不 *完全 正確。gsmarena續航：200nit、(1)3G通話 (2)wifi網頁瀏覽最高。刷新率 (3)影片撥放60hz。同樣60hz放影片差了快三小時也就20%差距吧。反正就有某星粉硬要用片段的數據去誤導全部的表現。效能還沒過剩...不然看網頁的耗電應該極少。連架構都不一樣何來談時脈？。要小尺寸手機的話小米12X也是一個選擇續航力外媒測試蠻。好的105h。https//i.imgur.com/1TNj6Bq.png,2022/07/12
[問題] S22續航力怎麼樣？,如題我是三星忠實使用者但也真的被續航力搞到很想跳蘋果第一支S8 目前用S20我如果外出螢幕持續開著使用大概7到8個小時就沒電了真的很煩躁掉很快常常要一直充電想問現在最新的S22有比較好嗎（手小，只選這隻）雖然考慮蘋果但真的懶得再熟悉新系統如果續航力沒問題三星是用的很開心的,"一樣慘吧。請等8gen1+機種。乖乖換13 pro max吧，神鬼續航。不過現在這時間點，我等14 pro max。正在用，建議你Pass。三星續航差，尤其是待機，都只能靠塞大電池才勉強能跟。iPhone 比較，但還是被最大支的 pro Max 屌打，因為晶片。爛 UI 也肥大又負擔。。所以只給 3700mAh 的會有多悲劇可想而知。。沒 你換了只會跟現在一樣。pro max也不是同個價位的東西就是了...。S20想辦法再多撐半年吧，等明年初S23會不會用台積電。製程的8Gen2以或看是否會將前代偷的電量加回去改善續。航，今年下半年的兩台折疊機就算真的是用台積電8+Ge。n1也建議不要買，Flip續航也不行，目前要續航推A52s。，但你可能會嫌大。https//i.imgur.com/BXxuzi1.jpg。我現在用i13p 比前一支s20fe 續航更強。別對三星的高階機續航保有期待。都說要小手機推promax有事嗎,好歹拿無印還是mini來說嘴吧。我手握S10，跟我一樣等明年S23吧。https//www.gsmarena.com/battery-test.php3。我是從S22進去，用它Add to comparios拉的。Add to comparison。你要從紅色Endurance rating的多少h那邊進去比較快，。不要點機型。https//i.imgur.com/IHxuGRF.jpg。https//i.imgur.com/c8xT4Rj.jpg。只有 3095mAh 的 13 pro 看影片和逛網頁的續航還可以把。3700mAh 的 S22 壓在地上打，就知道三星旗艦有多烙賽。。三星的待機真的不太優。https//i.imgur.com/tBLY7wh.jpg。我覺得這網站評測蠻準的。不好 高度使用10小時內。不過就算換i13 or i13p 持續開個7~8小時應該也快沒電了吧。S22這種小尺寸先天電池就限制住了...。要嘛就換iPhone，不然就等 8+gen1 的三星。但是你貼的網站三星都沒有測高通處理器，都是獵戶座。蘋果也差不多連開7~8小時沒電啊。我S22U也差不多可以連開7~9小時才沒電。換a52s續航也不會久到哪裡= =。期待續航只會失望(看著手上的s22)。如果是S22系列應該是S22+續航會比較優。Zenfone 8。STY ultra續航被用3年的華為屌打。開著行動網路使用續航7到8小時不差了吧，要明顯更好只。能找中階處理器配大電池才會有感，不然就是行動電源換。成支援手機快充的，出外沒電也能30分鐘回血。s22。華為確實是以前安卓高階機續航冠軍，同事以前拿 Mate 2。0 X 續航真的嚇死人。。待機來說A52s我認為很厲害 跟我手上的S22u比。死忠的。等S23吧，3700mah+高通8 gen1+120hz螢幕，續航力一定垃圾。正在用s22 4g撐不到4小時 在家全wifi頂多5個半小時。我3年多的s10現在還比s22撐的久。https//i.imgur.com/aZYkQ9D.jpg。還好我S21U續航不是。*續航算不錯。我S22小支的 不到半天就要一充。回某p，高通比較好啦，好2分鐘。https//youtu.be/5z8sOMOfrfA。https//i.imgur.com/YdyvBMG.jpg。三星手勢操作真的離不開了，只能期待8gen2待機能效能變。好…。小手機。S22應該還是要比S8省電吧。s20比較低。第一輪好14%阿。http//i.imgur.com/p9OdGKY.jpg。https//i.imgur.com/iAj6Tuq.jpg 50%可用至少4小時，用。到沒電超過8小時。像S20 FE續航力網站給 110H。S21 S22也贏 S20。手勢操作和系統稍微熟悉一下，度過陣痛期後就可以免於電。量焦慮和尿袋不離身的不便，我覺得相當划算。。換s22u續行好多了。蘋果續航比較好沒錯。但7～8小時的SOT什麼時候算續航不好了??。更何況不是大手機。p40403大大，你知道影片前半段叫做Speed Test嗎。https//i.imgur.com/SNhZSzZ.jpg。你知道他是從86%跟72%開始側速度的嗎，第一輪測完剩。84%跟70%，也就是測一輪各少2%，根本沒差好嗎。s8續行跟屎一樣。拜託你睜大眼睛去看後半部的Battery test就好了，不。要誤導板友。笑死，有人沒看標題被打臉。撐著等明年S23吧  S22用8G1電池也小升級感有限，續航要。稍微能看只能往上選S22+或S22U。常逛板的人絕對不會被某人給誤導，只怕新來的朋友才會被。某人亂帶風向而上當，偏偏這種故意胡亂解讀而誤導人的行。為也無法可管。。我也是S20U跳S22U，新機續航跟我舊S20U一樣= =，S22U。手機好用但是8gen1真的很爛很熱。建議跳過。S22U比前一隻N10+續航差，只能安慰自己2K120Hz看起來爽。，S22續航完全不敢想像。s21，續航爛手機熱，s22應該好不到哪去。笑死，有人想帶風向卻帶不起來，S22那個續航力用膝蓋想也。知道好不起來。888/8Gen1/獵戶座這些三星製造的SoC續航已經比台積電。慘了，又要手機小電池也小，真的還是跳過比較好。小手機等一下 XPERIA 5 IV。不過拿iphone 13 pro跟S22比也很奇怪，兩個訂價不是同等級。的，13 pro有1-120hz的LTPO，而S22沒有LTPO是定刷新率切換。，所以有LTPO機種影片分數都會很好看，前提是影片沒鎖60hz。speedtest一樣是開應用程式為什麼不能比續航？ 比續航難道。不是開程式不然是全部黑螢幕比待機？。S22會輸S21就是電池變小啊，兩台都屌打S20，奇怪，怎麼沒。人說865是爛u了。http//i.imgur.com/xcfpjhV.jpg。p大 人家就說同樣耗2%是要比什麼？。13 Pro 哪來的1-120，又在那邊誤導了。https//i.imgur.com/EzOVZj9.jpg。s21路過 續航有夠悲劇 請等8+ gen 1。爛到沒救。這兩年***端出來的就是屎 願意為了對***的信仰吃屎就拿。續航力爛就擺在眼前了還有人沒看到，慘。S22不知道 但S22U還可以。都有8gen1+了，確定要選8gen1？。台積與***的差距肉眼可見啊。就是垃圾。s20的螢幕是2k的。有可能是這樣導致續航沒很好。三星真的爛囉 三星代工的CPU都是雷。螢幕使用時間7~8小時旗艦幾乎都會沒電。要省電找中階機。雖然s22續航很爛啦 但你要螢幕亮7個小時根本沒多少手。機做得到好不好...。都知道會用這麼久還不帶行充是在想什麼。燙到不行 有夠耗電。這個人為了黑台積電已經語無倫次了，講的好像S21/S2。2就一定可以鎖60一樣，S20螢幕1440x3200續航是能跟S。21/S22的1080x2400比嗎？。https//i.imgur.com/cBsnViT.jpg。https//i.imgur.com/2M70i1X.jpg 人家網頁測的是比高通。爛的獵戶座啊。建議你換電池 觀望一下S23。S22好像也是8G1..建議你不要買。我買了一天就決定賠售，。比S21U還燙APP反應速度還延遲。看看小米12Spro跟12pro僅僅是換成8+，續航多了兩個小時，。我覺得小手機就等台積電製程的吧，電池已經夠小了，SOC必。須省電。可以的話等S23，8G2再怎麼樣都比現在好，然後4月的。時候有一條小道消息指出，三星SDI想將電動車電池堆。疊技術應用在手機上，預計可以讓相同體積電池增加50。0mAh容量。我記得我朋友不推。等S23，865的你都受不了包經萬的你絕對不行。用8 gen 1+ 再出來談吧（三星晶圓製造部門，臉腫成豬頭了。）。用一個小時剩83%，用三個小時半剩47好像也還好吧，是小米。系統調的太差了，自己去看F4的續航還比F3還差，不換u都更。差，MIUI13搞好比較實在。http//i.imgur.com/nrM4Rsy.jpg。要續航別買兩萬以上的手機，華碩跟小米比較適合，。尤其小米120w快充，充十分鐘用一天，可能比較適合你。續航超棒，可以繼續買。蘋果要到大隻的續航才比較猛吧。看看三星會不會出8+g1版本了 續航強很多。SOT 有8小時，續航力算很差嗎？。Iphone真的好笑，以前尿袋不離身，如今已是神鬼續航。10iv真的鬼神續航，沒追求頂級效能照相影音可考慮。。這種最好都要帶尿袋。S20 ULTRA用快三年，在外面10幾個小時從來沒擔心過電量。問題，三星要買就買最頂的，不要用個手機還在那邊擔心電。量。續行比SE3還爛的手機。你真的要好續航的小手機的話 Sony XZ1C推薦給您。手機使用是綜合體驗，續航這樣也能忠實粉？。用什麼三星 寧願用共產黨的。我就是S20跳S22明顯降級 半天就得充 建議上S22+或等S23。S22小支真的噴電噴的很兇，只能等S23了。手上同時有iphone13p跟s22u 只比純待機 iphone勝。但以一樣都會打game拍照一直開關螢幕一整天看 沒差多少。S22光看電池小 與超多人評測續航爛就完全不考慮哈哈哈",2022/07/12
[問題] s22u一直跳app停止運作訊息,今天早上起床後手機就一直跳出「Galaxy Watch 4 Manager」屢次停止運作不曉得有沒有人遇到一樣問題、有何解法？再麻煩各位協助，感恩！,重開機。忘記說已經重開機兩次了，還是會跳QQ。移除app重裝看看.。昨天也遇到一樣的狀況 app鄰近裝置權限打開就好了。http//i.imgur.com/8fH72nz.jpg。感謝樓上大大，目前試了一下似乎非常有效。更新後多了這個開啟鄰近裝置的權限要開,2022/07/10
[情報] S22系列更新7月份安全性版本,如題~~以下看圖我是S22 Ultra 其他S22也有https://i.imgur.com/Pp2EJd3.jpg目前更新完 差不多就是這樣吧哈哈這次不像上個月有傳出什麼相機改善的消息所以估計就是例行性的更新釋出而已~,上一版更新完相機變超卡 錄影還會卡頓，這版明顯好不少。更新完的時鐘有夠醜…悲劇了。更新後 Bixby Routines 還是壞掉... 從上次更新後到現在。都不會自動執行QQ。2樓有圖嗎？有點好奇。。相機版主說這次沒有更新相機。我目前是上一版，相機不會卡。我上個月更新完，公連會當，暗黑不能跑...。上一次更新變不順。上次更新完似乎變耗電。上一次更新完變耗電+1。https//i.imgur.com/IeMYH1W.jpg。以前沒用時鐘，有變嗎？。我在想2樓說的是數字時鐘？,2022/07/08
[問題] S22ultra用 pd3.0無法觸發閃電快充2.0,大家好~最近入手了一個innergie 60c pro (摺疊版)加一條innergie 的C to C的5A快充線結果接起來無法觸發閃電快充2.0，我設定確定有打開了查了一下查不太大資訊，我接原廠45W快充是能觸發閃電快充2.0爬文時有看到PD協定應該是吃得到才對有人有這顆充電頭能分享一下嗎？,"閃電那個不是要吃 PPS 嗎。因為不是走PD 是PPS。線記得也要準備5A E-Marker。線的問題換一條至少有3A能力的typec。最優的組合是倍思65W吧。線是5A E-Marker的。就算沒跳2.0其實沒差 速度真的沒差多少 然後這台很挑。頭跟線 同樣的線跟頭 支援45w的n10+就會跳2.0。看了老貓測3C，這款也支援 PPS 耶，真奇怪。搞不好先接手機或後接手機，觸發的協議會不一樣XD。其實是擔心買到機皇，要退換或，明天帶到公司找設備試。試。只能說三星是假45w 充電曲線跟僅支援25w的差距不大。對 我實測很多次 超快2.0最終實際輸出只有22W附近。要4A以上的PPS+線 才會觸發顯示超快速充電2.0。要4A的PPS+線。45w沒在平板中段一下電量充根本無感。充電器沒支援PPS，下次記得先查清楚。三星45。要有pps3.0。線材5a。頭支持4.1a 及 11v檔位才能觸發。應該是沒有這個檔位 所以gg。幾乎所有65w的都可以，而且比原廠更快。充電器確定有pps。不過65w充電器的pps，規格上多半是最大3-3.25A輸出,所。以無法觸發超快速充電2.0算正常。線5A 充電頭也要5A 倍思65的沒什麼效果（顯示2.0而已）",2022/07/04
[購機] 小手機 小米11Lite/小米12/S22,"=======此為完整發文範例===發文前請刪除=========1.預算範圍/考慮機種：45k以上 jPhone 99 / Note 772萬內A. 小米11 LiteB. 小米12 5GC. 三星 S22 (邊角銳利 想淘汰但不知道有那些可以替代)D. 請板友推薦2.使用需求：續航優 拍照強 要有耳機孔 不要防水 不要記憶卡通訊軟體股哥地圖3.品牌喜好：不要台灣以外的牌子都可4.補充說明：希望長時間使用電池不膨脹 能用六年電池電量要夠8小時, 出門划手機 不遊戲 看fb 看LINE需求: 小手機 但螢幕也不要太小, 能放口袋, 希望順暢不磚 不要太重.前一隻使用三星S5, 覺得大小重量都適中感謝推薦",8小時是如何的使用8小時呢？。11 lite 有兩種。誰知道你8小時怎麼用。小米12X。S5 狂..。安卓難啦，要長時間用地圖跑外送，不可能8小時。這種操法六年就算蘋果都很難吧。Poco M4 Pro 4G啦，一隻免五千。6gb ram+Oled戶外夠亮。iPhone 13 mini。G96效能過得去也算省電加上電池有5000mah。重量體積都還算過得去(17x g)。11 lite ne比較省電 如果要買小米的話。推薦11 lite 5g ne 158g是裡面最輕的手機，螢幕有6.55。吋、充電33W對一般使用者也夠用了。12X滿意使用中，可惜無耳機孔。不要防水是什麼XD。唯一推薦iPhone 13 mini。11 lite 8+128。11 lite就直接上8+256了 最近剛好都在特價。不選gt大師板嗎 6600元 相機螢幕充電都比11 LTE好。我目前用著 11 lite ne 可以撐8小沒問題。12×續航力強滿意使用 (*就是曲面螢幕比較難貼保護貼)。11 lite NE 真的輕薄  用過後會習慣輕薄手機。Sony Xperia 10 IV又考慮嗎?!,2022/07/03
