Post Title,Link
[購機] (結案)工作機選Samsung A33或蘋果SE 2,https://www.ptt.cc/bbs/MobileComm/M.1655872007.A.502.html
[購機] 長輩用 選擇a33 a52s m4pro,https://www.ptt.cc/bbs/MobileComm/M.1655216510.A.A0E.html
[討論] 三星 A33、A53、A73 5G 拍攝比對,https://www.ptt.cc/bbs/MobileComm/M.1654695263.A.DC8.html
Re: [新聞] 三星A53、A33台灣上市資訊公布！起跳,https://www.ptt.cc/bbs/MobileComm/M.1647602315.A.786.html
[新聞] 三星A53、A33台灣上市資訊公布！起跳價,https://www.ptt.cc/bbs/MobileComm/M.1647573241.A.3AD.html
[新聞] Samsung Galaxy A53、A33 5G是可以有16GB,https://www.ptt.cc/bbs/MobileComm/M.1647529267.A.DCA.html
[情報] A系列發表會只會發表A53/A33不會發表A73,https://www.ptt.cc/bbs/MobileComm/M.1647495952.A.A44.html
[情報] Galaxy A53/A33官圖:連A33都偷耳機孔,https://www.ptt.cc/bbs/MobileComm/M.1647273871.A.145.html
Re: [閒聊]或許是android第一發誓神機:htc野火a3360,https://www.ptt.cc/bbs/MobileComm/M.1498305458.A.2DE.html
[閒聊]或許是android第一發誓神機:htc野火a3360,https://www.ptt.cc/bbs/MobileComm/M.1498288407.A.97C.html
[新聞] 比Nokia3310還狂！　「華為」手機替智利,https://www.ptt.cc/bbs/MobileComm/M.1492658230.A.C70.html
