Post Title,Link
['「平民評測」Galaxy S22 可能係今年各方面最平衡既手機'],https://www.mobile01.com/topicdetail.php?f=568&t=6593666
['[影片] Galaxy S22 一週使用心得'],https://www.mobile01.com/topicdetail.php?f=568&t=6558533
['三星 Galaxy S22 / S22+ 雙機體驗｜質感、應用的再提升！'],https://www.mobile01.com/topicdetail.php?f=568&t=6553377
['iFixit 拆解三星 Galaxy S22 和 Galaxy S22 Ultra！結論：很難修'],https://www.mobile01.com/topicdetail.php?f=568&t=6553081
['三星 Galaxy S22 等機型爆降速門事件，Geekbench 偽裝成原神單核跑分就大降 45% 效能'],https://www.mobile01.com/topicdetail.php?f=568&t=6551214
['有筆就厲害？三星Galaxy S22預購增三倍、Ultra將有更多貨量支援'],https://www.mobile01.com/topicdetail.php?f=568&t=6549922
['Galaxy S22 Ultra開箱 也跟Note20 Ultra比較一下'],https://www.mobile01.com/topicdetail.php?f=568&t=6537451
['傳三星將在2月8日舉辦Unpacked 2022 預計揭曉Galaxy S22系列'],https://www.mobile01.com/topicdetail.php?f=568&t=6525387
['三星Galaxy S22新機貼膜曝光，驍龍Snapdragon 8 gen1旗艦，Ultra版迎來巨大變化'],https://www.mobile01.com/topicdetail.php?f=568&t=6495171
['三星調整新一代 Galaxy S22 產能比重！韓媒曝：銷量估比前代少 3 成'],https://www.mobile01.com/topicdetail.php?f=568&t=6472842
