Post Title,Link
[心得] Sharp Aquos S2,https://www.ptt.cc/bbs/MobileComm/M.1527154638.A.515.html
[問題] Sharp AQUOS S2 系統更新後的問題~,https://www.ptt.cc/bbs/MobileComm/M.1522515304.A.6D5.html
[問題] 外型控 Aquos S2 高 vs. 小米 Mix2 哪個好?,https://www.ptt.cc/bbs/MobileComm/M.1514471629.A.9B2.html
[問題] sharp aquos s2 遊戲輔助按鈕不,https://www.ptt.cc/bbs/MobileComm/M.1512051110.A.04B.html
[心得] sharp AQUOS S2 使用心得,https://www.ptt.cc/bbs/MobileComm/M.1508083634.A.5F3.html
[閒聊] 恭喜夏普aquos S2 即將大賣!!,https://www.ptt.cc/bbs/MobileComm/M.1505256099.A.80F.html
[問題] ZF4(6G版)/Sharp Aquos S2 該選哪個?,https://www.ptt.cc/bbs/MobileComm/M.1504235480.A.F28.html
[心得] Sharp Aquos S2簡易開箱心得,https://www.ptt.cc/bbs/MobileComm/M.1504073519.A.C78.html
"[情報] 售價 12,990 元起，Sharp AQUOS S2 將由",https://www.ptt.cc/bbs/MobileComm/M.1502776547.A.508.html
"[閒聊] AQUOS S2在""中國京東""預約量破22萬",https://www.ptt.cc/bbs/MobileComm/M.1502638901.A.FA1.html
[情報] 螢幕占比高達87.5%，AQUOS S2正式發表,https://www.ptt.cc/bbs/MobileComm/M.1502206118.A.5E2.html
[情報] Sharp 全螢幕手機 AQUOS S2 將於 8/15 在,https://www.ptt.cc/bbs/MobileComm/M.1502186921.A.97C.html
[情報] 全螢幕手機 Sharp AQUOS S2 將於台灣登場,https://www.ptt.cc/bbs/MobileComm/M.1501592020.A.783.html
[情報] SHARP AQUOS S2真機曝光：雙鏡頭+浮雕標,https://www.ptt.cc/bbs/MobileComm/M.1501426898.A.491.html
Re: [情報] Sharp AQUOS S2確定在8/8於北京發表,https://www.ptt.cc/bbs/MobileComm/M.1501127252.A.1F4.html
[情報] Sharp AQUOS S2確定在8/8於北京發表,https://www.ptt.cc/bbs/MobileComm/M.1501059420.A.556.html
