Post Title,Link,Content,Date
['Xperia 5 III 一直重開機'],https://www.mobile01.com/topicdetail.php?f=569&t=6628211,"['最近更新軟體, 版本為61.1.A.9.128 release-keys, 但用一用就會無預警的重開機, 頻率1天至少1次, 請問有人遇到同樣的問題嗎? 是否跟我近期新裝的遊戲""Eternium""有關? 如果是, 除了移除此遊戲, 是否就沒有其他辦法?']",2022-07-19
['Xperia 5 III 螢幕鎖定'],https://www.mobile01.com/topicdetail.php?f=569&t=6576300,"['請問Xperia 5 III 螢幕鎖定後所顯示的相片(圖案)要去那裏設定?感謝回答!!(我找了好久都找不到)*新手機買來螢幕鎖定後就跳出自己不喜歓相片(圖案),想改!!']",2022-04-18
['Xperia 5 III 這兩天異常耗電'],https://www.mobile01.com/topicdetail.php?f=569&t=6573286,"['Xperia 5 III 原本之前省省用一天大概用 30%~40% 的電量昨天開始突然很耗電待機約一個小時就用掉 10% 的電重開機也沒用最近沒有新裝 app電池用量裡前三名是 ""行動網路待命中""、""Google Play服務"" 和 ""螢幕""請問有網友有類似的狀況或有聽說這兩天有什麼 app 更新出包嗎？謝謝！']",2022-04-12
['Sony Xperia 1 III及5 III即日起可更新Android 12了 支援PS5把手更有SONY感'],https://www.mobile01.com/topicdetail.php?f=569&t=6554477,['上半年新推出，以及去年下半年的重點手機們，陸續都在推送Android 12的更新，今天輪到Sony了。台灣販售的Xperia 1 III及Xperia 5 III，即日起就可以更新到Android 12，除了系統本身的新功能，Sony也導入Xperia PRO-I當時展示的握把遙控...等多項Xperia特色功能。這回隨著Android 12更新而來的功能包括：1.) 更新後支援連接藍牙握把遙控Photo Pro拍攝。2.) 開放更多Photo Pro手動設定項目。3.) 升級後手機就可外接PS5手把玩支援遊戲。Xperia 1 III及5 III是第一波，接下來1 II、5 II、PRO-I及10 III，也會會陸續更新到Android 12。外接握把方面，指的是GP-VPT2BT藍牙握把（照片裡那支腳架，不含外接螢幕），在Xperia PRO-I推出時，以豪華攝影組的方式同捆銷售，其實這握把之前就有單賣，如今Xperia 1 III及5 III也可以透過更新，讓連接握把後，可以遙控Photo Pro，如快門、變焦等...操作。另外Photo Pro這個主要拍攝程式，在Android 12更新後，會增加更多自訂項目，包括對焦區域顯示顏色、柔膚效果、音頻訊號、AEL（自動曝光鎖定）鍵開放自行指派功能、按下DISP（觀景螢幕）鍵可隱藏或顯示資訊...等。Cinema Pro拍攝時，也可以用音量鍵手動對焦。第三，Xperia 1 III及5 III這波更新後，就可用藍牙連線接上PS5 DualSense 遊戲手把，來操作手機遊戲，但也需未來有遊戲支援（更新：目前沒有特定遊戲支援，未來會再有合作優化作品）Sony也有整理一個Android 12更新項目，以及操作影片，包括Android 12系統新增哪些功能，大家可以參考～收得到更新感覺真不錯'],2022-03-09
['有關Xperia 5 III 的預拍功能跑哪去了呢?'],https://www.mobile01.com/topicdetail.php?f=569&t=6550521,['因門號約到期，被迫購買新手機，原來的Xperia 1 用了多年仍然毫無問題，一直以來唯一的問題是覺得太大，於是這次換約就選了Xperia 5 III ~大多功能都跟之前的1差不多，但是拍照時，原本手機拍照的預拍功能，卻找不太到...是因為內建的app：Photography Pro 沒這功能?沒有預拍感覺有點不太習慣，拍照偶爾能夠選擇，降低失敗率，個人覺得很重要，有什麼辦法可以找回預拍功能?'],2022-03-03
['非常失望的XPERIA 5 III 開箱 ... 內有S10對比'],https://www.mobile01.com/topicdetail.php?f=569&t=6519613,"['開箱照NIKON Z50攝NIKON Z50攝NIKON Z50攝NIKON Z50攝內附30W快衝+C TO C線算是非常有誠意 (S10攝)外觀及手感的確很棒(S10攝)S10攝~~~~~以下為照片比對 XPERIA 5 III VS SAMSUNG S10~~~~~XPEIRA 5 III 1XXPEIRA 5 III 2.9XXPEIRA 5 III 4.4XS10 1XS10 2X~~~~~~~~~~~~~~~~~~~~~~~~~XPEIRA 5 III 1XXPEIRA 5 III 2.9XXPEIRA 5 III 4.4XS10 1XS10 2X~~~~~~~~~~~~~~~~~~~~~~~~~XPERIA 5 III 1XS10 1X~~~~~~~~~~~~~~~~~~~~~~~~~以下為 XPERIA 5 III 隨手亂拍閃光燈效果極弱~~~~~~~~~~~~~~~~~~~~本人之前使用過的機種XPERIA SXPERIA Z2SAMSUNG NOTE 5SAMSUNG S8SAMSUNG NOTE 8SAMSUNG S10這次會跳回SONY主因是S10充電口故障，維修報價要$9700，加上S22尚未上市且對SAMSUNG現行機種(S21、NOTE20)不是很滿意，加上之前使用XPEIRA感覺還不錯~~~~~~~~~~~~~~~~~~~~使用心得(與S10對比)1.充電速度有感升級(15W升級至30W)但少了無線充電(???)2.手感升級但螢幕字體變小，閱讀上較辛苦(本人2字頭)3.專賣店店員表示，該機充電口及主機板可分開維修，日後維修較省4.喇叭音效大幅降級，聲量""大概""只有S10的7成5.UI大幅降級，沒想到現在SONY連相簿及檔案管理APP都省了...令人傻眼(少了SAMSUNG PAY沒辦法開智慧門鎖)6.相機畫質目前看下來是比S10還差(解析度)，錄影前後都沒辦法4K60FPS(這功能三年前的S10都有，為何SONY做不到??)7.閃光燈極弱 介於有跟沒有之間8.可插記憶卡(對我來來說是購買主因)9.返回鍵無法更改左右邊，跟PIXEL一樣，扣分10.太陽下螢幕亮度有夠悽慘整體下來只能給60分...有點失望...其餘待補']",2022-01-04
['Xperia 5 III 試拍'],https://www.mobile01.com/topicdetail.php?f=569&t=6476280,['白天好像還OK，夜景實在不太行16mm24mm70mm105mm'],2021-10-20
['Xperia 5 iii入手'],https://www.mobile01.com/topicdetail.php?f=569&t=6459375,['用了一天之後，平常的使用跟XZ2沒有太大的差別，因為我沒在玩手遊等需要高效能的CPU，對我而言最大的差別在於照相機和外型。外觀Xperia5 iii好看太多了，手感輕盈許多。螢幕窄了一點點點....長度多了許多這個單手操作功能超方便，使用上更加方便順手。綠色款相較之下XZ2的綠色比較好看唯一的缺點是，溫度比XZ2高，而且是明顯的高出許多，搞不懂為什麼要給三星代工晶片.....😞'],2021-09-25
['Sony Xperia 5 III試用：小尺寸更難做 但Sony沒有妥協掉招牌賣點'],https://www.mobile01.com/topicdetail.php?f=569&t=6451432,"['在上市記者會的報導上，我們提到Xperia 5 III這種螢幕/尺寸都較小，重量也較輕，但功能仍然高階的手機，真的不多了，同為Android競品的，近期應該只有三星的Galaxy S21 5G。兩款有不少規格相似，但強調的主旨確不太一樣，Xperia 5 III上可以看到更多對相機性能、速度、遊戲工具、雙喇叭體驗、外型質感的著墨，加上電池容量反而變大，這可能也是Xperia 5 III一開始的建議售價可以比S21更高的原因吧，不過S21有些較適合年輕人的功能跟顏色，有興趣大家可以再參考之前整理的規格表想想，這裡比較專注來看Xperia 5 III本身。● 外觀螢幕● 挑戰拍極限運動● 一般拍照錄影● 電力、溫度、遊戲● 結語外觀、螢幕', 'Xperia 5 III的包裝內容很簡單，就是30W充電器，以及傳輸充電線，沒有簡單的保護殼，不知道算不算環保包裝Xperia 5 III有合手的尺寸，這句話同學們應該也看過幾百遍了，但是怎麼各合手法？嚴格說它最合手的部分是6.8mm的寬度，跟168g的重量，較窄的機身，跟帶弧線的側邊，真的很好握，充滿了安全感啊～但因為它21:9的螢幕，體型偏長，一來要完全單手操作還是有點難度，二來可能不見得可完全沒入口袋。手機裡仍提供了一些手勢可能有點幫助，比方在桌面任一處往下滑可以拉下通知列、以電源鍵啟動相機及Google Pay，或是在「側邊感應」裡，放進常用程式、滑動側邊條對應自設功能...等，這些都是可以單手完成的。「側邊感應」真的可以善用，比方可以放進支付這種經常臨時用的APP（在全聯等待支援收銀時，常常只有單手可以滑手機啊～），也可以設定滑側邊條螢幕截圖、開通知、切換程式...等，都可以幫助你單手穩穩握手機，順順滑功能。X5 III的相機模組比上一代更大、電池也更大顆、喇叭也加大，但螢幕仍維持6.1吋，這怎麼放進去的...Sony的ID設計師石津雄登告訴我們：總之做了很多努力啊～(笑)在不拿掉什麼的前提下還可騰出內部空間，多半是因為新零件變小變薄了，或有什麼新的封裝工藝可以縮小模組佔用空間，又或者將模組們做更有效率的排列，或是增加厚度。石津先生提到，他們在設計Xperia 5 III時，就有在不影響目標的前提下，仔細的檢查有沒有無謂的、浪費空間的地方，同時也去看哪些零件可以小一點，以及研究怎麼排列可以將空間做最佳化利用，像拼拼圖一樣。我們在記者會上有看到X5 III的拆解，也讓大家參考一下。借到了鏡綠色，真的很鏡...Xperia 5 III正反面都是玻璃材質，金屬側邊也做拋光處理，整台就是個光澤感，質感顏色都算純淨漂亮，自身氣質也會跟著改變的那種...希望啦...6.1吋螢幕也是市場上少見的不挖孔沒瀏海設計，這項堅持倒是很受好評。另外也可以注意到手機的上下框是一樣的，總之整台就是一個平衡美。Xperia 5 III一樣是前置雙喇叭，玩遊戲看影片時，聲音的方向感非常好，相較很多手機的喇叭位置，個人還蠻喜歡兩個都前置這種對稱設計的。手機提供了Dolby Atmos及360度空間模擬音效，來加強聽感，比方讓聲音更乾淨清晰，更有空間感，這個外放的音質是舒服的。另外它也支援有線、無線Hi-Res、LDAC以及DSEE Ultimate還原音效，若想要且聽好一點，可以選擇支援這些格式的無線耳機。背面相機的凸出程度還好，不一定要很厚的殼也可以墊平。相機組成、模式與Xperia 1 III都一樣，後面再來看試拍。側面也看一下，按鍵都集中在右側，而且算蠻多的，指紋跟快門鍵中間是Google助理啟動鍵，而且不能自己改功能...這側邊也因為按鍵多，發現有點難找到自拍夾落腳的地方...還有看到3.5mm耳機孔，以及可插記憶卡的三選二卡槽，保留習慣的配備。連拍挑戰極限運動', 'X[eria 5 III相機的組成，除了沒有iToF外，都跟Xperia 1 III一樣，搭載都有蔡司T鍍膜、都有Dual PD對焦的三鏡頭，並以潛望式鏡頭帶來16、24、70、105mm共四種焦段。模式上，也有平民用的Basic模式，以及給懂參數人拍的Photo Pro，以及Cinama Pro錄影。即使沒有iToF，Xperia 5 III的拍照性能仍標榜快：快速對焦、每秒20張快速連拍捕捉快速運動的東西。Sony在上市記者會後，安排了BMX、滑板等好手，讓我們測試X5 III的20fps高速連拍，這場景平常不太好安排，真的是一個測試的好機會，來看看成果，以及一些心得吧。1.) 首先X5 III的連拍，一樣有高速（每秒20張）及低速（每秒10張）。高速連拍是24mm主鏡頭限定，低速則是三顆鏡頭都可以拍。但每秒10張也很快了，高低速只是捕捉的間隔不同，不一定是成功率的關鍵，在X5 III上連拍能不能清晰又漂亮，跟快門速度比較有關係。2.) 高低速連拍時，都會連續追蹤對焦，你可以半按快門讓手機自己抓那個是主角對焦，也可以手動點指定。是否能抓到該對的主角? 能否不掉鏈從頭追蹤到尾? 都跟畫面裡亂不亂、移動得快不快有關。心得是...1.) 成功率、清晰度，跟選高速或低速連拍無關，而是跟設定了怎樣的快門速度比較有關，但你怎麼知道這種亮度，配上這樣的運動，要配什麼快門速度呢? 憑經驗、憑一二三四次試拍。經驗對一般人來說可能算一個門檻。而試拍，則要看你的對象配不配合......但你問，不是有自動模式嗎? 讓手機自動判斷 快門就好啦～我一開始也是這樣拍的，但後來我發現，自動快門似乎是以現場亮度，而不是滑板人溜得多快來訂速度，所以可能仍會發生快門跟不上咻～一下溜過去的速度，最後還是有運動模糊，所以就回到需要經過幾次試拍，去抓到對的快門。比方，這在大太陽下，自動快門到1/2500s秒，選擇24mm/ 高速連拍，有清楚把跳起來的動作拍下來。以下點擊都可看原圖。（演出：翊羽長板 ）這比較室內，自動偵測給了1/250s的快門，還可以，不過因為24mm還是偏廣角，為了選手安全起見又不敢太靠近，所以人小小的，連帶會覺得畫質一般。（另外也發現連拍的畫質跟拍靜態的畫質不太一樣...）（演出：BMX國手鄭喬鴻）這張自動偵測快門就只給1/160s，就不太夠，模糊了..但這張自動快門只有1/125s，就還蠻兼顧凍結跟曝光的，還拍到追焦感...3歲小女孩滑板好可愛啊～～～（演出：米菲）所以不能完全交給自動偵測，但手動要配什麼快門速度，怎樣的ISO，就真的很看經驗了。2.) 前面提到手機會自動找主角對焦，這裡就有兩件事：多快找得到? 找對人了嗎？我發現一般場景東西都很多，有路人、有建築、有各種顏色，如果背景亂亂，對比不明顯，自動對焦就有可能找得慢、找錯人。也是有可能一開始會對到意義不明的東西，等人都咻～到快出鏡了才抓到，所以整理來說，指定對焦會比讓手機自動抓好用。▼拍這組BMX時運動速度算很快的，但可能因為對比很明確，▼這組前面有追蹤成功，可能因為畫面裡只有一個東西在動，就能順利偵測，但影片後段的對焦，可能因為24mm取景蠻廣角的，人小小的，對比不明顯，手機就對焦到後面比較大的建築去了（又穿黑色區隔不明顯可能也有關）。所以這種對比不是很明確的場景，建議用手點對焦。但你說對焦定位錯誤，真的就會拍不清楚嗎？這倒不一定，因為X5 III的主鏡頭24mm，其實...蠻廣角的，除非很近，不然通常都會有焦，所以就算追蹤對焦沒跟很緊，發現...也沒關係場景太亂會影響追蹤對焦，那怎麼乾淨呢？1. 避開髒東西避免群聚。（咦？）2. 離主角近一點。3. 切換到長焦鏡頭拍。所以試拍後，我更喜歡選長焦的70mm來連拍，避掉亂七八糟的背景，畫面好看外，追蹤也會比較順利，但70mm連拍的畫質，仍沒有24mm那顆好，這算另一個兩難。▼這組就是用70mm，低速連拍拍的，畫面都集中在人身上，乾淨多了，快門手調到1/500s，有凍結住，但連拍的畫質銳利度不算太好。低速連拍+70mm-1低速連拍+70mm-2低速連拍+70mm-3', '但就算照片不清晰，還是可以用，在Google相簿看整包50張以下連拍相片夾時，點擊「連拍」，就可以直接建立gif動畫，這個就不用太講求照片清楚了。那50張以上怎麼辦...? 用APP...所以，高速連拍是個需要，實用的功能嗎？有經驗可以很快判斷參數，或可以試拍的場合，可以玩玩高速連拍，應該可以很快成功，畢竟速度感對手機來說，仍屬困難場景，所以有拍到時，是很有成就感的。若不太知道怎麼設，或沒耐心試拍的，還是60fps錄影吧。接著來看最一般的拍照吧。一般拍照錄影', '【光線充足】X5 III光線良好時，拍出的顏色比眼睛看到的明豔一點，但不會太過，風景是漂亮的。靜態拍攝看到，X5 III的長焦畫質其實不錯，向複雜的刻紋細節都有保留，這點很不錯，另外也發現，同樣70mm，單張跟連拍的畫質並不一樣...主鏡頭的話銳利跟清晰度都算適中吧，但我各不是很喜歡主鏡頭偏廣角，拍遠時以為站在適當的距離了，結果還是要往前，拍近時還要往後。105mm白平衡有點變藍，推測試畫面裡黃色較多影響到了。其實從底下拍人那組可以發現，不同鏡頭間白平衡的一致性還是不錯的。▼四種焦段。超廣角16mm24mm70mm105mm', '▼主鏡頭拍攝。人物風景建築室內', '▼70mm。風景細節', '▼105mm。車流廟宇屋頂', '▼感光元件較大，讓它近拍對焦距離有點遠，即便切到70mm長焦去拍，也要退比較遠才能對到焦，要近拍精密細節不是不行，只是裁圖後照片較小張，且對焦範圍較集中。花芯花朵文件', '【夜間】主鏡頭跟70mm長焦拍一般亮度的夜景，清晰度畫質都還不錯，畫面也乾淨，超廣角跟105mm長焦畫質就一般了，另外拍到夜間招牌還是容易過亮，至於路燈、車燈暈光，大家可以自己看看是否理想囉。另外很低光的地方，拍出的亮度也還不錯，X5 III沒有手持夜景模式，對拍低光亮度沒有什麼影響，比較有影響的應該是亮度對比大時的動態範圍，以及很低光時的畫面銳利度。▼四種焦段。超廣角16mm24mm70mm105mm', '超廣角16mm24mm70mm105mm', '▼主鏡頭拍攝。一般建築拍到招牌很低光很低光', '【HDR】X5 III拍照時，會自動判斷要不要啟動HDR了，因此大部分有帶到天空時，或一部份在陽光下，一部份在陰影的場景，都會啟動，夜間也很常啟動。X5 III有把亮暗部的內容都拍出來，程度算是比較自然，有記錄現場明暗有別的現實，但還是都看得到裡面包含了什麼（但可能有人覺得保守），不過看來高光還是比暗部清楚，比方建築下的陰影，逆光人物臉部就沒有特別拍到很亮。明暗對比大對天空拍逆光人物', '【人像】手機也有提供散景模式，是不是人像都可以套用，而且主鏡頭24mm、70mm、105mm三種焦段都可以拍，這也是跟其他手機比較不一樣的地方，可以長焦拍散景，更可以避掉雜亂路人。摳邊還是蠻準確的，至於虛化程度，拍的時候，跟事後在Google相簿都可以調，另外只有用24mm主鏡頭拍散景時，會有柔膚效果，用70mm拍的話，是女生不喜歡的寫實膚。24mm+散景70mm+散景105mm+散景逆光散景拍人', '【自拍】X5 III單純自拍時有簡單的柔膚效果，景深自拍時，才有五官美顏，大家可以參考一下畫質囉，另外也可以看到X5 III的自拍不算廣角。順光逆光肖像自拍', '【錄影】X5 III可以拍4K/60fps，但要開Cinema Pro才能拍，在Cinema Pro裡，沒有SteadyShot，因此...可以說拍4K/60fps時不能手持防震，在自動相機裡拍4K/30fps及1080p/30fps就可以，不過4K時是靠鏡頭OIS防手震，1080p時則有加入軟體防震，效果會比較好。可以看看試拍畫質，以及中途遇到逆光時它的亮度調整速度囉。▼4K/30fps▼1080p/ 30fps電力、溫度', '電池容量是Xperia 5 III很明顯，也很實用的一個升級，來到4500mAh，對6.1吋螢幕來說相當高，且支援30W快充，比起以往經常18W的規格，也更貼近需求，加上螢幕是1080p的，相對省電，不過可能因為空間考量，X5 III就沒有配備無線充電了。實際用電表現也相當不錯。照例將螢幕亮度固定在一半，以Wi-Fi連線，但有插5G SIM卡待機，螢幕更新率選在60Hz，遊戲則以平衡模式，使用下面功能各一個小時的用電量記錄如下。這些功能從100%連續測試下來，最後錄完影還有49%的電力，相當不錯，CPU溫度方面，在26度的室內測試，比較容易感受到溫度如玩賽車遊戲（60Hz），一個小時升溫11度，錄影一小時則升溫18.3度，從37.8變到56.1度，摸起來有熱，但沒有被強制停止錄影。在戶外拍照還是比較容易升溫，試拍上面的照片時是颱風前那幾天，約31度、32度的下午4點多，拍了4、5張就顯示溫度警告，但好在還是可以拍，沒有要強制關閉相機。別的手機在這種氣溫下，是錄影比較會升溫，所以我倒覺得是因為天氣太熱了。另外X5 III支援120Hz螢幕更新率，以及遊戲工具選效能優先，若兩個都開，以【Real Racing 3】這個遊戲對照一下，同樣環境下玩一個小時，用掉16%的電力，不過CPU升溫13.3度，耗電明顯較多，但以這遊戲來說，CPU升溫好像沒有特別不同。Xperia 5 III裡，有內建跟Xperia 1 III一樣的遊戲工具，都是一些很不錯的配備，比方重視畫面流暢度的，可以手動以效能優先外，還可以個別選擇遊戲的螢幕更新率（最高到240fps）、觸控反應率。以及深色區域強化模式，把黑色灰色地方局部加亮看得清楚一點。重視音質的，也有音訊等化器，讓你針對不同遊戲，個別調整高低音的清晰度，比方調高低頻音，一些腳步聲就可以比較清楚。喜歡記錄遊戲的，除了螢幕錄影、麥克風可以錄實況外，遊戲工具裡也提供「RT 30秒錄製」、語音變更器...等。這些功能的內涵，可以參考測試Xperia 1 III當時，比較詳細的試用，基本上是一樣的，而且X5 III有一樣的雙喇叭、音效，因此遊戲體驗，覺得也比上一代更好，而且對比市面上的非電競手機來說，應該是最齊全細膩的遊戲工具了。Xperia 1 III試用/ 遊戲、音效及螢幕的表現可能更有Sony魂', 'Xperia 5 III最有優勢的地方，就是它輕巧的大小、重量，以及沒有因此減少的電力。也仍保留雙喇叭，以及新增的空間模擬音效，搭配遊戲增強器，也讓它有很棒的遊戲體驗。還有喜歡乾淨簡單設計的，Xperia 5 III的質感也相當好，算是可以滿足實用跟外觀兩種要求。拍照表現大家可以看試拍判斷，，16～105mm四種焦段，也可以拍攝很多主題，相機配置也是實用的，表現則看人判斷。色調的話，個人覺得應該可以同時滿足自然及討喜兩派，還蠻適中的。畫質就看大家的標準，我是覺得亮度好時都算不錯，夜間長焦跟廣角則較差。至於高速連拍，經驗豐富一點，較能判斷配什麼參數拍的人，可以玩玩看，這也是其他手機比較沒有的功能。缺失的話，除了沒有無線充電，個人還是比較在意缺乏實用工具，比原生還原生...Orz...很多工具要自行下載，連相簿都用Google相簿，而沒有搭配連拍這種功能優化一下...不過這似乎也是老生常談的問題了。以上關於Xperia 5 III優勢、缺失的整理，希望有點到你想知道的部分。#標題本來想下「又小又快」，雖很貼切，但想想好像男生不會喜歡...']",2021-09-13
['哪邊預購Xperia 5 III較好呢？'],https://www.mobile01.com/topicdetail.php?f=569&t=6448486,"['Xperia 5 III 9/10號就要開始預購', '剛好是小弟的發薪日', '話說大家知道要去哪裡預購在優惠上比較好', '專賣店/官網/網購平台？', '', '目前看官網除了基本的預購禮外還有1500的配件購物金', 'PC24H除基本預購禮另外可以好禮三選一，有螢幕一年意外保險']",2021-09-08
