Post Title,Link
['Xperia 5 III 一直重開機'],https://www.mobile01.com/topicdetail.php?f=569&t=6628211
['Xperia 5 III 螢幕鎖定'],https://www.mobile01.com/topicdetail.php?f=569&t=6576300
['Xperia 5 III 這兩天異常耗電'],https://www.mobile01.com/topicdetail.php?f=569&t=6573286
['Sony Xperia 1 III及5 III即日起可更新Android 12了 支援PS5把手更有SONY感'],https://www.mobile01.com/topicdetail.php?f=569&t=6554477
['有關Xperia 5 III 的預拍功能跑哪去了呢?'],https://www.mobile01.com/topicdetail.php?f=569&t=6550521
['非常失望的XPERIA 5 III 開箱 ... 內有S10對比'],https://www.mobile01.com/topicdetail.php?f=569&t=6519613
['Xperia 5 III 試拍'],https://www.mobile01.com/topicdetail.php?f=569&t=6476280
['Xperia 5 iii入手'],https://www.mobile01.com/topicdetail.php?f=569&t=6459375
['Sony Xperia 5 III試用：小尺寸更難做 但Sony沒有妥協掉招牌賣點'],https://www.mobile01.com/topicdetail.php?f=569&t=6451432
['哪邊預購Xperia 5 III較好呢？'],https://www.mobile01.com/topicdetail.php?f=569&t=6448486
['Sony Xperia 5 III台灣上市 3萬以下次旗艦 合手外型合手價'],https://www.mobile01.com/topicdetail.php?f=569&t=6447914
['Sony Xperia 1 III今天開始預購 加送真無線耳機 同場透露Xperia 5 III將在九月上市'],https://www.mobile01.com/topicdetail.php?f=569&t=6406044
