Title,Content,Comment,Date
[問題] VIVO X70 雙擊電源開啟相機 ?,請問VIVO系統有辦法雙擊電源開啟相機嗎 ?原廠設計只能長按音量下鍵(播音樂時會變成靜音)或是螢幕手勢下滑(無法在口袋中開啟)再加上X70開手機的速度有點慢，大概要等個3~5秒才開得起來(之前用PIXEL 3XL雙擊電源大概一秒就能開啟)請問有辦法加快VIVO開相機的速度嗎 ?謝謝,剛試了一下，不行。只有長壓音量下鍵。快捷只有長按音量下，或是從鎖定畫面右下角上滑會快一點,2022/07/21
[心得] vivo X70 Pro/X80拍照錄影比較（圖多）,    換到vivo X70 Pro之後就一直很滿意拍照表現，遇到不介意陸機又在意相機的朋友也幾乎會推薦朋友入手vivo。X80台灣發表後，一直好奇X80的這次表現，尤其又有搭載天璣9000跟V1+，蠻期待到底兩者攝影差異多少。    於是趁著老爸手機差不多要換的時候，就推薦他換X80（他自己也很喜歡我這隻X70 Pro的拍照表現），並跟他借了X80新機來做比較。除了滿足自己好奇心，也分享給大家做為兩隻手機挑選上的參考，先說自己不是專業攝影師，請多多包涵。日拍（開啟蔡司自然色模式）：  X80 超廣角：https://i.imgur.com/CLzNEvf.jpg  X70 Pro 超廣角：https://i.imgur.com/CSZe5io.jpg  X80 廣角：https://i.imgur.com/AgI0GCt.jpg  X70 Pro廣角：https://i.imgur.com/bFJibM7.jpg  X80 2倍：https://i.imgur.com/SUiLA67.jpg  X70 Pro 2倍：https://i.imgur.com/TcO9o52.jpg  X80 5倍：https://i.imgur.com/w1JHJe1.jpg  X70 Pro 5倍：https://i.imgur.com/9w6h4uG.jpg   日拍的整體表現來說，X80主要是細節跟銳化較多，白平衡也更精準一些。X70 Pro相對塗抹多一點，顏色會偏暖，但兩者差異大概都是不放大看不出來的狀態。像是主鏡頭那張，在樹林跟老公寓的細節部分，X80相對就清楚一些，X70 Pro就比較多塗抹。    比較意外的是，在5倍測試中，vivo X80看縮圖沒有輸太多。放大看之後，X80塗抹較為嚴重，而X70 Pro有保留細節。但5倍數位變焦有這種表現，X80算法是真的不錯。  X80：https://i.imgur.com/Ed35Mzk.jpg  X70 Pro：https://i.imgur.com/gfOIwrt.jpg  X80：https://i.imgur.com/VDxBnlk.jpg  X70 Pro：https://i.imgur.com/vgvjWYC.jpg  X80 5倍：https://i.imgur.com/Z7Oh1ZM.jpg  X70 Pro 5倍：https://i.imgur.com/MLUlrxk.jpg  花草部分，其實差距也不是很大，一樣是X80躁點表現稍微好一些（但縮圖幾乎是相同的）。一樣意外的是5倍的表現，在花草這部分中不知道是不是X80算法較強？X80在5倍這張反而比X70 Pro更好…。夜拍：  X80 超廣角：https://i.imgur.com/HjKowEi.jpg  X70 Pro 超廣角：https://i.imgur.com/jdRviJL.jpg  X80 廣角：https://i.imgur.com/dDZc6Bv.jpg  X70 Pro廣角：https://i.imgur.com/Gf9At6v.jpg  X80 2倍：https://i.imgur.com/JgbjkRf.jpg  X70 Pro 2倍：https://i.imgur.com/j0131SN.jpg  X80 5倍：https://i.imgur.com/DDagc3l.jpg  X70 Pro 5倍：https://i.imgur.com/H6B68Pd.jpg    夜拍部分算是兩台差異最大的地方，在夜拍模式下，X80真的是夜視鏡等級，尤其在低光場景下，細節、亮度基本上都是贏X70 Pro。    只是在超廣角部分，X80拉高亮度反而導致躁點跟畫質較差，算是比較糟糕的地方，但中央部分的建築物細節有比X70 Pro好一些。    5倍部分，X70 Pro細節更好跟亮度更高，X80一樣走塗抹路線，光學五倍在這邊還是有點優勢，但X80 5倍表現真的算是出乎意料。  X80：https://i.imgur.com/BYvBpEx.jpg  X70 Pro：https://i.imgur.com/OcR0vxE.jpg  X80：https://i.imgur.com/sXiGtnu.jpg  X70 Pro：https://i.imgur.com/PDNMn9f.jpg  X80：https://i.imgur.com/oNFJa3Y.jpg  X70 Pro：https://i.imgur.com/qf1tykM.jpg    其他樣張部分，在街景部分有亮光的部分兩隻亮度差異不大，可是X80在照片低光處，躁點跟細節表現會更好一些，另外在夜拍經常糊掉的樹葉部分，X80表現明顯比X70 Pro的塗抹好很多。影片：    影片部分，很多人會擔心X80沒有微雲台的情況下差異會不會很多，但實測之後，我覺得X80錄影上的表現會更好一些，4K防手震更好，錄影畫質也比X70 Pro更好。    X80 超級防手震：https://www.youtube.com/watch?v=8CeluAX3owY    X70 Pro 超級防手震：https://www.youtube.com/watch?v=ych2HnHTCHs   在兩隻都開啟超級防手震（1080P/60FPS）情況下，X70 Pro確實穩定一些，但是X80在影片畫質處理上明顯好不少，尤其背景部分X80明顯清晰很多？    X80 4K錄影：https://youtu.be/dLVD8j2fCIc    X70 Pro 4K錄影：https://youtu.be/X94yPTCnSaA    不過到了4K60FPS部分，感覺X70 Pro有點處理不過來？抖動明顯比X80明顯得多。    X80：https://youtu.be/koAkBOHAZc4    X70 Pro：https://youtu.be/ETDVwhBT3Xo   另外玩一下X80的地平線防手震蠻好玩的，左右搖晃後其實都可以維持在固定的視角。結論：    論拍攝、錄影表現，X80其實可以算是X70 Pro的小升級，原本以為有一些X80缺乏的諸如長焦、微雲台之類的弱勢，在X80上其實表現並沒有更差，也不一定會成為一定要選X70 Pro的關鍵點。    其他在主鏡頭、超廣角、兩倍鏡這些，在V1+加持下，基本上都有不錯的進步，尤其在夜景部分進步幅度蠻大的，錄影部分畫質也好不少。再加上從天璣1200到9000的效能升級，以目前實際入手的價差來說，X80也算是物有所值。,X80拍出來的顏色確實有比較好看。x70p在沒有v1晶片和舊款感光元件下，還能接近x80成。績就已經很不錯了，這兩隻目前的價差還是有的。蠻好奇X80在平常使用的軟體介面，拍照感覺是不錯，但想。知道耗電跟發熱程度之類的。推一下測試，兩隻比起來比較喜歡X80。另外X80發熱還ok，目前晴天戶外拍照遇過最高40度。x80用了一週多SOT多約7小時左右，感覺普通而已。有圖給推。http//i.imgur.com/KwEfl9o.jpg。對岸論壇好像有人的鍍膜有問題，買對岸便宜但可能被CD。也有可能對抹黑p上的。中國手機市場有競爭成這樣，還要刻意去 P 鬼影上去黑廠。商嗎？。真是肉眼看得出的差別，x80越看越心癢了...。http//i.imgur.com/5z9byM7.jpg。場景複雜一點的部分，除了感覺整體偏亮導致畫面有點缺少。立體感，其他覺得不錯。X80是不是只有主鏡頭可以拍4K60，可以在4K30切換所有鏡頭。嗎？。實測給推。拍照不錯，可惜都沒有防水。X80這波拍照看起來真的不錯，看發熱也很ok,2022/06/26
[心得] vivo X70 Pro跟X80日拍測試,先說心得：1. X80主鏡頭細節明顯優於X70 Pro，即便是同一顆IMX 663超廣角，靠V1+也銳利度也比X70 Pro好一些2. X80這次調色更接近當下看到的顏色，X70 Pro則偏暖、偏黃3. X80感覺白平衡設定更穩定一些，X70 Pro有時候會過亮過濃4. 在中午大太陽底下，走走拍拍約1小時後，兩台溫度大概相同，最高約40度左右，X80沒有因為天璣9000而特別熱，也沒遇到熱當的情形5. X80效果大師可調整性頗高，光色彩調整跟曝光調整就可以調出不同風格的照片，覺得蔡司色太淡也可以彩度調高一點，想要有些立體感陰影就可以曝光調低一些，算是蠻好玩的。X70 Pro目前沒有，不知道後續有沒有機會拿到更新6.昨晚有看到FB社團分享X80 6月更新有補齊攝影模式，目前X80跟X70 Pro拍攝模式上已經沒有差異了（時光慢門、超級月亮、運動抓拍這些都已更新）以上，給各位在猶豫X80跟X70 Pro的參考夜拍的部分因為朋友時間上沒辦法配合所以就只有日拍了QQ下面上圖：X70 Pro開蔡司色模式，X80蔡司色模式（彩度減20），曝光減10https://i.imgur.com/LtiK3bm.jpghttps://i.imgur.com/jAsqdPw.jpghttps://i.imgur.com/CaK8XQp.jpghttps://i.imgur.com/rq3AyrE.jpghttps://i.imgur.com/MYEYE9j.jpghttps://i.imgur.com/V8YWmS3.jpghttps://i.imgur.com/1zrvTyZ.jpghttps://i.imgur.com/uN5nBNT.jpghttps://i.imgur.com/5UaxLIO.jpghttps://i.imgur.com/LbqogAw.jpghttps://i.imgur.com/DcP8QGm.jpghttps://i.imgur.com/veocvL5.jpghttps://i.imgur.com/spAJAnP.jpghttps://i.imgur.com/5LJA8ZO.jpg超廣角：https://i.imgur.com/m7RMRwg.jpghttps://i.imgur.com/DYIrDfL.jpg,我覺得X70的稍好一點。x70的照片比較舒服好看 80好像只是銳化 欄杆都起鋸齒。毛了。是不是imx 663才對呢。我反而比較喜歡X80這種銳一點的風格，而且X80照片噪。點也比較少一些。喜歡哪個風格就見仁見智。在一張品質可接受的照片下，影響最大的就是發色或是。色調這種東西，個人覺得還是Pixel、水果相對好些.。x80的蔡司模式是每次打開都要手動開啟，還是可以固定？。兩台拍出來幾乎沒什麼差，一般使用者不會去對照的這麼仔。細。所以手上有x70的，除非錢太多，要不然是不太需要換。而且x70配合蝦皮618活動，價格真的是不錯。覺得都好看，自己比較偏好X80。反正兩隻定位也算清。楚，純拍照X70 Pro，還要兼顧效能就X80。x70pro 超廣角是S5K3L6。cpu差很多…不過台灣x80定價太高了。然後真的很愛鮮豔的 就把蔡司關掉就好了。現在中國那邊x70p跟x80價差約在800rmb而已。不過那邊的cpu是三星的lol。x70的imx766比較好，公園的地紋清，樹影也不會黑一片。。沒人敢推x70p……。樓上有放大看嗎？單說公園那張明明x80清楚很多……。台灣兩台都不給 ProRAW。http//i.imgur.com/9xpM3KA.jpg。下面有x80的陰影，很死黑像黑洞一樣了，也許是手動的關係。x7。0比較正常。陰影問題確實是因為有調整曝光才比較暗，可能當初調得。太兇了些。不調整的話是跟X70 Pro差不多。另外X80攝影模式設定是可以保存的，重開之後一樣會保留。之前的色彩跟曝光設定。x70 pro 一直被吹太誇張 他是濃郁調色亮度大師。縮圖看起來差異很小很小。縮圖差異不大，但放大看覺得細節X80好點，感覺清晰不少。另外，X80可調整色調、陰影這些有加分，可玩性比較好。愛否就說了 vivo 的降噪策略就是要降全降 噪點細節一起消。再狂加銳化騙小白有“細節”。沒有批評vivo 的意思 X80是一款非常好的“網美”機 但他。在台灣自己訂次旗艦價 自然被當旗艦檢視。X80被定位成次旗艦無誤吧?拍照表現對岸實測跟80P差異不大。天璣9000定位上也比天璣1200高啊。網美機xdxd。要當旗艦檢視有啥問題 問題是這篇是跟自己前身比 你來這。邊亂入什麼 開一篇證明三星同價位的拍的屌打x80不就好。就是在批評這代vivo 降噪算法&價格 不值得 又沒扯三星。發社群美照重點是調色 同家廠商當然差異不大,2022/06/18
[問題] reno6 pro/Vivo x70詢問,問題1：請問 這兩隻15k左右的手機，以拍照錄影及錄音為主的需求，哪隻效果會比較好呢，目前我是偏向r6p 因為容量大了一倍，想詢問版友的意見。問題2：蝦皮上r6p官方賣場跟神腦賣場的型號不一樣 chp xxxx，請問這個數字會有差嗎，如果有差在哪裏，謝謝各位！,拍照規格 Reno6P 比較好沒錯 至於調教要比過。我也正在比較這幾隻。錄影的話沒指向型收音差很多，這兩個都沒特別重視這個。6p剛買兩週，功能上很實用，沒跟x70p比過，我是跟neo3價格出。來後選擇6p。OPPO品質不錯。為什麼不買r7p。r7p超過預算吧 上面不是說預算15k。r7p也買得到15k內的阿。r7p主鏡沒r6p好 因為台灣的r6p實際上是中國的r6p+。所以r7p和r6p差在哪裡?要買哪一隻好?。r7p、r6p相機差距那麼明顯，r7p上面一堆湊數鏡頭。下半年 8Gen1 Plus就有OVM 帶潛望長焦的手機要推出。r6p r7p比較文很多吧 ，真的不是因為新就好，r8p根本被噴爆啊。！。Reno8Pro+ 至少弄了海溝 可以一樣是8MP 然後請避開驍龍7。X70可以視作跟70P同鏡頭，只差在光圈差異，比較文可以看看。01，當初有做reno 6 pro跟X70 Pro的實拍比較。可參考這篇文章 OPPO Reno6 Pro 5G 的 S870 有點崩壞...。Oppo Reno6 Pro $12500 香太多。哪裡買的啊 Reno6 pro 有到12.5k喔 這麼香。地標買Reno6 pro比較便宜，還送原廠65W快充。我覺得划算很多，給你參考,2022/06/05
[問題] Vivo X70 spotify閃退,Hi 板上各位大神，前天早上我的Vivo X70 spotify 都可以正常使用，到了晚上突然開起來，只要按下任何音樂的播放鍵，馬上就閃退，想看看板上大大有沒有人遇到過？P.S 我的google play app都是更新到最新狀態，而且前幾天都沒更新過spotify...求解,我的X70剛剛試正常，有沒有試著清快取或重裝看看了？。我的也是，但用spotify connect或chromcast撥是正常。，唯獨不能用手機喇叭或藍牙。重裝好幾次都一樣。該不會是android system webview搞鬼吧…更新看看。同樣遇到 把原子隨身聽停用 清快取 就可以正常使用了。感覺是新版spotify有衝到，我用是把桌面小工具移除就好...。或是改裝上一個版本的也正常8.7.32（遇到問題的是8.7.34。找到問題了，桌面上原子隨身聽砍掉就好了。感謝各位大大。我每天都在聽，目前沒遇到狀況QQ,2022/05/30
[心得] Vivo X70 pro 無後製實拍,趁著最近VIVO X80上市，原先的X70 PRO跳水加上舊機可折抵就敗了一隻。長年用sony相機，蔡司鏡頭的色調一直很對味，還有5倍光學長焦跟人像鏡可以當定焦鏡玩景深，趁今天天氣好玩了一下，後來發現韌體更新後的蔡司自然色是把天空的藍色變更真實不那麼藍，然後四個蔡司專屬景深在背景有陽光或燈光時會有不同效果，配上可調式景深可玩性蠻多元的，以下分享幾張直出無修圖照片，蔡司就是鮮明寫實，喜歡自然色的可能會不太習慣XDhttps://i.imgur.com/UK3qPBW.jpghttps://i.imgur.com/k255xdZ.jpghttps://i.imgur.com/ZptV5DJ.jpghttps://i.imgur.com/Td2CV4d.jpghttps://i.imgur.com/wi8HbsQ.jpghttps://i.imgur.com/pKnhSOh.jpghttps://i.imgur.com/XhrTjog.jpghttps://i.imgur.com/68ECFwU.jpghttps://i.imgur.com/ceepA7d.jpghttps://i.imgur.com/9iYFiNf.jpghttps://i.imgur.com/dUdpMbN.jpghttps://i.imgur.com/VDS85Qz.jpghttps://i.imgur.com/f8GFptr.jpghttps://i.imgur.com/dypRCkX.jpghttps://i.imgur.com/VKRQJPV.jpghttps://i.imgur.com/o3GWQdO.jpghttps://i.imgur.com/xFA3pCO.jpg,"這顏色不錯啊。細節還不錯欸。沒想到 Vivo調教天璣1200 的APU 也能弄出 蔡司自然。x70p推一個。還不錯，大多在表現淺景深效果，希望有更多實拍，謝謝。現在買X70p CP值超高，不一定要追求最新的一代。相機畫質確實本棒不說還以為是相機拍的。拍的真的很不錯 讚啦。還行 等x80跳水我也來買。相機拍的真的還假的  我一看就知道是手機拍的。那麼明顯= =。不過現在日拍各家都不錯了 希望有夜拍的樣張。淺景深細看破綻很多。樓上sony粉，那是蔡司的特效唷。去哪折抵。散景的光斑很不自然= =。我已不是sony粉，現在也不用sony手機，但我看得出來光學。和軟體模擬的不同。我沒說其他家淺景深模式很強，軟體模。擬都半斤八兩，離相機很遠。。推分享，只是演算法的模擬景深其實還是經不起放大，太複雜。還是會破功，朋友圈玩玩還是沒問題的。然後我覺得不要隨便冠人家什麼粉比較好==，我印象中xper兄。幾乎都沒啥立場都是很客氣的在討論。最後雖然我也是拿vivo,不過若稱呼我為htc粉我會很高興==。可惜沒防水，不然目前這價格還不錯。單喇叭.......。散景光斑是蔡司的特殊濾鏡，記得是模仿以前一種鏡頭的？。身邊有顆Touit 1.8/32的我覺得…這個顏色味精感還是。很重，顏色過渡和微反差還是沒有做得很好，不日系也。不德系。樓上，那種貓眼應該就是仿planar 結構的光學瑕疵，因。爲我的1.8/32這樣的特性很明顯。顏色好濃，看久會疲勞XD。vivo台灣問題就是東缺西缺。vivo台灣最大的問題就是高規的那隻每次都不進來。想知道夜拍表現~。光斑真的太假。借問originOS用起來會很華而不實嗎。單喇叭一開始覺得影響很大後來覺得也還好。我自己看評測是覺得OriginOS塞太多東西，感覺像是在各地方。都放小巧思，但好像不是很必要，整體設計看起來也有點怪。。origin用一天馬上調整成原生樣式。用起來感覺是華而不實。這隻沒有啥跳水吧。那個模式是用來拍人的，拍景不太適合。我拿來拍女友，大家都滿意。謝謝分享。用了蔡司技術，光學表現優異和色彩濃鬱保證。謝謝分享，照片都很美。感覺跟單眼有的比了。請問板友們，x60 pro也有類似的更新嗎",2022/05/29
[購機] Samsung S21+/Vivo x70 pro或其他,"範本格式 (請依序謄寫，禁止更動格式，綠色範例可刪除)──────────────────────────────────────1.預算範圍/考慮機種：如標題, 有考慮S21+或x70pro, 也歡迎推薦其他遺珠(?)2.使用需求：主要需求是拍照>效能(至少不要頓)=續航(正常使用一天一充不會感到焦慮的程度)希望20K上下(S21U爆預算)，頂到拍照與續航效能各方面都優秀的手機出現XD3.品牌喜好(不要XX品牌，要OO品牌)：品牌還好，但完全不能接受劉海4.補充說明：現在用S8+，開蝦皮小遊戲會有點頓加上用夠久了換換病發作會用這麼久是因為不喜歡瀏海/水滴/腦洞但這樣挑來挑去再考慮相機強度實在是沒手機可以買，勉強接受開洞QQ被S810嚇過 就算太陽下沒在用手機也燙 電池甚至膨脹背板裂開(慘所以S888跟今年的8Gen1都讓人有點掙扎但S21+現在價位比台灣賣的X70 pro更便宜所以好像CP值更高爬文續航好像也不會像S21這麼慘XD不知道大家推薦哪支? 先謝謝回覆──────────────────────────────────────",810是垃圾新的不會那麼慘。除非你經常在大太陽下使用。不要選Sony就不至於會用到熱當了@@。拍照 續航 不要卡頓 那肯定X70P。或是等X80 主鏡底更大 快充更快 天璣9000 但沒有5X長焦。x70p會卡頓喔，錄影跟拍照更慘。錄影還會掉禎...。大太陽底下所有手機拍照錄影通通熱當，但810不但熱當。還造成LG G4、V10掛點還間接造成LG手機部門倒掉，跟。現在的熱完全不一樣.。LG是自己設計有問題 其他家有像LG死雞嗎。之前拿x70pro在大太陽底下邊錄影邊充電錄1個多小時。沒當過，給你參考。至於掉fps，我重複看倒是沒看出有什麼不順暢的地方。下次來發個心得文好了，準備一些sample。買了之後，去看對岸影片，才發現這是已知問題。12樓說的我完全不信.。等樓上f大的 x70p使用心得。X70P使用一周照片沒有所見即所得畫質細節太抹,2022/05/16
[購機] A52s vs Vivo X70,──────────────────────────────────────1.預算範圍/考慮機種：例：10K-20K/iPhone12 Pro Max、Note20U、XPERIA 5IIA52s vs X702.使用需求(螢幕尺寸/拍照/效能/續航力/防水/記憶卡...等)：A52s 優點: 記憶卡 耳機孔 防水防塵 雙喇叭X70  優點: 微雲台3.0 機身較薄 質感較好 UFS 3.1共同的優點: 120Hz 4500(A52s)/4400(X70) mAh 的電池 OISA52s 用 S778G UFS 2.1X70  用 天璣 1200 都是 6nm3.品牌喜好(不要XX品牌，要OO品牌)：中韓手機都無所謂 好用就好4.補充說明(補充上述未提及之其他需求)：──────────────────────────────────────其實 A52s 用了半年了 說實在這支手機該給的規格 基本上都有 三星算有誠意但是我不知道有沒有版友用這支 使用手勢操作時 感受到 SLag有時候從 App 上滑到桌面 就是會卡頓那一下 完全沒有正常手機該有的順暢感甚至有時候開啟相機 使用完 要滑到桌面 會卡住而剛好手邊有一台 X70 有使用的機會 比較了一下兩者的系統流暢度X70 系統操作真的就是跟 iOS 一樣的順暢 大多時候並不卡頓回到桌面就是一個順暢感 這讓我覺得這才是手機該用起來的爽感但外放 A52s 是真的比較強，指紋辨識 A52s 辨識起來就是慢一些可是目前 A52s 真的賣得不錯，X70 感覺偏冷門不知道大家怎麼選擇這兩支手機？有必要換過去嗎？謝謝,"換啊 你自己都有感覺的東西幹嘛不換？。sakala 你在意 手機流暢度嗎?。我在意 所以我會換 當你有換的念頭 問就是換。這兩個都是android12嗎。真搞不懂 第一次用三星 還真的感受到 slag 的威力。dxzy 對 兩個都是 Android 12 都升到最新了。原本 A52s 想說等 One UI 4.0 + 12 應該有改善,結果還是。a52s。X70跟X60 PRO 拍照60PRO還比較強吧。https//i.imgur.com/2ie5hL9.jpg。這個內存速度算是慢嗎？。https//i.imgur.com/2lNyxNR.jpg。X70 快很多==。手上同時有s10e和x70pro，雖然這兩台差距有點大，但。vivo系統確實滑順。=.= A52S我用幾天了 過幾天再說新的。有些bug就是了 我現在碰到的。1. 車用充電的時候有機會碰到要拔線才能顯示。現在正確電量。挖一隻emmc的 你就會覺得UFS2夠快了 跟X70差距就在那。我用一個禮拜再打心得比較準 我是為了替換我三爽c9 pro。n10+還找不到繼任者。a52s的訊號 我搭配遠傳也碰到過 沒有下載訊號的時候。單單只看到上傳箭頭 要重開機才可以。中階價位手機 其實是 中國牌的天下，三星中階買牌子居多。體驗多半挺xx的。我覺得沒有那麼差啦 拍照不行是確定。但續航跟螢幕表現 a52s真的好。x70的相機比較好玩。A52s是光學指紋辨識 解鎖速度已經很快。解決Slag 打開開發人員選項 把“強制4X MSAA”打開 視窗動。畫比例及其它二個動畫比例 皆調到0.5X 應該有明顯改善。重開機“強制4X MSAA”會變回關閉 要用需再打開。A52s就全面但沒專精的中階機 如果很常拍照還是選X70吧。通常把3項動畫比例改0.5X就有明顯改善。無明顯改善再把4X MSAA開啟。https//i.imgur.com/BBN7O0Z.jpg。https//i.imgur.com/LywDOoT.jpg。X70的上市价是20990耶，价位差很多吧。X70感覺是內銷機  查不太到英文評測。所以X70堆的東西更多。要比也是拿S21 FE来。X70因為國際板和中國版SOC不同 所以中國的評測無法參。考了。雖然該慶幸換掉中國版的SOC...。X70主摄4800万还不带防抖，同样价位的S21 FE更强吧，这两。都是2万价位的只是X70出的早跳水快。X70吧= =。考虑到楼主预算，Reno 6 pro也是不错选择。这板上一堆吹发哥的结果X70/X70 pro 20990/25990 没半个人。买。870下誰會吹1200= = P君最擅長的張冠李戴又出現了...。x70pro這麼貴？我怎麼買約18300。跳針仔又開始了 還打起了簡體字呢 lol。世界看下來X70 Pro 對比是比較多 不然就看廣東話的X70吧。https//youtu.be/hLvUYP1pUNg。看起來不錯 想買一隻拍女友。不過 A52S不是可以找GCam套套看?。我覺得望遠鏡頭很重要。上半年只有 三星還有榮耀旗艦沒砍長焦|X80系列都8MP長焦。我也覺得長焦蠻重要的，最近五年大概有接近5次想用長焦拍照。記憶卡、耳機孔>>others。那就退一步 看X70 Pro vs S21 FE(只是這台是獵戶座2100)。https//youtu.be/Mbcol8_bPjk  (影片最後SM-G990E)。可以考慮vivo x60 pro或reno 6 pro。870還是好一點。X70照相比較好吧，天璣1200還是比778G好啊。而且X70通訊行買也才14k多...。s870是 GPU比較強比較省電 但是CPU 沒比D1200強多少啊。oppo vivo系統真的比三星順很多 很多人都不信。可以參考一下 廖阿輝的電池測試 X60 Pro 605分鐘(120刷新。X70 Pro 964分鐘 120刷新|當然X60 Pro電池小了250mAh。vivo什麼都不錯，就是那個桌面下滑還在學蘋果搜尋，。改用其它桌面啟動器還會強制跳回原廠啟動器，不然跳。水後是真的還不錯。。x系列就是單喇叭讓人覺得很兩光 還好x80迷途知返。看完科技狗的reno 6 pro評測，真的不覺得有把870的性能給。完整釋放出來。oppo的後台限制去看一下，藍綠兩個都是後台一直砍啊，不像。三星還要預載三星pay一堆功能，vivo是連基本的line通知都。做不好。發哥續航好可能是極客灣說的基帶功耗優勢,跟中國版同soc。應該比較用心優化。但x70中國版的exynos...。最近綠是感覺越來越爛。一加也感覺快升天了。不習慣oneui未讀數有問題。怎麼推文有中國人混進來了。這兩台不同等級吧。實測家裡的oppo旗艦後台沒有一直砍啊 到底用哪一台啊。？。樓上這樣說想起我的vivo也沒一直砍後台，p君真的很會。創造對手的缺點。以前oppo手機會主動殺後台 才會有幾個設定步驟要做 讓line。可以即時傳訊息。現在還會不會不知道 已經2年左右沒用oppo新機。說真的，如果OV兩廠沒點料不可能稱到現在吧？。把動畫關掉，設定/改善可見度/移除動畫，你可能會覺得有。另外一片天空。不能接受沒記憶卡跟耳機孔。請問一下我的手機是A52s，為什麼撥打電話會顯示已啟動。來電轉接呢，謝謝。https//i.imgur.com/riNVtpl.jpg。可以怎麼操作讓他不要顯示嗎？謝謝。換呀，等用半年體驗再來比才有感。歐寶的 Reno4 會常砍後台。事實就是中國牌v和o 真的有料啊 ，三星A系列要打贏。者兩款同價位的中高怎可能呢。我覺得價格有差，你要也是比同價格的20fe vs x70。我還在用vivo x50...QQ。也是順順用xd。vivo系統比realme順嗎？。剛從pixel 4A5g換X70,覺得pixel ui比較快。看規格的話x70會好很多吧。怎樣選都X70吧，SoC跟相機都好很多",2022/03/26
[購機] OPPO reno7 pro vs vivo X70 Pro,1.預算範圍/考慮機種OPPO reno 7 provivo X70 Pro2.使用需求(螢幕尺寸/拍照/效能/續航力/防水/記憶卡...等)：考量優先順序：拍照>攝影>防手震>續航3.品牌喜好(不要XX品牌，要OO品牌)：OPPO reno 7 pro跟vivo X70 pro選一隻4.補充說明(補充上述未提及之其他需求)：之前一直在用OPPO，所以想說買reno 7 pro但比一下發現規格跟vivo X70 pro差不多而且X70 pro還有微雲台跟蔡司鏡頭但畢竟想說OPPO是新機，買新不買舊想請教一下這兩隻會比較推哪隻?,"A52S。等find 5? x70 pro?。這兩隻選就X70 Pro吧，不然改買reno 6 Pro。同上，OPPO強項是自拍，其他VIVO較強。正在用vivo x70pro, 拍照很滿意 系統很討厭 xd。oppo 上市21年11月, vivo 上市21年9月, 有差嗎?。Reno6 pro 拍照沒差太多現在跳水。reno6 pro跟X70 pro都用過，外型手感類似，都好拿，r6p有。grow星鑽工藝，背面特別，x70p霓啥藍很漂亮，介面的話…o。ppo穩定一些，拍照都很強，x70p成像較鮮豔，鏡頭配置排列。好看！可惜只有單喇叭。r6p處理器高通870，x70p是天璣120。0，感受差不多。X70 Pro吧，至少有防手震，續航也蠻不錯的。vivo拍照比較好。我會推薦reno7 pro ，買新不買舊，你也習慣oppo了，除非。你想嚐鮮換vivo系統介面…。X70 Pro還多一顆長焦鏡頭，拍遠景很方便。glow。這不用想也知道X70。x70pro。系統推OPPO 用X60p一個禮拜就賣 介面用不順手。前鏡7p的imx709強一點但後鏡輸不少 看你偏重自拍還是長。焦。買新不買舊的概念原來是這樣的用法，兩支不都是全新的？。reno7 pro 2022.2上市；x70 pro 2021.10上市。一定是oppo。兩隻都用過，vivo介面不太好，oppo的系統就很。舒服。拍照錄影選X70PRO   尤其人像。請問有使用過vivo x70 pro的，介面是怎麼樣不喜歡？",2022/02/20
[情報] nubia Z40 Pro外觀:磚塊版vivo X70 Pro+,https://twitter.com/tech_roiter/status/1494502896632688640?s=21nubia Z系列好久不見了https://i.imgur.com/HtubEJT.jpg這台Vivo X70 Pro+搭載ㄌ....不是 我是說nubia Z40 Pro搭載包莖1處理器另外搭載2022冷飯熱炒的超大曲面螢幕https://i.imgur.com/FRRNKS4.jpg鏡頭部分 長得跟X70 Pro+還真的根本一樣主鏡頭有Z系列標誌性的紅圈另外可以知悉一些規格首先確定有OIS 而主鏡頭光圈為f/1.6 7p鏡片另外有個特點是主鏡頭廣角應該為35mm 遠比其他手機來的窄https://auzhu.com/zh-tw/digital/103899.html（加減看 雖然是內容農場）這應該是應對中興自己提倡的大師鏡頭有關係 仿DC視角超廣角鏡頭應該為14mm 至於變焦鏡頭為125mm 3倍光學變焦？那個磁吸充電我們前幾天看過了 android版magsafe最後就機身顏色黑色銀色銀色還蠻好看的就是—https://i.imgur.com/fdtDUNU.jpghttps://i.imgur.com/8mKg1ya.jpghttps://i.imgur.com/Y1MTHFm.jpg,nubia去年不是有z30 proㄇ 看起來還不錯R。螢幕四角不跟著邊框一起方，真討厭@@。其實上一支z30 pro就不錯看了可惜品牌是中興nubia。包莖不愛。又是曲面 看到就煩。相機我猜超廣角5000萬JN1+長焦800萬 ov08a10。http//i.imgur.com/zrOU6u0.jpg。超廣有網站說 方案是 JN1 或 766,2022/02/18
