Post Title,Link,Date
主打蔡司鍍膜的 Vivo X70 系列來到台灣,https://chinese.engadget.com//vivo-x70-pro-x70-y21-y21s-tw-090013581.html,2021-10-01
影像晶片、玻璃鏡片、蔡司鍍膜加持，Vivo X70 系列正式登場,https://chinese.engadget.com//vivo-x70-series-micro-gimbal-zeiss-optics-132552782.html,2021-09-09
V1 自研晶片和玻璃鏡片是 Vivo 探索影像的新方向,https://chinese.engadget.com//vivo-v1-image-processing-chip-glass-lens-085932206.html,2021-09-06
Vivo X70 系列定檔 9 月 9 日,https://chinese.engadget.com//vivo-x70-series-event-040502711.html,2021-08-30
預計九月發表的 X70 系列將用上 Vivo 自研的 V1 ISP 晶片,https://chinese.engadget.com//vivo-v1-isp-to-be-used-in-x70-series-064551008.html,2021-08-27
Fujifilm 廣角版 APS-C 消費機 X70 與小改款無反 X-E2S 同時登場,https://chinese.engadget.com//chinese-2016-01-14-fujifilm-x-e2s-x70.html,2016-01-15
富士 X-Pro2、X70 與 X-E2S 官方影片提前流出,https://chinese.engadget.com//chinese-2016-01-12-fujifilm-x-pro2-x70-x-e2s-official-video-leak.html,2016-01-13
低階＋廣角款 X100T？疑似富士 X70 官方圖片全都漏,https://chinese.engadget.com//chinese-2016-01-07-fujifilm-x70-x-e2s-leak.html,2016-01-07
Pentax X70準專業相機開始預購，請掏出美金400元,https://chinese.engadget.com//chinese-2009-03-16-pentaxs-399-95-x70-megazoom-up-for-pre-order.html,2009-03-17
PMA 2009 暖身：Pentax 發表 24倍光學變焦數位相機 X70,https://chinese.engadget.com//chinese-2009-03-02-pentax-x70-leaks-out-in-full-ahead-of-pma.html,2009-03-03
