Post Title,Link
[心得] VIVO X80 & Pixel4 武嶺日拍&星空隨手拍,https://www.ptt.cc/bbs/MobileComm/M.1659058946.A.61B.html
[購機] oppo reno 8 pro/vivo X80/zenfone 9,https://www.ptt.cc/bbs/MobileComm/M.1658658581.A.7DD.html
[心得] vivo X80與X80 Pro拍照錄影實拍（圖多）,https://www.ptt.cc/bbs/MobileComm/M.1657382644.A.BE0.html
[問題] iphone 13 pro 換 vivo x80 值得嗎？,https://www.ptt.cc/bbs/MobileComm/M.1657055307.A.787.html
Re: [問題] Vivo X80 網路速度怎麼回事,https://www.ptt.cc/bbs/MobileComm/M.1655970290.A.7D8.html
[討論] Vivo X80 vs X80 Pro 拍攝比對,https://www.ptt.cc/bbs/MobileComm/M.1655742804.A.429.html
[討論] Vivo X80 vs Galaxy S22 拍攝比對,https://www.ptt.cc/bbs/MobileComm/M.1655656302.A.FC8.html
[問題] Vivo X80 網路速度怎麼回事,https://www.ptt.cc/bbs/MobileComm/M.1655264095.A.CBF.html
[心得] vivo X80夜拍測試分享,https://www.ptt.cc/bbs/MobileComm/M.1655002838.A.8B6.html
[討論] SONY Xperia 1IV vs Vivo X80 Pro拍攝,https://www.ptt.cc/bbs/MobileComm/M.1654865603.A.51D.html
[心得] vivo X80 vs Pixel 6 Pro實拍與體驗心得,https://www.ptt.cc/bbs/MobileComm/M.1654525033.A.53F.html
[討論] 新評科技 Vivo X80系列評測,https://www.ptt.cc/bbs/MobileComm/M.1654171920.A.F3F.html
[心得]VIVO X80我來當盤子(附上人權),https://www.ptt.cc/bbs/MobileComm/M.1653750725.A.C41.html
Re: [新聞] vivo X80上市網轟「台灣是盤子價」！官,https://www.ptt.cc/bbs/MobileComm/M.1653562711.A.252.html
[新聞] vivo X80上市網轟「台灣是盤子價」！官,https://www.ptt.cc/bbs/MobileComm/M.1653559559.A.792.html
"Re: [新聞] vivo X80看實機｜5/31起預購售27,990元",https://www.ptt.cc/bbs/MobileComm/M.1653550779.A.E00.html
"[新聞] vivo X80看實機｜5/31起預購售27,990元",https://www.ptt.cc/bbs/MobileComm/M.1653547607.A.05D.html
[情報] vivo X80 線上發表會,https://www.ptt.cc/bbs/MobileComm/M.1653456841.A.5B1.html
[討論] 花生說 天璣Vivo X80 & X80 Pro 使用報告,https://www.ptt.cc/bbs/MobileComm/M.1653396081.A.65F.html
[情報] Vivo X80 5/26 台灣發表,https://www.ptt.cc/bbs/MobileComm/M.1652674530.A.658.html
