Brand_Name,Phone_Name,Link,Icon
apple,iPhone SE 3,https://www.dcfever.com/phones/specification.php?id=2953,../icon/iPhone SE 3.jpg
apple,iPhone 13,https://www.dcfever.com/phones/specification.php?id=2922,../icon/iPhone 13.jpg
apple,iPhone 13 mini,https://www.dcfever.com/phones/specification.php?id=2921,../icon/iPhone 13 mini.jpg
apple,iPhone 13 Pro,https://www.dcfever.com/phones/specification.php?id=2923,../icon/iPhone 13 Pro.jpg
apple,iPhone 13 Pro Max,https://www.dcfever.com/phones/specification.php?id=2924,../icon/iPhone 13 Pro Max.jpg
honor,Honor View 20,https://www.dcfever.com/phones/specification.php?id=2702,../icon/Honor View 20.jpg
honor,Honor X8,https://www.dcfever.com/phones/specification.php?id=2975,../icon/Honor X8.jpg
oneplus,OnePlus Nord,https://www.dcfever.com/phones/specification.php?id=2826,../icon/OnePlus Nord.jpg
oneplus,OnePlus 8,https://www.dcfever.com/phones/specification.php?id=2812,../icon/OnePlus 8.jpg
oneplus,OnePlus 9,https://www.dcfever.com/phones/specification.php?id=2909,../icon/OnePlus 9.jpg
oneplus,OnePlus 10 Pro,https://www.dcfever.com/phones/specification.php?id=2943,../icon/OnePlus 10 Pro.jpg
oneplus,OnePlus 8T,https://www.dcfever.com/phones/specification.php?id=2858,../icon/OnePlus 8T.jpg
htc,HTC U12+,https://www.dcfever.com/phones/specification.php?id=2643,../icon/HTC U12+.jpg
htc,HTC U20 5G,https://www.dcfever.com/phones/specification.php?id=2865,../icon/HTC U20 5G.jpg
htc,HTC U12 life,https://www.dcfever.com/phones/specification.php?id=2692,../icon/HTC U12 life.jpg
htc,HTC U19e,https://www.dcfever.com/phones/specification.php?id=2733,../icon/HTC U19e.jpg
htc,HTC Desire 20 Pro,https://www.dcfever.com/phones/specification.php?id=2820,../icon/HTC Desire 20 Pro.jpg
miui,小米 Poco F4 GT,https://www.dcfever.com/phones/specification.php?id=2970,../icon/小米 Poco F4 GT.jpg
miui,小米 Redmi Note 11S 5G,https://www.dcfever.com/phones/specification.php?id=2966,../icon/小米 Redmi Note 11S 5G.jpg
miui,小米 Xiaomi 12 Lite,https://www.dcfever.com/phones/specification.php?id=2983,../icon/小米 Xiaomi 12 Lite.jpg
miui,黑鯊 5 Pro,https://www.dcfever.com/phones/specification.php?id=2976,../icon/黑鯊 5 Pro.jpg
miui,小米 Redmi 10C,https://www.dcfever.com/phones/specification.php?id=2960,../icon/小米 Redmi 10C.jpg
huawei,Huawei Mate 40 Pro,https://www.dcfever.com/phones/specification.php?id=2851,../icon/Huawei Mate 40 Pro.jpg
huawei,Huawei P50 Pro,https://www.dcfever.com/phones/specification.php?id=2915,../icon/Huawei P50 Pro.jpg
