0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,約 2011 年 11 月
推出日期,約 2011 年 11 月
價格,"約 HK$4,198更新日期：2013-03-20"
網絡系統,LTE 800/1800/2600 HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 /
操作系統,Android
中央處理器,Qualcomm S4 Pro APQ8064 1.5GHz 4 核心 CPU
操作系統及版本,Android 4.0.4
機身顏色,黑、白
尺寸,137.9 x 69 x 9 mm
重量,135 gram
操控,輕觸式
電池種類,2140 mAh
可更換電池,不詳
通話時間,3G 16 小時
備用時間,2 WEEK
RAM 容量,2GB RAM
ROM 容量,-
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.7 吋
螢幕類別,Super IPS+
螢幕解像度,1280 x 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,支援
閃光燈,支援
短片拍攝,-
短片解像度,1920 x 1080
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3 WAV
短片播放格式,MPEG4
收音機,不支援
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,支援
紅外線支援,不支援
流動數據,-
wifi 功能,支援
gps 功能,支援
電腦連線,usb 2.0
視頻輸出,-
