0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,約 2013 年 2 月
推出日期,約 2013 年 2 月
價格,"約 HK$4,888更新日期：2013-05-15"
網絡系統,LTE/HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Android
中央處理器,Qualcomm Snapdragon 600 四核 1.7GHz CPU
操作系統及版本,Android 4.2
機身顏色,灰、香檳金、粉紅
尺寸,143.5 x 72.8 x 8.9 mm
重量,141 gram
電池種類,2400mAh
可更換電池,不詳
通話時間,-
備用時間,-
RAM 容量,2GB RAM
ROM 容量,-
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,Super IPS
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,-
像素,1300 萬像素
自動對焦,-
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,支援
閃光燈,支援
短片拍攝,-
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3, 3GP, AAC, AAC+"
短片播放格式,MP4
收音機,-
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,Bluetooth 4.0
紅外線支援,不詳
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,2.4GHz 802.11a/b/g/n/ac
gps 功能,支援
電腦連線,-
視頻輸出,-
