0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,約 2019 年 7 月
推出日期,約 2019 年 8 月
價格,"約 HK$6,998更新日期：2020-08-05"
網絡系統,"FDD-LTE (Bands 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 29, 32, 66) TD-LTE (Bands 34, 38, 39, 40, 41, 46) WCDMA (Bands 1, 2, 3, 4, 5, 6, 8, 19) TD-SCDMA (Bands 34, 39) CDMA (Band BC0) EDGE/GPRS/GSM (850, 900, 1800, 1900MHz)"
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,ROG UI
中央處理器,Snapdragon 855+
圖像處理器,Adreno 640
操作系統及版本,Android 10
機身顏色,黑
尺寸,170.99 X 77.6X 9.48 mm
重量,240 gram
操控,輕觸式
電池種類,6000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,12GB RAM
ROM 容量,512GB UFS3.0
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.59 吋
螢幕類別,Super AMOLED
螢幕解像度,2340 x 1080
螢幕備註,19.5:9 108+% DCIP3
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 4800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,2400 萬像素
閃光燈,LED 閃光燈
相機功能,後鏡頭 (主) Sony 旗艦級 IMX586 4800 萬像素感光元件 (1/2.0 吋大型感光元件，0.8 微米像素大小) Quad Bayer 四像素合一技術 (與搭載 1200 萬像素、1.6 微米有效像素尺寸的他牌手機相比) F1.79 光圈 26.6 公釐焦距 (35 公釐相機等效焦距) 6 式鏡片 79° 視野 2x1 On-chip-lens 快速相位對焦 LED 補光燈 後鏡頭相機模式: 自動 人像 全景拍攝 夜間 專業 (支援 RAW 檔案格式 / 最高達 32 秒長曝光) 16 種 AI 場景偵測類型: 食物、天空、綠地、植物、海洋、日落、雪、花、舞台、狗、貓、人、文字、三腳架、QR 條碼、夜景 8 種濾鏡 後鏡頭 (輔) 1300 萬像素，125° 超廣角 高達 200% 的寬闊視野 即時失真校正 11 公釐焦距 (35 公釐相機等效焦距) 前鏡頭 2400 萬像素 F2.0 光圈 27 公釐焦距 (35 公釐相機等效焦距) 77.9° 視野 前鏡頭相機模式: 自動 人像 8 種濾鏡
短片拍攝,MP4
短片解像度,4K (60fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,"藍牙 V 5.0 (BR/EDR + LE), supports Qualcomm aptX Adaptive"
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a/b/g/n/ac (2x2 MIMO)
gps 功能,"GPS (L1 + L5), GLO, BDS, GAL (E1 + E5a), QZSS (L1 + L5)"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,設 AirTrigger II 虛擬鍵
