0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,約 2018 年 6 月
推出日期,約 2018 年 6 月
價格,"約 HK$4,998更新日期：2020-05-26"
網絡系統,"4G FDD LTE：B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B8(900), B12(700), B17(700), B18(800), B19(800), B20(800), B25(1900), B26(800), B28(700), B29(700) 4G TDD LTE：B38(2600), B39(1900), B40(2300), B41(2500) WCDMA：BC0(800) 3G TD-SCDMA：B34(2010), B39(1880) WCDMA：B1(2100), B2(1900), B5(850), B8(900) 3G CDMA：BC0(800) 2G GSM：GSM850, GSM900, DCS1800, PCS1900 2G CDMA：CDMA800"
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 845
圖像處理器,Adreno 630
操作系統及版本,Android 8.0
機身顏色,黑
尺寸,158.8 X 76.2 X 8.62 mm
重量,200 gram
操控,輕觸式
電池種類,4000 mAh
可更換電池,不支援
通話時間,VoLTE 最長可達 9.3 小時
備用時間,最長可達 25 天
RAM 容量,8GB
ROM 容量,128GB/512GB
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6 吋
螢幕類別,AMOLED
螢幕解像度,2160 X 1080
螢幕備註,18:9 比例
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,LED 補光燈
相機功能,後鏡頭 (主) 低光源環境提升 6.2 倍感光 (與搭載 1600 萬像素、F1.7 光圈和 1.12 奈米感光元件的他牌手機相比) Sony 旗艦級 IMX363 1200 萬像素感光元件 (1/2.55 吋大型感光元件，1.4 微米像素大小) F1.7 光圈 26.6 公釐焦距 (35 公釐相機等效焦距) 6 式鏡片 78.2° 視野 一鍵切換式鏡頭 0.03 秒相位對焦 4 軸 4 級光學防手震 LED 補光燈 AI 攝影: 16 種 AI 場景偵測類型: 食物、天空、綠地、植物、海洋、日落、雪、花、舞台、狗、貓、人、文字、三腳架、QR 條碼、夜景 AI 智慧相片學習 即時人像景深 即時美顏 PixelMaster 相機模式: 自動 (夜間 HDR 及人像景深) 美顏 專業 (支援 RAW 檔案格式 / 最高達 32 秒長曝光) 超高解析度 (4800 萬像素) GIF 動畫 全景拍攝 延時攝影 (搭配省電模式) 8 種濾鏡
短片拍攝,MP4
短片解像度,4K (60 fps)
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3/WAV/eAAC+/FLAC
短片播放格式,MP4/H.264
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 5.0
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,WLAN 802.11a/b/g/n/ac 2.4 & 5GHz
gps 功能,"GPS, GLONASS, BeiDou, Galileo, Q"
電腦連線,USB Type C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
