0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,約 2013 年 9 月
推出日期,約 2013 年 9 月
價格,"約 HK$5,298更新日期：2013-09-18"
網絡系統,LTE 800/900/1800/2100/2600 / HSDPA UMTS 900 2100 GSM 850 900 1800 1900
操作系統,Android
中央處理器,Qualcomm Snapdragon 800 MSM8974 四核 2.2 GHz
操作系統及版本,Android 4.2.2
機身顏色,黑、白
尺寸,143.5 x 72.8 x 8.9 mm mm
重量,145 gram
操控,輕觸式
電池種類,2400 mAh 內建式鋰電池
可更換電池,不詳
通話時間,-
備用時間,-
RAM 容量,2GB RAM / 16GB ROM
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,64GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,IPS
螢幕解像度,1920 x 1080
螢幕備註,輕觸式
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,200 萬像素前置鏡頭
閃光燈,-
短片拍攝,mp4
短片解像度,最高支援 4K
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,立體聲 FM 收音機
串流播放格式,支援
聲控功能,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v4.0、A2DP
紅外線支援,不支援
流動數據,LTE、HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi、Wi-Fi Hotspot
gps 功能,GPS、AGPS
電腦連線,USB 2.0
視頻輸出,DLNA
