0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,約 2017 年 3 月
推出日期,約 2017 年 3 月
價格,"約 HK$2,000更新日期：2018-06-07"
網絡系統,4G TDD-LTE (B38/B39/B40/B41: 2555-2655MHz) 4G FDD-LTE (B1/B3/B7) 3G TD-SCDMA (B34/B39) 3G WCDMA (B1/B2/B5/B8) 2G GSM (B2/B3/B8)
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Qualcomm Snapdragon 625
操作系統及版本,Android 7.0
機身顏色,藍、粉紅
尺寸,154.3 X 77 X 7.99 mm
重量,150 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,25 小時
備用時間,30 天
RAM 容量,4GB
ROM 容量,64GB
可擴充記憶,Micro SD
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,AMOLED
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,2.3 X
數碼變焦,12X
視像鏡頭,1300 萬像素
閃光燈,雙 LED
短片拍攝,MP4
短片解像度,4K
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,FLAC、APE、AAC、MKA、OGG、MIDI、M4A、AMR
短片播放格式,MP4、3GP、MOV、MKV、AVI、FLV、MPEG
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V4.2 / A2DP/LDAC 無線傳輸技術
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n 2.4GH/5GHz
gps 功能,GPS、AGPS、GLONASS
電腦連線,USB Type C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
