0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,約 2017 年 8 月
推出日期,約 2017 年 8 月
價格,"約 HK$1,650更新日期：2019-11-26"
網絡系統,"FDD-LTE (Bands 1, 2, 3, 5, 7, 8, 18, 19, 28) TD-LTE (Band 38, 39, 40, 41) WCDMA (Bands 1, 2, 3, 5, 6, 8, 19) EDGE/GPRS/GSM (850, 900, 1800, 1900MHz)"
Sim 咭情況,雙咭雙待，SIM 咭槽可作 Micro SD 槽使用
操作系統,Android
操作介面,Zen UI 4.0
中央處理器,Snapdragon 430
操作系統及版本,Android 7.1.1
機身顏色,黑、金、粉紅
尺寸,154 x 76.9 x 8.9 mm
重量,181 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,3G 最長可達 40 小時
備用時間,3G 最長可達 650 小時
RAM 容量,3GB RAM
ROM 容量,32GB
可擴充記憶,Micro SD
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,LCD
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1600 像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,雙色 LED
相機功能,後鏡頭 (主) 1600 萬像素鏡頭 F2.0 光圈 26 公釐焦距 (35 公釐相機等效焦距) 79° 視野 LED 補光燈 相位自動對焦 PixelMaster 相機模式: 自動 (自動偵測低光源及 HDR) 專業 美顏 超高解析度 (6400萬像素) GIF 動畫 全景拍攝 延時攝影 (搭配省電模式) 9 種濾鏡 後鏡頭 (輔) 120° 超廣角 高達 200% 的寬闊視野，納入更多人物及景物 17.9 公釐焦距 (35 公釐相機等效焦距)
短片拍攝,MP4
短片解像度,1920 X 1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3,M4A, AAC,OGG,WAV,AMR,AWB(AMR-WB),FLAC,MIDI(MID,MIDI,XMF, MXMF,IMY,RTTTL,RTX,OTA)"
短片播放格式,"MP4, 3GP, 3G2, AVI, MKV,"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,藍牙4.1
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,WLAN 802.11 b/g/n
gps 功能,WLAN 802.11 b/g/n
電腦連線,Micro-USB
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
