0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,約 2017 年 8 月
推出日期,約 2017 年 8 月
價格,"約 HK$1,590更新日期：2018-06-07"
網絡系統,"FDD-LTE (Bands 1, 2, 3, 5, 7, 8, 18, 19, 28) TD-LTE (Band 38, 39, 40, 41) WCDMA (Bands 1, 2, 3, 5, 6, 8, 19) EDGE/GPRS/GSM (850, 900, 1800, 1900MHz)"
Sim 咭情況,SIM 1: 2G/3G/4G Nano SIM 卡 SIM 2: 2G/3G/4G Nano SIM 卡 雙卡雙待 SIM 1 與 SIM 2 皆支援 3G WCDMA / 4G LTE，在雙卡雙待的情況下，主要門號之外的另一個門號會自動切換至 3G 語音。 SIM 2: Nano SIM 卡及 MicroSD 卡只能擇一使用，MicroSD 卡最高支援至 2TB
操作系統,Android
操作介面,Zen UI 4.0
中央處理器,Snapdragon 630 / Snapdragon 660
圖像處理器,Adreno 508 / Adreno 512
操作系統及版本,Android 7.1.1
機身顏色,黑、白、綠
尺寸,155.4 x 75.2 x 7.7 mm
重量,165 gram
操控,輕觸式
電池種類,3300 mAh
可更換電池,不支援
通話時間,3G 最長可達 18 小時
備用時間,3G 最長可達 400 小時
RAM 容量,4GB RAM / 6GB RAM
ROM 容量,64GB
可擴充記憶,Micro SD
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,LCD
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,雙色 LED
相機功能,後鏡頭 (主) 低光源環境提升 5 倍感光 (與搭載 1600 萬像素鏡頭、F1.7 光圈和 1.12 微米感光元件的他牌旗艦手機相比) SONY 旗艦級 IMX362 1200 萬像素感光元件 (1/2.55 吋大型感光元件，1.4 微米像素大小) F1.8 光圈 25 公釐焦距 (35 公釐相機等效焦距) 6 式鏡片 83° 視野 0.03 秒雙相位對焦 (Dual Pixel PDAF) 0.03 秒追蹤物體自動對焦 4 軸 4 級光學防手震 RGB 色彩校正感應器 LED 補光燈 一鍵切換式鏡頭 PixelMaster 相機模式: 自動 (自動偵測低光源及 HDR) 美顏 人像景深 專業 (支援 RAW 檔案格式 / 最高達 32 秒長曝光) 超高解析度 (4800 萬像素) GIF 動畫 全景拍攝 慢動作 延時攝影 (搭配省電模式) 9 種濾鏡 後鏡頭 (輔) 800 萬像素 120° 超廣角 高達 200% 的寬闊視野，納入更多人物及景物 12 公釐焦距 (35 公釐相機等效焦距)
短片拍攝,MP4
短片解像度,4K (30 fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3,M4A, AAC,OGG,WAV,AMR,AWB(AMR-WB),FLAC,MIDI(MID,MIDI,XMF, MXMF,IMY,RTTTL,RTX,OTA)"
短片播放格式,"MP4, 3GP, 3G2, AVI, MKV,"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 5.0
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,WLAN 802.11 a/b/g/n/ac
gps 功能,"GPS, AGPS, GlONASS, BDS"
電腦連線,USB Type C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
