0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,約 2021 年 5 月
推出日期,約 2021 年 5 月
不同版本,"8GB/128GB HK$5,9988GB/256GB HK$6,798"
價格,"約 HK$5,998更新日期：2021-06-30"
網絡系統,"Support EN-DC (5DL+FR1) FR1: DL up to 3.6 Gbps / UL 542 Mbps LTE 5CA: DL Cat 19 up to 1.8 Gbps / UL Cat 13 up to 150 Mbps DC-HSPA+: DL 42 Mbps / UL 5.76 Mbps 4x4 MIMO and CA with 4x4 MIMO support FDD-LTE (Bands 1, 2, 3,4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 29) TD-LTE (Bands 38, 39, 40, 41) WCDMA (Bands 1, 2, 3, 4, 5, 6, 8, 19) EDGE/GPRS/GSM (850, 900, 1800, 1900 MHz) 5G Non-Standalone (NSA): n1, n2, n3, n5, n7, n8, n12, n20, n28, n38, n77, n78 5G Standalone (SA): n77, n78"
Sim 咭情況,雙咭雙待 (5G+4G)
操作系統,Android
操作介面,ZenUI 8
中央處理器,Snapdragon 888
圖像處理器,Adreno 660
操作系統及版本,Android 11
機身顏色,黑、銀
尺寸,165.04 x 77.28 x 9.6 mm
重量,230 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,8GB RAM
ROM 容量,128GB / 256GB ROM
可擴充記憶,Micro SD
最大支援記憶體,2TB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.67 吋
螢幕類別,OLED
螢幕解像度,2340 x 1080
螢幕備註,6.67 吋 20:9 (2400 x 1080) AMOLED 螢幕，搭載 90 Hz 螢幕刷新率 92% 屏佔比 700 nits 適合戶外閱讀亮度 Delta-E < 1 105% NTSC 色域，支援 110% DCI-P3 及 HDR10+ 康寧® 第六代強化玻璃，提供絕佳防護 SGS Eye Care Display 護眼認證 十指觸控電容式感應 (支援手套模式)
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 6400 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,3 X
數碼變焦,30X
視像鏡頭,用翻轉相機拍攝
閃光燈,LED
相機功能,主鏡頭 6400 萬像素 SONY 旗艦級 IMX686 感光元件 - 1/1.73” 大型感光元件，0.8 µm 像素尺寸 Quad Bayer 陣列技術 - 1600 萬像素，1.6 µm 超大有效像素尺寸 F1.8 光圈 26.6 公釐焦距 (35 公釐相機等效焦距) 6 式鏡片 78.3° 視野 2x1 On-chip-lens 相位自動對焦 雙 LED 補光燈 前後鏡頭即時切換 後鏡頭模式: 自動模式 (搭載夜拍模式) 人像模式 (自動) 全景拍攝模式 超級夜景模式 專業模式 (支援 RAW 檔 / 長曝光最高達 32 秒) 前鏡頭模式: 自動模式 (搭載夜拍模式) 人像模式 (自動) 全景拍攝模式 超級夜景模式 專業模式 (支援 RAW 檔 / 長曝光最高達 32 秒) 後鏡頭影片模式: 動態追蹤錄影 慢動作錄影 延時攝影 專業錄影 前鏡頭影片模式: 慢動作錄影 延時攝影 專業錄影 超廣角鏡頭  1200 萬像素 SONY 旗艦級 IMX363 雙像素感光元件 - 1/2.55” 感光元件，1.4 µm 像素尺寸 F2.2 光圈 即時變形校正 14.3 公釐焦距 (35 公釐相機等效焦距) 支援 4 公分微距攝影 望遠鏡頭  800 萬像素 3 倍光學變焦，最高 12 倍數位變焦 80 公釐焦距 (35 公釐相機等效焦距) 影片錄製  8K UHD (7680 x 4320) 主鏡頭每秒 30 格影片錄製 4K UHD (3840 x 2160) 超廣角鏡頭每秒 30 / 60 格影片錄製 超級防手震模式 1080p FHD 每秒 30 / 60 格影片錄製 720p HD 每秒 30 格影片錄製 3 軸 EIS 電子防手震 動態追蹤錄影 (4K UHD 每秒 60 格錄製) 延時攝影 (4K UHD 錄製) 慢動作錄影 (4K UHD 每秒 120 格 / 1080p FHD 每秒 240 格 / 720p 每秒 480 格) 錄影時同步拍照 (不支援 8K 影片錄製)
短片拍攝,MP4
短片解像度,8K (30fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3/mp4/3gp/ogg/amr/aac/flac/midi
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.2
紅外線支援,不支援
流動數據,"5G,LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a / b / g / n/ AC /ax
gps 功能,"GNSS support GPS (L1/L5), Glonass (L1), Galileo (E1/E5a), BeiDou (B1/B2a), QZSS (L1/L5) and NavIC (L5)"
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
