0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,約 2015 年 6 月
推出日期,約 2015 年 9 月
網絡系統,"4G LTE： band 1(2100), 2(1900), 3(1800), 5(850), 7(2600), 8(900), 20(800) 3G：HSDPA 850 / 900 / 1900 / 2100 2G：GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2"
操作系統,Android
操作介面,Zen UI
中央處理器,Snapdragon 410 四核 1.2GHz CPU
圖像處理器,Adreno 306 GPU
操作系統及版本,Android 5.0
機身顏色,白、粉紅、粉藍、黑
尺寸,143.7 x 71.5 x 10.5 mm
重量,140 gram
操控,輕觸式
電池種類,2400 mAh
可更換電池,不支援
通話時間,最長可達 15 小時
備用時間,最長 330 小時
RAM 容量,2GB RAM
ROM 容量,16GB ROM
可擴充記憶,microsd
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,IPS
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,500 萬素
閃光燈,雙 LED
相機功能,支援雷射對焦系統
短片拍攝,mp4
短片解像度,1920 X1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3、acc、amr、ogg、m4a、mid、wma、flac、ape、aac、wav
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,支援
串流播放格式,支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 v4.0
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 b/g/n/ac
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,usb 2.0
視頻輸出,不支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
