0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,約 2017 年 7 月
推出日期,約 2017 年 7 月
價格,"約 HK$1,680更新日期：2020-05-26"
網絡系統,"LTE：2100,800,1800,2600,850,900,2500 HSDPA：850,900,1900,2100 GSM 850,900,1800,1900"
Sim 咭情況,雙 SIM，配備獨立 microSD 卡插槽 插槽 1: 2G/3G/4G Nano SIM 卡 插槽 2: 2G/3G/4G Nano SIM 卡 SIM 1 與 SIM 2 皆支援 4G LTE/3G WCDMA，在雙卡雙待的情況下，主要門號之外的另一個門號會自動切換至 3G 語音。 插槽 3: MicroSD 卡支援至 256GB
操作系統,Android
中央處理器,Snapdragon 430
圖像處理器,Adreno 308
操作系統及版本,Android 7.0
機身顏色,"粉紅, 金, 黑"
尺寸,154 x 76.9 x 8.9 mm mm
重量,181 gram
操控,輕觸式
電池種類,5000 mAh
可更換電池,不支援
通話時間,3G 最長可達 40 小時
備用時間,最長 600 小時
RAM 容量,2GB
ROM 容量,16GB
可擴充記憶,micro SD
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,IPS
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,LED
相機功能,後鏡頭 (主) 1300 萬像素 F2.0 光圈 25 公釐焦距 (35 公釐相機等效焦距) 80° 視野 0.03 秒相位對焦 LED 補光燈 一鍵切換式鏡頭 PixelMaster 相機模式: 自動 (自動偵測低光源及 HDR) 美顏 專業 超高解析度 (5200 萬像素) GIF 動畫 全景拍攝 延時攝影 (搭配省電模式) 9 種濾鏡 後鏡頭 (輔) 120° 超廣角 高達 200% 的寬闊視野，納入更多人物及景物 17.9 公釐焦距 (35 公釐相機等效焦距)
短片拍攝,mp4
短片解像度,1080p FHD 每秒 30
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"WAV, AAC+, OGG, FLAC, MIDI, WMA, M4A, MP3, AMR, AAC, eAAC+"
短片播放格式,"3GP, H.264, MKV, DivX, AVI, xVID, WMV, FLV, MP4, H.263"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,"Bluetooth 4.1, With EDR, A2DP"
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,WLAN 802.11 b/g/n
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,usb 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
