0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,ASUS
發表日期,約 2014 年 2 月
推出日期,約 2014 年 7 月
不同版本,8G ($1199)16G ($1299)
網絡系統,WCDMA : 700/850/900/1900/2100 GSM 850 / 900 / 1800 / 1900 UMTS 850 / 900 / 1900 / 2100
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,Zen UI
中央處理器,Intel Atom Z2580 雙核 2.0 GHz
圖像處理器,PowerVR SGX544MP2
操作系統及版本,Android 4.3
機身顏色,黑、白
尺寸,148.2 x 72.8 x 10.34 mm
重量,145 gram
操控,輕觸式
電池種類,2110 mAh
可更換電池,不支援
通話時間,最長可達 23 小時
備用時間,2G 最長可達 490 小時 / 3G 最長可達 334 小時
RAM 容量,2GB RAM
ROM 容量,8GB / 16GB ROM
可擴充記憶,microsd
最大支援記憶體,64GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,IPS
螢幕解像度,1280 X 720
螢幕備註,60Hz
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,200 萬像素
閃光燈,LED
短片拍攝,1080P
短片解像度,1920 X1080
短片變焦,數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,不支援
串流播放格式,支援
聲控功能,不支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,藍牙 v4.0
紅外線支援,不支援
流動數據,"HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,"GPS, A-GPS, GLONASS"
電腦連線,usb 2.0
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
備註,雙卡雙待 (SIM 1 WCDMA/SIM 2 GSM)
