0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Apple
發表日期,約 2019 年 9 月
推出日期,約 2019 年 9 月
不同版本,64GB HK$8599256GB HK$9899512GB HK$11599
價格,"約 HK$8,599更新日期：2019-09-11"
網絡系統,FDD‑LTE FDD‑LTE (頻段 1、2、3、4、5、7、8、12、13、14、17、18、19、20、25、26、29、30、66、71) TD-LTE (頻段 34、38、39、40、41、42、46、48) TD-SCDMA 1900 (F)、2000 (A) CDMA EV-DO Rev. A (800、1900 MHz) UMTS/HSPA+/DC-HSDPA (850、900、1700/2100、1900、2100 MHz) GSM/EDGE (850、900、1800、1900 MHz)
Sim 咭情況,雙咭雙待 雙 nano SIM 組合
操作系統,iOS
中央處理器,A13 Bionic
操作系統及版本,IOS 13
機身顏色,金色、太空灰、銀色、午夜綠色
尺寸,144 X 71.4 X 8.1 mm
重量,188 gram
操控,輕觸式
電池種類,3174mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,4GB
ROM 容量,64GB/128GB/512GB
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.8 吋
螢幕類別,OLED
螢幕解像度,2436 x 1125
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,2 X
數碼變焦,-
視像鏡頭,1200 萬像素
閃光燈,LED
相機功能,1200 萬像素超廣角、廣角及長焦距三相機 超廣角：ƒ/2.4 光圈及 120° 視角 廣角：ƒ/1.8 光圈 長焦距：ƒ/2.0 光圈 2 倍光學變焦放大；2 倍光學變焦縮小；多達 10 倍數碼變焦 人像模式具備先進的散景效果及景深控制功能 人像燈光具備六款不同效果 (自然光、影樓燈光、輪廓光、舞台燈光、黑白舞台燈光、高色調黑白燈光) 光學影像防震雙鏡頭 (廣角及長焦距) 五鏡片鏡頭 (超廣角)；六鏡片鏡頭 (廣角及長焦距) 更光亮的原色調閃光燈配備慢速同步模式 全景模式 (高達 6300 萬像素) 100% Focus Pixels (廣角) 夜間模式 自動調整功能 新一代相片智慧型 HDR 設定 寬廣色域相片及原況相片拍攝 先進的紅眼校正功能 相片座標標籤 自動影像防震功能 連環快拍模式 影像拍攝格式：HEIF 及 JPEG
短片拍攝,MP4
短片解像度,4K
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,AAC-LC、HE-AAC、HE-AAC v2、版權保護的 AAC、MP3、Linear PCM、Apple 無損壓縮、FLAC、杜比數碼 (AC-3)、杜比數碼+ (E-AC-3) 及 Audible (格式 2、3、4、Audible Enhanced
短片播放格式,HEVC、H.264、MPEG-4 Part 2 及 Motion JPEG
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,App Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 5.0 無線技術
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,802.11ax Wi‑Fi 6，採用 2x2 MIMO 技術
gps 功能,內置 GPS/GNSS 定位系統
電腦連線,Lightning
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
備註,支援無線充電功能、IP68 防水
