0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Apple
發表日期,-
推出日期,-
網絡系統,GSM 850 / GSM 900 / GSM 900 / GSM 1800 / GSM 1900
操作系統,iOS
中央處理器,Intel 620 MHz
操作系統及版本,OS X
機身顏色,黑色
尺寸,115 x 61 x 11.6 mm
重量,135 gram
電池種類,內置式鋰電池
可更換電池,不詳
通話時間,480 分鐘
備用時間,250 小時
RAM 容量,4GB / 8GB
ROM 容量,-
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,3.5 吋
螢幕類別,TFT
螢幕解像度,800 x 480
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,200 萬像素
自動對焦,不支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,不支援
短片拍攝,-
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、AAC+
短片播放格式,支援
收音機,不支援
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍芽
紅外線支援,不支援
流動數據,EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g)
gps 功能,不支援
電腦連線,USB 2.0
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
備註,用盡你的 iPhone︰《新手變達人‧發揮 iPhone 3G 無限潛能》
