0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Apple
發表日期,約 2010 年 6 月
推出日期,約 2010 年 6 月
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,iOS
中央處理器,Apple A4
圖像處理器,PowerVR SGX535
操作系統及版本,iOS 4
機身顏色,黑色、白色
尺寸,115.2 x 58.6 x 9.3 mm
重量,137 gram
操控,電容式
電池種類,1420 mAh
可更換電池,不支援
通話時間,3G 最長 7 小時
備用時間,約 300 小時
RAM 容量,512MB
ROM 容量,8GB/16GB / 32GB
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,3.5 吋
螢幕類別,IPS (Retina Display)
螢幕解像度,960 x 640
螢幕備註,"Multi-Touch, 326ppi 像點密度, IPS display, 800:1 對比度"
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,5X
視像鏡頭,30 萬像素
閃光燈,支援
相機功能,"Touch focus, geo-tagging"
短片拍攝,720p HD 影片
短片解像度,1280 x 720 @ 30
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,支援
短片播放格式,支援
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示、來電響鈴
Apps 下載,App Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不支援
藍牙支援,藍牙 v2.1、A2DP
紅外線支援,不支援
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 n)
gps 功能,GPS、AGPS
電腦連線,30 pin USB 2.0
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
