0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Apple
發表日期,約 2016 年 3 月
推出日期,約 2016 年 3 月
網絡系統,LTE (頻段 1、2、3、4、5、7、8、12、17、18、19、20、25、26、28) TD-LTE (頻段 38、39、40、41) TD-SCDMA 1900 (F)、2000 (A) CDMA EV-DO Rev. A (800、1700/2100、1900、2100 MHz) UMTS/HSPA+/DC-HSDPA (850、900、1700/2100、1900、2100 MHz) GSM/EDGE (850、900、1800、1900 MHz)
操作系統,iOS
中央處理器,A9
操作系統及版本,iOS 9
機身顏色,銀色、金色、太空灰、玫瑰金色
尺寸,123.8 X 58.6 X 7.6 mm
重量,113 gram
操控,輕觸式
電池種類,1500mAh
可更換電池,不支援
通話時間,3G 長達 14 小時
備用時間,長達 10 日
RAM 容量,不詳
ROM 容量,32GB/128GB
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4 吋
螢幕類別,IPS
螢幕解像度,1136 x 640
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1200 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,120 萬像素
閃光燈,雙 LED
相機功能,主相機 ƒ/2.2 光圈 多達 5 倍數碼變焦 原色調閃光燈 相片 HDR 設定
短片拍攝,MP4
短片解像度,4K (30fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,支援音訊格式：AAC (8 至 320 Kbps)、版權保護的 AAC (來自 iTunes Store)、HE-AAC、MP3 (8 至 320 Kbps)、MP3 VBR、Audible (格式 2、3、4、Audible Enhanced Audio
短片播放格式,支援影片格式：H.264 視訊高達 4K，30 fps，High Profile level 4.2 的 AAC-LC 音訊高達
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,APP STORE
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 4.2 無線技術
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11a/b/g/n/ac Wi‑Fi
gps 功能,GPS、A-GPS、GLONASS
電腦連線,Lightning
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
