0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Apple
發表日期,約 2020 年 10 月
推出日期,約 2020 年 10 月
不同版本,128GB $8499256GB $9299512GB $10999
價格,"約 HK$8,499更新日期：2021-05-14"
網絡系統,5G NR (頻段 n1、n2、n3、n5、n7、n8、n12、n20、n25、n28、n38、n40、n41、n66、n77、n78、n79) FDD‑LTE (頻段 1、2、3、4、5、7、8、12、13、17、18、19、20、25、26、28、30、32、66) TD‑LTE (頻段 34、38、39、40、41、42、46、48) CDMA EV‑DO Rev. A (800、1900 MHz) UMTS/HSPA+/DC-HSDPA (850、900、1700/2100、1900、2100 MHz) GSM/EDGE (850、900、1800、1900 MHz)
Sim 咭情況,雙咭雙待 (雙5G)
操作系統,iOS
中央處理器,A14 Bionic
操作系統及版本,iOS 14
機身顏色,太平洋藍色、金色、銀色及石墨色
尺寸,146.7 X 71.5 X 7.4 mm
重量,187 gram
操控,輕觸式
電池種類,2815 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB RAM
ROM 容量,128GB/256GB/512GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.1 吋
螢幕類別,OLED
螢幕解像度,2532 x 1170
螢幕備註,超級 Retina XDR 顯示器
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,三鏡頭 1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,2 X
數碼變焦,-
視像鏡頭,1200 萬像素
閃光燈,LED
相機功能,鏡頭 1200 萬像素 Pro 相機系統：超廣角、廣角及長焦距相機 超廣角：ƒ/2.4 光圈及 120° 視角 廣角：ƒ/1.6 光圈 長焦距：ƒ/2.0 光圈 (iPhone 12 Pro) 2 倍光學變焦放大；2 倍光學變焦縮小；4 倍光學變焦範圍 (iPhone 12 Pro) 多達 10 倍數碼變焦 (iPhone 12 Pro) 2.5 倍光學變焦放大；2 倍光學變焦縮小 利用 LiDAR 感測器運作的夜間模式人像拍攝 人像模式具備先進的散景效果及景深控制功能 人像燈光具備六款不同效果 (自然光、影樓燈光、輪廓光、舞台燈光、黑白舞台燈光、高色調黑白燈光) 光學影像防震雙鏡頭 (廣角及長焦距) 五鏡片鏡頭 (超廣角)；六鏡片鏡頭 (長焦距)；七鏡片鏡頭 (廣角) 更光亮的原色調閃光燈配備慢速同步模式 全景模式 (高達 6300 萬像素) 藍寶石玻璃鏡頭保護 100% Focus Pixels (廣角) 夜間模式 (超廣角、廣角) 深度融合 (超廣角、廣角、長焦距) 智慧型 HDR 3 具備場景偵測功能 Apple ProRAW* 寬廣色域相片及原況相片拍攝 鏡頭校正 (超廣角) 先進的紅眼校正功能 相片座標標籤 自動影像防震功能 連環快拍模式 影像拍攝格式：HEIF 及 JPEG 影片攝錄 HDR 影片攝錄支援杜比視界，高達 60 fps 4K 影片攝錄，24 fps、30 fps 或 60 fps 1080p HD 影片攝錄，30 fps 或 60 fps 720p HD 影片攝錄，30 fps 適用於影片攝錄的光學影像防震功能 (廣角) 2 倍光學變焦放大；2 倍光學變焦縮小；4 倍光學變焦範圍 (iPhone 12 Pro) 多達 6 倍數碼變焦 (iPhone 12 Pro) 2.5 倍光學變焦放大；2 倍光學變焦縮小； 音訊變焦 更光亮的原色調閃光燈 閃錄影片 慢動作影片支援 1080p，120 fps 或 240 fps 配備防震功能的縮時攝影 夜間模式縮時攝影 延伸動態範圍影片攝錄高達 60 fps 電影級影片防震功能 (4K、1080p 及 720p) 影片連續自動對焦 攝錄 4K 影片時可拍攝 800 萬像素相片 縮放播放 影片攝錄格式：HEVC 及 H.264 立體聲錄音 原深感測鏡頭 1200 萬像素相機 ƒ/2.2 光圈 人像模式具備先進的散景效果及景深控制功能 人像燈光具備六款不同效果 (自然光、影樓燈光、輪廓光、舞台燈光、黑白舞台燈光、高色調黑白燈光) Animoji 及 Memoji 夜間模式 深度融合 智慧型 HDR 3 具備場景偵測功能 HDR 影片攝錄支援杜比視界，高達 30 fps 4K 影片攝錄，24 fps、30 fps 或 60 fps 1080p HD 影片攝錄，30 fps 或 60 fps 慢動作影片支援 1080p，120 fps 配備防震功能的縮時攝影 夜間模式縮時攝影 延伸動態範圍影片攝錄高達 30 fps 電影級影片防震功能 (4K、1080p 及 720p) 閃錄影片 寬廣色域相片及原況相片拍攝 鏡頭校正 Retina 閃光燈 自動影像防震功能 連環快拍模式
短片拍攝,MP4
短片解像度,4K (60 fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3/mp4/3gp/ogg/amr/aac/flac/midi
短片播放格式,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,App Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth 5.0
紅外線支援,不支援
流動數據,"5G,LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,IEEE 802.11 a/b/g/n/ac/ax
gps 功能,內置全球定位系統 (GPS)、GLONASS 定位系統、伽利略定位系統 (Galileo)、準天頂衛星系統 (QZSS) 及北斗衛星導航系統
電腦連線,Lightning
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
備註,Face ID、IP68 (6 米防水)、Magsafe 磁吸式無線充電、Face ID
