0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Apple
發表日期,約 2022 年 3 月
推出日期,約 2022 年 3 月
不同版本,64GB ($3699)128GB ($4149)256GB ($4999)
價格,"約 HK$3,699更新日期：2022-03-22"
網絡系統,5G NR (頻段 n1、n2、n3、n5、n7、n8、n12、n20、n25、n28、n30、n38、n40、n41、n48、n66、n77、n78、n79) FDD‑LTE (頻段 1、2、3、4、5、7、8、12、13、17、18、19、20、25、26、28、30、32、66) TD‑LTE (頻段 34、38、39、40、41、42、46、48) UMTS/HSPA+/DC‑HSDPA (850、900、1700/2100、1900、2100 MHz) GSM/EDGE (850、900、1800、1900 MHz)
Sim 咭情況,雙 SIM 卡 (nano-SIM 及 eSIM)
操作系統,iOS
中央處理器,A15 Bionic
操作系統及版本,iOS 15
機身顏色,午夜暗色、星光色及 (PRODUCT)RED
尺寸,138.4 X 67.3 X 7.3 mm
重量,144 gram
操控,輕觸式
電池種類,2821 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,4GB RAM
ROM 容量,64GB/128GB/256GB ROM
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.7 吋
螢幕類別,IPS
螢幕解像度,1334 x 750
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1200像素
自動對焦,支援
光學防震,支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,700 萬像素
閃光燈,支援
相機功能,1200 萬像素廣角相機 ƒ/1.8 光圈 多達 5 倍數碼變焦 人像模式具備先進的散景效果及景深控制功能 人像燈光具備六款不同效果 (自然光、影樓燈光、輪廓光、舞台燈光、黑白舞台燈光、高色調黑白燈光) 光學影像防震功能 六鏡片鏡頭 LED 原色調閃光燈配備慢速同步模式 全景模式 (高達 6300 萬像素) 藍寶石玻璃鏡頭保護 配備 Focus Pixels 的自動對焦 寬廣色域相片及原況相片拍攝 深度融合 相片智慧型 HDR 4 攝影風格自訂功能 先進的紅眼校正功能 自動影像防震功能 連環快拍模式 相片座標標籤 影像拍攝格式：HEIF 及 JPEG
短片拍攝,MP4
短片解像度,4K (60 fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,AAC-LC、HE-AAC、HE-AAC v2、版權保護的 AAC、MP3、Linear PCM、Apple 無損壓縮、FLAC、杜比數碼 (AC-3)、杜比數碼+ (E-AC-3) 及 Audible (格式 2、3、4、Audible Enhance
短片播放格式,HEVC、H.264、MPEG-4 Part 2 及 Motion JPEG
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,App Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 5.0 無線技術
紅外線支援,不支援
流動數據,"LTE, HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11ax Wi‑Fi 6
gps 功能,GPS/GNSS 定位系統
電腦連線,Lightning
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,支援 IP67 防水、20W 有線快速充電、Qi 無線充電功能
