0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Google
發表日期,約 2019 年 10 月
推出日期,約 2019 年 10 月
網絡系統,"GSM/EDGE: Quad-band (850, 900, 1800, 1900 MHz) UMTS/HSPA+/HSDPA: Bands 1/2/4/5/8 CDMA EVDO Rev A: BC0/BC1/BC10 LTE: Bands 1/2/3/4/5/7/ 8/12/13/14/17/18/19/20/25/ 26/28/29/30/38/39/40/41/46/48/ 66/71"
Sim 咭情況,nano SIM + eSIM
操作系統,Android
中央處理器,Snapdragon 855
圖像處理器,Adreno 640
操作系統及版本,Android 10
機身顏色,黑、白、橙
尺寸,160.4 x 75.1 x 8.2 mm
重量,93 gram
操控,輕觸式
電池種類,2800 mAh
可更換電池,不支援
通話時間,不詳
備用時間,不詳
RAM 容量,6GB
ROM 容量,64GB / 128GB
可擴充記憶,不支援
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.3 吋
螢幕類別,OLED
螢幕解像度,3040 X 1440
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1220 萬像素
自動對焦,支援
光學防震,支援
光學變焦,2 X
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,LED 閃光燈
相機功能,1600 萬像素 像素寬度 1.0 微米 自動對焦與相位檢測技術 光學與電子影像穩定技術 光譜與閃爍感應器 ƒ/2.4 光圈 視野 52 度 1220 萬像素 像素寬度 1.4 微米 具備自動對焦與 Dual Pixel 相位檢測技術 光學與電子影像穩定技術 ƒ/1.7 光圈 視野 77 度
短片拍攝,MP4
短片解像度,4K (30fps)
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"FLAC, APE, AAC, MKA, OGG, MIDI, M4A, AMR"
短片播放格式,"MP4, 3GP, MOV, MKV, AVI ,FLV, MPEG"
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google Play Sore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 5.0 + LE (HD 轉碼器：AptX、AptX HD、LDAC)
紅外線支援,不支援
流動數據,"LTE、HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,802.11 a/b/g/n/ac
gps 功能,"GPS, GLONASS, BeiDou, Galileo"
電腦連線,USB Type-C 3.1 Gen 1
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
備註,IP68 防水、支援人面識別功能、加入 Motion Sense 隔空操作
