0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Google
發表日期,約 2016 年 10 月
推出日期,約 2016 年 10 月
價格,"約 HK$1,830更新日期：2019-09-05"
網絡系統,"GSM: Quad-band GSM UMTS/WCDMA: B 1/2/4/5/8 CDMA: BC0/BC1/BC10 FDD LTE: B 1/2/3/4/5/7/8/12/13/17/20/25/26/28/29/30 TDD LTE: B 41 LTE 2xCA: B2+B2, B2+B4, B2+B5, B2+B12, B2+B13, B2+B17, B2+B29, B2+B30, B4+B4, B4+B5, B4+B7, B4+B12, B4+B13, B4+B17, B4+B29, B4+B30, B5+B30, B7+B7, B12+B30, B25+B25, B29+B30, B41+B41 LTE 3xCA: B2+B2+B12, B2+B2+B13, B2+B4+B4, B2+B4+B5, B2+B4+B12 B2+B4+B13, B2+B4+B29, B2+B5+B30, B2+B12+B30, B2+B29+B30, B4+B4+B12, B4+B4+B13, B4+B5+B30, B4+ B7+ B12, B4+B12+B30, B4+B29+B30, B41+B41+B41"
操作系統,Android
中央處理器,Snapdragon 821
圖像處理器,Adreno 530
操作系統及版本,Android 7.1
機身顏色,黑、藍、銀
尺寸,154.7 x 75.7 X 8.5 mm
重量,168 gram
操控,輕觸式
電池種類,3450 mAh
可更換電池,不支援
通話時間,3G 最長可達 32 小時
備用時間,LTE 最長可達 23 天
RAM 容量,4GB RAM
ROM 容量,32GB / 128GB
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.5 吋
螢幕類別,IPS
螢幕解像度,2560 X 1440
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1230 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,800 萬像素
閃光燈,雙LED
短片拍攝,MP4
短片解像度,4K
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3、acc、amr、ogg、m4a、mid、wma、flac、ape、aac、wav
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,"v4.2, A2DP, LE, apt-X"
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,802.11a/b/g/n/ac 2.4/5GHz (2x2 M
gps 功能,GPS、A-GPS、GLONASS
電腦連線,USB Type-C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
