0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2010 年 11 月
推出日期,約 2010 年 11 月
價格,"約 HK$4,498更新日期：2010-11-11"
網絡系統,HSDPA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Windows Phone
中央處理器,Qualcomm Snapdragon QSD8250 1GHz
操作系統及版本,Microsoft Windows Phone 7
機身顏色,黑色
尺寸,119 x 60.2 x 11.9 mm
重量,130 gram
操控,輕觸式
電池種類,鋰電池 (1300 mAh)
可更換電池,不詳
通話時間,-
備用時間,-
RAM 容量,8GB / 576MB ROM、512MB RAM
ROM 容量,-
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,3.7 吋
螢幕類別,S-LCD
螢幕解像度,480 x 800
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,-
閃光燈,Xenon 閃光燈
短片拍攝,720p
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,-
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.1、A2DP
紅外線支援,-
流動數據,HSDPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,GPS、AGPS
電腦連線,microUSB 2.0
視頻輸出,-
