0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2013 年 5 月
推出日期,約 2013 年 5 月
價格,"約 HK$3,298更新日期：2013-05-24"
網絡系統,GSM 850 / GSM 900 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Android
中央處理器,Qualcomm MSM8625Q 四核 A5 1.2GHz
操作系統及版本,Android 4.1.2
機身顏色,紅、黑
尺寸,134.8 x 67 x 9.26 mm
重量,130 gram
操控,迴轉儀、加速度感測器、接近感測器、環境光線感測器
電池種類,1860 mah
可更換電池,不詳
通話時間,最長可達 11 小時
備用時間,最長可達 577 小時
RAM 容量,1GB RAM / 8GB ROM
ROM 容量,-
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.5 吋
螢幕類別,SLCD
螢幕解像度,540 X 960
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,不支援
數碼變焦,-
視像鏡頭,210 萬像
閃光燈,支援
相機功能,BSI 感測器，像素尺寸 2.0 µm，感測器尺寸 1/3.2 吋 專用 HTC ImageChip F2.0 光圈和 28 mm 鏡頭
短片拍攝,mp4
短片解像度,1280 X 720
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,aac、.amr、.ogg、.m4a、.mid、.mp3、.wav、.wma (Windows Media Audio 9)
短片播放格式,.3gp、.3g2、.mp4、.wmv (Windows Media Video 9)、.avi (MP4 ASP 和 MP3)
收音機,不支援
串流播放格式,支援
聲控功能,Google Talk
來電提示,震動提示 / 來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,Bluetooth V4.0 aptX
紅外線支援,不支援
流動數據,雙卡雙待: 一SIM卡槽支援HSPA/WCDMA與GSM/GPRS/EDGE，一SIM卡槽支援GSM/GPRS。
wifi 功能,IEEE 802.11 /b/g/n
gps 功能,支援
電腦連線,micro-USB 2.0
視頻輸出,DLNA、 MHL、供作 USB
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
參考網址,http://www.htc.com/www/smartphones/htc-desire-600/#specs
