0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2016 年 2 月
推出日期,約 2016 年 8 月
網絡系統,"4G LTE：FDD Bands 1, 3, 5, 8 4G LTE：TDD Bands 40 3G：850/900/2100 MHz 2G：850/900/1800/1900 MHz"
操作系統,Android
操作介面,HTC Sense
中央處理器,Qualcomm Snapdragon 400 四核 1.6 GHz
操作系統及版本,Android 6.0
尺寸,146.9 x 70.9 x 8.3 mm
重量,140 gram
操控,輕觸式
電池種類,2200mAh
可更換電池,不支援
通話時間,-
備用時間,-
RAM 容量,2GB RAM
ROM 容量,16GB ROM
可擴充記憶,Micro SD
最大支援記憶體,2TB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,Super LCD
螢幕解像度,1280 X 720
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,-
數碼變焦,-
視像鏡頭,500 萬素
閃光燈,不支援
相機功能,主相機 f/2.4 光圈鏡頭 前相機 f/2.8 光圈鏡頭
短片拍攝,MP4
短片解像度,1920 X 1080
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3、acc、amr、ogg、m4a、mid、wma、flac、ape、aac、wav
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 4.1
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi®: 802.11 b/g/n (2.4GHz)
gps 功能,GPS/AGPS + GLONASS
電腦連線,usb 2.0
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
備註,支援 Hi-Res Audio 認證的播放音樂功能
