0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2018 年 5 月
推出日期,約 2018 年 5 月
網絡系統,"FDD: B4/B12/B17/B28/B20/B5/B8/B3/B1/B7/B32/B2/B13/B66 頻段 TDD: B39/B40/B38/B41 頻段 3G UMTS:AWS/850/900/1900/2100 (B4/B5/B8/B2/B1); HSDPA 42, HSUPA 5.76 2G/2.5G:GSM/GPRS/EDGE850/900/1800/1900 MHz"
Sim 咭情況,雙咭雙待
操作系統,Android
中央處理器,Snapdragon 845
操作系統及版本,Android 8.0
機身顏色,黑
尺寸,- mm
重量,-
操控,輕觸式
電池種類,"3,500mAh"
可更換電池,支援
通話時間,VoLTE 最長可達 9.3 小時
備用時間,最長可達 25 天
RAM 容量,6GB RAM
ROM 容量,128GB ROM
可擴充記憶,Micro SD
最大支援記憶體,2TB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6 吋
螢幕類別,TFT
螢幕解像度,2560 X 1440
螢幕備註,18:9 比例
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,2 X
數碼變焦,-
視像鏡頭,800 萬像素 + 800 萬像
閃光燈,LED 補光燈
短片拍攝,MP4
短片解像度,4K
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"3gp, .mp4, .m4a, .aac, .ts, .flac, .mp3, .mid, .ogg, .mkv, .wav"
短片播放格式,"3gp, .mp4, .ts, .webm, .mkv and HDR10 video"
收音機,支援
串流播放格式,不支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Google PlayStore
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V5.0 / A2DP /LDAC
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,802.11 a/b/g/n/ac (2.4 & 5 GHz)
gps 功能,"GPS, A-GPS, GLONASS, Galileo, Be"
電腦連線,USB Type C
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
備註,支援人面識別及 IP68 防水
