0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2014 年 7 月
推出日期,約 2014 年 7 月
網絡系統,不詳
操作系統,Android
操作介面,HTC Sense 6.0
中央處理器,Qualcomm Snapdragon 801 四核 2.5 GHz
操作系統及版本,Android 4.4.2
機身顏色,白色、紅色、藍色
尺寸,145 × 70 x 10 mm
重量,156 gram
操控,迴轉儀、加速度感測器、接近感測器、環境光線感測器
電池種類,2700mah
可更換電池,不支援
通話時間,最長 20 小時
備用時間,最長496 小時
RAM 容量,2GB RAM
ROM 容量,32GB ROM
可擴充記憶,microsd
最大支援記憶體,128GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,SLCD 3
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,500 萬像
閃光燈,雙 LED
相機功能,Duo 景深相機 主要相機： HTC UltraPixel™ 相機，BSI 感測器，像素尺寸 2.0 um，感測器尺寸 1/3”，f/2.0，28 mm鏡頭 HTC ImageChip 2 獨立晶片。1080p Full HD 錄影，具備 HDR 錄影功能 副相機： 拍攝景深資訊
短片拍攝,mp4
短片解像度,1920 X 1080
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,aac、.amr、.ogg、.m4a、.mid、.mp3、.wav、.wma (Windows Media Audio 9)
短片播放格式,.3gp、.3g2、.mp4、.wmv (Windows Media Video 9)、.avi (MP4 ASP 和 MP3)
收音機,不支援
串流播放格式,支援
聲控功能,Google Talk
來電提示,震動提示 / 來電響鈴
Apps 下載,Android
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,Bluetooth V4.0 aptX
紅外線支援,支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,IEEE 802.11 a/ac/b/g/n
gps 功能,支援
電腦連線,micro-USB 2.0
視頻輸出,DLNA、 MHL、供作 USB
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
參考網址,http://www.htc.com/jp/smartphones/htl23/#/
