0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2012 年 9 月
推出日期,約 2012 年 9 月
價格,"約 HK$4,498更新日期：2012-09-07"
網絡系統,HSDPA / CDMA / UMTS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Android
中央處理器,雙核 S4 1.5GHz
操作系統及版本,Android OS 4.0.4
機身顏色,黑色、紅色、白色
尺寸,132 x 66 x 10 mm
重量,142 gram
操控,輕觸式
電池種類,1810 mAh
可更換電池,不詳
通話時間,-
備用時間,-
RAM 容量,1GB RAM
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,4.3 吋
螢幕類別,SLCD
螢幕解像度,540 x 960
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,800 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,支援
閃光燈,支援
相機功能,"8百萬像素自動對焦相機, F2.0光圈, 28mm廣角鏡, BSI高感光低雜訊感應器, 智能LED閃光燈"
短片拍攝,-
短片解像度,1920 x 1080
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、eAAC+、WMA、WAV
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,-
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,Bluetooth 4.0 支援 aptx
紅外線支援,不支援
流動數據,"WiMAX, HSDPA, HSUPA, CDMA、UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,支援
電腦連線,-
視頻輸出,-
