0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,-
推出日期,-
網絡系統,"Yota Mobile WiMAX 2,5-2.7 GHz / GSM 900/1800/1900"
操作系統,Windows Phone
中央處理器,Qualcomm ESM7206A 528 MHz
操作系統及版本,Windows Mobile 6.1 Professional
機身顏色,黑色
尺寸,113.5 x 63.1 x 13.9 mm
重量,151 gram
操控,輕觸式
電池種類,鋰電池 (1500mAh)
可更換電池,不詳
通話時間,420 分鐘
備用時間,350 小時
RAM 容量,ROM: 256MB / RAM: 288MB / 8GB
ROM 容量,-
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,3.8 吋
螢幕類別,TFT
螢幕解像度,480 x 800
螢幕備註,輕觸式、WVGA
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,支援
閃光燈,-
短片拍攝,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、AAC+、WMA
短片播放格式,MPEG4
收音機,-
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v2.0、A2DP
紅外線支援,-
流動數據,EDGE、GPRS
wifi 功能,Wi-Fi 802.11 b/g、WiMAX 802.16 e
gps 功能,GPS、AGPS
電腦連線,USB
視頻輸出,-
