0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2015 年 9 月
推出日期,約 2015 年 9 月
價格,"約 HK$2,898更新日期：2015-11-19"
網絡系統,SIM1： GSM/GPRS/EDGE: 850/900/1800/1900MHz WCDMA/HSPA: 850/900/1900/2100MHz TD-SCDMA: 1900/2000MHz LTE FDD: 850/900/1800/2100/2600MHz TD-LTE: 1900/2300/2600MHz SIM2： GSM/GPRS/EDGE: 850/900/1800/1900MHz
Sim 咭情況,雙咭雙待雙 4G
操作系統,Android
操作介面,HTC Sense 7
中央處理器,MTK 64 bit MT6795M 八核 2.0GHz
圖像處理器,PowerVR G6200
操作系統及版本,Android 5.1
機身顏色,啡、白、灰
尺寸,156.5 x 76.5 x 7.49 mm
重量,148 gram
操控,輕觸式
電池種類,2800 mAh
可更換電池,不支援
通話時間,3G 最長14 小時 9 分鍾
備用時間,3G 最長 631 小時
RAM 容量,2GB
ROM 容量,16GB
可擴充記憶,microsd
最大支援記憶體,2TB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,Super LCD 3
螢幕解像度,1920 X 1080
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1300 萬像素
自動對焦,支援
光學防震,不支援
光學變焦,不支援
數碼變焦,-
視像鏡頭,400 萬像素
閃光燈,LED 閃燈
短片拍攝,mp4
短片解像度,1920 X 1080
短片變焦,支援
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,mp3、acc、amr、ogg、m4a、mid、wma、flac、ape、aac、wav
短片播放格式,MPEG4、H.263、H.264、WMV
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 v4.0
紅外線支援,支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi (802.11 b/g/n/ac)
gps 功能,支援
電腦連線,usb 2.0
視頻輸出,Mirror Cast
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
