0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2011 年 6 月
推出日期,約 2011 年 6 月
價格,"約 HK$3,298更新日期：2011-06-21"
網絡系統,14Mbps HSDPA / GSM 850 / GSM 900 / GSM 1800 / GSM 1900 / HSPA/W
操作系統,Android
中央處理器,800MHz
操作系統及版本,Android 2.3
機身顏色,黑色
尺寸,109.1 x 58.9 x 12.3 mm
重量,120 gram
操控,輕觸式
電池種類,鋰電池 (1520mAh)
可更換電池,不詳
通話時間,485 分鐘 (3G) / 585 分鐘 (2G)
備用時間,715 小時 (3G) / 465 小時 (2G)
RAM 容量,RAM: 512MB / ROM: 512MB
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,32GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,3.4 吋
螢幕類別,TFT
螢幕解像度,480 x 320
螢幕備註,輕觸式
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,500 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,30 萬像素鏡頭
閃光燈,支援
短片拍攝,3GP 格式
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"aac, .amr, .ogg, .mid, .mp3, .wav, .wma (Windows Media Audio 9)"
短片播放格式,"3gp, .3g2, .mp4, .wmv (Windows Media Video 9)"
收音機,FM 收音機
串流播放格式,支援
來電提示,震動提示、來電響鈴
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,藍牙 v3.0、A2DP
紅外線支援,不支援
流動數據,HSDAP、HSUPA、UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g/n)
gps 功能,GPS、AGPS
電腦連線,microUSB 2.0
視頻輸出,-
