0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2008 年 3 月
推出日期,約 2008 年 3 月
價格,"約 HK$10,880更新日期：2009-12-24"
網絡系統,HSDPA / UTMS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Windows Phone
中央處理器,Intel Stealey 800MHz，Qualcomm MS
操作系統及版本,Microsoft® Windows Vista Business Edition
機身顏色,黑色
尺寸,207 x 129 x 25 mm
重量,800 gram
操控,左右按鈕及 MicroPad、滑蓋式QWERTY鍵盤
電池種類,鋰電池 (2700 mAh)
可更換電池,不詳
通話時間,-
備用時間,-
RAM 容量,RAM: 1GB / 硬碟 :40GB
ROM 容量,-
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,8 吋
螢幕類別,TFT
螢幕解像度,800 x 480
螢幕備註,輕觸式
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,130 萬像素
自動對焦,不支援
光學防震,不詳
光學變焦,-
數碼變焦,4X
視像鏡頭,30 萬像素鏡頭
閃光燈,不支援
短片拍攝,影片拍攝 (MPEG4，3GP)
短片解像度,640 x 480
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、eAAC+、WMA
短片播放格式,MPEG4、3GP、WMV
收音機,不支援
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,A2DP、AVRCP、藍芽 v2.0
紅外線支援,不支援
流動數據,UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g)
gps 功能,不支援
電腦連線,USB 2.0
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不詳
備註,指紋掃描器、不支援語音通訊功能
