0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,-
推出日期,-
價格,"約 HK$5,580更新日期：2009-03-04"
網絡系統,HSDPA / UTMS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Windows Phone
中央處理器,Qualcomm MSM7200 400MHz
操作系統及版本,Microsoft Window Mobile 6.0 Professional
機身顏色,黑+銀色
尺寸,112 x 59 x 19 mm
重量,190 gram
電池種類,鋰電池 (1350 mAh)
可更換電池,不詳
通話時間,420 分鐘
備用時間,365 小時
RAM 容量,RAM: 128MB / ROM: 256MB
ROM 容量,-
可擴充記憶,microsd
最大支援記憶體,4GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,2.8 吋
螢幕類別,TFT
螢幕解像度,240 x 320
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,320 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,4X
視像鏡頭,30 萬像素鏡頭
閃光燈,不支援
短片拍攝,影片拍攝 (H.263 / MPEG4)
短片解像度,640 x 480
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、AAC+、WAV、WMA
短片播放格式,H.263、H.264、MPEG4、WMV
收音機,不支援
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,A2DP、AVRCP、藍芽 v2.0
紅外線支援,不支援
流動數據,UMTS、EDGE、GPRS
wifi 功能,Wi-Fi
gps 功能,GPSOne AGPS
電腦連線,USB 2.0
視頻輸出,-
