0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,約 2017 年 1 月
推出日期,約 2017 年 1 月
價格,"約 HK$2,390更新日期：2018-06-15"
網絡系統,"FDD: Bands FDD: Bands 1, 3, 5, 7, 8, 20, 28 TDD: TDD: Bands 38, 39, 40, 41 with 2CA, 3CA 3G UMTS：850/900/1900/2100 MHz 2G/2.5G GSM/GPRS/EDGE:850/900/1800/1900 MHz"
Sim 咭情況,雙咭雙待
操作系統,Android
操作介面,HTC Sense Companion
中央處理器,Snapdragon 821 CPU
操作系統及版本,Android 7.0
機身顏色,黑、白、藍、粉紅
尺寸,162 x 79.79 x 3.6-7.99 mm
重量,170 gram
操控,輕觸式
電池種類,3000 mAh
可更換電池,不支援
通話時間,26 小時
備用時間,13 天
RAM 容量,4GB RAM
ROM 容量,64GB ROM
可擴充記憶,Micro SD
最大支援記憶體,2TB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5.7 吋
螢幕類別,Super LCD 5
螢幕解像度,2560 X 1440
螢幕備註,加入 2 吋副屏幕
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,-
數碼變焦,-
視像鏡頭,1600 萬像素
閃光燈,雙色 LED
相機功能,3D 收音 前相機可調節至 Ultra Pixel 模式
短片拍攝,Mp4
短片解像度,4K
短片變焦,支援數碼變焦
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,"MP3, AAC LC/AAC+/eAAC+,AMR-NB, AMR-WB, WMA, FLAC, Vorbis, Opus"
短片播放格式,"MPEG4, H.265(HEVC), H.264(AVC), H.263, VC-1, MP43, WMV7, WMV8, V"
收音機,支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,Play Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,"Bluetooth® v 4.2,"
紅外線支援,不支援
流動數據,"LTE , HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac (2.4 & 5
gps 功能,GPS + AGPS + Glonass
電腦連線,USB 3.1 Type C
視頻輸出,支援
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,支援
