0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,HTC
發表日期,-
推出日期,-
網絡系統,UTMS / GSM 850 / GSM 900 / GSM 1800 / GSM 1900
操作系統,Windows Phone
中央處理器,Intel PXA270 624 MHz with ATi Gr
操作系統及版本,Microsoft Window Mobile 5.0 Pocket PC Edition
機身顏色,銀色
尺寸,133.1 x 98 x 16 mm
重量,375 gram
電池種類,鋰電池 (2200 mAh)
可更換電池,不詳
通話時間,330 分鐘
備用時間,300 小時
RAM 容量,RAM: 128MB / ROM: 256 (內置 8GB HD
ROM 容量,-
可擴充記憶,minisd
最大支援記憶體,4GB
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,5 吋
螢幕類別,TFT
螢幕解像度,640 x 48
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,320 萬像素
自動對焦,支援
光學防震,不詳
光學變焦,-
數碼變焦,-
視像鏡頭,30 萬像素鏡頭
閃光燈,支援
短片拍攝,無時限影片拍攝
短片解像度,640 x 480
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,MP3、AAC、WMA、AMR、M4A
短片播放格式,3GP、MPEG4、AVI、WMV、3G2、SDP
收音機,不支援
來電提示,-
Apps 下載,-
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,不詳
藍牙支援,A2DP、AVRCP、藍芽 v2.0
紅外線支援,支援
流動數據,UMTS、EDGE、GPRS
wifi 功能,Wi-Fi (802.11 b/g)
gps 功能,SiFR Star III GPS
電腦連線,USB 2.0
視頻輸出,-
